,Name,Low,Mod,High,Very_High,sum
25,Atlantic_Coastal_Plain_Upland_Longleaf_Pine_Woodland,1.8%,24.7%,73.6%,0.0%,1
28,Central_Mixedgrass_Prairie,2.2%,63.8%,34.1%,0.0%,1
8,Central_Tallgrass_Prairie,0.4%,60.0%,39.6%,0.0%,1
1,Columbia_Plateau_Western_Juniper_Woodland_and_Savanna,3.0%,69.8%,27.1%,0.0%,1
4,Great_Basin_Pinyon_Juniper_Woodland,2.2%,37.5%,59.9%,0.4%,1
6,Great_Basin_Xeric_Mixed_Sagebrush_Shrubland,18.5%,81.2%,0.3%,0.0%,1
5,Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland,6.6%,71.0%,22.4%,0.0%,1
16,Inter_Mountain_Basins_Big_Sagebrush_Shrubland,5.2%,65.2%,29.6%,0.0%,1
9,Inter_Mountain_Basins_Big_Sagebrush_Steppe,6.0%,73.6%,20.3%,0.0%,1
2,Inter_Mountain_Basins_Mat_Saltbush_Shrubland,0.8%,55.2%,43.9%,0.2%,1
7,Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub,3.6%,49.1%,47.2%,0.0%,1
10,Inter_Mountain_Basins_Montane_Sagebrush_Steppe,7.2%,40.9%,51.0%,0.9%,1
3,North_Central_Interior_Beech_Maple_Forest,3.2%,17.7%,79.1%,0.0%,1
11,North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland,1.2%,22.9%,75.9%,0.0%,1
27,North_Central_Interior_Maple_Basswood_Forest,5.7%,65.8%,28.5%,0.0%,1
23,Northern_and_Central_Californian_Dry_Mesic_Chaparral,32.6%,58.7%,8.6%,0.0%,1
12,Northern_Tallgrass_Prairie,0.1%,77.4%,22.5%,0.0%,1
19,Northwestern_Great_Plains_Mixedgrass_Prairie,14.1%,85.8%,0.1%,0.0%,1
24,Ozark_Ouachita_Dry_Oak_Woodland,0.2%,24.8%,75.1%,0.0%,1
29,Ozark_Ouchita_Dry_Mesic_Oak_Forest,0.7%,17.5%,81.7%,0.0%,1
13,Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland,7.4%,60.3%,32.3%,0.1%,1
26,Rocky_Mountain_Subalpine_Dry_Mesic__Spruce_Fir_Forest_and_Woodland,19.4%,50.2%,30.5%,0.0%,1
14,Southeastern_Great_Plains_Tallgrass_Prairie,1.9%,97.9%,0.2%,0.0%,1
15,Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland,16.2%,53.0%,30.7%,0.0%,1
18,Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland,12.7%,57.8%,29.5%,0.0%,1
17,Southern_Rocky_Mountain_Montane_Subalpine_Grassland,12.7%,38.9%,48.0%,0.4%,1
20,Southern_Rocky_Mountain_Ponderosa_Pine_Woodland,7.1%,48.2%,44.7%,0.0%,1
22,Western_Great_Plains_Foothill_and_Piedmont_Grassland,8.1%,53.2%,38.7%,0.0%,1
21,Western_Great_Plains_Shortgrass_Prairie,6.3%,87.3%,6.4%,0.0%,1
