system_name,type,Keystone_Score,Functional_Diversity ,Forest_Insect_disease,Invasives,Ruderal,notes,update_7_22_2021,project
California_Montane_Riparian_Systems,California_Montane_Riparian_Systems,,0.5,no,annual_grass,invasive_model,,,ndow
Great_Basin_Semi_Desert_Chaparral,Great_Basin_Semi_Desert_Chaparral,,0.5,no,annual_grass,invasive_model,,,ndow
Inter_Mountain_Basins_Montane_Riparian_Systems,Inter_Mountain_Basins_Montane_Riparian_Systems,,0.5,no,annual_grass,invasive_model,,,ndow
Inter_Mountain_Basins_Subalpine_Limber_Bristlecone_Pine_Woodland,Inter_Mountain_Basins_Subalpine_Limber_Bristlecone_Pine_Woodland,,0.5,yes,annual_grass,invasive_model,,,ndow
Mediterranean_California_Red_Fir_Forest,Mediterranean_California_Red_Fir_Forest,,0.5,yes,annual_grass,invasive_model,,,ndow
Mediterranean_California_Subalpine_Woodland,Mediterranean_California_Subalpine_Woodland,,0.5,yes,annual_grass,invasive_model,,,ndow
Mogollon_Chaparral,Mogollon_Chaparral,,0.5,no,annual_grass,invasive_model,,,ndow
North_American_Warm_Desert_Riparian_Systems,North_American_Warm_Desert_Riparian_Systems,,0.5,no,annual_grass,invasive_model,,,ndow
Northern_Rocky_Mountain_Subalpine_Upper_Montane_Grassland,Northern_Rocky_Mountain_Subalpine_Upper_Montane_Grassland,,0.5,no,annual_grass,invasive_model,,,ndow
Rocky_Mountain_Alpine_Turf,Rocky_Mountain_Alpine_Turf,,0.5,no,annual_grass,invasive_model,,,ndow
Rocky_Mountain_Bigtooth_Maple_Ravine_Woodland,Rocky_Mountain_Bigtooth_Maple_Ravine_Woodland,,0.5,no,annual_grass,invasive_model,,,ndow
Rocky_Mountain_Subalpine_Dry_Mesic_Spruce_Fir_Forest_and_Woodland,Rocky_Mountain_Subalpine_Dry_Mesic_Spruce_Fir_Forest_and_Woodland,,0.5,yes,annual_grass,invasive_model,,,ndow
Rocky_Mountain_Subalpine_Montane_Limber_Bristlecone_Pine_Woodland,Rocky_Mountain_Subalpine_Montane_Limber_Bristlecone_Pine_Woodland,,0.5,yes,annual_grass,invasive_model,,,ndow
Rocky_Mountain_Subalpine_Upper_Montane_Riparian_Systems,Rocky_Mountain_Subalpine_Upper_Montane_Riparian_Systems,,0.5,no,annual_grass,invasive_model,,,ndow
