"","X","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1",1,"Central Tallgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,9.28,23,-5.066,NA,105.8,14.3,56.2,NA,NA,NA,NA,NA,NA,NA,31.1,-12.49,43.5,NA,NA,327459,0,1.84,2.4,2.33,NA,-55.7,6.73,-30,NA,NA,NA,NA,NA,NA,NA,2.44,5.06,-2.62,NA,NA,327459,0,1.84,2.4,2.33,NA,-55.7,6.73,-30,NA,NA,NA,NA,NA,NA,NA,2.44,5.06,-2.62,NA,NA,327459,0,1.84,2.4,2.33,NA,-55.7,6.73,-30,NA,NA,NA,NA,NA,NA,NA,2.44,5.06,-2.62,NA,NA,327459,0,1.61,1.52,1.09,NA,-1.51,1.25,-2.05,NA,NA,NA,NA,NA,NA,NA,1.17,1.96,-1.05,NA,NA,100,0,0,0,100,100,100,0,0,100,100,0,100,100,100,0,0,0,0
"2",2,"Central Tallgrass Prairie","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Central Tallgrass Prairie","Central Corn Belt Plains",76643,0,10.78,23,-3.964,NA,117.2,44.72,28.1,334,161.9,NA,NA,NA,NA,NA,30.1,-8.33,NA,20.8,NA,76643,0,1.48,1.78,1.91,NA,-49.2,31.43,-28.8,-73,50.2,NA,NA,NA,NA,NA,2.1,3.41,NA,6.77,NA,76643,0,1.39,1.63,1.68,NA,-76.1,18.84,-38.6,-80.6,34.6,NA,NA,NA,NA,NA,1.91,3.16,NA,4.68,NA,76643,0,1.64,1.98,2.08,NA,-32,49.17,-23.6,-64.3,84.6,NA,NA,NA,NA,NA,2.33,4.01,NA,9.44,NA,76643,0,1.5,1.25,1.05,NA,-1.14,2.74,-2.25,-1.03,1.21,NA,NA,NA,NA,NA,1.09,1.42,NA,1.24,NA,100,0,0,0,99.91,100,0,32.226,0,100,10.26,0,57.8,100,100,1.767,85.12,0,0
"4",4,"Central Tallgrass Prairie","Central Great Plains",274963,0,11.42,24.3,-1.713,NA,118.7,17.9,55.9,331,NA,NA,NA,NA,30.4,NA,33.3,-9.34,42.2,22,NA,274963,0,1.76,2.15,2.13,NA,-56.4,9.17,-26.9,-86.9,NA,NA,NA,NA,2.19,NA,2.15,4.2,-2.56,4.49,NA,274963,0,1.6,2.04,1.96,NA,-74.9,6.29,-31.2,-88.7,NA,NA,NA,NA,2.1,NA,1.88,3.55,-2.63,3.45,NA,274963,0,1.97,2.34,2.23,NA,-39.2,12.29,-23.6,-85.2,NA,NA,NA,NA,2.28,NA,2.31,4.76,-2.5,5.75,NA,274963,0,1.51,1.3,1.01,NA,-1.19,1.42,-1.65,-1.02,NA,NA,NA,NA,1.03,NA,1.02,1.68,-1.02,1.11,NA,100,0,5.16,0,26.55,100,8.65,65.814,0,100,22.574,0,63,99.6,100,0.162,0,0,0
"5",5,"Central Tallgrass Prairie","Central Irregular Plains",114339,0,11.79,24.2,NA,NA,136.7,35.65,41,376,160.5,NA,NA,11.8,29.3,NA,31.9,-8.1,NA,22,NA,114339,0,1.56,1.88,NA,NA,-55.9,23.12,-27.7,-94.6,49.9,NA,NA,0.589,2.29,NA,2.27,3.8,NA,3.63,NA,114339,0,1.47,1.73,NA,NA,-81.5,12.19,-35.5,-117.1,41.4,NA,NA,0.513,2.18,NA,2.22,3.45,NA,2.63,NA,114339,0,1.78,2.13,NA,NA,-33.7,41.08,-24.4,-66.1,61.6,NA,NA,0.697,2.33,NA,2.33,4.38,NA,5.05,NA,114339,0,1.39,1.11,NA,NA,-1.42,2.6,-2.04,-1.1,1.07,NA,NA,1.08,1.01,NA,1.04,1.44,NA,1.13,NA,100,17.2,3.61,0,9.43,100,0,67.091,0,100,0,0,99.9,100,100,25.948,12.57,0,0
"6",6,"Central Tallgrass Prairie","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Central Tallgrass Prairie","Driftless Area",47383,0,8.09,21.4,-6.238,NA,118.9,25.81,47.7,347,119.1,NA,NA,NA,NA,NA,28.8,-12.85,NA,20.7,NA,47383,0,1.82,2.17,2.36,NA,-63.9,15.23,-27.3,-88.6,36.5,NA,NA,NA,NA,NA,2.46,4.52,NA,5.09,NA,47383,0,1.6,1.95,2.01,NA,-81.9,10.51,-31.2,-106.3,28.8,NA,NA,NA,NA,NA,2.22,3.9,NA,2.59,NA,47383,0,1.92,2.36,2.55,NA,-41,27.03,-22.9,-67.4,48.3,NA,NA,NA,NA,NA,2.74,4.88,NA,6.47,NA,47383,0,1.88,1.53,1.25,NA,-1.66,2.04,-2.25,-1.17,1.07,NA,NA,NA,NA,NA,1.24,1.75,NA,1.58,NA,100,0,0,0,100,100,0,27.123,0,100,100,0,100,100,100,53.525,19.3,0,0
"8",8,"Central Tallgrass Prairie","Eastern Corn Belt Plains",83548,0,11.04,22.6,NA,NA,120,59.98,20.8,NA,212.3,NA,NA,NA,NA,NA,29.6,-6.91,NA,20.7,NA,83548,0,1.48,1.87,NA,NA,-53.3,41.86,-30.3,NA,69.4,NA,NA,NA,NA,NA,2.27,3.19,NA,6.9,NA,83548,0,1.4,1.76,NA,NA,-64.3,30.83,-35.5,NA,43.4,NA,NA,NA,NA,NA,2.05,2.89,NA,6,NA,83548,0,1.55,1.99,NA,NA,-46.3,48.38,-26.2,NA,87.2,NA,NA,NA,NA,NA,2.43,3.36,NA,8.26,NA,83548,0,1.56,1.58,NA,NA,-1.05,2.94,-2.33,NA,1.4,NA,NA,NA,NA,NA,1.44,1.37,NA,1.06,NA,100,0,0,0,100,100,0,7.246,0,100,0,0,21.9,100,100,0,100,0,0
"9",9,"Central Tallgrass Prairie","Flint Hills",27932,0,12.65,25.1,0.624,NA,137.9,24.44,50.8,368,NA,NA,NA,NA,NA,NA,NA,-7.81,NA,22.8,NA,27932,0,1.79,2.13,2.14,NA,-70.1,11.7,-28.1,-101.6,NA,NA,NA,NA,NA,NA,NA,4.18,NA,3.98,NA,27932,0,1.74,2.08,2.14,NA,-77.2,8.7,-30.6,-108.8,NA,NA,NA,NA,NA,NA,NA,4.05,NA,3.49,NA,27932,0,1.92,2.25,2.14,NA,-59.7,15.24,-26.9,-89.4,NA,NA,NA,NA,NA,NA,NA,4.31,NA,5.44,NA,27932,0,1.49,1.18,1.01,NA,-1.32,1.35,-2.09,-1.07,NA,NA,NA,NA,NA,NA,NA,1.57,NA,1.08,NA,100,0,0,0,0,100,0,70.822,0,100,0.567,0,99.7,100,100,16.431,0,0,0
"10",10,"Central Tallgrass Prairie","High Plains",288315,0,9.23,22,-2.77,NA,86,9.39,64.6,NA,NA,NA,NA,NA,NA,NA,32.5,-10.82,42.5,NA,NA,288315,0,1.57,1.96,1.88,NA,-43.9,6.02,-29.1,NA,NA,NA,NA,NA,NA,NA,1.87,3.77,-2.4,NA,NA,288315,0,1.54,1.79,1.8,NA,-44.7,3.68,-31.2,NA,NA,NA,NA,NA,NA,NA,1.82,3.54,-2.46,NA,NA,288315,0,1.61,2.04,1.96,NA,-43,7.48,-27,NA,NA,NA,NA,NA,NA,NA,1.88,4.07,-2.38,NA,NA,288315,0,1.42,1.5,1.02,NA,-1.03,2,-1.66,NA,NA,NA,NA,NA,NA,NA,1.1,1.55,-1.02,NA,NA,100,0,0,0,22.22,100,33.33,0,0,100,77.778,0,22.2,100,100,0,0,0,0
