"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Mountains",13.66,23.2,4.86,NA,70.2,8.07,48.7,NA,NA,NA,NA,NA,NA,NA,32.4,-2.24,NA,19.861,NA,1.98,1.98,1.79,NA,-48.2,4.71,-29.8,NA,NA,NA,NA,NA,NA,NA,1.9,2.66,NA,9.65,NA,1.97,1.97,1.79,NA,-54.5,4.184,-36.5,NA,NA,NA,NA,NA,NA,NA,1.88,2.59,NA,8.12,NA,1.98,2,1.8,NA,-41.1,5.7,-18.9,NA,NA,NA,NA,NA,NA,NA,1.92,2.73,NA,12.35,NA,2.51,2.17,1.65,NA,-1.12,1.25,-1.67,NA,NA,NA,NA,NA,NA,NA,1.48,2.6,NA,1.21,NA,100,0,0,0,100,100,0,70.59,0,100,100,0,35.29,100,64.7,0,0,0,0
"2","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Plateau",13.73,23.9,4.287,NA,50.3,9.53,40.8,NA,52.8,NA,NA,NA,NA,NA,32.9,-2.349,NA,15.467,NA,2.01,2.06,1.84,NA,-36.2,5.58,-33.9,NA,14.75,NA,NA,NA,NA,NA,2.01,2.8,NA,10.96,NA,1.96,1.94,1.76,NA,-52.5,2.805,-45.2,NA,14.12,NA,NA,NA,NA,NA,1.9,2.5,NA,7.08,NA,2.06,2.14,1.96,NA,-26.2,9.56,-19.8,NA,15.98,NA,NA,NA,NA,NA,2.14,3.03,NA,13.76,NA,2.56,2.03,1.77,NA,-1.05,2.1,-1.93,NA,1.05,NA,NA,NA,NA,NA,1.48,2.52,NA,1.36,NA,100,0,0,0,100,100,0,75.57,0,100,100,0,7.63,99.2,88.2,0,1.53,0,0
"3","Great Basin Pinyon Juniper Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",14.51,23.2,6.797,NA,NA,3.36,84,NA,26.1,NA,NA,NA,NA,NA,33.1,1.153,NA,NA,21.9,1.85,1.73,1.78,NA,NA,3.27,-36.3,NA,13.58,NA,NA,NA,NA,NA,1.66,2.98,NA,NA,2.72,1.66,1.38,1.74,NA,NA,1.327,-38.2,NA,13.16,NA,NA,NA,NA,NA,1.28,2.49,NA,NA,2.6,1.97,1.96,1.84,NA,NA,4.97,-34.5,NA,13.99,NA,NA,NA,NA,NA,1.96,3.31,NA,NA,2.87,2.62,1.84,1.65,NA,NA,3.07,-1.41,NA,1.09,NA,NA,NA,NA,NA,1.35,2.46,NA,NA,1.58,100,0,0,0,100,100,0,0,60,100,100,0,0,100,100,0,40,0,0
"4","Great Basin Pinyon Juniper Woodland","Cascades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,1.613,0,100,100,0,0,56.45,100,100,0,40.32,91.9,98.4,0,0,0,0
"5","Great Basin Pinyon Juniper Woodland","Central Basin and Range",8.85,19.4,-0.651,NA,46.6,14.78,35.2,124.1,54.3,NA,NA,NA,40.1,NA,29.7,-7.336,NA,9.593,17.4,2.23,2.25,2.47,NA,-37.3,8.58,-43.7,-51.6,20.71,NA,NA,NA,2.47,NA,2.58,3.89,NA,4.84,8.38,1.98,1.86,1.93,NA,-95.5,1.811,-67.4,-109.9,5.83,NA,NA,NA,1.76,NA,2.21,2.82,NA,-9.3,2.38,2.48,2.63,2.93,NA,-15.1,23.95,-24.3,-32,40.49,NA,NA,NA,3.87,NA,2.98,4.48,NA,15.11,16.18,2.85,1.85,1.85,NA,-1.3,3.37,-2.51,-1.07,1.43,NA,NA,NA,1.1,NA,1.58,2.3,NA,0.884,1.18,100,0,40.418,0,100,100,0,6.86,19.6,100,100,0,78.62,100,99.9,5.723,58.01,0,0
"6","Great Basin Pinyon Juniper Woodland","Colorado Plateaus",12.17,22.6,2.519,NA,59.3,13.4,37.7,NA,66.2,NA,NA,NA,41.3,NA,33.1,-4.895,NA,NA,NA,2.08,2.11,2.15,NA,-42.7,5.01,-40.8,NA,17.92,NA,NA,NA,2.02,NA,2.22,3.25,NA,NA,NA,2.05,2.07,2.09,NA,-50.7,3.218,-47.4,NA,13.35,NA,NA,NA,1.94,NA,2.14,3.07,NA,NA,NA,2.11,2.15,2.23,NA,-35.3,7.57,-36,NA,23.99,NA,NA,NA,2.14,NA,2.28,3.59,NA,NA,NA,2.6,1.9,1.89,NA,-1.19,1.4,-2.71,NA,1.15,NA,NA,NA,1.04,NA,1.47,2.53,NA,NA,NA,100,0,16.667,0,100,100,0,0,0,100,100,0,100,76.2,100,0,78.57,0,0
"7","Great Basin Pinyon Juniper Woodland","Eastern Cascades Slopes and Foothills",6.98,16.1,-0.964,NA,51.6,9.37,47.2,NA,NA,NA,NA,NA,37.9,NA,27.8,-7.023,NA,NA,16,2.07,2.11,1.98,NA,-28.3,4.13,-29.1,NA,NA,NA,NA,NA,2.58,NA,2.45,3.6,NA,NA,2.87,2,2.04,1.86,NA,-36.8,3.06,-34.6,NA,NA,NA,NA,NA,2.58,NA,2.41,3.19,NA,NA,2.16,2.11,2.17,2.06,NA,-22.7,5.9,-22.2,NA,NA,NA,NA,NA,2.58,NA,2.47,3.93,NA,NA,3.76,3.33,1.86,1.73,NA,-1.16,1.46,-1.48,NA,NA,NA,NA,NA,1.03,NA,1.33,2.51,NA,NA,1.38,100,0,1.613,0,100,100,0,0,56.45,100,100,0,40.32,91.9,98.4,0,0,0,0
"8","Great Basin Pinyon Juniper Woodland","Middle Rockies",5.56,16.7,-5.241,NA,51.9,20.08,26.6,134.5,50.9,NA,NA,NA,NA,NA,27.4,-12.196,NA,9.855,16.4,2.47,2.56,2.48,NA,-36.6,12.43,-40.8,-45.2,15.02,NA,NA,NA,NA,NA,2.9,4.05,NA,-7.19,10.24,2.37,2.52,2.15,NA,-46.1,10.334,-47.2,-56.1,15.02,NA,NA,NA,NA,NA,2.84,3.63,NA,-7.19,10.24,2.49,2.63,2.58,NA,-27.4,14.16,-33.5,-33.3,15.02,NA,NA,NA,NA,NA,2.92,4.22,NA,-7.19,10.24,3.23,1.97,2.24,NA,-1.49,3.81,-2.17,-1.05,1.24,NA,NA,NA,NA,NA,1.48,2.44,NA,-1.064,1.07,100,0,0,0,100,100,0,12.5,12.5,100,100,0,100,100,100,87.5,12.5,0,0
"9","Great Basin Pinyon Juniper Woodland","Mojave Basin and Range",13.43,23.3,4.486,NA,43.8,6.93,50.6,84.6,34.4,57,NA,NA,37.3,NA,32.2,-1.433,NA,12.811,16.8,2.03,2.07,1.89,NA,-39.1,3.84,-46.2,-41.7,13.61,48.8,NA,NA,2.17,NA,2.18,2.9,NA,11.46,3.36,1.81,1.7,1.65,NA,-73.6,0.603,-64.7,-53.1,2.86,37.2,NA,NA,2.03,NA,1.56,2.37,NA,-7.99,2.73,2.16,2.2,2.25,NA,-25.2,9.84,-19.6,-34.2,23.72,66.6,NA,NA,2.3,NA,2.49,3.58,NA,15.67,4.54,2.73,1.99,1.8,NA,-1.16,3.39,-2.13,-1.01,1.58,1.19,NA,NA,1.02,NA,1.53,2.56,NA,1.434,1.05,100,0,0.277,0,100,100,0,15.35,1.8,100,100,0,30.43,98.3,98.5,0.553,69.71,1.24,0
"10","Great Basin Pinyon Juniper Woodland","Northern Basin and Range",7.51,18.2,-2.311,NA,58.9,16.36,36.1,147.8,58.3,NA,NA,NA,36.6,NA,28.8,-8.175,NA,8.471,17.1,2.34,2.43,2.58,NA,-34.6,9.79,-32.1,-44.1,17.06,NA,NA,NA,2.5,NA,2.71,4.19,NA,-4.23,6.54,2.01,1.94,1.93,NA,-73.5,1.654,-46.9,-67.7,12.23,NA,NA,NA,2.2,NA,2.35,3.21,NA,-8.24,2.48,2.52,2.63,3.01,NA,-15.9,19.99,-18.6,-30.4,28.95,NA,NA,NA,2.87,NA,2.96,4.89,NA,4.86,13.1,3.12,1.79,2.03,NA,-1.35,2.52,-1.96,-1.09,1.16,NA,NA,NA,1.04,NA,1.39,2.42,NA,-0.603,1.21,100,0,9.223,0,100,100,0,2.59,22.09,100,100,0,84.3,98.4,98,6.958,7.36,0,0
