"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Xeric Mixed Sagebrush Shrubland","Arizona/New Mexico Plateau",15.07,25.7,5.145,NA,NA,10.12,35.7,NA,48.5,NA,NA,NA,NA,NA,34.2,-0.708,NA,10.36,NA,2.05,2.13,1.95,NA,NA,4.7,-39.2,NA,13.4,NA,NA,NA,NA,NA,2.12,2.94,NA,11.931,NA,2.05,2.11,1.86,NA,NA,3.245,-41.3,NA,13.4,NA,NA,NA,NA,NA,2,2.75,NA,10.09,NA,2.06,2.14,1.98,NA,NA,6.68,-36.1,NA,13.4,NA,NA,NA,NA,NA,2.17,3.02,NA,13.76,NA,2.64,1.96,1.89,NA,NA,1.96,-2.27,NA,1.16,NA,NA,NA,NA,NA,1.46,2.65,NA,1.461,NA,100,0,0,0,100,100,0,28.57,0,100,100,0,0,100,92.9,0,7.14,0,0
"2","Great Basin Xeric Mixed Sagebrush Shrubland","Blue Mountains",8.84,19,-0.843,NA,62.9,17.8,36.8,NA,69.3,NA,NA,12.7,34.1,NA,29.8,-5.912,NA,12.33,15.43,1.88,2.13,1.97,NA,-29,8.96,-27.3,NA,20.14,NA,NA,0.446,2.27,NA,2.48,3.79,NA,5.245,5.6,1.72,2.01,1.73,NA,-43.7,4.517,-38.2,NA,19.57,NA,NA,0.39,2.01,NA,2.2,3.6,NA,3.73,2.85,2.02,2.26,2.32,NA,-18.5,12.99,-16,NA,20.51,NA,NA,0.465,2.6,NA,2.63,3.96,NA,6.65,9.66,2.7,1.89,1.79,NA,-1.3,1.74,-1.86,NA,1.08,NA,NA,1.1,1.03,NA,1.49,2.19,NA,1.087,1.15,100,82.04,34.731,0,100,100,0,9.58,10.78,100,100,0,86.83,91,99.4,0,1.8,0,0
"3","Great Basin Xeric Mixed Sagebrush Shrubland","Cascades",9.14,18,1.681,NA,75.5,NA,51.2,NA,NA,NA,NA,NA,37.8,NA,27.7,-2.307,NA,NA,17.96,1.91,2.05,1.74,NA,-38.1,NA,-27.8,NA,NA,NA,NA,NA,2.74,NA,2.43,3.5,NA,NA,3.22,1.91,2.05,1.74,NA,-38.1,NA,-27.8,NA,NA,NA,NA,NA,2.74,NA,2.43,3.5,NA,NA,3.22,1.91,2.05,1.74,NA,-38.1,NA,-27.8,NA,NA,NA,NA,NA,2.74,NA,2.43,3.5,NA,NA,3.22,3.11,1.96,1.56,NA,-1.01,NA,-1.22,NA,NA,NA,NA,NA,1.08,NA,1.46,2.74,NA,NA,1.51,100,0,2.381,0,100,100,0,0,66.67,100,100,0,21.43,91.7,92.9,0,0,0,0
"4","Great Basin Xeric Mixed Sagebrush Shrubland","Central Basin and Range",9.42,20.2,-0.461,NA,39.8,13.05,33.1,97.2,48.3,NA,NA,NA,40.7,NA,31.1,-7.564,29.6,10.66,15.36,2.24,2.29,2.49,NA,-32.4,7.87,-45.1,-44.3,18.94,NA,NA,NA,2.42,NA,2.6,3.87,-2.42,5.854,9.87,2.01,1.86,1.93,NA,-95.5,1.475,-66.5,-112.3,4.88,NA,NA,NA,1.76,NA,2.22,2.74,-2.42,-10,2.38,2.48,2.66,2.94,NA,-12.6,23.95,-23,-22.7,40.49,NA,NA,NA,3.87,NA,2.96,4.66,-2.42,15.66,18.49,2.87,1.85,1.84,NA,-1.27,3.53,-2.57,-1.08,1.51,NA,NA,NA,1.09,NA,1.57,2.25,-1.04,0.915,1.2,100,0,28.206,0,100,100,0.0082,10.12,19.53,100,100,0,80.95,100,99.9,6.683,59.48,0,0
"5","Great Basin Xeric Mixed Sagebrush Shrubland","Colorado Plateaus",14.69,25.4,4.808,NA,45.2,11.69,34.2,NA,NA,NA,NA,NA,NA,NA,34.2,-1.078,NA,NA,NA,2.06,2.12,2.04,NA,-33.9,4.59,-39.8,NA,NA,NA,NA,NA,NA,NA,2.2,3.08,NA,NA,NA,2.06,2.12,2.04,NA,-33.9,4.594,-39.8,NA,NA,NA,NA,NA,NA,NA,2.2,3.08,NA,NA,NA,2.06,2.12,2.04,NA,-33.9,4.59,-39.8,NA,NA,NA,NA,NA,NA,NA,2.2,3.08,NA,NA,NA,2.6,1.94,1.88,NA,-1.02,1.38,-2.44,NA,NA,NA,NA,NA,NA,NA,1.44,2.6,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,0,0,0,0
"6","Great Basin Xeric Mixed Sagebrush Shrubland","Columbia Mountains/Northern Rockies",10.05,20.1,0.482,NA,85,24.27,36.5,236.6,NA,NA,NA,13.1,NA,NA,31.2,-4.27,NA,NA,NA,1.82,2.18,1.84,NA,-38.1,10.67,-23.5,-55.8,NA,NA,NA,0.43,NA,NA,2.41,3.87,NA,NA,NA,1.76,2.14,1.78,NA,-41.4,9.693,-25.3,-55.8,NA,NA,NA,0.426,NA,NA,2.36,3.8,NA,NA,NA,1.84,2.2,1.88,NA,-36.2,11.28,-17.2,-55.8,NA,NA,NA,0.433,NA,NA,2.46,4.06,NA,NA,NA,2.65,2.11,1.74,NA,-1.31,1.18,-1.61,-1.01,NA,NA,NA,1.01,NA,NA,1.43,2.14,NA,NA,NA,100,66.67,0,0,100,100,0,0,0,100,100,0,83.33,50,100,16.667,0,0,0
"7","Great Basin Xeric Mixed Sagebrush Shrubland","Eastern Cascades Slopes and Foothills",7.38,16.5,-0.617,NA,47.5,8.94,48,NA,NA,NA,NA,NA,37.9,NA,28.3,-6.809,NA,NA,16.48,2.04,2.1,1.95,NA,-26.1,4.15,-28.9,NA,NA,NA,NA,NA,2.58,NA,2.44,3.45,NA,NA,3.08,1.94,2.01,1.78,NA,-29.6,2.638,-34.6,NA,NA,NA,NA,NA,2.58,NA,2.39,2.98,NA,NA,2.41,2.11,2.18,2.06,NA,-21.8,6.26,-22.2,NA,NA,NA,NA,NA,2.58,NA,2.51,3.93,NA,NA,4.05,3.28,1.89,1.7,NA,-1.16,1.49,-1.39,NA,NA,NA,NA,NA,1.03,NA,1.35,2.42,NA,NA,1.4,100,0,1.205,0,100,100,0,0,66.27,100,100,0,20.48,92.8,92.8,0,0,0,0
"8","Great Basin Xeric Mixed Sagebrush Shrubland","Middle Rockies",5.91,17.8,-6.072,NA,49.6,18.57,30.7,124.5,62,NA,NA,NA,NA,NA,28.4,-12.79,NA,10.29,-6.53,2.47,2.6,2.34,NA,-28.2,12.02,-41,-44.1,18.39,NA,NA,NA,NA,NA,2.92,3.65,NA,2.182,10.72,2.41,2.5,2.15,NA,-46.8,8.586,-49.2,-56.1,12.93,NA,NA,NA,NA,NA,2.85,3.33,NA,-7.49,10.14,2.52,2.68,2.57,NA,-19.8,17.63,-34.2,-32,25.47,NA,NA,NA,NA,NA,2.99,4.22,NA,6.77,11.66,3.35,2.07,2.24,NA,-1.24,4.16,-2.2,-1.07,1.4,NA,NA,NA,NA,NA,1.52,2.22,NA,0.539,1.03,100,0,0,0,100,100,0,17.91,5.97,100,100,0,91.04,100,100,19.403,77.61,0,0
"9","Great Basin Xeric Mixed Sagebrush Shrubland","Mojave Basin and Range",14.27,24.3,5.129,NA,38.2,6.78,48,84.6,31.8,55,NA,NA,37.3,NA,33.4,-0.884,NA,8,17.05,2.05,2.1,1.94,NA,-35.4,3.72,-48.8,-41.7,13.03,47.5,NA,NA,2.17,NA,2.25,2.92,NA,12.5,3.53,1.77,1.63,1.67,NA,-56.9,0.731,-64.7,-53.1,2.86,37.2,NA,NA,2.03,NA,1.63,2.32,NA,-7.99,2.76,2.16,2.22,2.25,NA,-17.1,9.84,-28.5,-34.2,23.72,66.6,NA,NA,2.3,NA,2.52,3.58,NA,15.67,4.58,2.77,1.97,1.85,NA,-1.17,4.05,-2.26,-1.01,1.68,1.17,NA,NA,1.02,NA,1.54,2.57,NA,1.576,1.09,100,0,0.227,0,100,100,0,7.71,1.13,100,100,0,33.45,98.5,99.3,0.454,85.6,1.7,0
"10","Great Basin Xeric Mixed Sagebrush Shrubland","Northern Basin and Range",7.81,18.2,-1.618,NA,48.6,11.19,40.1,129.1,53,NA,NA,NA,37.6,NA,29.4,-7.757,NA,8.01,16.68,2.24,2.36,2.45,NA,-27.3,6.93,-33,-41.2,15.51,NA,NA,NA,2.45,NA,2.66,4.09,NA,0.757,6.19,1.93,1.94,1.94,NA,-64.9,1.312,-46.9,-67.7,11.34,NA,NA,NA,1.93,NA,2.35,3.11,NA,-8.24,2.48,2.52,2.65,3.01,NA,-12.8,17.83,-20,-28.3,21.54,NA,NA,NA,2.78,NA,2.95,4.92,NA,5.37,11.97,3.15,1.81,1.9,NA,-1.27,2.29,-1.99,-1.04,1.18,NA,NA,NA,1.04,NA,1.42,2.46,NA,0.368,1.19,100,0,8.4,0,100,100,0,2.18,17.49,100,100,0,78.96,97.4,99.2,0.764,8.13,0,0
