"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",7.73,16.6,-0.656,NA,96.7,21.7,48,204,84.7,NA,NA,NA,45.8,NA,25.4,-8.09,NA,15.44,10.25,1.89,2.04,1.85,NA,-50.5,11.97,-31,-56.9,27.5,NA,NA,NA,2.53,NA,1.98,2.44,NA,5.24,5.25,1.81,1.88,1.74,NA,-82,4.52,-45.2,-71.1,11.57,NA,NA,NA,2.12,NA,1.38,1.86,NA,-10.37,3.66,2,2.21,1.98,NA,-28.2,23.8,-19.2,-41.2,41,NA,NA,NA,3.34,NA,2.56,3.29,NA,11.43,7.29,2.13,2.02,1.6,NA,-1.13,1.92,-1.82,-1.05,1.19,NA,NA,NA,1.1,NA,1.37,1.94,NA,0.9703,1.23,100,0,6.13,0,82.5,100,0,43.55,36.36,100,100,0,44.4,93.7,96,1.903,9.09,0,0
"2","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",6.65,16.6,-2.909,NA,71.8,20.12,40.4,154,67.8,NA,NA,16.4,NA,NA,26.1,-10.78,NA,15.46,NA,1.93,2.15,1.86,NA,-40.7,11.46,-34.2,-36.9,23.7,NA,NA,0.58,NA,NA,2.43,2.42,NA,3.73,NA,1.84,2.04,1.71,NA,-71.8,4.13,-40.3,-54.5,14.44,NA,NA,0.531,NA,NA,2.08,1.72,NA,-9.29,NA,1.99,2.22,1.95,NA,-14.4,22.24,-26.9,-30.2,46.3,NA,NA,0.627,NA,NA,2.71,3.26,NA,8.12,NA,2.22,2.06,1.64,NA,-1.09,2.3,-2.09,-1.1,1.38,NA,NA,1.22,NA,NA,1.75,1.83,NA,0.9227,NA,100,52.63,0,0,100,100,0,50.88,0,100,100,0,54.39,100,100,22.807,56.14,0,0
"3","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Central Basin and Range",6.78,17.1,-2.33,NA,69,24.38,30.7,146,82.2,NA,NA,NA,38.8,NA,26.4,-8.46,29.6,6.97,13.61,2.29,2.29,2.64,NA,-47,13.77,-37.8,-55.9,28,NA,NA,NA,2.67,NA,2.54,4.14,-2.42,6.07,7.83,2,1.86,2.04,NA,-90.2,3.79,-53.4,-71.4,13.29,NA,NA,NA,2.11,NA,2.23,3.12,-2.42,1.75,3.27,2.46,2.54,2.92,NA,-27.3,23.95,-24.1,-48.9,40.5,NA,NA,NA,3.79,NA,2.95,4.66,-2.42,10.39,13.76,2.76,1.82,1.95,NA,-1.25,2.7,-2.51,-1.04,1.39,NA,NA,NA,1.11,NA,1.62,2.23,-1.04,1.2254,1.23,100,0,30.38,0,100,100,0.295,0.59,29.2,100,100,0,82.6,100,97.6,1.18,42.77,0,0
"4","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Colorado Plateaus",6.55,17.4,-3.63,NA,57.8,25.22,22.3,147,95.8,NA,NA,15.5,40.9,NA,26.6,-10.3,NA,15.06,11.44,2.15,2.31,2.05,NA,-40.7,13.33,-40.5,-52.8,34.1,NA,NA,0.518,2.29,NA,2.66,2.81,NA,0.87,11.72,1.92,2.07,1.64,NA,-61.4,5.47,-53.2,-69.2,14.02,NA,NA,0.498,2.07,NA,2.19,1.54,NA,-10.4,5.4,2.31,2.5,2.45,NA,-18.8,22.29,-23.5,-28.3,56.6,NA,NA,0.548,2.4,NA,2.85,4.09,NA,12.33,16.56,2.55,1.91,2.13,NA,-1.22,2.33,-3.02,-1.21,1.68,NA,NA,1.04,1.07,NA,1.73,2.06,NA,0.1307,1.36,100,2.58,4.17,0,100,100,0,25.65,57.85,100,100,0,86.28,99.6,100,19.881,73.36,0,0
"5","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Columbia Mountains/Northern Rockies",9.8,19.7,0.313,NA,88.9,25.23,38.5,NA,NA,NA,NA,12.9,NA,NA,30.4,-4.48,NA,13.27,NA,1.85,2.17,1.85,NA,-37.6,11.07,-26.1,NA,NA,NA,NA,0.417,NA,NA,2.38,3.77,NA,4.84,NA,1.85,2.17,1.85,NA,-37.6,11.07,-26.1,NA,NA,NA,NA,0.417,NA,NA,2.38,3.77,NA,4.84,NA,1.85,2.17,1.85,NA,-37.6,11.07,-26.1,NA,NA,NA,NA,0.417,NA,NA,2.38,3.77,NA,4.84,NA,2.71,2.16,1.76,NA,-1.27,1.34,-1.71,NA,NA,NA,NA,1.01,NA,NA,1.41,2.25,NA,1.1059,NA,100,100,0,0,100,100,0,100,0,100,100,0,100,100,100,0,0,0,0
"6","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Columbia Plateau",9.76,19.5,0.435,NA,85.5,29.07,40.5,NA,NA,NA,NA,10.9,NA,NA,29.3,-4.48,NA,NA,16.75,1.73,2.07,1.69,NA,-36.3,11.98,-26.1,NA,NA,NA,NA,0.387,NA,NA,2.25,3.54,NA,NA,6.49,1.64,2.06,1.6,NA,-36.5,11.24,-29.7,NA,NA,NA,NA,0.385,NA,NA,2.23,3.36,NA,NA,5.77,1.81,2.08,1.78,NA,-36,12.72,-22.7,NA,NA,NA,NA,0.389,NA,NA,2.28,3.71,NA,NA,7.2,2.42,1.88,1.42,NA,-1.17,1.48,-1.54,NA,NA,NA,NA,1.03,NA,NA,1.37,1.9,NA,NA,1.02,100,50,0,0,100,100,0,0,50,100,100,0,50,50,100,0,0,0,0
"7","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","High Plains",9.84,20.6,-0.317,NA,NA,14.91,48.9,NA,69.4,NA,NA,NA,NA,NA,30.1,-8.64,NA,NA,NA,1.92,2.39,1.8,NA,NA,7.02,-21.4,NA,22.4,NA,NA,NA,NA,NA,2.81,3.39,NA,NA,NA,1.89,2.38,1.75,NA,NA,5.58,-23.8,NA,20.88,NA,NA,NA,NA,NA,2.8,3.29,NA,NA,NA,1.97,2.42,1.91,NA,NA,9.01,-19.7,NA,23.9,NA,NA,NA,NA,NA,2.83,3.67,NA,NA,NA,1.95,2.15,1.3,NA,NA,1.36,-1.35,NA,1.12,NA,NA,NA,NA,NA,1.96,1.93,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,22.22,0,0
"8","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Idaho Batholith",9.32,20.2,-0.757,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA,29.9,-5.28,NA,NA,19.97,2.2,2.28,2.19,NA,NA,NA,-21,NA,NA,NA,NA,NA,NA,NA,2.58,3.71,NA,NA,3.02,2.2,2.28,2.19,NA,NA,NA,-21,NA,NA,NA,NA,NA,NA,NA,2.58,3.71,NA,NA,3.02,2.2,2.28,2.19,NA,NA,NA,-21,NA,NA,NA,NA,NA,NA,NA,2.58,3.71,NA,NA,3.02,2.99,1.83,2.13,NA,NA,NA,-1.26,NA,NA,NA,NA,NA,NA,NA,1.42,2.22,NA,NA,1.25,100,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0
"9","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Middle Rockies",4.42,15.3,-5.226,NA,97.5,25.25,43.6,223,94.1,NA,NA,NA,NA,NA,24.5,-11.64,NA,7,4.57,2.04,2.56,1.88,NA,-42.5,10.12,-20.6,-56.4,27,NA,NA,NA,NA,NA,2.51,4.21,NA,4.04,10.8,1.98,2.42,1.72,NA,-51.6,3.61,-29.9,-58.2,10.97,NA,NA,NA,NA,NA,2.3,3.34,NA,3.16,9.57,2.4,2.69,2.13,NA,-33,24.37,-15,-54.7,55,NA,NA,NA,NA,NA,2.82,4.79,NA,5.23,13.54,2.51,2.16,1.41,NA,-1.18,1.79,-1.35,-1.06,1.31,NA,NA,NA,NA,NA,1.5,1.82,NA,1.312,1.13,100,0,0,0,100,100,0,20.39,16.5,100,100,0,7.77,95.8,61.5,0.647,47.9,0,0
"10","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Mojave Basin and Range",4.97,13.9,-2.586,NA,87.4,11.34,42.8,NA,74.5,NA,NA,NA,NA,NA,22.5,-9.58,NA,NA,NA,2,2.06,1.9,NA,-67.3,6.32,-44.6,NA,21.7,NA,NA,NA,NA,NA,2.14,2.99,NA,NA,NA,2,2.05,1.88,NA,-73.6,4.81,-47,NA,21.69,NA,NA,NA,NA,NA,2.12,2.94,NA,NA,NA,2,2.06,1.93,NA,-61.1,7.96,-41.6,NA,21.7,NA,NA,NA,NA,NA,2.16,3.04,NA,NA,NA,2.71,1.98,1.78,NA,-1.07,1.93,-1.98,NA,1,NA,NA,NA,NA,NA,1.58,2.49,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,50,100,100,0,25,0,0
"11","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Northern Basin and Range",6.28,17,-3.367,NA,84.5,21.75,40,155,NA,NA,NA,NA,35.1,NA,26.6,-8.61,NA,4.96,16.23,2.38,2.46,2.66,NA,-47.6,11.82,-24.9,-45.4,NA,NA,NA,NA,2.74,NA,2.75,4.39,NA,-1.01,3.51,2.08,2.11,2.07,NA,-78.8,3.3,-38.7,-58.5,NA,NA,NA,NA,2.17,NA,2.52,3.6,NA,-7.22,2.48,2.51,2.61,2.98,NA,-22.2,19.99,-18,-34.3,NA,NA,NA,NA,3.01,NA,2.95,4.96,NA,4.24,11.69,3.1,1.76,2.13,NA,-1.31,1.9,-1.54,-1.13,NA,NA,NA,NA,1.08,NA,1.37,2.47,NA,0.0525,1.3,100,0,28.26,0,100,100,0,1.58,30.24,100,100,0,90.71,89.7,100,3.755,0,0,0
"12","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Northwestern Great Plains",6.95,18.1,-3.251,NA,97.6,17.78,53.5,NA,64.6,NA,NA,NA,NA,NA,28.2,-10.22,NA,11.07,-3.88,2.07,2.61,1.99,NA,-39,10.08,-22.8,NA,18.7,NA,NA,NA,NA,NA,2.52,4.59,NA,5.15,11.56,2.02,2.48,1.83,NA,-43.7,3.17,-27.2,NA,14.11,NA,NA,NA,NA,NA,2.36,4.17,NA,5.15,11.56,2.13,2.69,2.08,NA,-37,19.26,-17.2,NA,29.9,NA,NA,NA,NA,NA,2.59,4.84,NA,5.15,11.56,2.6,2.14,1.4,NA,-1.04,2.26,-1.4,NA,1.21,NA,NA,NA,NA,NA,1.52,1.8,NA,1.2906,1.05,100,0,0,0,100,100,0,8.33,8.33,100,100,0,8.33,100,75,0,66.67,0,0
"13","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Sierra Nevada",5.83,14.2,-1.301,NA,157.6,8.78,79.2,NA,35,NA,NA,NA,42.5,NA,23.5,-7.77,NA,-2.36,14.17,2.01,1.98,2.05,NA,-100.2,5.31,-28.5,NA,16.4,NA,NA,NA,3.18,NA,2.32,3.65,NA,1.72,2.87,1.95,1.85,1.73,NA,-130,1.75,-34,NA,8.83,NA,NA,NA,2.59,NA,2.03,3.22,NA,1.42,1.98,2.07,2.11,2.3,NA,-70.5,13.66,-22.4,NA,32.3,NA,NA,NA,3.74,NA,2.47,4.2,NA,2.07,4.14,3.02,1.9,1.71,NA,-1.02,2.49,-1.12,NA,1.42,NA,NA,NA,1.18,NA,1.57,2.33,NA,1.1892,1.79,100,0,70.45,0,100,100,0,21.21,90.91,100,100,0,1.52,87.1,54.5,0,41.67,0,0
