"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Mountains",10.81,20.7,1.4161,NA,58.9,11.32,50.8,154.1,46.9,NA,NA,NA,NA,NA,30.7,-6.808,NA,19.816,14.49,1.95,2.08,1.86,NA,-29.2,6.43,-29.4,-42.4,17.36,NA,NA,NA,NA,NA,2.12,2.52,NA,6.43,5.93,1.83,1.91,1.76,NA,-54.5,2.336,-45.2,-52.4,10.05,NA,NA,NA,NA,NA,1.45,1.77,NA,-10.67,4.36,2,2.23,1.96,NA,-18.1,16.76,-18.9,-34.6,31.43,NA,NA,NA,NA,NA,2.57,3.05,NA,12.35,8.8,2.22,2.02,1.59,NA,-1.17,2,-1.61,-1.05,1.3,NA,NA,NA,NA,NA,1.48,2.07,NA,1.18,1.09,100,0,0,0,96.9,100,0,55.725,22.9,100,100,0,17.18,97.07,90.7,0.382,16.539,0,0
"2","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Plateau",11.16,21.6,1.0757,NA,42.1,10.77,43.9,101.3,44.5,NA,NA,17.2,NA,NA,31.6,-7.065,NA,20.402,13.51,1.95,2.12,1.88,NA,-24.1,6.98,-35.6,-33.1,17.99,NA,NA,0.605,NA,NA,2.3,2.46,NA,7,7.21,1.84,1.94,1.71,NA,-53.5,1.338,-53.2,-54.5,7.07,NA,NA,0.52,NA,NA,1.65,1.75,NA,-12.05,4.65,2.06,2.24,2,NA,-13.4,22.24,-19,-22.9,46.27,NA,NA,0.68,NA,NA,2.71,3.13,NA,13.87,9.77,2.2,2.01,1.6,NA,-1.23,2.41,-2.05,-1.11,1.47,NA,NA,1.19,NA,NA,1.6,1.96,NA,1.0389,1.2,100,8.68,0,0,100,100,0,58.439,9.32,100,100,0,44.2,99.36,94.4,2.803,39.755,0,0
"3","Inter Mountain Basins Big Sagebrush Shrubland","Blue Mountains",8.98,18.5,0.1153,NA,47.3,12.62,37.9,138.1,64.8,NA,NA,13.5,35.9,NA,30.2,-5.447,NA,11.73,17.77,1.79,1.97,1.87,NA,-23.9,6.34,-26.6,-36.4,20.18,NA,NA,0.461,2.36,NA,2.27,3.53,NA,5.14,3.47,1.55,1.6,1.53,NA,-44.5,2.819,-36.9,-39.4,17.74,NA,NA,0.375,1.95,NA,1.89,3.14,NA,3.69,1.69,2.06,2.28,2.37,NA,-13,13.97,-18,-34.3,23.84,NA,NA,0.572,2.92,NA,2.65,3.97,NA,6.98,10.03,2.63,1.83,1.62,NA,-1.24,1.56,-1.54,-1.03,1.2,NA,NA,1.1,1.04,NA,1.36,2.02,NA,1.182,1.15,100,30.15,12.901,0,100,100,0,4.918,17.53,100,100,0,57.23,62.44,93.1,0.214,0.428,0,0
"4","Inter Mountain Basins Big Sagebrush Shrubland","California Coastal Sage, Chaparral, and Oak Woodlands",13.77,22.4,6.2716,NA,67.7,3.63,79.6,NA,19.2,NA,NA,NA,42.9,NA,32.6,0.603,NA,NA,22.39,1.88,1.89,1.63,NA,-46.2,3.03,-34.8,NA,9.09,NA,NA,NA,2.74,NA,2.03,3.03,NA,NA,2.96,1.86,1.82,1.62,NA,-46.2,2.72,-34.8,NA,9.09,NA,NA,NA,2.73,NA,1.85,2.49,NA,NA,2.03,1.9,1.93,1.64,NA,-46.2,3.47,-34.8,NA,9.09,NA,NA,NA,2.74,NA,2.13,3.31,NA,NA,4.68,3.13,1.94,1.56,NA,-1.07,2.54,-1.73,NA,1.81,NA,NA,NA,1.06,NA,1.43,2.33,NA,NA,2.17,100,0,66.667,0,100,100,0,0,100,100,100,0,33.33,100,33.3,0,33.333,0,0
"5","Inter Mountain Basins Big Sagebrush Shrubland","Canadian Rockies",5.03,15.1,-4.2782,NA,NA,26.02,38.4,NA,85.9,NA,NA,NA,NA,NA,24.8,-11.097,NA,NA,NA,1.94,2.42,2,NA,NA,16.28,-32.9,NA,41.93,NA,NA,NA,NA,NA,2.58,4.53,NA,NA,NA,1.94,2.42,2,NA,NA,16.279,-32.9,NA,41.93,NA,NA,NA,NA,NA,2.58,4.53,NA,NA,NA,1.94,2.42,2,NA,NA,16.28,-32.9,NA,41.93,NA,NA,NA,NA,NA,2.58,4.53,NA,NA,NA,2.58,2.23,1.54,NA,NA,3.91,-1.77,NA,2.93,NA,NA,NA,NA,NA,1.44,1.77,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
"6","Inter Mountain Basins Big Sagebrush Shrubland","Cascades",8.16,16.8,0.6762,NA,75.5,9.18,53.6,NA,NA,NA,NA,13.7,41.2,NA,27.7,-4.415,NA,-0.721,16.82,1.88,1.98,1.74,NA,-38.1,4.21,-26.4,NA,NA,NA,NA,0.561,3.15,NA,2.32,3.43,NA,1.85,2.69,1.71,1.76,1.66,NA,-38.1,2.922,-27.9,NA,NA,NA,NA,0.535,2.74,NA,1.97,3.08,NA,1.85,2.14,1.95,2.05,1.79,NA,-38.1,5.5,-24.7,NA,NA,NA,NA,0.599,3.66,NA,2.47,3.8,NA,1.85,3.24,3,1.92,1.54,NA,-1.01,1.16,-1.14,NA,NA,NA,NA,1.01,1.21,NA,1.41,2.58,NA,1.3273,1.67,100,5.48,14.081,0,100,100,0,2.803,64.67,100,100,0,26.66,84.16,69.8,0,0,0,0
"7","Inter Mountain Basins Big Sagebrush Shrubland","Central Basin and Range",9.38,20.1,-0.5238,NA,40.2,13.05,33.3,100.5,49.3,NA,NA,NA,40.8,NA,31.2,-7.68,NA,10.516,16.46,2.24,2.29,2.48,NA,-32.1,7.83,-44.4,-45,19.18,NA,NA,NA,2.42,NA,2.6,3.86,NA,5.84,9.6,1.98,1.86,1.92,NA,-115.3,1.565,-66.5,-130.4,5.83,NA,NA,NA,1.76,NA,2.21,2.74,NA,-10,2.38,2.48,2.65,2.94,NA,-11.2,23.6,-21.9,-24.5,40.39,NA,NA,NA,3.63,NA,2.98,4.56,NA,15.66,18.08,2.87,1.85,1.84,NA,-1.28,3.43,-2.55,-1.09,1.5,NA,NA,NA,1.09,NA,1.56,2.23,NA,0.9086,1.19,100,0,28.911,0,100,100,0,10.056,18.53,100,100,0,82.17,99.99,99.8,8.433,54.926,0,0
"8","Inter Mountain Basins Big Sagebrush Shrubland","Central California Valley",16.69,24.7,8.8854,NA,NA,3.3,84.1,NA,NA,NA,NA,NA,NA,NA,35.2,3.055,NA,NA,24.59,1.84,1.76,1.67,NA,NA,2.82,-26.9,NA,NA,NA,NA,NA,NA,NA,1.93,2.54,NA,NA,3.34,1.84,1.76,1.67,NA,NA,2.823,-26.9,NA,NA,NA,NA,NA,NA,NA,1.93,2.54,NA,NA,3.34,1.84,1.76,1.67,NA,NA,2.82,-26.9,NA,NA,NA,NA,NA,NA,NA,1.93,2.54,NA,NA,3.34,3.48,1.84,2.11,NA,NA,2.24,-1.17,NA,NA,NA,NA,NA,NA,NA,1.36,2.3,NA,NA,1.88,100,0,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,0,0
"9","Inter Mountain Basins Big Sagebrush Shrubland","Chihuahuan Desert",13.43,23,4.0007,NA,NA,9.87,71.1,NA,29,NA,NA,NA,NA,NA,32.2,-5.198,NA,21.969,NA,1.85,2.05,1.81,NA,NA,6.74,-31.8,NA,11.71,NA,NA,NA,NA,NA,1.76,1.95,NA,2.89,NA,1.83,2.02,1.78,NA,NA,4.269,-34.4,NA,10.01,NA,NA,NA,NA,NA,1.65,1.76,NA,2.62,NA,1.88,2.08,1.85,NA,NA,10.56,-29,NA,19.98,NA,NA,NA,NA,NA,1.96,2.25,NA,3.35,NA,2.1,1.98,1.65,NA,NA,3.07,-1.32,NA,1.11,NA,NA,NA,NA,NA,1.13,1.68,NA,1.306,NA,100,0,0,0,70.8,100,0,50,0,100,100,0,0,100,100,0,45.833,0,0
"10","Inter Mountain Basins Big Sagebrush Shrubland","Colorado Plateaus",9.67,21.1,-1.5767,NA,38.7,15.52,26.6,101.1,58.9,NA,NA,16.4,42,NA,31.3,-9.1,NA,18.903,7.36,2.12,2.29,2.03,NA,-29.7,9.96,-44.4,-40.3,24,NA,NA,0.542,2.1,NA,2.62,2.55,NA,2.71,13.92,1.93,2.07,1.64,NA,-57.2,2.257,-57,-80.3,7.43,NA,NA,0.492,1.95,NA,2.13,1.54,NA,-13.32,7.44,2.38,2.54,2.42,NA,-12.3,23.34,-22.3,-21.6,55.37,NA,NA,0.583,2.26,NA,2.87,3.99,NA,13.32,21.85,2.47,1.94,1.98,NA,-1.29,2.93,-3.24,-1.16,1.88,NA,NA,1.03,1.04,NA,1.71,1.85,NA,0.3831,1.45,100,1.39,0.248,0,100,100,0,45.429,28.95,100,100,0,83.6,99.75,100,43.611,88.874,0,0
