"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Mountains",10.43,20,1.19,NA,62.3,11.96,58.1,162,46.2,NA,NA,NA,47.4,NA,29.8,-7.349,NA,19.14,14.346,1.9,2.08,1.84,NA,-27.8,6.94,-27.6,-40.5,16.73,NA,NA,NA,2.32,NA,2.08,2.29,NA,4.044,6.1,1.83,1.92,1.76,NA,-49.7,2.34,-42.5,-43.2,9.97,NA,NA,NA,2.32,NA,1.63,1.75,NA,-10.97,3.57,2,2.23,1.96,NA,-18.1,18.26,-19.7,-37.8,34.58,NA,NA,NA,2.32,NA,2.57,2.89,NA,10.91,8.8,2.11,2.02,1.57,NA,-1.19,2.15,-1.42,-1.03,1.24,NA,NA,NA,1.11,NA,1.41,1.94,NA,1.538,1.19,100,0,0.1053,0,84.7,100,0,57.37,25.26,100,100,0,16.74,99.8,87.8,0.211,22.32,0,0
"2","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Plateau",11.26,21.8,0.978,NA,38.6,9.35,46.5,85.5,39.5,NA,NA,18.1,NA,NA,32,-7.548,NA,21.21,14.906,1.94,2.13,1.89,NA,-22,6.09,-34.6,-30.1,15.8,NA,NA,0.557,NA,NA,2.3,2.38,NA,6.685,6.96,1.84,1.95,1.73,NA,-49.7,1.43,-52.5,-43,6.19,NA,NA,0.523,NA,NA,1.64,1.7,NA,-12.04,4.65,2.06,2.24,2,NA,-10.9,16.87,-19.8,-22.5,35.3,NA,NA,0.622,NA,NA,2.7,3.03,NA,13.76,9.53,2.15,2.01,1.58,NA,-1.22,2.43,-1.95,-1.12,1.4,NA,NA,1.11,NA,NA,1.58,1.92,NA,1.118,1.19,100,1.699,0,0,99.9,100,0,64.12,13.98,100,100,0,43.18,99.5,98.5,3.147,39.35,0,0
"3","Inter Mountain Basins Mixed Salt Desert Scrub","Blue Mountains",8.98,20.3,-2.12,NA,NA,14.24,50.2,NA,NA,NA,NA,13.2,NA,NA,31.5,-7.524,NA,NA,20.015,2.04,2.24,2.1,NA,NA,7.37,-19.8,NA,NA,NA,NA,0.445,NA,NA,2.59,3.72,NA,NA,2.91,2.02,2.19,2.03,NA,NA,6.95,-21.2,NA,NA,NA,NA,0.436,NA,NA,2.56,3.67,NA,NA,2.91,2.05,2.28,2.2,NA,NA,7.73,-18.2,NA,NA,NA,NA,0.452,NA,NA,2.63,3.76,NA,NA,2.91,2.85,1.89,1.97,NA,NA,1.18,-1.09,NA,NA,NA,NA,1.1,NA,NA,1.5,2.06,NA,NA,1.08,100,100,0,0,100,100,0,0,25,100,100,0,0,100,100,0,0,0,0
"4","Inter Mountain Basins Mixed Salt Desert Scrub","Cascades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,2.9851,0,100,100,0,0,37.31,100,100,0,80.6,98.5,100,0,0,0,0
"5","Inter Mountain Basins Mixed Salt Desert Scrub","Central Basin and Range",10.51,21.6,0.203,NA,32.4,10.47,32,83.7,38.5,NA,NA,NA,41.8,NA,33.1,-7.35,NA,11.69,14.754,2.23,2.31,2.47,NA,-26.7,6.76,-47.4,-39.9,15.96,NA,NA,NA,2.28,NA,2.59,3.72,NA,8.395,11.81,2.03,1.9,1.95,NA,-59.2,1.55,-67.4,-55,5.21,NA,NA,NA,1.76,NA,2.23,2.72,NA,-10,3.26,2.47,2.66,2.94,NA,-11.2,17.49,-23.2,-22.7,34.4,NA,NA,NA,3.09,NA,2.97,4.51,NA,15.66,18.49,2.91,1.87,1.84,NA,-1.23,3.91,-2.61,-1.09,1.56,NA,NA,NA,1.07,NA,1.55,2.18,NA,1.197,1.23,100,0,13.8396,0,100,100,0,12.78,18.63,100,100,0,78.89,100,100,6.664,63.7,0,0
"6","Inter Mountain Basins Mixed Salt Desert Scrub","Chihuahuan Desert",14.87,24.6,5.262,NA,61,8.56,68,NA,31.7,NA,NA,NA,NA,NA,34.3,-4.159,NA,23.83,14.335,1.87,2.05,1.84,NA,-50.3,5.25,-35.1,NA,12.72,NA,NA,NA,NA,NA,2.02,2.01,NA,3.642,4.56,1.83,1.9,1.78,NA,-58.9,3.08,-46.2,NA,10.32,NA,NA,NA,NA,NA,1.77,1.76,NA,2.12,4.56,1.95,2.22,1.92,NA,-46.7,7.65,-26,NA,15.44,NA,NA,NA,NA,NA,2.23,2.38,NA,4.5,4.56,2.04,1.92,1.56,NA,-1.38,3.03,-1.49,NA,1.13,NA,NA,NA,NA,NA,1.29,1.72,NA,1.182,1.09,100,0,0,0,44.4,100,0,53.33,2.22,100,100,0,31.11,100,95.6,0,31.11,0,0
"7","Inter Mountain Basins Mixed Salt Desert Scrub","Colorado Plateaus",10.68,22.5,-1.042,NA,32.3,12.88,26.8,85.2,49.1,NA,NA,17.5,42.7,NA,32.8,-8.797,NA,19.69,5.423,2.14,2.32,2.07,NA,-25.5,8.65,-45.9,-35.6,21.03,NA,NA,0.553,2.15,NA,2.62,2.56,NA,1.82,14.65,1.94,2.07,1.66,NA,-51.6,1.55,-61.1,-65.5,7.24,NA,NA,0.515,2.14,NA,2.13,1.54,NA,-13.32,7.95,2.38,2.54,2.42,NA,-12.3,19.1,-23,-19.1,49.73,NA,NA,0.583,2.16,NA,2.87,3.9,NA,12.87,21.85,2.46,1.93,1.95,NA,-1.27,3.14,-3.31,-1.14,1.96,NA,NA,1.03,1,NA,1.7,1.8,NA,0.265,1.46,100,0.385,0.0453,0,100,100,0,41.7,30.42,100,100,0,87.01,99.6,100,48.368,92.59,0,0
"8","Inter Mountain Basins Mixed Salt Desert Scrub","Columbia Plateau",11.33,21.5,1.486,NA,36.6,NA,44.4,NA,NA,NA,NA,12.2,34,NA,31.8,-3.258,NA,NA,20.013,1.68,2.08,1.65,NA,-16.1,NA,-20.6,NA,NA,NA,NA,0.335,2.57,NA,2.27,3.53,NA,NA,2.74,1.59,1.84,1.5,NA,-19.6,NA,-25.5,NA,NA,NA,NA,0.326,2.53,NA,2,3.07,NA,NA,2.36,1.84,2.17,1.89,NA,-14.7,NA,-16.4,NA,NA,NA,NA,0.338,2.6,NA,2.39,4.35,NA,NA,3.11,2.28,1.79,1.33,NA,-1.05,NA,-1.18,NA,NA,NA,NA,1.02,1.14,NA,1.39,1.69,NA,NA,1.14,100,18.519,7.4074,0,100,100,0,0,7.41,100,100,0,14.81,0,85.2,0,0,0,0
"9","Inter Mountain Basins Mixed Salt Desert Scrub","Eastern Cascades Slopes and Foothills",8.75,18.2,0.368,NA,53.6,6.9,48.2,NA,NA,NA,NA,NA,40.7,NA,30.5,-6.109,NA,NA,18.224,2.07,2.14,2.04,NA,-28.6,4.55,-29.6,NA,NA,NA,NA,NA,2.35,NA,2.47,3.5,NA,NA,2.73,2.03,2.06,1.98,NA,-40.3,3.03,-34.7,NA,NA,NA,NA,NA,2.34,NA,2.41,3.3,NA,NA,2.49,2.09,2.22,2.08,NA,-25.3,7.39,-25.3,NA,NA,NA,NA,NA,2.35,NA,2.53,3.84,NA,NA,3.66,3.27,1.91,1.76,NA,-1.14,1.67,-1.54,NA,NA,NA,NA,NA,1.03,NA,1.38,2.42,NA,NA,1.39,100,0,2.9851,0,100,100,0,0,37.31,100,100,0,80.6,98.5,100,0,0,0,0
"10","Inter Mountain Basins Mixed Salt Desert Scrub","High Plains",10.06,21.6,-0.975,NA,79,9.31,65,NA,29.7,NA,NA,17.1,NA,NA,31.6,-10.099,NA,21.69,NA,1.91,2.3,1.89,NA,-39.8,5.43,-26.5,NA,10.84,NA,NA,0.632,NA,NA,2.45,3.36,NA,4.694,NA,1.82,2.02,1.77,NA,-46.1,3.87,-38.7,NA,9.52,NA,NA,0.593,NA,NA,2.12,2.53,NA,4.14,NA,1.99,2.45,2,NA,-36.3,8.34,-18.8,NA,11.89,NA,NA,0.662,NA,NA,2.83,3.85,NA,5.03,NA,1.71,1.81,1.14,NA,-1.18,2,-1.33,NA,1.03,NA,NA,1.12,NA,NA,1.77,1.66,NA,1.431,NA,100,13.158,0,0,100,100,0,15.79,0,100,60.5,0,9.87,100,100,0,3.29,0,0
