"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Montane Sagebrush Steppe","Arizona/New Mexico Plateau",6.1,16.3,-4.0985,NA,57.8,17.81,42.3,175,62.5,NA,NA,16.7,NA,NA,26.1,-12.899,NA,15.3998,NA,1.89,2.18,1.81,NA,-23.9,11.03,-31.7,-40.8,21.23,NA,NA,0.589,NA,NA,2.6,2,NA,4.404,NA,1.85,2.1,1.71,NA,-39.3,4.982,-39.5,-42.9,13.44,NA,NA,0.551,NA,NA,2.31,1.85,NA,3.55,NA,2,2.22,1.91,NA,-18.6,22.24,-26.9,-38.6,46.3,NA,NA,0.645,NA,NA,2.71,2.66,NA,6.73,NA,2.15,2.13,1.59,NA,-1.06,2.38,-1.89,-1.12,1.3,NA,NA,1.23,NA,NA,1.91,1.43,NA,1.0671,NA,100,71.875,0,0,100,100,0,46.875,0,100,100,0,40.62,100,100,6.25,84.375,0,0
"2","Inter Mountain Basins Montane Sagebrush Steppe","Blue Mountains",7.9,17.9,-1.4365,NA,58.9,15.38,39.3,161,66.9,NA,NA,12.5,35.5,NA,28.9,-6.799,NA,12.061,16.52,1.89,2.07,1.99,NA,-26.6,7.9,-25,-45.5,19.4,NA,NA,0.444,2.37,NA,2.43,3.74,NA,4.892,3.39,1.65,1.8,1.61,NA,-60.8,3.191,-37.3,-57.7,18.4,NA,NA,0.344,1.95,NA,1.99,3.25,NA,3.58,2.24,2.06,2.28,2.36,NA,-13.1,13.55,-15.1,-28.2,20.5,NA,NA,0.465,3.06,NA,2.64,4.15,NA,6.65,9.73,2.76,1.84,1.79,NA,-1.25,1.6,-1.59,-1.11,1.07,NA,NA,1.11,1.04,NA,1.44,2.19,NA,1.1049,1.27,100,55.6588,36.993,0,100,100,0,3.885,28.04,100,100,0,60.22,79.14,92.8,1.098,0.507,0,0
"3","Inter Mountain Basins Montane Sagebrush Steppe","California Coastal Sage, Chaparral, and Oak Woodlands",14.36,22.9,6.9343,NA,133,2.92,88.9,NA,21.2,NA,NA,NA,43.4,NA,32.9,1.408,NA,NA,22.87,1.91,1.89,1.7,NA,-79,2.41,-32.6,NA,12.89,NA,NA,NA,2.6,NA,2.01,3.03,NA,NA,2.42,1.83,1.73,1.6,NA,-80.6,0.802,-37.3,NA,5.8,NA,NA,NA,2.46,NA,1.7,2.23,NA,NA,2.01,1.99,1.98,1.96,NA,-77.4,4.44,-25.3,NA,15.2,NA,NA,NA,2.75,NA,2.24,3.36,NA,NA,3,3.15,1.89,1.73,NA,-1.04,2.5,-1.29,NA,1.23,NA,NA,NA,1.04,NA,1.43,2.45,NA,NA,1.8,100,0,34.211,0,100,100,0,0,100,100,100,0,5.26,92.11,60.5,0,15.789,0,0
"4","Inter Mountain Basins Montane Sagebrush Steppe","Canadian Rockies",3.65,13.6,-5.5619,NA,95.1,35.68,31.7,223,105.7,NA,NA,NA,NA,NA,23.2,-11.334,NA,NA,8.57,1.94,2.36,1.86,NA,-42.4,17.97,-27.1,-57.6,35.29,NA,NA,NA,NA,NA,2.57,4.34,NA,NA,8.89,1.92,2.31,1.66,NA,-69.7,7.856,-34.1,-57.6,23.21,NA,NA,NA,NA,NA,2.5,4.09,NA,NA,2.61,1.97,2.42,1.96,NA,-25.8,24.55,-13.3,-57.6,49.2,NA,NA,NA,NA,NA,2.66,4.6,NA,NA,13.88,2.69,2.22,1.59,NA,-1.24,2.61,-1.89,-1.07,1.9,NA,NA,NA,NA,NA,1.47,1.86,NA,NA,1.38,100,0,0,0,100,100,0,0,56.67,100,100,0,50,86.67,93.3,3.333,50,0,0
"5","Inter Mountain Basins Montane Sagebrush Steppe","Cascades",6.36,14.7,-0.7221,NA,NA,12.52,NA,NA,NA,NA,NA,13.8,43.2,NA,26,-6.047,NA,-0.0633,14.72,1.88,1.99,1.82,NA,NA,5.95,NA,NA,NA,NA,NA,0.568,3.01,NA,2.35,3.51,NA,1.767,2.34,1.86,1.92,1.78,NA,NA,5.432,NA,NA,NA,NA,NA,0.561,2.8,NA,2.25,3.42,NA,1.71,2.13,1.89,2.06,1.84,NA,NA,6.49,NA,NA,NA,NA,NA,0.571,3.2,NA,2.51,3.58,NA,1.84,2.57,3,1.89,1.69,NA,NA,1.35,NA,NA,NA,NA,NA,1.02,1.12,NA,1.35,2.78,NA,1.1836,1.66,100,8.3562,26.712,0,100,100,0,3.014,67.81,100,100,0,32.33,73.84,71.9,0,0,0,0
"6","Inter Mountain Basins Montane Sagebrush Steppe","Central Basin and Range",8.36,18.7,-0.982,NA,49.5,14.39,38.4,140,54.1,NA,NA,NA,40.3,NA,29.1,-7.585,NA,7.2491,17.39,2.23,2.24,2.46,NA,-38.6,8.41,-41.8,-55.4,20.81,NA,NA,NA,2.54,NA,2.6,3.92,NA,4.03,7.16,1.98,1.86,1.93,NA,-115.3,1.811,-62.9,-130.4,5.83,NA,NA,NA,1.76,NA,2.22,2.91,NA,-9.3,2.38,2.47,2.62,2.88,NA,-14.8,23.95,-21.9,-28,40.5,NA,NA,NA,3.87,NA,2.98,4.56,NA,15.11,14.91,2.89,1.84,1.83,NA,-1.32,3.19,-2.36,-1.06,1.38,NA,NA,NA,1.11,NA,1.58,2.29,NA,0.8695,1.19,100,0,41.931,0,100,100,0,5.764,17.72,100,100,0,77.47,99.93,99.5,5.169,49.874,0,0
"7","Inter Mountain Basins Montane Sagebrush Steppe","Colorado Plateaus",7.58,18.8,-3.0989,NA,48.8,21.79,23.3,114,78.7,NA,NA,13.1,41.4,NA,28.4,-10.077,NA,17.1729,9.42,2.16,2.32,2.01,NA,-34.5,12.67,-41,-44.5,29.84,NA,NA,0.501,2.23,NA,2.68,2.6,NA,3.646,13,1.94,2.07,1.64,NA,-61.4,4.912,-54.9,-75.4,11.48,NA,NA,0.492,2.12,NA,2.19,1.54,NA,-12.76,5.4,2.36,2.53,2.45,NA,-14.7,23.34,-22.3,-25.4,57.9,NA,NA,0.51,2.4,NA,2.86,4.09,NA,12.36,20.41,2.58,1.92,2.14,NA,-1.26,2.67,-3.09,-1.18,1.85,NA,NA,1.03,1.05,NA,1.71,1.94,NA,0.5156,1.43,100,0.1484,0.445,0,100,100,0,31.973,51.48,100,100,0,75.07,99.85,100,26.929,81.973,0,0
"8","Inter Mountain Basins Montane Sagebrush Steppe","Columbia Mountains/Northern Rockies",7.99,18.2,-1.8205,NA,69.8,23.83,36.2,154,82.4,NA,NA,12.1,34.4,NA,28.5,-6.568,NA,11.9631,13.24,1.83,2.22,1.78,NA,-31.3,11.48,-23.7,-43.2,24.53,NA,NA,0.429,2.83,NA,2.39,4.16,NA,-6.247,8.55,1.75,1.91,1.66,NA,-48.9,4.804,-36.4,-64.5,15.86,NA,NA,0.398,2.47,NA,1.95,3.73,NA,-9.07,2.41,1.93,2.36,1.89,NA,-20.1,18.43,-14.2,-37.7,36.2,NA,NA,0.45,3.19,NA,2.73,4.57,NA,6.98,13.88,2.63,2.15,1.65,NA,-1.17,2.02,-1.54,-1.07,1.63,NA,NA,1.01,1.17,NA,1.41,2.12,NA,-0.8769,1.16,100,10.5426,35.504,0,100,100,0,2.481,37.98,100,100,0,38.76,44.65,100,4.961,23.411,0,0
"9","Inter Mountain Basins Montane Sagebrush Steppe","Columbia Plateau",9.36,19.7,-0.6387,NA,56.1,19.21,43.1,130,NA,NA,NA,12,33.6,NA,29.6,-5.269,NA,12.3833,18.84,1.75,2.06,1.76,NA,-24,7.93,-21.6,-34.6,NA,NA,NA,0.393,2.54,NA,2.21,3.82,NA,4.776,4.51,1.54,1.61,1.47,NA,-48.2,1.525,-32.2,-40.6,NA,NA,NA,0.32,2.11,NA,1.73,3.1,NA,3.66,1.79,1.86,2.24,1.94,NA,-13.8,13.94,-15.3,-29.1,NA,NA,NA,0.462,3.1,NA,2.44,4.44,NA,5.55,8.48,2.37,1.85,1.53,NA,-1.13,1.3,-1.25,-1.03,NA,NA,NA,1.04,1.1,NA,1.32,1.94,NA,1.1176,1.17,100,34.3284,33.621,0,100,100,0,0.707,9.74,100,100,0,16.97,9.03,75.5,0.707,0,0,0
"10","Inter Mountain Basins Montane Sagebrush Steppe","Eastern Cascades Slopes and Foothills",7.89,17.1,-0.2035,NA,69.9,8.41,50.9,NA,NA,NA,NA,12.2,39.1,NA,28.4,-6.012,NA,-0.2651,16.95,2,2.07,1.96,NA,-37.4,4.88,-26.6,NA,NA,NA,NA,0.493,2.7,NA,2.41,3.5,NA,1.713,2.76,1.54,1.62,1.47,NA,-63.5,2.189,-36.3,NA,NA,NA,NA,0.408,2.28,NA,1.76,2.81,NA,1.45,1.81,2.11,2.26,2.15,NA,-21.8,10.05,-15.8,NA,NA,NA,NA,0.589,3.12,NA,2.59,4.06,NA,1.9,5.08,3.21,1.89,1.75,NA,-1.11,1.49,-1.3,NA,NA,NA,NA,1.04,1.06,NA,1.38,2.51,NA,1.2058,1.48,100,4.8622,13.29,0,100,100,0,2.107,73.1,100,100,0,29.98,82.82,73.6,0,0,0,0
