"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Beech Maple Forest ","Central Appalachians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4,0,0,100,100,0,32,0,100,4,0,100,100,100,0,100,0,0
"2","North Central Interior Beech Maple Forest ","Central Corn Belt Plains",11.04,22.9,-2.74,NA,116.2,58.2,21.4,326,205,NA,NA,11.4,NA,NA,29.7,-7.24,NA,20.5,NA,1.78,2.16,1.93,NA,-71.9,35.4,-35.1,-84.8,67.5,NA,NA,0.629,NA,NA,2.76,3.38,NA,6.7,NA,1.75,2.08,1.74,NA,-86.4,24.2,-39.4,-100.2,43.1,NA,NA,0.552,NA,NA,2.57,2.94,NA,6.07,NA,1.8,2.25,2.02,NA,-58.6,48.2,-29.9,-71.6,96.4,NA,NA,0.67,NA,NA,3,3.63,NA,8.62,NA,1.88,1.62,1.23,NA,-1.35,2.72,-2.59,-1.07,1.48,NA,NA,1.14,NA,NA,1.52,1.47,NA,1.16,NA,100,88.2,0,0,100,100,0,33.33,0,100,17.65,0,100,100,100,82.4,100,0,0
"3","North Central Interior Beech Maple Forest ","Eastern Corn Belt Plains",10.94,22.5,-2.52,NA,116.5,60.1,20.8,301,208,NA,NA,11.31,NA,NA,29.5,-6.94,NA,20.7,2.243,1.8,2.12,1.69,NA,-57.2,39.4,-30.4,-76.3,72,NA,NA,0.645,NA,NA,2.72,3.24,NA,7.24,8.72,1.71,1.99,1.67,NA,-75.4,26.6,-36.8,-97.3,41,NA,NA,0.502,NA,NA,2.52,2.3,NA,5.16,7.59,1.92,2.27,1.72,NA,-44.6,55.3,-26.3,-68.2,108.6,NA,NA,0.776,NA,NA,3.04,3.59,NA,9.11,13.49,1.93,1.77,1.02,NA,-1.1,2.69,-2.26,-1.12,1.48,NA,NA,1.15,NA,NA,1.72,1.4,NA,1.09,1.14,100,89.4,0,0,100,100,0,47.4,7.11,100,1.33,0,32.8,100,100,4.3,100,0,0
"4","North Central Interior Beech Maple Forest ","Eastern Great Lakes and Hudson Lowlands",10.22,21.5,-1.26,NA,108.4,58.5,18.4,302,199,NA,NA,9.4,NA,NA,27.7,-5.91,NA,20.6,NA,1.85,2.16,1.82,NA,-47.3,31.1,-27,-75.3,57.3,NA,NA,0.53,NA,NA,2.65,2.61,NA,8.13,NA,1.8,2.14,1.67,NA,-61.4,24.1,-32.3,-83.3,47.3,NA,NA,0.411,NA,NA,2.5,2.39,NA,7.2,NA,1.9,2.19,1.95,NA,-26.6,38.9,-21.7,-69.3,75.8,NA,NA,0.625,NA,NA,2.84,2.78,NA,8.91,NA,2.62,2.15,1.12,NA,-1.2,2.4,-2.47,-1.07,1.47,NA,NA,1.33,NA,NA,2.12,1.16,NA,1.25,NA,100,100,0,0,100,48.8,0,9.95,0,100,92.04,0,69.7,100,100,26.9,100,0,0
"5","North Central Interior Beech Maple Forest ","Erie Drift Plain",9.71,20.9,-2.47,NA,119.4,62.3,18.7,322,214,NA,NA,11.1,NA,NA,28.1,-7.32,NA,19.3,0.758,1.84,2.18,1.78,NA,-52.1,36.4,-28.3,-75.2,68.4,NA,NA,0.507,NA,NA,2.69,2.79,NA,6.21,8.38,1.81,2.13,1.71,NA,-62.2,25.6,-31.6,-92.3,50.5,NA,NA,0.403,NA,NA,2.47,2.4,NA,-11.18,7.43,1.87,2.23,1.86,NA,-28.7,44.8,-22.2,-61.8,87.8,NA,NA,0.616,NA,NA,2.87,3.22,NA,9.3,9.08,2.36,2.03,1.05,NA,-1.25,2.48,-2.51,-1.06,1.54,NA,NA,1.13,NA,NA,2.08,1.22,NA,1.11,1.2,100,78.8,0,0,100,91.1,0,35.78,3.61,100,19.41,0,92.9,100,100,22.5,100,0,0
"6","North Central Interior Beech Maple Forest ","Huron/Erie Lake Plains",9.86,21.7,-2.74,NA,98.5,49.5,22.4,271,164,NA,NA,10.89,NA,NA,29,-7.62,NA,20.3,NA,1.78,2.14,1.83,NA,-56.6,28.6,-31,-68.8,47.5,NA,NA,0.66,NA,NA,2.82,2.56,NA,6.61,NA,1.71,1.99,1.66,NA,-69.3,19.9,-34.6,-78.9,31.5,NA,NA,0.465,NA,NA,2.35,2.13,NA,5.5,NA,1.83,2.26,2.05,NA,-42.7,36.6,-27.4,-57.4,63,NA,NA,0.765,NA,NA,3.03,3.07,NA,8.03,NA,2.17,1.75,1.18,NA,-1.37,2.28,-2.53,-1.24,1.25,NA,NA,1.2,NA,NA,1.76,1.19,NA,1.19,NA,100,79.6,0,0,100,99.5,0,44.01,0,100,47.69,0,93.5,100,100,68,99.9,0,0
"7","North Central Interior Beech Maple Forest ","Interior Plateau",11.69,23.1,NA,NA,133.9,70.8,18.2,NA,243,NA,NA,11.71,NA,NA,30.1,-6.35,NA,21.4,NA,1.83,2.1,NA,NA,-63.3,48.9,-32,NA,92.6,NA,NA,0.61,NA,NA,2.58,3.48,NA,8.28,NA,1.76,2.04,NA,NA,-71.4,39.7,-36.4,NA,78,NA,NA,0.519,NA,NA,2.54,3.32,NA,7.54,NA,1.9,2.22,NA,NA,-52,53.4,-28,NA,104.3,NA,NA,0.664,NA,NA,2.64,3.56,NA,8.73,NA,1.93,1.83,NA,NA,-1.1,3.01,-2.44,NA,1.72,NA,NA,1.14,NA,NA,1.62,1.51,NA,1.15,NA,100,65.7,0,0,100,100,0,19.19,0,100,0,0,41.4,100,100,0,100,0,0
"8","North Central Interior Beech Maple Forest ","Interior River Valleys and Hills",12.36,24,NA,NA,128.6,66.9,18.3,345,236,NA,NA,11.71,NA,NA,31.1,-5.95,NA,21.6,0.592,1.79,2.09,NA,NA,-71.4,47.8,-36.9,-97.5,92.9,NA,NA,0.642,NA,NA,2.57,3.53,NA,7.77,11.55,1.75,2.04,NA,NA,-86.4,35.5,-39.8,-101.4,56.5,NA,NA,0.599,NA,NA,2.42,3.19,NA,7.46,10.75,1.83,2.14,NA,NA,-58.5,52.5,-32.8,-90.1,106.3,NA,NA,0.691,NA,NA,2.69,3.61,NA,8.25,13.03,1.79,1.6,NA,NA,-1.26,3.41,-2.65,-1.02,1.85,NA,NA,1.1,NA,NA,1.4,1.49,NA,1.14,1.18,100,94.7,0,0,100,100,0,7.79,22.95,100,0,0,100,100,100,27.9,100,0,0
"9","North Central Interior Beech Maple Forest ","Lake Erie Lowland",9.77,21.6,-2.18,NA,97.1,49,20.2,265,159,NA,NA,9.37,NA,NA,28.2,-6.63,NA,21,NA,1.81,2.09,1.87,NA,-54.1,27.7,-31.3,-63.4,41,NA,NA,0.695,NA,NA,2.64,2.34,NA,6.83,NA,1.79,2.01,1.77,NA,-60.8,23.9,-33.3,-74.6,36.6,NA,NA,0.616,NA,NA,2.56,2.19,NA,6.26,NA,1.82,2.18,1.97,NA,-44.4,30.2,-29.6,-53.4,47.6,NA,NA,0.822,NA,NA,2.76,2.42,NA,7.65,NA,2.32,1.7,1.15,NA,-1.41,2.38,-2.49,-1.15,1.15,NA,NA,1.48,NA,NA,1.64,1.08,NA,1.23,NA,100,100,0,0,100,65.7,0,100,0,100,100,0,100,100,100,100,100,0,0
"10","North Central Interior Beech Maple Forest ","North Central Appalachians",8.11,19.2,-3.55,NA,134.8,63.9,19.7,NA,224,NA,NA,11.72,NA,NA,26.9,-9.02,NA,19.1,NA,1.82,2.16,1.74,NA,-49.9,32.6,-25.3,NA,65,NA,NA,0.412,NA,NA,2.51,2.61,NA,5.29,NA,1.81,2.15,1.74,NA,-56.6,28.6,-26.9,NA,53.2,NA,NA,0.412,NA,NA,2.48,2.5,NA,4.36,NA,1.83,2.17,1.74,NA,-41.4,37.6,-24,NA,69.5,NA,NA,0.412,NA,NA,2.54,2.67,NA,6.18,NA,2.49,2.17,1,NA,-1.32,2.02,-2.4,NA,1.53,NA,NA,1,NA,NA,2.17,1.07,NA,1.04,NA,100,4,0,0,100,100,0,32,0,100,4,0,100,100,100,0,100,0,0
