"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Dry Mesic Oak Forest and Woodland","Aspen Parkland/Northern Glaciated Plains",6.92,21.4,-8.58,NA,95.8,15.8,55.9,261,NA,NA,NA,NA,NA,NA,29.1,-15.94,NA,21.4,NA,2.28,2.68,2.64,NA,-40.4,8.37,-27.4,-62.2,NA,NA,NA,NA,NA,NA,3.12,4.67,NA,5.6,NA,2.21,2.52,2.43,NA,-50.2,6.02,-30.2,-71.2,NA,NA,NA,NA,NA,NA,2.63,4.51,NA,3.7,NA,2.31,2.95,2.68,NA,-33.6,10.52,-24.2,-46.4,NA,NA,NA,NA,NA,NA,3.48,4.83,NA,7.28,NA,2.27,1.9,1.36,NA,-1.13,2.15,-1.59,-1.11,NA,NA,NA,NA,NA,NA,1.52,1.94,NA,1.54,NA,100,0,0,0,100,100,0,77.596,0,100,100,0,91.26,100,100,91.803,0,0,0
"2","North Central Interior Dry Mesic Oak Forest and Woodland","Central Appalachians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,0,0,100,100,100,0,100,0,0
"3","North Central Interior Dry Mesic Oak Forest and Woodland","Central Corn Belt Plains",10.75,23,-3.55,NA,117,44.6,28.5,322,161.5,NA,NA,11.45,NA,NA,30.1,-8.36,NA,20.7,NA,1.79,2.31,1.94,NA,-58.4,28.91,-31.5,-78.3,51.7,NA,NA,0.633,NA,NA,2.93,3.56,NA,7.29,NA,1.71,2.09,1.74,NA,-86.4,18.48,-40.3,-100.2,34.3,NA,NA,0.366,NA,NA,2.53,2.89,NA,4.73,NA,1.89,2.44,2.12,NA,-41.2,48.18,-25.9,-61.7,96.9,NA,NA,0.807,NA,NA,3.26,3.98,NA,10.03,NA,1.82,1.62,1.06,NA,-1.32,2.55,-2.46,-1.1,1.24,NA,NA,1.24,NA,NA,1.52,1.49,NA,1.34,NA,100,94.8,0,0,100,100,0,50.54,0,100,28.56,0,97.11,100,100,76.085,98.87,0,0
"4","North Central Interior Dry Mesic Oak Forest and Woodland","Central Great Plains",12.42,25.2,-3.41,NA,123.1,21.8,52.4,346,NA,NA,NA,13.11,NA,NA,33.5,-8.31,NA,22.9,NA,2.01,2.63,2.19,NA,-63.3,8.26,-26.7,-86.3,NA,NA,NA,0.577,NA,NA,2.97,3.79,NA,4.45,NA,1.98,2.57,2.18,NA,-74.8,6.54,-31,-98.3,NA,NA,NA,0.542,NA,NA,2.78,3.59,NA,3.79,NA,2.12,2.78,2.21,NA,-47.3,9.88,-20.8,-79.1,NA,NA,NA,0.619,NA,NA,3.06,4.23,NA,5.52,NA,1.71,1.5,1.03,NA,-1.28,1.13,-1.9,-1.02,NA,NA,NA,1.07,NA,NA,1.31,1.48,NA,1.14,NA,100,39,0,0,100,100,0,92.857,0,100,2.2,0,96.7,43.41,100,12.637,0,0,0
"5","North Central Interior Dry Mesic Oak Forest and Woodland","Central Irregular Plains",11.74,24.2,NA,NA,136.2,35.9,40.8,373,158.2,NA,NA,11.9,30.9,NA,31.7,-8.14,NA,22,NA,1.89,2.4,NA,NA,-68.2,17.04,-29.2,-92.9,52.8,NA,NA,0.724,2.77,NA,2.97,3.55,NA,4.19,NA,1.76,2.06,NA,NA,-89.7,8.4,-39.1,-116.5,40.9,NA,NA,0.503,2.55,NA,2.53,3.18,NA,3.12,NA,2.03,2.61,NA,NA,-54.3,33.88,-23.5,-73,69.6,NA,NA,0.957,2.92,NA,3.2,3.92,NA,7.52,NA,1.69,1.42,NA,NA,-1.75,1.92,-2.15,-1.16,1.12,NA,NA,1.3,1.05,NA,1.24,1.35,NA,1.29,NA,100,99.9,7.41,0,100,100,0,70.386,0,100,0,0,100,98.28,100,91.13,19.31,0,0
"6","North Central Interior Dry Mesic Oak Forest and Woodland","Driftless Area",8.04,21.3,-6.33,NA,119.4,24.7,48.6,353,106.2,NA,NA,11.38,NA,NA,28.8,-12.93,NA,21,NA,2.09,2.51,2.41,NA,-60.1,14.44,-24.8,-86.2,32,NA,NA,0.447,NA,NA,3.19,4.44,NA,5.34,NA,1.87,2.36,2.1,NA,-83.2,10.59,-30.7,-99.3,22.6,NA,NA,0.366,NA,NA,2.99,3.82,NA,2.68,NA,2.21,2.68,2.62,NA,-36.9,21.9,-19.7,-62.1,42.6,NA,NA,0.548,NA,NA,3.31,4.7,NA,6.88,NA,2.16,1.78,1.27,NA,-1.55,1.99,-2.02,-1.11,1.03,NA,NA,1.15,NA,NA,1.63,1.72,NA,1.69,NA,100,16.5,0,0,100,100,0,81.681,0,100,100,0,98.13,100,100,60.278,8.95,0,0
"7","North Central Interior Dry Mesic Oak Forest and Woodland","Eastern Corn Belt Plains",11,22.6,-2.45,NA,117.4,60.7,20.6,302,210.2,NA,NA,11.32,NA,NA,29.5,-6.88,NA,20.7,3.564,1.8,2.12,1.69,NA,-57.5,39.89,-30.4,-75.8,73.1,NA,NA,0.644,NA,NA,2.71,3.25,NA,7.24,8.93,1.71,1.99,1.67,NA,-75.4,25.69,-36.8,-97.3,40.4,NA,NA,0.502,NA,NA,2.52,2.3,NA,5.16,7.59,1.92,2.27,1.73,NA,-44.6,57.21,-26.3,-68.2,113,NA,NA,0.776,NA,NA,3.04,3.59,NA,9.11,13.49,1.93,1.78,1.03,NA,-1.1,2.7,-2.27,-1.11,1.49,NA,NA,1.15,NA,NA,1.72,1.41,NA,1.1,1.14,100,86.6,0,0,100,100,0,45.892,7.29,100,1.28,0,33.52,100,100,3.732,100,0,0
"8","North Central Interior Dry Mesic Oak Forest and Woodland","Eastern Great Lakes and Hudson Lowlands",10.21,21.5,-1.29,NA,107.9,58.7,18.1,302,199.5,NA,NA,9.42,NA,NA,27.7,-5.91,NA,20.8,NA,1.85,2.17,1.82,NA,-46.7,31.25,-27.1,-75.3,57.4,NA,NA,0.536,NA,NA,2.66,2.62,NA,8.18,NA,1.8,2.14,1.67,NA,-61.4,24.17,-32.3,-83.3,47.3,NA,NA,0.411,NA,NA,2.5,2.39,NA,7.2,NA,1.91,2.19,1.95,NA,-26.6,38.87,-21.7,-69.3,75.8,NA,NA,0.637,NA,NA,2.84,2.78,NA,8.91,NA,2.62,2.14,1.12,NA,-1.2,2.42,-2.48,-1.07,1.48,NA,NA,1.33,NA,NA,2.1,1.17,NA,1.27,NA,100,100,0,0,100,48.8,0,9.036,0,100,90.96,0,72.89,100,100,27.711,100,0,0
"9","North Central Interior Dry Mesic Oak Forest and Woodland","Erie Drift Plain",9.87,21,-1.85,NA,119,61.4,18.8,323,211.6,NA,NA,11.14,NA,NA,28.3,-7.2,NA,19.5,0.858,1.84,2.18,1.77,NA,-52.7,36.49,-28.6,-74.7,67.7,NA,NA,0.505,NA,NA,2.69,2.78,NA,6.11,8.33,1.81,2.13,1.71,NA,-62.2,28.42,-31.6,-92.3,50.5,NA,NA,0.402,NA,NA,2.47,2.4,NA,-10.27,7.43,1.87,2.23,1.86,NA,-37,44.5,-22.9,-61.8,86.1,NA,NA,0.612,NA,NA,2.87,3.22,NA,8.85,9.08,2.36,2.02,1.05,NA,-1.26,2.48,-2.54,-1.05,1.54,NA,NA,1.13,NA,NA,2.07,1.22,NA,1.12,1.19,100,74.9,0,0,100,96.7,0,37.631,3.71,100,13.62,0,95.57,100,100,25.544,100,0,0
"10","North Central Interior Dry Mesic Oak Forest and Woodland","Flint Hills",12.72,25.2,NA,NA,136.4,26.8,51.3,362,NA,NA,NA,12.89,NA,NA,33.3,-7.84,NA,22.9,NA,1.96,2.53,NA,NA,-70.3,9.57,-28.6,-97.5,NA,NA,NA,0.667,NA,NA,2.86,3.61,NA,4.19,NA,1.9,2.42,NA,NA,-83.4,8.07,-35.9,-111.6,NA,NA,NA,0.542,NA,NA,2.6,3.33,NA,3.77,NA,2,2.61,NA,NA,-59.4,10.62,-26.5,-85.9,NA,NA,NA,0.827,NA,NA,3.02,3.77,NA,5.16,NA,1.62,1.4,NA,NA,-1.27,1.16,-2.08,-1.03,NA,NA,NA,1.26,NA,NA,1.21,1.36,NA,1.12,NA,100,99.5,0,0,100,100,0,95.361,0,100,0,0,100,9.79,100,7.99,0,0,0
