"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Northwestern Great Plains Mixedgrass Prairie","Aspen Parkland/Northern Glaciated Plains",5.75,20.4,-9.82,NA,87.8,12.4,62,237,43.3,NA,NA,NA,24.7,NA,29,-17.4,NA,18.85,NA,2.13,2.57,2.3,NA,-39.7,6.77,-28.7,-56.4,14.4,NA,NA,NA,1.22,NA,2.56,4.73,NA,4.38,NA,1.96,2.17,1.88,NA,-63.4,3.68,-34.9,-94.1,7.61,NA,NA,NA,1.2,NA,1.94,4.5,NA,-2.78,NA,2.32,2.93,2.66,NA,-27.8,12.68,-23.8,-43.7,28.8,NA,NA,NA,1.24,NA,3.29,5.08,NA,6.32,NA,2.26,1.92,1.17,NA,-1.17,1.88,-1.63,-1.05,1.16,NA,NA,NA,1.02,NA,1.28,1.83,NA,1.38,NA,100,0,0.1736,0,86.8,100,0,44.44,0,100,99.6,0,90.47,100,100,6.2184,15.5145,0,0
"2","Northwestern Great Plains Mixedgrass Prairie","Canadian Rockies",5.13,14.8,-4.17,NA,77.8,29.08,34.3,NA,95.7,NA,NA,NA,NA,NA,24.1,-10.9,NA,NA,NA,1.94,2.4,1.91,NA,-33,19.56,-29.8,NA,34.3,NA,NA,NA,NA,NA,2.5,4.63,NA,NA,NA,1.94,2.39,1.91,NA,-33,17.33,-30.1,NA,29.94,NA,NA,NA,NA,NA,2.5,4.62,NA,NA,NA,1.94,2.4,1.91,NA,-33,21.79,-29.6,NA,38.6,NA,NA,NA,NA,NA,2.51,4.64,NA,NA,NA,2.55,2.21,1.35,NA,-1.04,3.21,-1.89,NA,1.75,NA,NA,NA,NA,NA,1.38,1.63,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,50,100,100,0,100,0,0
"3","Northwestern Great Plains Mixedgrass Prairie","Central Great Plains",10.61,23.5,-2.84,NA,NA,14.26,59,NA,NA,NA,NA,NA,NA,NA,31.8,-10.3,NA,NA,NA,2.06,2.71,2.12,NA,NA,5.94,-22.2,NA,NA,NA,NA,NA,NA,NA,2.79,4.14,NA,NA,NA,1.99,2.63,1.97,NA,NA,5.27,-27.2,NA,NA,NA,NA,NA,NA,NA,2.73,4.09,NA,NA,NA,2.09,2.74,2.17,NA,NA,6.42,-21.4,NA,NA,NA,NA,NA,NA,NA,2.85,4.21,NA,NA,NA,1.8,1.73,1.01,NA,NA,1.21,-1.23,NA,NA,NA,NA,NA,NA,NA,1.35,1.64,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,35,0,0,20,100,0,0,0,0
"4","Northwestern Great Plains Mixedgrass Prairie","High Plains",8.71,20.9,-2.62,NA,NA,8.19,62.7,NA,28.5,NA,NA,NA,NA,NA,31.4,-10.6,NA,17.77,NA,1.96,2.4,1.94,NA,NA,3.81,-20.6,NA,10.1,NA,NA,NA,NA,NA,2.38,4.17,NA,4.15,NA,1.88,2.28,1.83,NA,NA,2.03,-25.2,NA,10.08,NA,NA,NA,NA,NA,2.26,3.85,NA,3.48,NA,2.05,2.73,2.11,NA,NA,7.94,-17.1,NA,10.1,NA,NA,NA,NA,NA,2.81,4.66,NA,4.82,NA,1.76,1.89,1.1,NA,NA,1.4,-1.2,NA,1.01,NA,NA,NA,NA,NA,1.54,1.75,NA,1.05,NA,100,0,0,0,100,100,0,4.95,0,100,100,0,0,94.9,77.01,0,0.0739,0,0
"5","Northwestern Great Plains Mixedgrass Prairie","Lake Manitoba and Lake Agassiz Plain",5.18,20.1,-11.01,NA,87.3,14.43,58,NA,NA,NA,NA,NA,24.5,NA,29.1,-18.5,NA,17.92,NA,2.15,2.37,2.39,NA,-40,7.58,-27,NA,NA,NA,NA,NA,1.2,NA,2.52,4.58,NA,5.11,NA,2.04,2.16,2.23,NA,-47.6,5.97,-29.5,NA,NA,NA,NA,NA,1.18,NA,2.28,4.51,NA,4.69,NA,2.26,2.59,2.6,NA,-33.7,9.41,-25.4,NA,NA,NA,NA,NA,1.2,NA,2.7,4.69,NA,5.79,NA,2.32,1.76,1.26,NA,-1.17,1.83,-1.58,NA,NA,NA,NA,NA,1.02,NA,1.25,1.89,NA,1.31,NA,100,0,26.3158,0,57.9,100,0,57.89,0,100,100,0,100,100,100,0,0,0,0
"6","Northwestern Great Plains Mixedgrass Prairie","Middle Rockies",6.76,18.5,-3.93,NA,101,17.87,53.4,NA,76.3,NA,NA,NA,36.7,NA,28.2,-11.1,NA,9.39,1.07,2.03,2.63,1.85,NA,-39.8,8.26,-21.1,NA,23.6,NA,NA,NA,2.47,NA,2.65,4.38,NA,3.95,11.3,1.96,2.39,1.71,NA,-49.1,2.44,-31.4,NA,5.42,NA,NA,NA,2.35,NA,2.31,3.6,NA,2.81,9.39,2.15,2.82,2.17,NA,-27.7,27.56,-13.9,NA,63.8,NA,NA,NA,2.6,NA,2.88,5.18,NA,5.11,13.5,2.28,2.12,1.25,NA,-1.02,1.84,-1.26,NA,1.33,NA,NA,NA,1.02,NA,1.5,1.78,NA,1.28,1.17,100,0,0.4195,0,100,100,0,5.12,3.02,100,100,0,1.93,94.9,84.82,0,18.4564,0,0
"7","Northwestern Great Plains Mixedgrass Prairie","Nebraska Sand Hills",9.19,21.9,-2.93,NA,98.2,9.16,64.8,NA,25.7,NA,NA,NA,NA,NA,31.6,-11.1,NA,18.77,NA,1.96,2.49,1.99,NA,-47,4.22,-22.9,NA,10.2,NA,NA,NA,NA,NA,2.53,4.2,NA,4.04,NA,1.88,2.29,1.89,NA,-54.1,2.67,-28.1,NA,9.18,NA,NA,NA,NA,NA,2.27,3.87,NA,3.9,NA,2.16,2.83,2.33,NA,-40.8,6.76,-19.6,NA,10.9,NA,NA,NA,NA,NA,3.07,4.59,NA,4.39,NA,1.75,1.87,1.03,NA,-1.15,1.38,-1.41,NA,1.04,NA,NA,NA,NA,NA,1.47,1.7,NA,1.03,NA,100,0,0,0,100,100,0,19.13,0,100,99,0,17.45,91.6,100,0,6.0403,0,0
"8","Northwestern Great Plains Mixedgrass Prairie","Northwestern Glaciated Plains",6.6,19.9,-6.87,NA,86.5,9.32,65.8,218,30.6,NA,NA,NA,35.9,NA,29.5,-14.8,NA,17.25,NA,2.07,2.67,2.08,NA,-40.3,5.34,-28.3,-45.9,11.6,NA,NA,NA,2.82,NA,2.63,5.01,NA,3.43,NA,1.94,2.39,1.82,NA,-56.6,1.61,-38.7,-46.4,5.22,NA,NA,NA,2.77,NA,2.08,4.35,NA,2.36,NA,2.29,2.92,2.57,NA,-25.7,22.28,-21.5,-45.1,43.2,NA,NA,NA,2.87,NA,3.23,5.64,NA,5.63,NA,2.36,2.1,1.15,NA,-1.18,1.89,-1.46,-1.02,1.25,NA,NA,NA,1.02,NA,1.37,1.74,NA,1.21,NA,100,0,0.0167,0,100,100,0,35.6,0,100,93.5,0,27.74,99.5,99.87,0.0837,45.8756,0,0
"9","Northwestern Great Plains Mixedgrass Prairie","Northwestern Great Plains",7.81,20.8,-4.84,NA,67.8,9.83,61.9,NA,35.7,NA,NA,NA,37.2,NA,31.1,-12.7,NA,17.7,NA,2.09,2.73,1.98,NA,-32.3,5.17,-25.9,NA,11.4,NA,NA,NA,2.6,NA,2.67,4.84,NA,4.29,NA,1.94,2.38,1.71,NA,-51.2,1.92,-36.1,NA,5.27,NA,NA,NA,2.39,NA,2.15,3.99,NA,-2.97,NA,2.23,2.94,2.42,NA,-21.9,20.14,-15.6,NA,37.7,NA,NA,NA,2.77,NA,3.15,5.46,NA,6.44,NA,2.37,2.16,1.18,NA,-1.12,1.85,-1.35,NA,1.16,NA,NA,NA,1.02,NA,1.46,1.82,NA,1.28,NA,100,0,0.2226,0,100,100,0,12.11,0,100,100,0,28.65,98.6,91.84,0,10.1856,0,0
"10","Northwestern Great Plains Mixedgrass Prairie","Southern Rockies",6.67,17.9,-3.7,NA,NA,14.55,46.5,NA,80.1,NA,NA,NA,NA,NA,27.8,-10.1,NA,10.06,2.48,2.03,2.39,2.01,NA,NA,6.76,-20.7,NA,20.5,NA,NA,NA,NA,NA,2.5,4.25,NA,4.6,11.3,1.99,2.31,1.91,NA,NA,2.81,-24.6,NA,13.29,NA,NA,NA,NA,NA,2.36,3.72,NA,4.07,9.93,2.09,2.51,2.09,NA,NA,16.87,-14.9,NA,26,NA,NA,NA,NA,NA,2.69,4.49,NA,5.11,13.4,1.92,2,1.33,NA,NA,1.6,-1.32,NA,1.16,NA,NA,NA,NA,NA,1.79,1.91,NA,1.11,1.14,100,0,0,0,100,100,0,1.86,2.07,100,100,0,0,92.3,40.17,0,13.8716,0,0
