"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Ozark Ouachita Dry Oak Woodland","Arkansas Valley",16.3,26.8,NA,NA,138,72.1,18,354,256,NA,NA,12.9,NA,NA,33.8,-1.71,NA,NA,16.28,1.85,2,NA,NA,-81.3,40.4,-34.2,-77.4,91.6,NA,NA,0.674,NA,NA,2.04,2.6,NA,NA,12.14,1.8,1.89,NA,NA,-99,30.3,-37.7,-86.8,68.1,NA,NA,0.563,NA,NA,1.87,2.43,NA,NA,9.22,1.91,2.18,NA,NA,-63.7,52.7,-31.2,-72,137.4,NA,NA,0.696,NA,NA,2.26,2.82,NA,NA,14.42,1.62,1.42,NA,NA,-1.44,2.76,-2.71,-1.02,1.48,NA,NA,1.19,NA,NA,1.03,1.08,NA,NA,1.21,100,88.7,0,0,26.959,80.6,0,0,77.27,100,0,0,99.4,100,100,1.567,100,0,0
"2","Ozark Ouachita Dry Oak Woodland","Boston Mountains",14.8,25.3,NA,NA,140,78.6,17.6,381,256,NA,NA,12.1,NA,NA,31.9,-2.82,NA,NA,11.22,1.88,2.07,NA,NA,-80.2,46,-34.1,-71.2,97.5,NA,NA,0.691,NA,NA,2.23,2.87,NA,NA,12.84,1.84,1.95,NA,NA,-98.1,28.8,-37.3,-72.5,68,NA,NA,0.663,NA,NA,1.97,2.55,NA,NA,9.74,1.92,2.25,NA,NA,-53.7,56.1,-31,-68.8,123,NA,NA,0.723,NA,NA,2.4,3.13,NA,NA,15.95,1.63,1.46,NA,NA,-1.53,3.02,-3.11,-1.02,1.64,NA,NA,1.4,NA,NA,1.08,1.1,NA,NA,1.29,100,92.9,0,0,77.543,98,0,0,87.47,100,0,0,100,100,100,0.496,100,0,0
"3","Ozark Ouachita Dry Oak Woodland","Central Irregular Plains",13.8,25.5,NA,NA,142,52.2,31.6,391,170,NA,NA,12.5,NA,NA,32.9,-5.496,NA,18.7,NA,1.87,2.28,NA,NA,-84.3,21.8,-35.3,-111.9,59.2,NA,NA,0.877,NA,NA,2.57,3.22,NA,5.69,NA,1.8,2.15,NA,NA,-93.7,16.6,-37.6,-125.3,46.7,NA,NA,0.711,NA,NA,2.36,2.7,NA,5.36,NA,1.91,2.35,NA,NA,-69.6,31.6,-31.1,-99.8,97.3,NA,NA,0.932,NA,NA,2.72,3.44,NA,6.19,NA,1.57,1.34,NA,NA,-1.65,1.79,-2.62,-1.12,1.21,NA,NA,1.37,NA,NA,1.07,1.22,NA,1.48,NA,100,92.1,0,0,87.006,100,0,18.6441,0,100,0,0,100,100,100,83.616,87.6,0,0
"4","Ozark Ouachita Dry Oak Woodland","Interior Plateau",14.2,25,NA,NA,135,80.6,14.1,NA,265,NA,NA,12,33.1,NA,31.9,-3.565,NA,NA,23.99,1.8,1.98,NA,NA,-75.8,40.8,-32.9,NA,81.9,NA,NA,0.733,2.65,NA,2.27,2.99,NA,NA,9.73,1.79,1.96,NA,NA,-78.6,38.3,-33.9,NA,72.5,NA,NA,0.716,2.65,NA,2.22,2.81,NA,NA,9.73,1.83,1.99,NA,NA,-72.4,43,-30.8,NA,86.6,NA,NA,0.743,2.65,NA,2.31,3.18,NA,NA,9.73,1.8,1.66,NA,NA,-1.29,2.46,-2.67,NA,1.57,NA,NA,1.12,1.01,NA,1.4,1.34,NA,NA,1,100,100,2.941,0,100,100,0,0,2.94,100,0,0,100,100,100,0,100,0,0
"5","Ozark Ouachita Dry Oak Woodland","Interior River Valleys and Hills",13.8,25.3,NA,NA,124,65.1,17.9,327,223,NA,NA,11.9,31,NA,32.5,-4.6,NA,22.7,1.59,1.82,2.04,NA,NA,-75.4,41,-36.7,-91.2,83,NA,NA,0.771,2.69,NA,2.4,3.24,NA,6.28,11.12,1.73,1.97,NA,NA,-86.1,19.3,-41.4,-109.4,49,NA,NA,0.701,2.58,NA,2.27,2.91,NA,6.28,10.17,1.88,2.19,NA,NA,-62.9,50.3,-31.9,-76.7,97.7,NA,NA,0.938,2.81,NA,2.68,3.5,NA,6.28,11.56,1.73,1.52,NA,NA,-1.43,3,-2.71,-1.11,1.62,NA,NA,1.29,1.01,NA,1.31,1.39,NA,1.34,1.12,100,100,22.642,0,100,100,0,0.6289,6.29,100,0,0,100,100,100,41.509,100,0,0
"6","Ozark Ouachita Dry Oak Woodland","Mississippi Alluvial Plain",16,26.7,NA,NA,128,69,18,NA,247,NA,NA,12.1,NA,NA,33.2,-2.7,NA,NA,26.28,1.83,1.94,NA,NA,-77.8,41.9,-33.5,NA,76.9,NA,NA,0.654,NA,NA,2.16,2.77,NA,NA,11.51,1.8,1.86,NA,NA,-88.5,32.9,-36.2,NA,60.7,NA,NA,0.623,NA,NA,1.91,2.44,NA,NA,9.47,1.89,2.08,NA,NA,-67.7,51.7,-32,NA,92.5,NA,NA,0.705,NA,NA,2.32,3.01,NA,NA,12.69,1.75,1.53,NA,NA,-1.23,2.89,-2.4,NA,1.42,NA,NA,1.18,NA,NA,1.18,1.18,NA,NA,1.18,100,100,0,0,37.736,51.9,0,0,20.75,100,0,0,100,100,100,0,100,0,0
"7","Ozark Ouachita Dry Oak Woodland","Mississippi Valley Loess Plains",14.4,25.8,NA,NA,124,76.3,13.7,NA,266,NA,NA,12.5,NA,NA,33.1,-4.08,NA,NA,NA,1.89,2.07,NA,NA,-77.8,45,-35.5,NA,83.7,NA,NA,0.672,NA,NA,2.26,2.84,NA,NA,NA,1.89,2.07,NA,NA,-78.8,44.9,-35.7,NA,82.5,NA,NA,0.672,NA,NA,2.26,2.84,NA,NA,NA,1.89,2.07,NA,NA,-76.8,45.2,-35.3,NA,84.9,NA,NA,0.672,NA,NA,2.26,2.85,NA,NA,NA,1.87,1.71,NA,NA,-1.3,2.98,-2.79,NA,1.65,NA,NA,1.16,NA,NA,1.24,1.26,NA,NA,NA,100,100,0,0,100,100,0,0,0,100,0,0,100,100,100,0,100,0,0
"8","Ozark Ouachita Dry Oak Woodland","Ouachita Mountains",16.3,26.5,NA,NA,157,73.2,19.8,NA,283,NA,NA,13,NA,NA,34.2,-1.398,NA,NA,14.66,1.81,1.89,NA,NA,-92.3,43.7,-35.7,NA,109.5,NA,NA,0.664,NA,NA,1.91,2.6,NA,NA,10.78,1.77,1.75,NA,NA,-137.7,33.9,-40.3,NA,71.9,NA,NA,0.567,NA,NA,1.86,2.39,NA,NA,-9.42,1.88,2.09,NA,NA,-63.8,58.9,-31.1,NA,151.3,NA,NA,0.811,NA,NA,1.95,2.75,NA,NA,14.75,1.52,1.34,NA,NA,-1.39,2.76,-2.64,NA,1.52,NA,NA,1.28,NA,NA,1.01,1.05,NA,NA,1.1,100,99.8,0,0,0.794,56.3,0,0,36.04,100,0,0,84.7,100,100,0,100,0,0
"9","Ozark Ouachita Dry Oak Woodland","Ozark Highlands",13.9,24.9,NA,NA,126,66.8,19.1,356,220,NA,NA,13,33.3,NA,32.5,-4.792,NA,22.8,14.07,1.89,2.18,NA,NA,-74.6,37.8,-35.6,-97.3,86.4,NA,NA,0.737,2.71,NA,2.42,3.16,NA,6.61,13.11,1.83,1.96,NA,NA,-99,20.8,-40.1,-117.6,46.3,NA,NA,0.659,2.65,NA,1.92,2.61,NA,6.59,9.81,1.94,2.34,NA,NA,-51.1,59,-31.8,-65.6,120,NA,NA,0.924,2.75,NA,2.66,3.59,NA,6.64,17.03,1.7,1.55,NA,NA,-1.56,2.82,-3.09,-1.12,1.71,NA,NA,1.3,1.01,NA,1.18,1.28,NA,1.3,1.32,100,99.7,0.105,0,94.539,100,0,0.0349,27.55,100,0,0,100,100,100,35.468,99.6,0,0
"10","Ozark Ouachita Dry Oak Woodland","South Central Plains",17,27,NA,NA,147,70.7,19.6,NA,271,NA,NA,13.3,NA,NA,NA,-0.804,NA,NA,18.05,1.79,1.84,NA,NA,-94.9,42.5,-37.9,NA,105.8,NA,NA,0.653,NA,NA,NA,2.46,NA,NA,9.83,1.77,1.74,NA,NA,-108.8,32.3,-40.7,NA,78.5,NA,NA,0.572,NA,NA,NA,2.39,NA,NA,9.16,1.84,2,NA,NA,-67.3,50.5,-34.3,NA,128.2,NA,NA,0.808,NA,NA,NA,2.52,NA,NA,10.85,1.53,1.37,NA,NA,-1.28,2.94,-2.57,NA,1.49,NA,NA,1.21,NA,NA,NA,1.04,NA,NA,1.03,100,100,0,0,0,10.4,0,0,18.75,100,0,0,85.4,100,100,0,100,0,0
