"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Mountains",9.78,19.2,0.869,NA,81.7,15.41,49.5,192,79.9,NA,NA,15.1,46,NA,28.9,-7.14,NA,17.71,12.57,1.93,2.05,1.83,NA,-45.2,8.64,-29.8,-50.2,30.3,NA,NA,0.579,2.67,NA,2.02,2.48,NA,6.98,5.81,1.8,1.91,1.75,NA,-80.2,3.17,-44.6,-59.7,14.1,NA,NA,0.576,2.2,NA,1.38,1.82,NA,-9.7,3.84,2,2.21,1.97,NA,-21.8,28.69,-17.8,-37.8,56.7,NA,NA,0.581,3.23,NA,2.56,3.26,NA,12.63,7.99,2.21,2.03,1.6,NA,-1.18,2.04,-1.68,-1.08,1.47,NA,NA,1.02,1.12,NA,1.38,2.06,NA,1.27,1.23,100,0.563,0.844,0,88.9,100,0,47.26,7.03,100,100,0,35.4,86.8,97.9,0.985,17.9,0,0
"2","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Plateau",9.75,19.9,0.18,NA,59.5,15.37,40.4,144,69.4,NA,NA,16.4,NA,NA,29.4,-7.18,NA,18.31,13.7,1.97,2.1,1.87,NA,-37.7,9.28,-34.7,-39.4,23.2,NA,NA,0.584,NA,NA,2.22,2.66,NA,6.23,6.08,1.84,1.99,1.71,NA,-61.8,4.25,-46.6,-54.5,12.5,NA,NA,0.531,NA,NA,1.8,1.81,NA,-11.4,5.32,2.06,2.22,1.98,NA,-17.9,22.24,-19,-28.5,46.3,NA,NA,0.642,NA,NA,2.71,3.19,NA,12.33,6.51,2.34,2,1.69,NA,-1.13,2.34,-2.1,-1.12,1.32,NA,NA,1.22,NA,NA,1.56,2.18,NA,1.008,1.07,100,12.796,0,0,99.1,100,0,53.55,3.79,100,100,0,38.4,100,83.9,6.635,28.4,0,0
"3","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Central Basin and Range",9.82,21.1,-0.804,NA,56.1,20.33,27.5,113,76.8,NA,NA,NA,37.9,NA,31.2,-7.22,NA,13.16,20.37,2.28,2.35,2.57,NA,-38,11.82,-36.8,-52,25.3,NA,NA,NA,2.24,NA,2.6,3.94,NA,1.01,9.16,2.11,2.05,2.1,NA,-64.4,3.8,-57.7,-61.6,13.9,NA,NA,NA,1.88,NA,2.21,3.16,NA,-7.41,3.44,2.46,2.62,2.83,NA,-21.9,22.05,-24.1,-42.5,36.5,NA,NA,NA,2.94,NA,2.96,4.43,NA,10.81,13.86,2.71,1.79,2.01,NA,-1.33,2.42,-2.54,-1.12,1.57,NA,NA,NA,1.08,NA,1.55,2.21,NA,0.12,1.12,100,0,28.121,0,100,100,0,1.77,26.23,100,100,0,93.3,100,100,7.566,24.6,0,0
"4","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Colorado Plateaus",8.19,19.2,-2.303,NA,50.4,20.88,24.6,129,80,NA,NA,16.2,41.4,NA,29,-9.5,NA,17.2,10.26,2.1,2.27,1.97,NA,-36.2,11.85,-41.5,-47.9,29.8,NA,NA,0.538,2.19,NA,2.63,2.55,NA,2.44,12.88,1.92,2.07,1.64,NA,-61.4,3.16,-55.4,-80.3,11.6,NA,NA,0.492,1.94,NA,2.14,1.54,NA,-12.2,5.4,2.34,2.5,2.45,NA,-15.9,23.34,-23,-28.3,57.9,NA,NA,0.578,2.4,NA,2.86,4.09,NA,12.47,20.41,2.49,1.94,2.03,NA,-1.3,2.38,-3.12,-1.22,1.71,NA,NA,1.03,1.06,NA,1.73,1.93,NA,0.362,1.39,100,3.627,2.065,0,100,100,0,39.29,39.95,100,100,0,82.4,99.2,100,30.68,77.8,0,0
"5","Rocky Mountain Gambel Oak Mixed Montane Shrubland","High Plains",11.53,22.5,0.818,NA,71.2,12.53,54.8,NA,56.6,NA,NA,NA,NA,NA,31.8,-7.63,NA,23.31,NA,1.92,2.35,1.81,NA,-42.1,6.39,-30.2,NA,18.7,NA,NA,NA,NA,NA,2.55,3.17,NA,4.14,NA,1.86,2.21,1.72,NA,-55.2,4.36,-42.1,NA,16.4,NA,NA,NA,NA,NA,2.2,2.44,NA,3.63,NA,1.99,2.49,1.92,NA,-32,9.51,-22.5,NA,23.9,NA,NA,NA,NA,NA,2.83,3.61,NA,4.45,NA,1.78,1.87,1.17,NA,-1.26,1.87,-1.66,NA,1.06,NA,NA,NA,NA,NA,1.76,1.7,NA,1.217,NA,100,0,0,0,100,100,0,12.68,0,100,71.8,0,53.5,100,100,0,12.7,0,0
"6","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Mojave Basin and Range",10.65,20.4,2.045,NA,55.8,8.15,41.6,NA,53.3,NA,NA,NA,NA,NA,29.4,-4.54,NA,20.77,NA,2.02,2.09,1.87,NA,-48.5,4.38,-47.4,NA,19.2,NA,NA,NA,NA,NA,2.18,2.84,NA,8.77,NA,2,2.01,1.77,NA,-67.3,1.55,-59.6,NA,13,NA,NA,NA,NA,NA,1.97,2.45,NA,8.16,NA,2.13,2.16,2.11,NA,-34.9,7.05,-19.3,NA,23.4,NA,NA,NA,NA,NA,2.27,3.33,NA,9.96,NA,2.71,1.99,1.79,NA,-1.17,2.04,-2.17,NA,1.46,NA,NA,NA,NA,NA,1.54,2.42,NA,1.092,NA,100,0,0,0,100,100,0,7.32,0,100,100,0,35.4,97.6,95.1,0,59.8,0,0
"7","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Northern Basin and Range",7.63,19.1,-3.62,NA,68.7,26.96,24.6,167,102.4,NA,NA,NA,NA,NA,29.9,-9.81,NA,NA,18.45,2.44,2.57,2.44,NA,-39.2,18.25,-39.6,-50.7,30,NA,NA,NA,NA,NA,2.86,3.7,NA,NA,11.02,2.42,2.54,2.34,NA,-44.1,16.21,-41.9,-59.1,26,NA,NA,NA,NA,NA,2.79,3.64,NA,NA,10.01,2.46,2.6,2.51,NA,-31,21.13,-36.4,-45.2,32.9,NA,NA,NA,NA,NA,2.91,3.77,NA,NA,12.73,3.12,1.78,2.29,NA,-1.63,3.59,-2.79,-1.06,1.21,NA,NA,NA,NA,NA,1.38,2.19,NA,NA,1.1,100,0,0,0,100,100,0,0,76.92,100,100,0,100,100,100,76.923,38.5,0,0
"8","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Southern Rockies",5.84,16.2,-4.154,NA,67.5,26.27,29.8,172,98,NA,NA,16.4,NA,NA,25.9,-12.2,NA,14.14,11.91,1.94,2.2,1.78,NA,-36.8,14.54,-33.7,-49.8,35.3,NA,NA,0.577,NA,NA,2.63,2.23,NA,5.07,9.58,1.81,2,1.56,NA,-85.1,3.85,-53,-81.7,11.5,NA,NA,0.414,NA,NA,2.22,1.5,NA,-12.63,-3.81,2.23,2.55,2.16,NA,-16.2,32.11,-14.2,-28.8,63.8,NA,NA,0.695,NA,NA,2.86,3.69,NA,12.19,17.12,2.3,2.13,1.81,NA,-1.35,2.2,-2.57,-1.21,1.65,NA,NA,1.15,NA,NA,1.9,1.69,NA,0.895,1.24,100,25.067,0,0,100,100,0,43.84,32.16,100,100,0,75.4,99.2,100,31.896,72.6,0,0
"9","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Southwestern Tablelands",9.99,20.3,0.064,NA,78,14.17,58.7,168,62.3,NA,NA,17.7,NA,NA,29.9,-8.67,NA,20.26,4.2,1.88,2.19,1.83,NA,-35.7,7.5,-30.3,-50.5,22.1,NA,NA,0.65,NA,NA,2.46,2.78,NA,4.32,5.35,1.81,1.99,1.71,NA,-47.4,3.41,-42.8,-63.4,11.3,NA,NA,0.566,NA,NA,2.06,2.08,NA,2.47,4.87,2,2.44,1.95,NA,-25.1,17.54,-23.1,-44.4,35.9,NA,NA,0.708,NA,NA,2.78,3.59,NA,7.44,5.83,1.91,1.9,1.29,NA,-1.17,2.11,-1.73,-1.04,1.17,NA,NA,1.14,NA,NA,1.72,1.69,NA,1.247,1.21,100,19.389,0,0,100,100,0,48.61,2.26,100,97.5,0,70.7,99.7,100,1.328,14.9,0,0
"10","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Wasatch and Uinta Mountains",6.54,17.1,-3.322,NA,69.3,26.28,26,133,97.7,NA,NA,NA,40.3,NA,27,-9.98,NA,12.98,15.27,2.26,2.35,2.44,NA,-43.4,12.88,-32.6,-53.1,30.8,NA,NA,NA,2.46,NA,2.58,3.9,NA,1.09,7.86,2.07,2.08,1.84,NA,-101.7,4.28,-50.6,-69.2,15.4,NA,NA,NA,2.02,NA,2.2,2.4,NA,-9.99,2.31,2.46,2.56,2.71,NA,-21.4,25.48,-20.3,-34.7,52.2,NA,NA,NA,2.97,NA,2.91,4.45,NA,11.33,16.4,2.67,1.8,2.06,NA,-1.24,2.01,-2.4,-1.1,1.52,NA,NA,NA,1.12,NA,1.59,2.27,NA,0.279,1.24,100,0,23.139,0,100,100,0,8.05,56.74,100,100,0,89.3,100,100,9.457,30,0,0
