"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southeastern Great Plains Tallgrass Prairie","Arkansas Valley",16.8,27.4,NA,NA,142,65,25.1,NA,206,NA,NA,12.6,NA,NA,NA,-1.412,NA,NA,6.1,1.9,2.17,NA,NA,-70.5,35.76,-33.1,NA,97.7,NA,NA,0.576,NA,NA,NA,2.7,NA,NA,14.62,1.86,2.07,NA,NA,-85,27.05,-35,NA,80.5,NA,NA,0.534,NA,NA,NA,2.52,NA,NA,14,1.93,2.26,NA,NA,-60.7,42.7,-31.5,NA,108.6,NA,NA,0.623,NA,NA,NA,2.8,NA,NA,15.02,1.44,1.26,NA,NA,-1.07,2.81,-2.5,NA,1.77,NA,NA,1.02,NA,NA,NA,1.12,NA,NA,1.439,100,13.1,0,0,0,100,0,0,6.55,100,0,0,69.3,100,100,0,100,0,0
"2","Southeastern Great Plains Tallgrass Prairie","Boston Mountains",16.3,27.1,NA,NA,141,63.5,26,NA,198.9,NA,NA,NA,NA,NA,NA,-2.112,NA,NA,NA,1.89,2.2,NA,NA,-74.6,31.1,-31.6,NA,95.2,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,1.89,2.17,NA,NA,-80.7,29.26,-33.2,NA,89.4,NA,NA,NA,NA,NA,NA,2.69,NA,NA,NA,1.9,2.23,NA,NA,-69.5,34.2,-30.8,NA,100.7,NA,NA,NA,NA,NA,NA,2.73,NA,NA,NA,1.54,1.31,NA,NA,-1.08,2.28,-2.61,NA,1.76,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,0,0,57.1,100,100,0,100,0,0
"3","Southeastern Great Plains Tallgrass Prairie","Central Great Plains",15.3,27.1,NA,NA,124,32.4,41,342,115.8,NA,NA,13.1,NA,NA,35.1,-4.355,NA,23.7,NA,2.04,2.58,NA,NA,-68.2,15.8,-34.6,-87.3,44.8,NA,NA,0.579,NA,NA,2.65,3.11,NA,5.22,NA,1.77,1.82,NA,NA,-87.6,6.9,-49.2,-103,26.5,NA,NA,0.542,NA,NA,2.02,2.29,NA,3.78,NA,2.18,2.88,NA,NA,-51.6,32.6,-23.6,-79.7,78.7,NA,NA,0.619,NA,NA,3.06,3.9,NA,6.34,NA,1.58,1.45,NA,NA,-1.19,2.13,-2.02,-1.02,1.22,NA,NA,1.06,NA,NA,1.14,1.31,NA,1.27,NA,100,5.55,0,0,57.967,100,0,22.747,0,100,0,0,66,94.9,100,0.934,69.918,0,0
"4","Southeastern Great Plains Tallgrass Prairie","Central Irregular Plains",14.1,25.8,NA,NA,146,46,35.9,392,161.9,NA,NA,12.4,NA,NA,32.9,-5.352,NA,22.2,NA,1.86,2.32,NA,NA,-82.7,19.19,-34.8,-113.2,60.4,NA,NA,0.913,NA,NA,2.61,3.08,NA,5.18,NA,1.79,2.14,NA,NA,-103.3,10.05,-38.2,-135,41.1,NA,NA,0.699,NA,NA,2.35,2.65,NA,4.06,NA,1.97,2.45,NA,NA,-60.3,37.6,-28.8,-94.8,107.6,NA,NA,1.039,NA,NA,2.96,3.48,NA,6.43,NA,1.55,1.32,NA,NA,-1.51,1.72,-2.53,-1.14,1.28,NA,NA,1.46,NA,NA,1.06,1.19,NA,1.38,NA,100,86.96,0,0,60.165,100,0,37.031,0,100,0,0,98.2,99.9,100,57.361,55.105,0,0
"5","Southeastern Great Plains Tallgrass Prairie","Cross Timbers",17.2,27.7,NA,NA,127,48.2,31.1,283,161.8,NA,NA,12.9,NA,NA,35.2,-2.014,NA,24.3,9.93,1.86,2.12,NA,NA,-71.4,28,-38.7,-111.7,72.6,NA,NA,0.61,NA,NA,2.35,2.7,NA,5.69,7.22,1.62,1.49,NA,NA,-91.5,13.56,-52.5,-126,33.9,NA,NA,0.526,NA,NA,2.33,2.23,NA,4.94,-10.33,2.03,2.55,NA,NA,-56.1,42.1,-29.9,-91.8,103.6,NA,NA,0.912,NA,NA,2.39,3.07,NA,6.36,14.9,1.41,1.31,NA,NA,-1.2,2.93,-2.64,-1.04,1.44,NA,NA,1.05,NA,NA,1.01,1.13,NA,1.06,0.713,100,13.91,0,0,0.758,70.8,0,6.68,19.57,100,0,0,58.7,100,100,9.218,99.533,0,0
"6","Southeastern Great Plains Tallgrass Prairie","East Central Texas Plains",17.5,27.8,NA,NA,140,61.9,24.1,NA,218.3,NA,NA,12.6,NA,NA,NA,-0.362,NA,21.8,14.89,1.81,1.96,NA,NA,-76.2,39.21,-38.5,NA,100.5,NA,NA,0.635,NA,NA,NA,2.45,NA,5.2,11.38,1.74,1.74,NA,NA,-90.8,35.35,-45.2,NA,89.5,NA,NA,0.598,NA,NA,NA,2.4,NA,5.2,9.55,1.85,2.06,NA,NA,-69.5,47.1,-36.2,NA,113.4,NA,NA,0.741,NA,NA,NA,2.51,NA,5.2,14.7,1.32,1.16,NA,NA,-1.11,3.32,-2.47,NA,1.48,NA,NA,1.15,NA,NA,NA,1.05,NA,1.03,1.157,100,100,0,0,0,84.3,0,1.429,37.14,100,0,0,30,100,100,0,100,0,0
"7","Southeastern Great Plains Tallgrass Prairie","Flint Hills",13.5,25.7,NA,NA,139,30.8,46.3,367,117.2,NA,NA,12.9,NA,NA,33.3,-6.698,NA,23,NA,1.98,2.53,NA,NA,-76.2,12.24,-32.9,-108,41.6,NA,NA,0.698,NA,NA,2.72,3.35,NA,4.65,NA,1.89,2.41,NA,NA,-91.9,8.05,-38,-121,32.2,NA,NA,0.542,NA,NA,2.45,2.88,NA,3.77,NA,2.05,2.68,NA,NA,-62.1,19,-26.5,-85.9,55.8,NA,NA,0.902,NA,NA,3.02,3.77,NA,5.72,NA,1.61,1.39,NA,NA,-1.24,1.4,-2.22,-1.04,1.14,NA,NA,1.25,NA,NA,1.13,1.3,NA,1.22,NA,100,81.93,0,0,71.061,100,0,59.228,0,100,0,0,98.8,77,100,11.061,35.113,0,0
"8","Southeastern Great Plains Tallgrass Prairie","Interior River Valleys and Hills",13,24.9,NA,NA,134,47.5,31.7,366,158.3,NA,NA,12,30.2,NA,32.3,-6.361,NA,22.7,NA,1.81,2.16,NA,NA,-79.8,20.79,-35.4,-102,54.5,NA,NA,0.909,2.71,NA,2.66,3.34,NA,6.28,NA,1.79,2.12,NA,NA,-86.3,18.26,-36.8,-107,49.2,NA,NA,0.837,2.69,NA,2.61,3.27,NA,6.28,NA,1.86,2.21,NA,NA,-74.3,24.3,-33.6,-96.2,61.9,NA,NA,0.946,2.73,NA,2.71,3.43,NA,6.28,NA,1.6,1.35,NA,NA,-1.85,1.7,-2.48,-1.1,1.13,NA,NA,1.41,1.01,NA,1.14,1.32,NA,1.34,NA,100,100,6.25,0,100,100,0,3.125,0,100,0,0,100,100,100,100,84.375,0,0
"9","Southeastern Great Plains Tallgrass Prairie","Ouachita Mountains",16.9,27.5,NA,NA,136,67.4,23,NA,223.7,NA,NA,12.7,NA,NA,NA,-1.244,NA,NA,6.52,1.87,2.06,NA,NA,-66.2,41.7,-33.9,NA,104.2,NA,NA,0.592,NA,NA,NA,2.59,NA,NA,11.62,1.83,1.96,NA,NA,-68.1,40.31,-34.9,NA,99.4,NA,NA,0.581,NA,NA,NA,2.51,NA,NA,10.93,1.88,2.09,NA,NA,-64,44,-32.4,NA,106.8,NA,NA,0.634,NA,NA,NA,2.71,NA,NA,12.31,1.4,1.23,NA,NA,-1.04,3.16,-2.62,NA,1.72,NA,NA,1.04,NA,NA,NA,1.08,NA,NA,1.132,100,78.57,0,0,0,100,0,0,14.29,100,0,0,50,100,100,0,100,0,0
"10","Southeastern Great Plains Tallgrass Prairie","Ozark Highlands",13.8,25.2,NA,NA,135,56.6,26.6,368,182.8,NA,NA,12.4,NA,NA,32.6,-5.161,NA,22.7,NA,1.88,2.26,NA,NA,-82.3,27,-36,-104.9,66.7,NA,NA,0.833,NA,NA,2.5,3.22,NA,6.43,NA,1.8,2.14,NA,NA,-94.1,19.21,-38.7,-118,46.9,NA,NA,0.728,NA,NA,2.34,2.84,NA,6.43,NA,1.93,2.34,NA,NA,-65.3,36.7,-33,-81.3,94.3,NA,NA,0.927,NA,NA,2.68,3.53,NA,6.43,NA,1.61,1.42,NA,NA,-1.59,2.15,-2.83,-1.11,1.33,NA,NA,1.32,NA,NA,1.1,1.27,NA,1.37,NA,100,100,0,0,96.833,100,0,0.122,0,100,0,0,100,100,100,71.742,99.269,0,0
