"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",9.26,18.1,0.843,NA,92.1,18.6,56.2,181,75.5,NA,NA,15.1,47.5,NA,26.7,-6.79,NA,16.93,11.32,1.87,2.03,1.82,NA,-46.8,10.42,-29.1,-49.4,28.2,NA,NA,0.579,2.43,NA,1.85,2.26,NA,4.01,5.35,1.8,1.88,1.73,NA,-82,4.52,-45.2,-59.7,12.54,NA,NA,0.576,2.11,NA,1.38,1.83,NA,-10.67,3.61,2,2.21,1.98,NA,-19.5,28.69,-17.6,-39.8,56.7,NA,NA,0.581,3.34,NA,2.57,3.29,NA,12.63,8.05,2.11,2.02,1.61,NA,-1.14,2.08,-1.54,-1.08,1.36,NA,NA,1.02,1.07,NA,1.27,1.88,NA,1.215,1.25,100,0.339,11.61,0,70.7,100,0,46.19,30.763,100,100,0,25.76,95.9,92.3,0.847,11.78,0,0
"2","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",7.47,17.7,-2.543,NA,60.6,16.9,42.6,151,60.9,NA,NA,16.7,NA,NA,27.5,-10.79,NA,16.58,11.28,1.93,2.15,1.85,NA,-33.6,10.16,-34.8,-37.7,20.7,NA,NA,0.586,NA,NA,2.44,2.31,NA,3.2,6.51,1.84,2.04,1.71,NA,-69.9,4.13,-46,-54.5,7.37,NA,NA,0.531,NA,NA,2,1.71,NA,-11.81,6.51,2,2.23,1.98,NA,-12.1,22.24,-26.9,-28.5,46.3,NA,NA,0.646,NA,NA,2.71,3.22,NA,11.09,6.51,2.19,2.06,1.61,NA,-1.1,2.49,-2.08,-1.09,1.3,NA,NA,1.21,NA,NA,1.76,1.73,NA,0.864,1.16,100,38.76,0,0,100,100,0,51.16,0.775,100,100,0,52.71,100,100,10.078,55.04,0,0
"3","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",8.21,19,-1.518,NA,70.9,24.9,28.2,146,87.3,NA,NA,NA,35.9,NA,28,-7.34,NA,NA,19.34,2.25,2.31,2.56,NA,-43.8,14.5,-33.2,-61.6,25.3,NA,NA,NA,2.29,NA,2.55,3.97,NA,NA,7.13,2.12,2.14,2.19,NA,-68,7.66,-45.1,-61.6,22.09,NA,NA,NA,1.98,NA,2.25,3.48,NA,NA,3.59,2.43,2.51,2.77,NA,-27.3,23.95,-26.7,-61.6,32.4,NA,NA,NA,2.58,NA,2.81,4.34,NA,NA,9.91,2.69,1.76,2.06,NA,-1.26,2.18,-2.45,-1.04,1.27,NA,NA,NA,1.09,NA,1.57,2.3,NA,NA,1.07,100,0,31.15,0,100,100,0,0,37.705,100,100,0,98.36,100,100,1.639,19.67,0,0
"4","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Chihuahuan Desert",14.37,23.2,5.502,NA,NA,13,68.4,NA,50.5,NA,NA,NA,NA,NA,31.7,-1.06,NA,22.44,NA,1.84,1.92,1.8,NA,NA,9.2,-31.5,NA,20.6,NA,NA,NA,NA,NA,1.94,1.85,NA,2.73,NA,1.82,1.87,1.79,NA,NA,4.69,-33.8,NA,20.56,NA,NA,NA,NA,NA,1.94,1.81,NA,2.49,NA,1.85,2.05,1.82,NA,NA,11.62,-29.3,NA,20.6,NA,NA,NA,NA,NA,1.94,1.93,NA,3.33,NA,2.11,1.99,1.61,NA,NA,2.95,-1.28,NA,1.37,NA,NA,NA,NA,NA,1.24,1.54,NA,1.043,NA,100,0,0,0,16.7,100,0,66.67,0,100,100,0,0,100,33.3,0,16.67,0,0
"5","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",7.57,18.7,-3.089,NA,50.6,22.6,22.7,127,83.1,NA,NA,15.6,41,NA,28.2,-10.02,NA,15.8,10.23,2.15,2.32,2,NA,-36.3,13.03,-41.3,-49.6,31,NA,NA,0.521,2.22,NA,2.69,2.56,NA,1.62,13.01,1.92,2.09,1.65,NA,-61.4,4.61,-54.9,-80.3,12.67,NA,NA,0.492,1.98,NA,2.18,1.54,NA,-12.15,5.4,2.34,2.5,2.45,NA,-16.4,23.34,-22.4,-28.3,56.6,NA,NA,0.562,2.4,NA,2.86,4.09,NA,12.47,20.41,2.57,1.93,2.14,NA,-1.25,2.61,-3.12,-1.18,1.81,NA,NA,1.04,1.05,NA,1.73,1.93,NA,0.256,1.42,100,1.514,1.97,0,100,100,0,28.11,56.221,100,100,0,79.26,99.9,100,26.201,83.87,0,0
"6","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","High Plains",9.57,21.6,-1.687,NA,NA,10.3,59.3,NA,69.4,NA,NA,NA,NA,NA,31.9,-10.07,NA,19.41,NA,1.9,2.31,1.94,NA,NA,4.73,-22.9,NA,22.4,NA,NA,NA,NA,NA,2.36,3.85,NA,4.18,NA,1.89,2.29,1.75,NA,NA,3.44,-24.7,NA,20.88,NA,NA,NA,NA,NA,2.28,3.35,NA,4.18,NA,1.93,2.39,1.97,NA,NA,9.01,-20.1,NA,23.9,NA,NA,NA,NA,NA,2.81,3.92,NA,4.18,NA,1.65,1.79,1.07,NA,NA,1.28,-1.43,NA,1.12,NA,NA,NA,NA,NA,1.62,1.67,NA,1.012,NA,100,0,0,0,100,100,0,4.55,0,100,100,0,0,81.8,100,0,9.09,0,0
"7","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",10.89,19.1,3.051,NA,NA,14,57.1,NA,NA,NA,NA,NA,44.5,NA,25.2,-3.37,NA,18.92,15.4,1.81,1.84,1.81,NA,NA,7.01,-24,NA,NA,NA,NA,NA,2.64,NA,1.29,1.96,NA,6.68,4.62,1.78,1.79,1.78,NA,NA,4.51,-28,NA,NA,NA,NA,NA,2.55,NA,1.28,1.81,NA,1.88,4.62,1.82,1.87,1.87,NA,NA,14.19,-19.2,NA,NA,NA,NA,NA,2.79,NA,1.3,2.21,NA,8.77,4.62,2.23,2.22,1.74,NA,NA,1.52,-1.4,NA,NA,NA,NA,NA,1.06,NA,1.03,1.89,NA,1.231,1.22,100,0,13.04,0,8.7,100,0,43.48,4.348,100,100,0,0,100,69.6,0,0,0,0
"8","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Middle Rockies",4.42,15,-4.997,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,24.4,-11.75,NA,NA,NA,2.02,2.52,1.84,NA,NA,7.59,NA,NA,NA,NA,NA,NA,NA,NA,2.38,4.17,NA,NA,NA,2,2.48,1.83,NA,NA,5.37,NA,NA,NA,NA,NA,NA,NA,NA,2.33,4.13,NA,NA,NA,2.03,2.56,1.86,NA,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,2.43,4.2,NA,NA,NA,2.43,2.15,1.35,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,1.42,1.87,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,0,0,0,0,0
"9","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Northern Basin and Range",7.07,18.2,-3.235,NA,83.1,25.7,33.1,180,113.3,NA,NA,NA,30.7,NA,27.6,-8.4,NA,NA,15.52,2.49,2.55,2.86,NA,-47.8,15.69,-27.7,-59.1,32.9,NA,NA,NA,2.93,NA,2.8,4.43,NA,NA,5.89,2.24,2.3,2.41,NA,-74.2,10.07,-41.8,-59.1,32.88,NA,NA,NA,2.93,NA,2.68,3.7,NA,NA,2.75,2.51,2.59,2.97,NA,-35.9,21.13,-19,-59.1,32.9,NA,NA,NA,2.93,NA,2.85,4.68,NA,NA,11.4,3.1,1.78,2.26,NA,-1.34,2.42,-1.61,-1.12,1.2,NA,NA,NA,1.21,NA,1.36,2.39,NA,NA,1.3,100,0,2.13,0,100,100,0,0,6.383,100,100,0,100,100,100,2.128,2.13,0,0
"10","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Northwestern Great Plains",6.88,17.6,-2.968,NA,NA,24.4,45.8,NA,84.6,NA,NA,NA,35.6,NA,27.1,-9.57,NA,10.48,NA,2.12,2.44,1.87,NA,NA,11.31,-18.1,NA,29.2,NA,NA,NA,2.48,NA,2.36,4.28,NA,4.49,NA,2.11,2.43,1.86,NA,NA,6.42,-18.6,NA,27.17,NA,NA,NA,2.46,NA,2.35,4.27,NA,4.17,NA,2.13,2.44,1.88,NA,NA,14.29,-17.7,NA,32.5,NA,NA,NA,2.49,NA,2.37,4.29,NA,4.84,NA,2.98,2.25,1.69,NA,NA,1.73,-1.1,NA,1.73,NA,NA,NA,1.03,NA,1.45,2.12,NA,1.481,NA,100,0,100,0,100,100,0,100,0,100,100,0,0,100,75,0,75,0,0
