"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",8.55,17.5,0.0528,NA,91.7,19.99,50.2,191,83.4,NA,NA,15.1,46.3,NA,26.2,-7.42,NA,16.45,10.9,1.88,2.04,1.83,NA,-47.9,11.07,-30.7,-52.2,31,NA,NA,0.579,2.47,NA,1.99,2.34,NA,4.36,5.28,1.8,1.88,1.73,NA,-82,4.44,-45.2,-71.1,13.8,NA,NA,0.576,2.12,NA,1.38,1.85,NA,-10.67,3.61,2,2.21,1.98,NA,-25.2,28.69,-19.2,-38.1,56.7,NA,NA,0.581,3.03,NA,2.57,3.29,NA,12.63,7.29,2.11,2.02,1.59,NA,-1.16,1.94,-1.75,-1.06,1.38,NA,NA,1.02,1.08,NA,1.38,1.89,NA,0.999,1.23,100,0.557,6.55,0,73.8,100,0,40.529,32.2,100,100,0,40.8,96.7,94.8,2.79,13.23,0,0
"2","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",7.17,17.1,-2.2748,NA,73.4,19.81,39.1,155,67.8,NA,NA,16.2,NA,NA,26.4,-9.72,NA,15.86,NA,1.94,2.15,1.87,NA,-43.7,11.04,-35.6,-37.3,23.6,NA,NA,0.583,NA,NA,2.41,2.53,NA,1.84,NA,1.84,2.04,1.71,NA,-71.8,5.51,-41.3,-54.5,15.9,NA,NA,0.554,NA,NA,2.03,1.81,NA,-10.67,NA,2.06,2.22,1.95,NA,-19.8,19.68,-27.1,-29.7,37.9,NA,NA,0.606,NA,NA,2.7,3.26,NA,8.68,NA,2.23,2.05,1.63,NA,-1.09,2.28,-2.18,-1.09,1.38,NA,NA,1.25,NA,NA,1.73,1.92,NA,0.578,NA,100,41.463,0,0,100,100,0,48.78,0,100,100,0,51.2,100,100,21.95,48.78,0,0
"3","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",6.94,17.4,-2.355,NA,63.3,23.39,29.2,130,85.9,NA,NA,NA,38.4,NA,26.9,-8.54,NA,14.33,14.85,2.32,2.31,2.68,NA,-45.2,12.63,-38.8,-51,28.1,NA,NA,NA,2.54,NA,2.58,4.13,NA,4.36,7.99,2.13,2.04,2.27,NA,-82.9,3.87,-54,-71.4,14.1,NA,NA,NA,2.06,NA,2.27,3.61,NA,-7.54,2.38,2.47,2.57,2.85,NA,-27.3,23.95,-24.1,-36.5,40.5,NA,NA,NA,3.21,NA,2.95,4.54,NA,10.39,13.93,2.76,1.83,1.97,NA,-1.32,2.59,-2.59,-1.05,1.34,NA,NA,NA,1.1,NA,1.6,2.24,NA,0.546,1.18,100,0,23.72,0,100,100,0,0.613,36,100,100,0,90.8,100,100,2.04,36.4,0,0
"4","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",6.79,17.7,-3.4821,NA,55.7,24.23,22.5,135,91.7,NA,NA,15.5,41.2,NA,27,-10.09,NA,14.79,10.6,2.19,2.32,2.14,NA,-41,12.82,-41.5,-53.6,32.7,NA,NA,0.515,2.23,NA,2.63,3.04,NA,-1.19,12.17,1.96,2.07,1.66,NA,-61.4,5.14,-53.2,-68.3,14,NA,NA,0.498,1.98,NA,2.18,1.59,NA,-10.51,5.4,2.32,2.5,2.45,NA,-16.9,21.01,-23.5,-34.7,49.1,NA,NA,0.529,2.4,NA,2.84,4.09,NA,11.69,19.79,2.59,1.88,2.13,NA,-1.17,2.47,-3.03,-1.15,1.73,NA,NA,1.04,1.07,NA,1.68,2.17,NA,-0.17,1.4,100,2.133,8.53,0,100,100,0,16.588,60.2,100,100,0,85.3,99.8,100,13.27,72.51,0,0
"5","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","High Plains",10.42,20.8,0.7922,NA,NA,21.37,40.9,NA,69.4,NA,NA,NA,NA,NA,29.9,-6.82,NA,NA,NA,1.89,2.38,1.76,NA,NA,8.95,-23.2,NA,22.4,NA,NA,NA,NA,NA,2.8,3.37,NA,NA,NA,1.89,2.38,1.75,NA,NA,8.89,-23.8,NA,20.9,NA,NA,NA,NA,NA,2.8,3.35,NA,NA,NA,1.9,2.39,1.77,NA,NA,9.01,-22.5,NA,23.9,NA,NA,NA,NA,NA,2.81,3.39,NA,NA,NA,1.94,2.14,1.25,NA,NA,1.31,-1.51,NA,1.12,NA,NA,NA,NA,NA,1.94,1.87,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
"6","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",11.17,19.5,3.2627,NA,NA,13.69,56.8,NA,NA,NA,NA,NA,44.5,NA,NA,-2.75,NA,20.77,16.16,1.81,1.85,1.81,NA,NA,6.02,-23.4,NA,NA,NA,NA,NA,2.64,NA,NA,1.97,NA,7.92,4.72,1.8,1.81,1.78,NA,NA,4.51,-26.5,NA,NA,NA,NA,NA,2.55,NA,NA,1.84,NA,7.12,4.62,1.82,1.87,1.87,NA,NA,8.53,-19.2,NA,NA,NA,NA,NA,2.79,NA,NA,2.21,NA,8.77,4.82,2.23,2.23,1.76,NA,NA,1.32,-1.35,NA,NA,NA,NA,NA,1.06,NA,NA,1.93,NA,1.08,1.27,100,0,17.65,0,0,100,0,41.176,11.8,100,100,0,0,100,76.5,0,0,0,0
"7","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Middle Rockies",3.69,15,-7.8048,NA,73,35.16,24.3,NA,NA,NA,NA,NA,NA,NA,26.2,-14.96,NA,NA,NA,2.21,2.4,1.9,NA,-33.6,16.04,-21.5,NA,NA,NA,NA,NA,NA,NA,2.71,3.66,NA,NA,NA,2.21,2.4,1.9,NA,-33.6,16.04,-21.5,NA,NA,NA,NA,NA,NA,NA,2.71,3.66,NA,NA,NA,2.21,2.4,1.9,NA,-33.6,16.04,-21.5,NA,NA,NA,NA,NA,NA,NA,2.71,3.66,NA,NA,NA,3.29,2.49,1.91,NA,-1.42,2.36,-1.88,NA,NA,NA,NA,NA,NA,NA,1.55,1.91,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,0,0,0,0
"8","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Mojave Basin and Range",8.42,17.8,0.2856,NA,64.7,8.68,41.7,NA,59.9,NA,NA,NA,NA,NA,26.7,-6.4,NA,NA,NA,2.02,2.08,1.89,NA,-55.6,4.75,-46.7,NA,20.8,NA,NA,NA,NA,NA,2.19,2.9,NA,NA,NA,2,2.05,1.8,NA,-73.6,2.11,-61.7,NA,16.2,NA,NA,NA,NA,NA,2.12,2.77,NA,NA,NA,2.06,2.14,1.93,NA,-39.8,7.96,-41.4,NA,23.4,NA,NA,NA,NA,NA,2.26,3.04,NA,NA,NA,2.73,1.98,1.8,NA,-1.17,1.99,-2.08,NA,1.38,NA,NA,NA,NA,NA,1.55,2.47,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,33.3,95.6,100,0,48.89,0,0
"9","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Northern Basin and Range",6.72,17.8,-3.5318,NA,85.1,26.25,34.2,170,109.4,NA,NA,NA,NA,NA,27.3,-8.81,NA,6.13,16.62,2.46,2.54,2.7,NA,-50,13.9,-25.8,-50.9,31.8,NA,NA,NA,NA,NA,2.81,4.18,NA,-6.3,4.99,2.41,2.45,2.34,NA,-76.1,6.6,-41.9,-59.1,30.6,NA,NA,NA,NA,NA,2.68,3.65,NA,-7.22,2.92,2.51,2.61,2.97,NA,-27.5,21.13,-19,-43.2,32.9,NA,NA,NA,NA,NA,2.95,4.92,NA,-5.38,12.73,3.13,1.77,2.32,NA,-1.35,2.09,-1.6,-1.11,1.2,NA,NA,NA,NA,NA,1.35,2.33,NA,-1.055,1.15,100,0,0,0,100,100,0,0.939,27.2,100,100,0,98.1,100,100,6.57,1.41,0,0
"10","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Snake River Plain",5.29,16.6,-6.1373,NA,63.9,25.97,26.6,154,NA,NA,NA,NA,NA,NA,27.5,-12.97,NA,NA,NA,2.28,2.48,1.91,NA,-29.5,13.95,-28.3,-41.1,NA,NA,NA,NA,NA,NA,2.74,3.35,NA,NA,NA,2.27,2.47,1.9,NA,-30.6,13.7,-29.6,-41.1,NA,NA,NA,NA,NA,NA,2.73,3.34,NA,NA,NA,2.28,2.48,1.91,NA,-28.5,14.2,-27.1,-41.1,NA,NA,NA,NA,NA,NA,2.74,3.36,NA,NA,NA,3.47,2.27,2.07,NA,-1.54,2.96,-1.98,-1.17,NA,NA,NA,NA,NA,NA,1.52,2.02,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,50,0,0,0
