"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Mountains",8.77,17.5,0.429,NA,98.6,17.86,55.4,NA,66.1,NA,NA,NA,48,NA,26.7,-7.79,NA,16.4,10.13,1.89,2.02,1.83,NA,-49.1,9.37,-27.6,NA,21.7,NA,NA,NA,2.45,NA,1.83,2.39,NA,5.6,5.22,1.81,1.91,1.77,NA,-82,3.5,-45.2,NA,14.96,NA,NA,NA,2.17,NA,1.38,1.94,NA,-9.7,3.61,2,2.11,1.98,NA,-29,23.46,-19.2,NA,41,NA,NA,NA,3.34,NA,2.19,3.26,NA,11.69,7.23,2.15,2.01,1.61,NA,-1.14,1.86,-1.53,NA,1.14,NA,NA,NA,1.08,NA,1.26,1.98,NA,1.29,1.25,100,0,11.1,0,81.8,100,0,54.8,22.8,100,100,0,19,87.2,93.9,0,4.75,0,0
"2","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Plateau",6.86,16.9,-2.922,NA,69,17.41,44.2,179,64.4,NA,NA,16.1,NA,NA,26.6,-11.08,NA,15.9,NA,1.93,2.13,1.85,NA,-39.8,10.93,-33.7,-51.2,21.7,NA,NA,0.569,NA,NA,2.39,2.39,NA,4.28,NA,1.84,2.03,1.71,NA,-71.8,4.92,-45.3,-54.5,7.95,NA,NA,0.531,NA,NA,2.02,1.77,NA,-9.62,NA,2.02,2.22,1.98,NA,-12.1,21.38,-24.4,-48,37.8,NA,NA,0.606,NA,NA,2.71,3.24,NA,10.51,NA,2.25,2.05,1.66,NA,-1.07,2.51,-2.01,-1.27,1.3,NA,NA,1.19,NA,NA,1.71,1.86,NA,1.03,NA,100,24.4,0,0,97.6,100,0,58.5,0,100,100,0,36.6,100,100,4.88,56.1,0,0
"3","Southern Rocky Mountain Montane Subalpine Grassland","Central Basin and Range",8.25,19.8,-3.023,NA,66.9,21.04,27.4,193,NA,NA,NA,NA,NA,NA,30.3,-8.91,NA,NA,NA,2.44,2.55,2.61,NA,-49.5,15.21,-35.7,-52.5,NA,NA,NA,NA,NA,NA,2.84,3.88,NA,NA,NA,2.42,2.54,2.5,NA,-49.8,13.21,-37,-52.5,NA,NA,NA,NA,NA,NA,2.83,3.83,NA,NA,NA,2.46,2.56,2.66,NA,-48.9,19.11,-34.3,-52.5,NA,NA,NA,NA,NA,NA,2.86,3.91,NA,NA,NA,3.04,1.77,2.23,NA,-1.79,2.61,-2.37,-1,NA,NA,NA,NA,NA,NA,1.46,2.11,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,33.33,0,0,0
"4","Southern Rocky Mountain Montane Subalpine Grassland","Chihuahuan Desert",13.68,22.9,4.797,NA,NA,7.99,67.3,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,NA,NA,NA,1.85,1.91,1.81,NA,NA,4.52,-25.2,NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,1.84,1.9,1.8,NA,NA,4.05,-26.1,NA,NA,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,1.85,1.93,1.82,NA,NA,5.07,-24.4,NA,NA,NA,NA,NA,NA,NA,NA,1.87,NA,NA,NA,2.11,1.87,1.7,NA,NA,1.34,-1.09,NA,NA,NA,NA,NA,NA,NA,NA,1.76,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,100,0,0,100,66.7,0,0,0,0
"5","Southern Rocky Mountain Montane Subalpine Grassland","Colorado Plateaus",7.24,18.4,-3.381,NA,54.2,25.06,21.2,165,90.5,NA,NA,NA,NA,NA,27.9,-10.62,NA,17.4,16.99,2.16,2.3,1.85,NA,-30.5,14.3,-33.3,-63.4,24.7,NA,NA,NA,NA,NA,2.66,2.23,NA,-9.16,12.41,1.98,2.14,1.77,NA,-54,10.55,-47.9,-63.6,20.83,NA,NA,NA,NA,NA,2.53,2.02,NA,-9.16,5.61,2.23,2.36,2.42,NA,-23.5,16.74,-26,-63.1,36.2,NA,NA,NA,NA,NA,2.69,4.05,NA,-9.16,15.05,2.61,1.88,2.03,NA,-1.24,2.43,-2.91,-1.3,1.18,NA,NA,NA,NA,NA,1.67,1.65,NA,-1.28,1.27,100,0,0,0,100,100,0,11.8,88.2,100,100,0,100,100,100,11.76,64.71,0,0
"6","Southern Rocky Mountain Montane Subalpine Grassland","High Plains",9.25,20.1,-1.033,NA,NA,10.76,56.2,NA,NA,NA,NA,NA,NA,NA,29.9,-9.72,NA,NA,NA,1.95,2.41,1.87,NA,NA,7.52,-21.2,NA,NA,NA,NA,NA,NA,NA,2.81,3.57,NA,NA,NA,1.93,2.39,1.81,NA,NA,5.95,-22,NA,NA,NA,NA,NA,NA,NA,2.8,3.4,NA,NA,NA,1.97,2.42,1.91,NA,NA,8.34,-19.7,NA,NA,NA,NA,NA,NA,NA,2.83,3.67,NA,NA,NA,1.89,2.07,1.3,NA,NA,1.92,-1.39,NA,NA,NA,NA,NA,NA,NA,1.93,1.95,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"7","Southern Rocky Mountain Montane Subalpine Grassland","Madrean Archipelago",12.14,20.3,4.263,NA,NA,14.69,60.6,NA,NA,NA,NA,NA,44.9,NA,NA,-3.87,NA,14.4,NA,1.81,1.82,1.79,NA,NA,7.46,-25.7,NA,NA,NA,NA,NA,2.79,NA,NA,1.91,NA,1.92,NA,1.79,1.8,1.76,NA,NA,4.56,-27.8,NA,NA,NA,NA,NA,2.79,NA,NA,1.81,NA,1.92,NA,1.82,1.85,1.87,NA,NA,14.19,-23.1,NA,NA,NA,NA,NA,2.79,NA,NA,2.21,NA,1.92,NA,2.16,2.05,1.64,NA,NA,1.64,-1.28,NA,NA,NA,NA,NA,1.08,NA,NA,1.76,NA,1.83,NA,100,0,12.5,0,0,100,0,12.5,0,100,100,0,0,87.5,62.5,0,0,0,0
"8","Southern Rocky Mountain Montane Subalpine Grassland","Northern Basin and Range",7.64,19.1,-3.485,NA,70.7,28.18,24,170,107.6,NA,NA,NA,NA,NA,29.6,-9.48,NA,NA,18.5,2.45,2.56,2.44,NA,-41.2,18.91,-40.2,-52.8,30.8,NA,NA,NA,NA,NA,2.86,3.72,NA,NA,10.92,2.43,2.54,2.38,NA,-44.1,16.93,-41.8,-59.1,28.95,NA,NA,NA,NA,NA,2.84,3.66,NA,NA,10.14,2.46,2.59,2.49,NA,-37.1,21.13,-38.5,-45.5,32.9,NA,NA,NA,NA,NA,2.89,3.77,NA,NA,11.4,3.12,1.78,2.31,NA,-1.64,3.61,-2.82,-1.07,1.17,NA,NA,NA,NA,NA,1.39,2.2,NA,NA,1.1,100,0,0,0,100,100,0,0,83.3,100,100,0,100,100,100,83.33,50,0,0
"9","Southern Rocky Mountain Montane Subalpine Grassland","Northwestern Great Plains",7.57,19.5,-3.459,NA,NA,17.48,NA,NA,79.2,NA,NA,NA,NA,NA,29.7,-9.77,NA,11.1,-3.88,2.07,2.49,1.92,NA,NA,7.53,NA,NA,21.4,NA,NA,NA,NA,NA,2.51,4.17,NA,5.15,11.56,2.07,2.48,1.92,NA,NA,5.53,NA,NA,20.94,NA,NA,NA,NA,NA,2.5,4.17,NA,5.15,11.56,2.07,2.5,1.92,NA,NA,8.9,NA,NA,22.3,NA,NA,NA,NA,NA,2.51,4.18,NA,5.15,11.56,2.02,2.07,1.3,NA,NA,1.88,NA,NA,1.22,NA,NA,NA,NA,NA,1.7,1.8,NA,1.29,1.05,100,0,0,0,100,100,0,20,20,100,100,0,0,100,0,0,60,0,0
"10","Southern Rocky Mountain Montane Subalpine Grassland","Southern Rockies",4.32,14.2,-5.122,NA,85.4,25.62,37.6,200,99.7,NA,NA,15,NA,NA,23.5,-12.92,NA,13.1,8.61,1.9,2.18,1.77,NA,-42.2,13.48,-30,-57,35.5,NA,NA,0.589,NA,NA,2.6,2.41,NA,4.9,7.33,1.8,2.01,1.57,NA,-89.4,2.98,-43.7,-109,9.24,NA,NA,0.421,NA,NA,2.23,1.67,NA,-12.63,-3.88,2.2,2.54,2.03,NA,-18.5,40.19,-11.2,-29.3,84,NA,NA,0.692,NA,NA,2.86,4.45,NA,11.27,12.67,2.23,2.17,1.71,NA,-1.28,2.06,-2.19,-1.23,1.52,NA,NA,1.24,NA,NA,1.92,1.73,NA,1.04,1.2,100,30.1,0,0,100,100,0,42.8,25.8,100,100,0,59.8,96.1,98.8,23.83,57.11,0,0
