"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Mountains",9.68,18.8,1.0043,NA,82.9,16.28,53.3,176,69.9,NA,NA,15.3,47.8,NA,28,-6.94,NA,17.61,12.03,1.89,2.04,1.83,NA,-43.4,9.15,-29.2,-45.8,25.6,NA,NA,0.58,2.4,NA,1.95,2.34,NA,5.191,5.44,1.8,1.86,1.73,NA,-82,3.17,-45.2,-71.1,11.48,NA,NA,0.576,2.11,NA,1.38,1.8,NA,-10.97,3.61,2,2.22,1.98,NA,-18.8,28.69,-17.4,-33.1,56.69,NA,NA,0.586,3.23,NA,2.57,3.29,NA,12.64,8.06,2.14,2.03,1.59,NA,-1.17,1.99,-1.6,-1.05,1.33,NA,NA,1.02,1.06,NA,1.34,1.94,NA,1.2195,1.23,100,0.199,5.84,0,80.11,100,0,46.55,21.72,100,100,0,32,94.1,94.89,1.227,13.53,0,0
"2","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Plateau",9.73,19.8,0.1476,NA,58.8,14.86,43.1,160,58.6,NA,NA,16.6,NA,NA,29.4,-7.71,NA,17.77,13.02,1.94,2.11,1.87,NA,-32.9,9.15,-34.3,-40.6,20.42,NA,NA,0.617,NA,NA,2.28,2.48,NA,6.674,6.76,1.84,1.94,1.71,NA,-69.9,3.64,-46.6,-54.5,11.68,NA,NA,0.531,NA,NA,1.66,1.78,NA,-10.67,5.28,2.06,2.22,1.98,NA,-16.1,22.24,-19,-30.7,46.27,NA,NA,0.68,NA,NA,2.71,3.22,NA,12.67,8.13,2.21,2.01,1.6,NA,-1.13,2.38,-1.98,-1.1,1.31,NA,NA,1.22,NA,NA,1.58,1.96,NA,1.0503,1.21,100,23.197,0,0,99.81,100,0,41.52,10.92,100,100,0,34.1,100,90.06,1.949,42.69,0,0
"3","Southern Rocky Mountain Ponderosa Pine Woodland","Central Basin and Range",10.35,20.8,0.8234,NA,62.8,18.4,33.5,123,85.1,NA,NA,NA,38,NA,29.8,-5.38,NA,NA,NA,2.15,2.16,2.29,NA,-46,7.78,-43.3,-54.2,25.1,NA,NA,NA,2.21,NA,2.32,3.67,NA,NA,NA,2.11,2.11,2.11,NA,-64.4,4.99,-47.8,-61.6,18.69,NA,NA,NA,1.89,NA,2.22,3.32,NA,NA,NA,2.25,2.22,2.6,NA,-36.6,11.59,-39.8,-50.1,34.66,NA,NA,NA,2.58,NA,2.45,4.1,NA,NA,NA,2.62,1.9,1.92,NA,-1.23,2.02,-2.76,-1.09,1.31,NA,NA,NA,1.09,NA,1.56,2.52,NA,NA,NA,100,0,73.33,0,100,100,0,0,0,100,100,0,85,100,100,10,60,0,0
"4","Southern Rocky Mountain Ponderosa Pine Woodland","Central Great Plains",9.59,22.3,-2.6826,NA,NA,13.59,61.4,NA,NA,NA,NA,NA,NA,NA,31.6,-11.31,NA,NA,NA,2,2.65,1.98,NA,NA,5.58,-25.4,NA,NA,NA,NA,NA,NA,NA,2.75,4.13,NA,NA,NA,2,2.64,1.98,NA,NA,5.38,-26.8,NA,NA,NA,NA,NA,NA,NA,2.74,4.1,NA,NA,NA,2,2.65,1.98,NA,NA,5.99,-24.1,NA,NA,NA,NA,NA,NA,NA,2.76,4.16,NA,NA,NA,1.77,1.84,1,NA,NA,1.23,-1.29,NA,NA,NA,NA,NA,NA,NA,1.42,1.68,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,25,0,0,100,100,0,0,0,0
"5","Southern Rocky Mountain Ponderosa Pine Woodland","Chihuahuan Desert",13.67,22.9,4.7895,NA,NA,9.47,68.7,NA,28.7,NA,NA,NA,NA,NA,30.5,-3.42,NA,21.44,NA,1.85,1.93,1.81,NA,NA,5.94,-26.8,NA,11.18,NA,NA,NA,NA,NA,1.83,1.87,NA,2.478,NA,1.84,1.87,1.79,NA,NA,4.05,-33.6,NA,11.18,NA,NA,NA,NA,NA,1.67,1.78,NA,2.14,NA,1.85,2.04,1.81,NA,NA,11.62,-23.7,NA,11.18,NA,NA,NA,NA,NA,1.89,2.03,NA,2.99,NA,2.12,1.9,1.69,NA,NA,1.87,-1.17,NA,1.12,NA,NA,NA,NA,NA,1.16,1.76,NA,1.285,NA,100,0,0,0,11.36,100,0,22.73,0,100,100,0,0,100,88.64,0,2.27,0,0
"6","Southern Rocky Mountain Ponderosa Pine Woodland","Colorado Plateaus",7.82,18.7,-2.5723,NA,50.6,20.04,25.7,130,77.3,NA,NA,16,41.4,NA,28.4,-9.7,NA,16.27,8.32,2.12,2.28,2.05,NA,-39.3,11.97,-43,-49.4,29.79,NA,NA,0.536,2.21,NA,2.63,2.75,NA,1.454,13.13,1.92,2.07,1.65,NA,-61.4,3.22,-54.9,-80.3,11.45,NA,NA,0.492,1.95,NA,2.14,1.61,NA,-13.21,6.25,2.35,2.54,2.42,NA,-22.9,23.34,-22.3,-28.3,56.57,NA,NA,0.578,2.4,NA,2.85,3.99,NA,12.47,20.41,2.49,1.93,2.04,NA,-1.3,2.58,-3.14,-1.19,1.79,NA,NA,1.04,1.06,NA,1.72,2.01,NA,0.2263,1.47,100,3.865,4.36,0,100,100,0,50.99,31.33,100,100,0,77.9,99.3,100,40.296,89.39,0,0
"7","Southern Rocky Mountain Ponderosa Pine Woodland","Edwards Plateau",17.69,27.3,7.6051,NA,68.6,18.06,43.1,NA,63.4,NA,NA,NA,NA,NA,34.8,-1.31,NA,NA,NA,1.85,2.03,1.8,NA,-59.7,13.11,-47.6,NA,22.76,NA,NA,NA,NA,NA,2.05,2.26,NA,NA,NA,1.83,1.96,1.78,NA,-60.7,12.43,-51.8,NA,21.53,NA,NA,NA,NA,NA,1.9,2.24,NA,NA,NA,1.86,2.08,1.81,NA,-59,14.01,-44.5,NA,24.25,NA,NA,NA,NA,NA,2.13,2.28,NA,NA,NA,1.64,1.7,1.06,NA,-1.1,3.84,-3.15,NA,1.2,NA,NA,NA,NA,NA,1.28,1.32,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,0,42.86,0,0
"8","Southern Rocky Mountain Ponderosa Pine Woodland","High Plains",9.29,20.8,-1.3304,NA,NA,11.29,55.1,NA,57.7,NA,NA,NA,NA,NA,31,-9.35,NA,18.28,NA,1.92,2.32,1.94,NA,NA,5.64,-23.6,NA,18.98,NA,NA,NA,NA,NA,2.47,3.83,NA,4.285,NA,1.86,2.27,1.72,NA,NA,3.32,-28.5,NA,16.39,NA,NA,NA,NA,NA,2.27,3.09,NA,4.04,NA,2.03,2.42,2.1,NA,NA,9.51,-17.3,NA,23.87,NA,NA,NA,NA,NA,2.85,4.41,NA,4.44,NA,1.72,1.85,1.14,NA,NA,1.48,-1.51,NA,1.06,NA,NA,NA,NA,NA,1.72,1.76,NA,1.0949,NA,100,0,0,0,100,100,0,2.82,0,100,100,0,0,96,100,0,5.65,0,0
"9","Southern Rocky Mountain Ponderosa Pine Woodland","Madrean Archipelago",12.66,20.9,4.6553,NA,NA,12.65,58.8,NA,NA,NA,NA,NA,44.5,NA,28,-2.66,NA,20.37,16.75,1.8,1.81,1.79,NA,NA,6.61,-24.7,NA,NA,NA,NA,NA,2.64,NA,1.36,1.95,NA,7.116,4.42,1.75,1.74,1.75,NA,NA,3.75,-29.6,NA,NA,NA,NA,NA,2.55,NA,1.28,1.81,NA,1.88,3.92,1.82,1.92,1.87,NA,NA,12.75,-19.2,NA,NA,NA,NA,NA,2.79,NA,1.42,2.21,NA,10.05,5.1,2.2,2.18,1.65,NA,NA,1.7,-1.43,NA,NA,NA,NA,NA,1.06,NA,1.05,1.81,NA,1.2133,1.21,100,0,3.66,0,9.76,100,0,31.71,17.07,100,100,0,0,96.3,68.29,0,0,0,0
"10","Southern Rocky Mountain Ponderosa Pine Woodland","Mojave Basin and Range",10.24,19.8,1.7534,NA,59.8,8.55,45.5,NA,45.6,NA,NA,NA,NA,NA,28.8,-4.75,NA,19.14,26.93,2.01,2.07,1.88,NA,-51.3,4.57,-44.6,NA,16.29,NA,NA,NA,NA,NA,2.13,2.9,NA,9.494,5.18,1.87,1.77,1.68,NA,-73.6,1.41,-54,NA,4.57,NA,NA,NA,NA,NA,1.74,2.32,NA,8.16,5.18,2.11,2.15,2.07,NA,-37.9,7.96,-19,NA,22.82,NA,NA,NA,NA,NA,2.27,3.2,NA,13.29,5.18,2.7,1.99,1.78,NA,-1.14,2.54,-1.97,NA,1.55,NA,NA,NA,NA,NA,1.53,2.49,NA,1.1802,1.48,100,0,0,0,100,100,0,11.76,1.47,100,100,0,32.4,98.5,94.12,0,45.59,0,0
