"","type","NAME","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Mountains",11.13,20.7,1.83,NA,73.8,19.28,53.2,186,79.4,NA,NA,15.4,NA,NA,29.5,-5.93,NA,20.3,14.13,1.88,2.09,1.84,NA,-34.6,12.12,-34.5,-45,30.1,NA,NA,0.581,NA,NA,2.11,2.19,NA,3.28,7.27,1.86,1.93,1.79,NA,-46.1,3.49,-43.1,-45,17.55,NA,NA,0.577,NA,NA,1.51,1.98,NA,2.57,6.62,1.93,2.13,1.95,NA,-23.9,22.7,-25.4,-45,47.5,NA,NA,0.586,NA,NA,2.48,2.4,NA,5.13,8.05,2.03,1.97,1.52,NA,-1.25,3.28,-1.75,-1.05,1.54,NA,NA,1.02,NA,NA,1.39,1.67,NA,1.04,1.34,100,1.33,0,0,98.7,100,0,36,2,100,100,0,52.667,100,100,0.667,54.667,0,0
"2","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Plateau",12.47,23,2.13,NA,50.5,13.1,46.3,NA,48.4,NA,NA,17.3,NA,NA,32.7,-6.26,NA,22.3,16.16,1.87,2.12,1.83,NA,-23.5,9.46,-39.5,NA,19.9,NA,NA,0.604,NA,NA,2.4,2.11,NA,5,7.92,1.85,2.1,1.8,NA,-34.9,6.7,-43,NA,12.6,NA,NA,0.588,NA,NA,2.18,1.94,NA,4.17,7.92,1.89,2.14,1.85,NA,-17.7,19.64,-34.9,NA,35.6,NA,NA,0.645,NA,NA,2.55,2.2,NA,6.47,7.92,2.01,1.97,1.47,NA,-1.2,3.16,-2.18,NA,1.54,NA,NA,1.07,NA,NA,1.57,1.62,NA,1.03,1.36,100,24.64,0,0,100,100,0,34.8,1.449,100,100,0,89.855,100,100,0,84.058,0,0
"3","Western Great Plains Shortgrass Prairie","Central Great Plains",13.08,25.2,NA,NA,94,18.5,52.9,NA,88,NA,NA,NA,NA,NA,34.4,-7.49,NA,21.8,NA,2.03,2.66,NA,NA,-56.1,9.73,-29.7,NA,32.9,NA,NA,NA,NA,NA,2.75,3.43,NA,4.18,NA,1.83,2.07,NA,NA,-79.6,3.91,-44.2,NA,18.99,NA,NA,NA,NA,NA,2.11,2.29,NA,2.89,NA,2.15,2.87,NA,NA,-31.9,19.64,-22.2,NA,47.6,NA,NA,NA,NA,NA,3.07,3.99,NA,5.62,NA,1.65,1.7,NA,NA,-1.1,1.97,-1.52,NA,1.09,NA,NA,NA,NA,NA,1.49,1.52,NA,1.07,NA,100,0,0,0,100,100,0,32.6,0,100,0,0,30.641,73.2,100,0,10.705,0,0
"4","Western Great Plains Shortgrass Prairie","Chihuahuan Desert",16.28,26.3,6.1,NA,62.3,10.06,59.3,NA,NA,NA,NA,15.8,NA,NA,34.8,-3.79,NA,24.8,NA,1.92,2.15,1.89,NA,-49.1,6.59,-44.2,NA,NA,NA,NA,0.445,NA,NA,2.05,2.27,NA,4.03,NA,1.8,1.78,1.82,NA,-58.9,4.17,-52.7,NA,NA,NA,NA,0.445,NA,NA,1.5,2.03,NA,2.78,NA,1.95,2.22,1.94,NA,-34.7,10.37,-27.5,NA,NA,NA,NA,0.445,NA,NA,2.27,2.4,NA,4.61,NA,1.88,1.87,1.26,NA,-1.29,3.82,-2.26,NA,NA,NA,NA,1,NA,NA,1.35,1.55,NA,1.06,NA,100,0.61,0,0,100,98.2,0,62.8,0,100,100,0,92.683,100,100,0,0,0,0
"5","Western Great Plains Shortgrass Prairie","Edwards Plateau",17.76,27.2,7.83,NA,68.5,19.52,40.9,NA,68.6,NA,NA,NA,NA,NA,34.6,-1.14,NA,NA,NA,1.83,1.97,1.78,NA,-59.2,14.06,-48.4,NA,24.9,NA,NA,NA,NA,NA,1.92,2.23,NA,NA,NA,1.75,1.78,1.71,NA,-72.3,7,-55,NA,17.7,NA,NA,NA,NA,NA,1.54,2.05,NA,NA,NA,1.87,2.09,1.83,NA,-50.1,19.11,-43.5,NA,30.8,NA,NA,NA,NA,NA,2.14,2.31,NA,NA,NA,1.65,1.68,1.06,NA,-1.11,3.66,-3.39,NA,1.18,NA,NA,NA,NA,NA,1.25,1.27,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,85.8,0,98.427,100,100,0,86.364,0,0
"6","Western Great Plains Shortgrass Prairie","High Plains",12.42,23.7,2.17,NA,72.8,11.5,58.1,NA,48.8,NA,NA,16.9,NA,NA,33,-7.38,NA,23.9,NA,1.95,2.38,1.9,NA,-46.8,6.53,-31.7,NA,16.7,NA,NA,0.618,NA,NA,2.47,3.21,NA,4.58,NA,1.82,1.96,1.72,NA,-67.5,2.03,-53.5,NA,9.52,NA,NA,0.562,NA,NA,1.79,2.04,NA,2.85,NA,2.14,2.86,2.1,NA,-30.5,13.48,-17.2,NA,24.6,NA,NA,0.662,NA,NA,2.93,4.43,NA,6.44,NA,1.7,1.8,1.11,NA,-1.19,2.23,-1.77,NA,1.06,NA,NA,1.08,NA,NA,1.6,1.58,NA,1.17,NA,100,1.56,0,0,100,100,0,30.5,0,100,58.5,0,46.843,98.1,98.4,0,0.569,0,0
"7","Western Great Plains Shortgrass Prairie","Middle Rockies",8.6,21.4,-3.46,NA,NA,9.93,59.4,NA,NA,NA,NA,NA,NA,NA,31.8,-11.36,NA,NA,NA,2.02,2.65,1.83,NA,NA,4.64,-22.6,NA,NA,NA,NA,NA,NA,NA,2.68,4.5,NA,NA,NA,1.96,2.51,1.77,NA,NA,3.4,-26.5,NA,NA,NA,NA,NA,NA,NA,2.5,4.13,NA,NA,NA,2.1,2.82,1.89,NA,NA,7.72,-18.6,NA,NA,NA,NA,NA,NA,NA,2.88,4.88,NA,NA,NA,2.1,2.09,1.13,NA,NA,1.61,-1.23,NA,NA,NA,NA,NA,NA,NA,1.48,1.81,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"8","Western Great Plains Shortgrass Prairie","Nebraska Sand Hills",9.48,22,-2.61,NA,NA,9.5,65.2,NA,27.5,NA,NA,NA,NA,NA,31.9,-10.76,NA,18.9,NA,1.92,2.44,1.95,NA,NA,4.29,-22.8,NA,10.6,NA,NA,NA,NA,NA,2.52,3.96,NA,3.85,NA,1.88,2.29,1.92,NA,NA,2.67,-26,NA,10.21,NA,NA,NA,NA,NA,2.27,3.82,NA,3.33,NA,2.04,2.72,2.03,NA,NA,6.26,-19.6,NA,10.9,NA,NA,NA,NA,NA,2.81,4.47,NA,4.05,NA,1.67,1.78,1.05,NA,NA,1.27,-1.29,NA,1.06,NA,NA,NA,NA,NA,1.51,1.7,NA,1.02,NA,100,0,0,0,100,100,0,15.7,0,100,50.7,0,0,98.5,100,0,2.239,0,0
"9","Western Great Plains Shortgrass Prairie","Northwestern Great Plains",9.15,22.1,-3.15,NA,64.9,8.87,62.1,NA,NA,NA,NA,NA,NA,NA,32.6,-11.34,NA,NA,NA,1.98,2.55,1.83,NA,-32.1,4.01,-20.8,NA,NA,NA,NA,NA,NA,NA,2.53,4.24,NA,NA,NA,1.94,2.38,1.75,NA,-34.2,2.5,-28.2,NA,NA,NA,NA,NA,NA,NA,2.31,3.99,NA,NA,NA,2.16,2.87,2.02,NA,-28.3,6.36,-15.9,NA,NA,NA,NA,NA,NA,NA,2.91,5.27,NA,NA,NA,1.88,2.02,1.07,NA,-1.1,1.51,-1.17,NA,NA,NA,NA,NA,NA,NA,1.46,1.75,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0.605,96.1,87.3,0,0,0,0
"10","Western Great Plains Shortgrass Prairie","Southern Rockies",8.67,19.1,-1.12,NA,76.8,14.5,53.4,162,65.8,NA,NA,17,NA,NA,28.8,-9.13,NA,18.6,3.76,1.91,2.25,1.88,NA,-34.6,7.4,-27.8,-47.2,24.9,NA,NA,0.633,NA,NA,2.49,3.17,NA,4.77,5.26,1.81,2,1.7,NA,-47.1,2.81,-34.9,-71.8,16.23,NA,NA,0.544,NA,NA,2.22,2.19,NA,2.74,4.78,2.04,2.43,2.09,NA,-24.2,18.17,-17,-33.1,33,NA,NA,0.691,NA,NA,2.83,4.41,NA,6.71,6,1.94,1.97,1.35,NA,-1.19,1.74,-1.71,-1.09,1.2,NA,NA,1.15,NA,NA,1.77,1.8,NA,1.17,1.2,100,16.2,0,0,100,100,0,41.5,4.93,100,100,0,55.282,98.6,85.9,14.437,18.31,0,0
