"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Central Tallgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,9.28,23,-5.066,NA,105.8,14.3,56.2,NA,NA,NA,NA,NA,NA,NA,31.1,-12.49,NA,NA,NA,327459,0,2.92,3.78,2.9,NA,-55,11.21,-30.3,NA,NA,NA,NA,NA,NA,NA,3.8,4.81,NA,NA,NA,327459,0,2.92,3.78,2.9,NA,-55,11.21,-30.3,NA,NA,NA,NA,NA,NA,NA,3.8,4.81,NA,NA,NA,327459,0,2.92,3.78,2.9,NA,-55,11.21,-30.3,NA,NA,NA,NA,NA,NA,NA,3.8,4.81,NA,NA,NA,327459,0,2.55,2.4,1.36,NA,-1.49,2.08,-2.07,NA,NA,NA,NA,NA,NA,NA,1.82,1.87,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,0,0,0,0
"2","Central Tallgrass Prairie","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Central Tallgrass Prairie","Central Corn Belt Plains",76643,0,10.78,23,-2.317,NA,116.8,44.72,28.1,322,161.3,NA,NA,11.5,NA,NA,30.1,-8.33,NA,20.8,NA,76643,0,2.45,3.09,2.38,NA,-58.2,28.91,-30.6,-77,49,NA,NA,0.671,NA,NA,3.53,3.98,NA,8.78,NA,76643,0,2.33,2.77,2.09,NA,-81.6,17.52,-37.3,-97.9,35.21,NA,NA,0.383,NA,NA,3.11,3.72,NA,6.22,NA,76643,0,2.68,3.33,2.86,NA,-41.1,40.43,-25.1,-60.5,66.5,NA,NA,0.79,NA,NA,3.78,4.56,NA,11.16,NA,76643,0,2.49,2.17,1.23,NA,-1.33,2.53,-2.4,-1.1,1.19,NA,NA,1.25,NA,NA,1.83,1.66,NA,1.61,NA,100,93.423,0,0,100,100,0,58.88,0,100,100,0,90.5,100,100,49.11,76.926,0,0
"4","Central Tallgrass Prairie","Central Great Plains",274963,0,11.42,24.3,-1.742,NA,119.6,17.89,55.9,339,46.2,NA,NA,13.21,NA,NA,32.7,-9.34,NA,22.1,NA,274963,0,2.85,3.71,2.62,NA,-59.5,10.43,-27.8,-91.8,20.6,NA,NA,0.585,NA,NA,3.62,4.38,NA,5.76,NA,274963,0,2.65,3.45,2.42,NA,-79.9,6.9,-34.1,-108.6,15.19,NA,NA,0.549,NA,NA,3.17,4.03,NA,3.74,NA,274963,0,3.07,3.95,2.75,NA,-41.1,15.89,-23.3,-74.2,23.1,NA,NA,0.64,NA,NA,3.97,4.76,NA,7.27,NA,274963,0,2.45,2.25,1.23,NA,-1.24,1.61,-1.71,-1.04,1.03,NA,NA,1.05,NA,NA,1.69,1.75,NA,1.45,NA,100,13.52,0,0,100,100,0,89.32,0,100,100,0,64.2,100,100,9.87,0.447,0,0
"5","Central Tallgrass Prairie","Central Irregular Plains",114339,0,11.79,24.2,-1.368,NA,136.7,35.65,41,375,172.7,NA,NA,11.9,NA,NA,31.7,-8.1,NA,21.7,NA,114339,0,2.72,3.59,2.51,NA,-73.1,18.86,-30.7,-99.6,50.3,NA,NA,0.652,NA,NA,3.9,4.08,NA,5.05,NA,114339,0,2.61,3.36,2.16,NA,-96.2,10.49,-37.5,-136.5,42.75,NA,NA,0.549,NA,NA,3.77,3.78,NA,4.11,NA,114339,0,2.87,3.77,2.77,NA,-57.2,33.79,-25.4,-75.2,61.4,NA,NA,0.866,NA,NA,3.99,4.49,NA,6.77,NA,114339,0,2.43,2.12,1.16,NA,-1.87,2.12,-2.26,-1.23,1.06,NA,NA,1.21,NA,NA,1.63,1.55,NA,1.63,NA,100,83.455,0,0,100,100,0,54.1,0,100,100,0,100,100,100,96.94,4,0,0
"6","Central Tallgrass Prairie","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Central Tallgrass Prairie","Driftless Area",47383,0,8.09,21.4,-6.238,NA,118.9,25.81,47.7,347,102.8,NA,NA,NA,NA,NA,28.8,-12.85,NA,20.6,NA,47383,0,2.88,3.5,3.11,NA,-70.6,15.32,-28.6,-95.9,30.8,NA,NA,NA,NA,NA,3.82,4.83,NA,5.5,NA,47383,0,2.63,3.29,2.81,NA,-89.7,11.24,-32.4,-123.4,21.33,NA,NA,NA,NA,NA,3.63,4.35,NA,3.28,NA,47383,0,2.99,3.65,3.24,NA,-49.1,25.46,-24.6,-72.6,48.8,NA,NA,NA,NA,NA,4.05,5.08,NA,8.41,NA,47383,0,2.98,2.46,1.65,NA,-1.83,2.06,-2.37,-1.21,1.06,NA,NA,NA,NA,NA,1.93,1.87,NA,1.71,NA,100,0,0,0,100,100,0,54.97,0,100,100,0,100,100,100,89.29,31.24,0,0
"8","Central Tallgrass Prairie","Eastern Corn Belt Plains",83548,0,11.04,22.6,-1.234,NA,122,59.98,20.8,333,215.5,NA,NA,11.5,NA,NA,29.6,-6.91,NA,20.7,NA,83548,0,2.36,2.95,2.01,NA,-59.9,35.14,-30.8,-84.1,65.4,NA,NA,0.643,NA,NA,3.53,3.66,NA,7.78,NA,83548,0,2.23,2.79,1.87,NA,-82.1,26.21,-34.5,-96.7,40.89,NA,NA,0.463,NA,NA,3.41,3.43,NA,5.6,NA,83548,0,2.41,3.06,2.18,NA,-46.7,46.35,-26.9,-65.7,95.3,NA,NA,0.798,NA,NA,3.68,4.03,NA,11.42,NA,83548,0,2.47,2.48,1.03,NA,-1.2,2.47,-2.37,-1.04,1.31,NA,NA,1.13,NA,NA,2.22,1.57,NA,1.2,NA,100,82.274,0,0,100,100,0,90.75,0,100,58.6,0,95.1,100,100,6.02,91.862,0,0
"9","Central Tallgrass Prairie","Flint Hills",27932,0,12.65,25.1,-0.334,NA,137.8,24.44,50.8,370,NA,NA,NA,12.75,NA,NA,33.1,-7.81,NA,22.8,NA,27932,0,2.9,3.79,2.65,NA,-74.9,11.69,-30.7,-111.9,NA,NA,NA,0.663,NA,NA,3.84,4.25,NA,5.39,NA,27932,0,2.85,3.75,2.6,NA,-87.4,8.63,-33.6,-120.8,NA,NA,NA,0.586,NA,NA,3.79,4.17,NA,4.98,NA,27932,0,3.01,3.88,2.7,NA,-60,14.96,-28.8,-92.2,NA,NA,NA,0.711,NA,NA,3.93,4.37,NA,6.93,NA,27932,0,2.4,2.09,1.21,NA,-1.41,1.35,-2.28,-1.11,NA,NA,NA,1.24,NA,NA,1.6,1.6,NA,1.46,NA,100,98.584,0,0,100,100,0,96.32,0,100,100,0,100,100,100,65.72,0,0,0
"10","Central Tallgrass Prairie","High Plains",288315,0,9.23,22,-2.81,NA,NA,9.39,64.6,NA,32.3,NA,NA,NA,NA,NA,31.9,-10.82,NA,18.9,NA,288315,0,2.64,3.28,2.45,NA,NA,8.09,-28.5,NA,13.1,NA,NA,NA,NA,NA,3.06,4.27,NA,4.76,NA,288315,0,2.58,3.09,2.41,NA,NA,6.23,-30.5,NA,11.98,NA,NA,NA,NA,NA,2.69,4,NA,4.14,NA,288315,0,2.71,3.43,2.6,NA,NA,9.96,-26.5,NA,17.3,NA,NA,NA,NA,NA,3.17,4.56,NA,5.39,NA,288315,0,2.39,2.51,1.33,NA,NA,2.71,-1.63,NA,1.13,NA,NA,NA,NA,NA,1.77,1.76,NA,1.15,NA,100,0,0,0,100,100,0,100,0,100,100,0,0,100,100,0,88.889,0,0
