"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Columbia Plateau Western Juniper Woodland and Savanna","Blue Mountains",70911,0,8.19,17.5,-0.262,NA,46.7,12.46,37,NA,NA,NA,171,12.1,41,NA,29.3,-5.98,NA,11.52,17.2,70911,0,2.45,2.62,2.68,NA,-21.6,6.71,-24.5,NA,NA,NA,52.2,0.399,2.86,NA,2.7,4.36,NA,4.91,4.88,70911,0,2.2,2.33,2.3,NA,-30.5,2.7,-35.6,NA,NA,NA,51.6,0.374,2.16,NA,2.44,3.87,NA,3.63,2.98,70911,0,2.83,2.88,3.28,NA,-14.6,14.22,-15.2,NA,NA,NA,52.8,0.447,3.55,NA,3.04,4.85,NA,5.93,8.03,70911,0,3.65,2.46,2.31,NA,-1.13,1.58,-1.39,NA,NA,NA,1.01,1.02,1.1,NA,1.59,2.57,NA,1.165,1.21,100,3.21,93.6,0,100,100,0,4.592,87.9,100,100,0,21.93,57.7,82.7,0,0,0,0.23
"2","Columbia Plateau Western Juniper Woodland and Savanna","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Columbia Plateau Western Juniper Woodland and Savanna","Cascades",46434,0,9.12,17.8,1.61,NA,NA,7.49,53.6,NA,NA,NA,NA,NA,38.8,NA,28.3,-3.18,NA,2.12,17.7,46434,0,2.43,2.7,2.44,NA,NA,3.41,-25.1,NA,NA,NA,NA,NA,2.85,NA,2.77,4.14,NA,1.65,3.38,46434,0,2.37,2.55,2.36,NA,NA,2.58,-26,NA,NA,NA,NA,NA,2.56,NA,2.61,3.91,NA,1.65,2.81,46434,0,2.47,2.83,2.49,NA,NA,4.39,-24.1,NA,NA,NA,NA,NA,3.08,NA,2.92,4.43,NA,1.65,3.96,46434,0,4.02,2.63,2.2,NA,NA,1.2,-1.09,NA,NA,NA,NA,NA,1.09,NA,1.67,3.2,NA,1.223,2.18,100,0,73.5,0,100,100,0,0.572,98.9,100,100,0,8.48,74.4,67.5,0,0,0,0
"4","Columbia Plateau Western Juniper Woodland and Savanna","Central Basin and Range",309946,0,4.98,13.5,-2.078,NA,124.7,14.09,64.9,NA,49.2,NA,NA,NA,41.6,NA,23.1,-8.24,NA,-1.67,13.5,309946,0,2.6,2.56,3.04,NA,-90.9,14.29,-40.8,NA,29,NA,NA,NA,3.75,NA,2.66,4.93,NA,2.21,3.93,309946,0,2.6,2.56,3.04,NA,-90.9,14.29,-40.8,NA,29,NA,NA,NA,3.75,NA,2.66,4.93,NA,2.21,3.93,309946,0,2.6,2.56,3.04,NA,-90.9,14.29,-40.8,NA,29,NA,NA,NA,3.75,NA,2.66,4.93,NA,2.21,3.93,309946,0,3.7,2.23,2.35,NA,-1.02,4.15,-1.62,NA,1.26,NA,NA,NA,1.4,NA,1.67,2.91,NA,1.025,1.2,100,0,100,0,100,100,0,100,100,100,100,0,100,100,100,0,100,0,0
"5","Columbia Plateau Western Juniper Woodland and Savanna","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Columbia Plateau Western Juniper Woodland and Savanna","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Columbia Plateau Western Juniper Woodland and Savanna","Columbia Plateau",83923,0,9.58,18.7,1.087,NA,NA,NA,41.1,NA,NA,NA,NA,13.7,39.9,NA,30.1,-3.95,NA,NA,18.7,83923,0,2.24,2.51,2.34,NA,NA,NA,-23.7,NA,NA,NA,NA,0.493,2.79,NA,2.6,4.05,NA,NA,3.96,83923,0,2.24,2.49,2.32,NA,NA,NA,-23.8,NA,NA,NA,NA,0.49,2.76,NA,2.59,4.03,NA,NA,3.95,83923,0,2.25,2.53,2.36,NA,NA,NA,-23.5,NA,NA,NA,NA,0.495,2.82,NA,2.62,4.08,NA,NA,3.98,83923,0,3.24,2.52,1.98,NA,NA,NA,-1.07,NA,NA,NA,NA,1.02,1.01,NA,1.63,2.15,NA,NA,1.2,100,100,75,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0
"8","Columbia Plateau Western Juniper Woodland and Savanna","Eastern Cascades Slopes and Foothills",56174,0,8.37,17.6,0.217,NA,60.3,8.02,50.3,NA,NA,NA,NA,NA,41.5,NA,29.2,-5.75,NA,1.63,17.5,56174,0,2.59,2.73,2.81,NA,-30.1,4.28,-25.8,NA,NA,NA,NA,NA,2.72,NA,2.71,4.34,NA,1.84,3.65,56174,0,2.21,2.36,2.31,NA,-52.7,2.29,-34.5,NA,NA,NA,NA,NA,2.3,NA,2.49,3.48,NA,1.81,2.73,56174,0,2.67,2.94,3.01,NA,-23.1,7.58,-20.7,NA,NA,NA,NA,NA,3.26,NA,3.03,4.95,NA,1.89,5.5,56174,0,4.17,2.5,2.51,NA,-1.09,1.36,-1.25,NA,NA,NA,NA,NA,1.12,NA,1.56,3.19,NA,1.216,1.66,100,0,74,0,100,100,0,0.486,98.8,100,100,0,8.66,75.2,68.5,0,0,0,0
"9","Columbia Plateau Western Juniper Woodland and Savanna","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Columbia Plateau Western Juniper Woodland and Savanna","Klamath Mountains",48539,0,10.54,19.5,2.745,NA,NA,9.44,NA,NA,NA,NA,NA,NA,38,NA,30.1,-2.26,NA,2.97,19.4,48539,0,2.33,2.56,2.36,NA,NA,4.54,NA,NA,NA,NA,NA,NA,2.72,NA,2.66,4,NA,1.67,3.52,48539,0,2.27,2.4,2.22,NA,NA,2.82,NA,NA,NA,NA,NA,NA,2.43,NA,2.55,3.81,NA,1.5,2.83,48539,0,2.39,2.74,2.47,NA,NA,7,NA,NA,NA,NA,NA,NA,3.05,NA,2.84,4.27,NA,2.25,5.66,48539,0,3.88,2.58,2.21,NA,NA,1.37,NA,NA,NA,NA,NA,NA,1.1,NA,1.71,3.21,NA,1.183,2.1,100,0,51.6,0,100,100,0,51.562,100,100,100,0,0,89.1,0,0,0,0,0
