"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Mountains",108826,0,13.66,23.2,4.86,NA,NA,8.07,48.9,NA,NA,NA,NA,NA,NA,NA,32.4,-2.24,NA,19.05,NA,108826,0,2.63,2.6,2.58,NA,NA,4.67,-27.1,NA,NA,NA,NA,NA,NA,NA,2.41,3.05,NA,10.26,NA,108826,0,2.63,2.57,2.57,NA,NA,4.013,-31.5,NA,NA,NA,NA,NA,NA,NA,2.39,2.9,NA,7.39,NA,108826,0,2.65,2.62,2.6,NA,NA,5.92,-20.3,NA,NA,NA,NA,NA,NA,NA,2.43,3.15,NA,13.18,NA,108826,0,3.35,2.84,2.37,NA,NA,1.24,-1.5,NA,NA,NA,NA,NA,NA,NA,1.88,2.98,NA,1.296,NA,100,0,0,0,100,100,0,82.35,0,100,100,0,0,100,70.6,0,0,0,0
"2","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Plateau",150072,0,13.73,23.9,4.287,NA,46.9,9.57,41.2,NA,50.3,NA,NA,NA,NA,NA,32.9,-2.349,NA,17.59,18.9,150072,0,2.68,2.69,2.67,NA,-37.9,5.15,-36,NA,13.98,NA,NA,NA,NA,NA,2.48,3.21,NA,11.2,7.81,150072,0,2.62,2.54,2.53,NA,-44.6,2.369,-48.1,NA,13.6,NA,NA,NA,NA,NA,2.36,2.84,NA,7.06,7.81,150072,0,2.73,2.79,2.88,NA,-27,9.32,-19.6,NA,14.24,NA,NA,NA,NA,NA,2.6,3.54,NA,14.83,7.81,150072,0,3.41,2.65,2.55,NA,-1.1,1.94,-2.03,NA,1.01,NA,NA,NA,NA,NA,1.82,2.9,NA,1.396,1.1,100,0,0,0,100,100,0,66.03,0.382,100,100,0,24.4,96.2,93.9,0,1.15,0,0
"3","Great Basin Pinyon Juniper Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Great Basin Pinyon Juniper Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,14.51,23.2,6.797,NA,NA,3.36,84,NA,NA,NA,NA,NA,NA,NA,33.1,1.153,33.4,9.83,21.9,123988,0,2.4,2.34,2.48,NA,NA,3.76,-33.5,NA,NA,NA,NA,NA,NA,NA,2.07,3.58,-1.67,2.68,3.23,123988,0,2.31,1.94,2.42,NA,NA,1.187,-36.3,NA,NA,NA,NA,NA,NA,NA,1.5,2.89,-1.94,2.55,3.1,123988,0,2.46,2.57,2.52,NA,NA,6.48,-27.9,NA,NA,NA,NA,NA,NA,NA,2.46,3.93,-1.39,2.81,3.38,123988,0,3.41,2.51,2.3,NA,NA,3.36,-1.3,NA,NA,NA,NA,NA,NA,NA,1.68,2.95,-1.14,1.483,1.88,100,0,0,0,100,100,40,40,60,100,100,0,0,100,100,0,0,0,0
"5","Great Basin Pinyon Juniper Woodland","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,95.16,0,100,100,0,0,96.774,100,100,0,19.4,93.5,100,0,0,0,0
"6","Great Basin Pinyon Juniper Woodland","Central Basin and Range",309946,0,8.85,19.4,-0.651,NA,47.2,14.78,35.3,105,51.2,37.8,185,NA,38.9,NA,29.7,-7.336,37.1,9.11,15.5,309946,0,2.9,2.76,3.43,NA,-35,9.88,-45.8,-43.2,25.56,22.6,73.7,NA,2.74,NA,2.82,4.94,-2.42,5.79,8.4,309946,0,2.47,2.35,2.61,NA,-78.7,1.595,-72.1,-57.6,4.72,22.6,33.2,NA,1.86,NA,2.47,3.46,-3.27,-8.12,2.34,309946,0,3.41,3.31,4.08,NA,-13.2,29.35,-27,-35.7,58.6,22.6,102,NA,4.32,NA,3.33,6.1,-1.87,13.12,17.72,309946,0,3.7,2.27,2.56,NA,-1.23,3.88,-2.62,-1.06,1.71,1.11,1.01,NA,1.23,NA,1.73,2.91,-1.08,1.22,1.23,100,0,93.34,0,100,100,38.441,7.88,49.791,100,100,0,65.9,100,100,0.932,76.05,0.0161,0.129
"7","Great Basin Pinyon Juniper Woodland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Great Basin Pinyon Juniper Woodland","Colorado Plateaus",134931,0,12.17,22.6,2.519,NA,53.4,13.39,37.7,NA,69.6,NA,NA,NA,41.9,NA,33.1,-4.895,NA,NA,NA,134931,0,2.8,2.76,3.14,NA,-35.1,4.75,-40.2,NA,17.18,NA,NA,NA,2.06,NA,2.67,3.86,NA,NA,NA,134931,0,2.77,2.72,3.07,NA,-39.5,3.43,-46.4,NA,14.2,NA,NA,NA,1.93,NA,2.59,3.64,NA,NA,NA,134931,0,2.84,2.81,3.23,NA,-30.2,6.86,-35.9,NA,20.7,NA,NA,NA,2.23,NA,2.71,4.27,NA,NA,NA,134931,0,3.5,2.48,2.76,NA,-1.08,1.35,-2.67,NA,1.06,NA,NA,NA,1.05,NA,1.76,3.01,NA,NA,NA,100,0,30.95,0,100,100,0,0,0,100,100,0,57.1,71.4,100,0,40.48,0,0
"9","Great Basin Pinyon Juniper Woodland","Eastern Cascades Slopes and Foothills",56174,0,6.98,16.1,-0.964,NA,47.6,9.5,47.4,NA,NA,NA,NA,NA,42,NA,27.8,-7.023,NA,NA,16.1,56174,0,2.63,2.72,2.87,NA,-24.9,5.17,-29.3,NA,NA,NA,NA,NA,2.74,NA,2.6,4.58,NA,NA,3.86,56174,0,2.54,2.58,2.66,NA,-29.4,4.086,-33.8,NA,NA,NA,NA,NA,2.43,NA,2.57,4.12,NA,NA,2.89,56174,0,2.67,2.8,2.97,NA,-20.2,6.66,-22.6,NA,NA,NA,NA,NA,3.06,NA,2.64,4.9,NA,NA,4.77,56174,0,4.24,2.4,2.51,NA,-1.13,1.82,-1.48,NA,NA,NA,NA,NA,1.08,NA,1.41,3.19,NA,NA,1.47,100,0,95.16,0,100,100,0,0,96.774,100,100,0,19.4,93.5,100,0,0,0,0
"10","Great Basin Pinyon Juniper Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
