"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Xeric Mixed Sagebrush Shrubland","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Great Basin Xeric Mixed Sagebrush Shrubland","Arizona/New Mexico Plateau",150072,0,15.07,25.7,5.145,NA,41,10.12,36.6,NA,48.5,NA,NA,NA,NA,NA,34.2,-0.708,NA,23.76,NA,150072,0,2.72,2.77,2.81,NA,-33.8,4.75,-43.5,NA,13.56,NA,NA,NA,NA,NA,2.59,3.41,NA,10.746,NA,150072,0,2.71,2.73,2.67,NA,-41.2,3.517,-48.1,NA,13.56,NA,NA,NA,NA,NA,2.46,3.14,NA,10.75,NA,150072,0,2.73,2.79,2.86,NA,-29.3,5.9,-41.8,NA,13.56,NA,NA,NA,NA,NA,2.64,3.54,NA,10.75,NA,150072,0,3.5,2.56,2.72,NA,-1.06,1.98,-2.45,NA,1.18,NA,NA,NA,NA,NA,1.78,3.08,NA,1.402,NA,100,0,0,0,100,100,0,7.143,0,100,100,0,71.43,100,100,0,7.14,0,0
"3","Great Basin Xeric Mixed Sagebrush Shrubland","Blue Mountains",70911,0,8.84,19,-0.843,NA,61.5,17.21,36.3,NA,56.8,NA,NA,12.1,35.9,NA,29.8,-5.912,NA,11.83,18.1,70911,0,2.64,2.84,2.89,NA,-25.4,9.32,-25,NA,16.55,NA,NA,0.416,2.62,NA,2.9,4.56,NA,-6.915,6.17,70911,0,2.42,2.59,2.56,NA,-36.7,5.385,-37.5,NA,14.37,NA,NA,0.38,2.23,NA,2.68,4.3,NA,-6.92,3.65,70911,0,2.79,2.92,3.25,NA,-16.5,12.07,-14.5,NA,18.74,NA,NA,0.46,3.06,NA,3.17,4.79,NA,-6.92,10.52,70911,0,3.79,2.51,2.62,NA,-1.15,1.85,-1.7,NA,1.06,NA,NA,1.04,1.14,NA,1.74,2.63,NA,-1.049,1.1,100,49.1,75.45,0,100,100,0,0.599,80.84,100,100,0,65.27,88.6,95.8,0,1.2,0,0
"4","Great Basin Xeric Mixed Sagebrush Shrubland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Great Basin Xeric Mixed Sagebrush Shrubland","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Great Basin Xeric Mixed Sagebrush Shrubland","Cascades",46434,0,9.14,18,1.681,NA,NA,NA,51.2,NA,NA,NA,NA,NA,37.8,NA,27.7,-2.307,NA,NA,18,46434,0,2.43,2.77,2.46,NA,NA,NA,-26,NA,NA,NA,NA,NA,2.8,NA,2.78,4.34,NA,NA,3.95,46434,0,2.43,2.77,2.46,NA,NA,NA,-26,NA,NA,NA,NA,NA,2.8,NA,2.78,4.34,NA,NA,3.95,46434,0,2.43,2.77,2.46,NA,NA,NA,-26,NA,NA,NA,NA,NA,2.8,NA,2.78,4.34,NA,NA,3.95,46434,0,3.94,2.66,2.2,NA,NA,NA,-1.14,NA,NA,NA,NA,NA,1.1,NA,1.67,3.39,NA,NA,1.85,100,0,60.71,0,100,100,0,0,97.62,100,100,0,9.52,95.2,85.7,0,0,0,0
"7","Great Basin Xeric Mixed Sagebrush Shrubland","Central Basin and Range",309946,0,9.42,20.2,-0.461,NA,40.6,13.05,33.1,88.4,45.3,37.8,185,NA,39.5,NA,31.1,-7.564,38.1,10.68,14.5,309946,0,2.91,2.8,3.46,NA,-30.9,9.24,-47.6,-40.2,23.05,22.6,73.7,NA,2.61,NA,2.84,4.89,-2.42,6.269,9.53,309946,0,2.51,2.35,2.61,NA,-90.9,1.595,-69.9,-57.6,4.22,22.6,33.2,NA,1.74,NA,2.47,3.3,-3.21,-9.14,2.34,309946,0,3.4,3.3,4.13,NA,-12.1,29.35,-25.6,-30.6,58.5,22.6,102,NA,4.27,NA,3.32,6.19,-1.94,14.14,19.3,309946,0,3.72,2.27,2.56,NA,-1.22,4.19,-2.71,-1.06,1.78,1.11,1.01,NA,1.19,NA,1.71,2.84,-1.07,1.172,1.25,100,0,89.65,0,100,100,25.8,9.47,44.1,100,100,0,66.91,100,100,1.0495,80.04,0.0082,0.0656
"8","Great Basin Xeric Mixed Sagebrush Shrubland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Great Basin Xeric Mixed Sagebrush Shrubland","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Great Basin Xeric Mixed Sagebrush Shrubland","Colorado Plateaus",134931,0,14.69,25.4,4.808,NA,45.2,11.69,34.2,NA,54.6,NA,NA,NA,NA,NA,34.2,-1.078,NA,NA,NA,134931,0,2.75,2.78,2.95,NA,-34.6,5.26,-43.5,NA,13.37,NA,NA,NA,NA,NA,2.68,3.69,NA,NA,NA,134931,0,2.75,2.78,2.95,NA,-34.6,5.256,-43.5,NA,13.37,NA,NA,NA,NA,NA,2.68,3.69,NA,NA,NA,134931,0,2.75,2.78,2.95,NA,-34.6,5.26,-43.5,NA,13.37,NA,NA,NA,NA,NA,2.68,3.69,NA,NA,NA,134931,0,3.48,2.54,2.72,NA,-1.04,1.58,-2.67,NA,1.04,NA,NA,NA,NA,NA,1.76,3.12,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,0,100,0,0
