"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,7.73,16.6,-0.656,NA,102.5,21.8,48,253.7,91.1,NA,NA,14.2,44.9,NA,25.4,-8.09,NA,15.56,10.38,108826,0,2.66,2.81,2.79,NA,-49.7,11.37,-31.7,-69.7,30.4,NA,NA,0.611,2.4,NA,2.61,3.24,NA,6.683,5.97,108826,0,2.57,2.53,2.63,NA,-88,4.31,-46.3,-97.3,10.56,NA,NA,0.583,2.07,NA,2.16,2.55,NA,-8.25,3.39,108826,0,2.81,3.12,3.04,NA,-30.4,24.17,-19.3,-40.9,45.6,NA,NA,0.696,3.31,NA,3.14,4.21,NA,12.06,9.04,108826,0,3.01,2.78,2.42,NA,-1.2,1.85,-1.85,-1.07,1.15,NA,NA,1.02,1.09,NA,1.77,2.57,NA,1.26,1.4,100,4.23,38.05,0,100,100,0,67.442,53.91,100,100,0,53.49,91.5,96.6,3.383,9.51,0,0
"2","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,6.65,16.6,-2.909,NA,61.4,20.1,40.4,163.5,69.1,NA,NA,16.5,41.6,NA,26.1,-10.78,37,15.26,12.58,150072,0,2.69,2.9,2.83,NA,-29.6,11.17,-35.8,-39.7,25.2,NA,NA,0.522,2.28,NA,2.89,3.99,-1.68,5.472,5.76,150072,0,2.65,2.67,2.72,NA,-60.6,4.5,-43.5,-50.8,11.38,NA,NA,0.47,1.88,NA,2.51,3.37,-1.73,4.24,5.15,150072,0,2.72,3.05,2.98,NA,-15.4,23.23,-28.3,-29.7,46.9,NA,NA,0.595,2.78,NA,3.2,4.56,-1.63,10.73,6.38,150072,0,3.09,2.78,2.49,NA,-1.24,2.26,-2.19,-1.14,1.44,NA,NA,1.11,1.13,NA,2.08,2.98,-1.11,1.18,1.02,100,45.61,77.19,0,100,100,8.77,84.211,3.51,100,100,0,75.44,100,100,15.789,52.63,0,0
"3","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,6.78,17.1,-2.33,NA,69.3,24.4,31.8,193.4,85.1,NA,NA,NA,37.2,NA,26.4,-8.46,35,4.04,13.01,309946,0,3.02,2.86,3.69,NA,-46.7,15.58,-40.6,-53.4,32.9,NA,NA,NA,3.12,NA,2.84,5.37,-2.59,0.953,8.72,309946,0,2.49,2.47,2.74,NA,-83.4,3.32,-58,-53.4,13.62,NA,NA,NA,2.28,NA,2.54,3.63,-3.27,-8.12,2.34,309946,0,3.42,3.24,4,NA,-30.8,29.35,-26.3,-53.4,57.8,NA,NA,NA,4.32,NA,3.32,5.93,-1.88,5.33,16.47,309946,0,3.63,2.28,2.74,NA,-1.24,3.04,-2.68,-1.02,1.49,NA,NA,NA,1.29,NA,1.81,2.9,-1.17,0.717,1.33,100,0,97.05,0,100,100,88.2,2.655,76.11,100,100,0,82.6,100,100,0.295,61.95,0,0
"7","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,6.55,17.4,-3.63,NA,57.1,25.6,22.3,147.8,95.5,NA,NA,NA,36.7,NA,26.6,-10.3,37,16.08,10.48,134931,0,3.07,3.1,3.29,NA,-39.7,12,-38.7,-52,30.8,NA,NA,NA,2.32,NA,3.03,5.04,-2.05,6.664,12.11,134931,0,2.76,2.71,2.69,NA,-60.1,5.1,-49.2,-75.9,16.41,NA,NA,NA,1.56,NA,2.57,4.09,-3,-9.12,6.18,134931,0,3.37,3.34,3.76,NA,-21.8,21.38,-23.3,-25.1,55.2,NA,NA,NA,2.99,NA,3.26,6.05,-1.4,13.11,19.57,134931,0,3.64,2.58,3.43,NA,-1.25,2.11,-2.9,-1.12,1.57,NA,NA,NA,1.2,NA,1.97,3.78,-1.21,0.953,1.42,100,0,79.13,0,100,100,90.46,19.085,70.38,100,100,0,75.55,94.4,100,16.501,60.04,0,0
"10","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Columbia Mountains/Northern Rockies",179304,0,9.8,19.7,0.313,NA,88.9,NA,38.5,NA,NA,NA,NA,12.9,NA,NA,30.4,-4.48,NA,NA,19.37,179304,0,2.69,2.93,2.82,NA,-33.8,NA,-22.1,NA,NA,NA,NA,0.435,NA,NA,3.27,4.43,NA,NA,6.99,179304,0,2.69,2.93,2.82,NA,-33.8,NA,-22.1,NA,NA,NA,NA,0.435,NA,NA,3.27,4.43,NA,NA,6.99,179304,0,2.69,2.93,2.82,NA,-33.8,NA,-22.1,NA,NA,NA,NA,0.435,NA,NA,3.27,4.43,NA,NA,6.99,179304,0,3.93,2.93,2.69,NA,-1.14,NA,-1.45,NA,NA,NA,NA,1.05,NA,NA,1.93,2.64,NA,NA,1.01,100,100,0,0,100,100,0,0,100,100,100,0,100,0,100,0,0,0,0
