"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Mountains",108826,0,10.81,20.7,1.4161,NA,56.2,11.36,50.7,157.3,44.6,NA,NA,17.1,42.1,NA,30.6,-6.808,NA,19.938,14.21,108826,0,2.67,2.78,2.78,NA,-27.5,5.99,-29.2,-43.1,16.47,NA,NA,0.601,2.25,NA,2.7,3.15,NA,7.033,6.26,108826,0,2.58,2.56,2.57,NA,-45.5,3.007,-43.9,-52.3,10.08,NA,NA,0.594,1.98,NA,2.22,2.23,NA,2.94,3.55,108826,0,2.83,3.07,3.04,NA,-17.8,14.89,-19.3,-35.2,32.09,NA,NA,0.622,2.5,NA,3.2,4.17,NA,12.96,10.32,108826,0,3.04,2.7,2.38,NA,-1.18,1.88,-1.6,-1.06,1.27,NA,NA,1.03,1.09,NA,1.87,2.56,NA,1.28599,1.17,100,0.636,5.09,0,100,100,0,84.86,52.8,100,100,0,19.08,96.31,91.6,0.509,17.176,0,0
"2","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Plateau",150072,0,11.16,21.6,1.0757,NA,43.9,10.91,43.9,121.6,43.7,NA,NA,17.1,42,NA,31.6,-7.065,40.4,20.356,12.537,150072,0,2.69,2.85,2.84,NA,-25,6.39,-35.1,-32.6,17.18,NA,NA,0.594,2.03,NA,2.85,3.31,-1.7,7.975,7.87,150072,0,2.61,2.56,2.55,NA,-50.4,1.258,-50.4,-50.8,7.86,NA,NA,0.47,1.69,NA,2.37,2.23,-1.83,-9.33,4.16,150072,0,2.77,3.05,3.07,NA,-13.7,23.23,-19.6,-23.6,46.87,NA,NA,0.673,2.78,NA,3.29,4.68,-1.56,14.83,11.18,150072,0,3.03,2.69,2.41,NA,-1.27,2.2,-2.02,-1.07,1.43,NA,NA,1.15,1.08,NA,1.98,2.6,-1.05,1.23253,1.32,100,7.951,11.67,0,100,100,0.623,83.87,28.3,100,100,0,50.18,95.703,95.8,1.806,40.17,0,0
"3","Inter Mountain Basins Big Sagebrush Shrubland","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Big Sagebrush Shrubland","Blue Mountains",70911,0,8.98,18.5,0.1153,NA,47,13.17,37.6,NA,61.3,NA,NA,12.5,39.9,NA,30.2,-5.447,NA,11.047,18.026,70911,0,2.46,2.64,2.69,NA,-21.2,7.4,-24.6,NA,19.33,NA,NA,0.444,2.78,NA,2.7,4.32,NA,4.372,4.94,70911,0,2.15,2.28,2.22,NA,-30.5,2.704,-35.6,NA,14.12,NA,NA,0.378,2.12,NA,2.25,3.81,NA,-4.39,2.5,70911,0,2.85,2.96,3.36,NA,-12.2,13.66,-15.5,NA,22.69,NA,NA,0.539,3.55,NA,3.07,4.9,NA,5.93,10.84,70911,0,3.61,2.46,2.34,NA,-1.14,1.73,-1.43,NA,1.2,NA,NA,1.03,1.09,NA,1.62,2.47,NA,1.09675,1.16,100,11.262,86.89,0,100,100,0,3.493,79.54,100,100,0,27.51,55.88,90.4,0,0.428,0,0
"5","Inter Mountain Basins Big Sagebrush Shrubland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,13.77,22.4,6.2716,NA,67.7,3.63,79.6,NA,19.2,NA,NA,NA,42.9,NA,32.6,0.603,NA,NA,22.387,123988,0,2.35,2.51,2.3,NA,-45.2,2.95,-33.9,NA,8.79,NA,NA,NA,2.7,NA,2.34,3.68,NA,NA,3.62,123988,0,2.33,2.35,2.29,NA,-45.2,2.813,-33.9,NA,8.79,NA,NA,NA,2.62,NA,1.98,2.95,NA,NA,2.81,123988,0,2.39,2.59,2.32,NA,-45.2,3.04,-33.9,NA,8.79,NA,NA,NA,2.78,NA,2.52,4.12,NA,NA,5.22,123988,0,3.9,2.58,2.2,NA,-1.04,2.39,-1.69,NA,1.75,NA,NA,NA,1.04,NA,1.64,2.83,NA,NA,2.75,100,0,66.67,0,100,100,0,0,100,100,100,0,33.33,100,33.3,0,33.333,0,0
"6","Inter Mountain Basins Big Sagebrush Shrubland","Canadian Rockies",104960,0,5.03,15.1,-4.2782,NA,NA,26.02,38.4,NA,85.9,NA,NA,NA,NA,NA,24.8,-11.097,NA,12.695,0.456,104960,0,2.77,3.17,2.73,NA,NA,15.38,-26.5,NA,34.22,NA,NA,NA,NA,NA,2.92,5.67,NA,5.552,11.16,104960,0,2.77,3.17,2.73,NA,NA,15.381,-26.5,NA,34.22,NA,NA,NA,NA,NA,2.92,5.67,NA,5.55,11.16,104960,0,2.77,3.17,2.73,NA,NA,15.38,-26.5,NA,34.22,NA,NA,NA,NA,NA,2.92,5.67,NA,5.55,11.16,104960,0,3.67,2.92,2.1,NA,NA,3.69,-1.43,NA,2.39,NA,NA,NA,NA,NA,1.63,2.21,NA,1.38692,1.69,100,0,0,0,100,100,0,100,100,100,100,0,0,100,100,0,100,0,0
"7","Inter Mountain Basins Big Sagebrush Shrubland","Cascades",46434,0,8.16,16.8,0.6762,NA,NA,6.3,53.6,NA,NA,NA,NA,NA,41.1,NA,27.7,-4.415,NA,-0.568,16.815,46434,0,2.41,2.74,2.44,NA,NA,2.58,-25.1,NA,NA,NA,NA,NA,2.89,NA,2.84,4.27,NA,2.108,3.47,46434,0,2.29,2.58,2.3,NA,NA,2.584,-26,NA,NA,NA,NA,NA,2.58,NA,2.71,3.91,NA,1.9,3.03,46434,0,2.47,2.93,2.49,NA,NA,2.58,-24.1,NA,NA,NA,NA,NA,3.18,NA,3.04,4.6,NA,2.35,3.96,46434,0,3.85,2.66,2.16,NA,NA,1.03,-1.09,NA,NA,NA,NA,NA,1.11,NA,1.72,3.21,NA,1.35156,2.16,100,9.974,69.62,0,100,100,0,5.737,97.39,100,100,0,9.58,72.621,61.3,0,0,0,0
"8","Inter Mountain Basins Big Sagebrush Shrubland","Central Basin and Range",309946,0,9.38,20.1,-0.5238,NA,41.3,13.05,33.4,98,45,37.8,169.9,NA,39.7,NA,31.2,-7.68,38.2,10.544,15.247,309946,0,2.91,2.8,3.46,NA,-30.9,9.22,-46.9,-41.9,22.86,22.6,67.7,NA,2.61,NA,2.84,4.89,-2.41,6.072,9.22,309946,0,2.47,2.35,2.61,NA,-90.9,1.688,-69.9,-59.5,4.3,22.6,33.2,NA,1.86,NA,2.47,3.43,-3.21,-9.14,2.16,309946,0,3.42,3.31,4.13,NA,-11.7,23.83,-24.3,-30.6,58.6,22.6,102,NA,4.1,NA,3.33,6.19,-1.87,14.93,19.3,309946,0,3.73,2.26,2.56,NA,-1.23,4.12,-2.69,-1.07,1.74,1.11,1.01,NA,1.19,NA,1.7,2.83,-1.07,1.13827,1.23,100,0,87.97,0,100,100,25.247,10.327,42.8,100,100,0,67.49,99.993,100,2.282,78.074,0.00731,0.0731
"9","Inter Mountain Basins Big Sagebrush Shrubland","Central California Valley",46126,0,16.69,24.7,8.8854,NA,NA,3.3,84.1,NA,NA,NA,NA,NA,NA,NA,35.2,3.055,NA,NA,24.591,46126,0,2.23,2.16,2.31,NA,NA,2.38,-27.9,NA,NA,NA,NA,NA,NA,NA,1.89,3.1,NA,NA,3.71,46126,0,2.23,2.16,2.31,NA,NA,2.38,-27.9,NA,NA,NA,NA,NA,NA,NA,1.89,3.1,NA,NA,3.71,46126,0,2.23,2.16,2.31,NA,NA,2.38,-27.9,NA,NA,NA,NA,NA,NA,NA,1.89,3.1,NA,NA,3.71,46126,0,4.23,2.25,2.91,NA,NA,1.89,-1.21,NA,NA,NA,NA,NA,NA,NA,1.34,2.81,NA,NA,2.09,100,0,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,0,0
"10","Inter Mountain Basins Big Sagebrush Shrubland","Central Great Plains",274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
