"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Mat Saltbush Shrubland","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Inter Mountain Basins Mat Saltbush Shrubland","Arizona/New Mexico Plateau",150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Inter Mountain Basins Mat Saltbush Shrubland","Central Basin and Range",309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Mat Saltbush Shrubland","Colorado Plateaus",134931,0,10.92,23.1,-1.44,NA,30.1,11.96,25.9,86.6,44,NA,NA,NA,36.9,NA,33.8,-9.62,42.5,18.6,3.29,134931,0,3.09,3.17,3.34,NA,-19.9,7.54,-41.1,-32.5,18,NA,NA,NA,2.03,NA,3.04,4.85,-2.1,7.12,15.9,134931,0,2.72,2.75,2.73,NA,-34,1.63,-49.6,-42.4,8.53,NA,NA,NA,1.62,NA,2.63,3.3,-2.61,-9.76,8.27,134931,0,3.4,3.33,3.73,NA,-11.7,16.04,-32.7,-25,30.6,NA,NA,NA,2.36,NA,3.25,5.67,-1.49,11.22,23.1,134931,0,3.54,2.59,3.15,NA,-1.18,3.18,-3.02,-1.04,1.92,NA,NA,NA,1.1,NA,1.92,3.28,-1.09,1.02,1.54,100,0,19.93,0,100,100,35.357,16.4,55.209,100,100,0,51.2,96.9,100,2.79,98.7,0,0
"5","Inter Mountain Basins Mat Saltbush Shrubland","High Plains",288315,0,8.4,19.5,-1.68,NA,NA,12.59,53.4,NA,47.2,NA,NA,NA,NA,NA,30.1,-8.77,NA,16.8,NA,288315,0,2.76,2.99,3,NA,NA,10.49,-33.5,NA,15.4,NA,NA,NA,NA,NA,2.6,4.62,NA,6.51,NA,288315,0,2.76,2.99,3,NA,NA,10.49,-33.5,NA,15.36,NA,NA,NA,NA,NA,2.6,4.62,NA,6.51,NA,288315,0,2.76,2.99,3,NA,NA,10.49,-33.5,NA,15.4,NA,NA,NA,NA,NA,2.6,4.62,NA,6.51,NA,288315,0,2.45,2.37,1.78,NA,NA,3.17,-2.06,NA,1.12,NA,NA,NA,NA,NA,1.81,2.01,NA,1.45,NA,100,0,0,0,100,100,0,100,0,100,100,0,0,100,100,0,100,0,0
"6","Inter Mountain Basins Mat Saltbush Shrubland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Inter Mountain Basins Mat Saltbush Shrubland","Mojave Basin and Range",129599,0,16.18,27.1,5.9,NA,NA,8.92,36.7,NA,44.9,NA,NA,NA,NA,NA,36.9,-1.11,NA,NA,NA,129599,0,2.74,2.79,2.9,NA,NA,4.35,-43.4,NA,11.5,NA,NA,NA,NA,NA,2.68,3.46,NA,NA,NA,129599,0,2.74,2.79,2.9,NA,NA,4.35,-43.4,NA,11.5,NA,NA,NA,NA,NA,2.68,3.46,NA,NA,NA,129599,0,2.74,2.79,2.9,NA,NA,4.35,-43.4,NA,11.5,NA,NA,NA,NA,NA,2.68,3.46,NA,NA,NA,129599,0,3.46,2.54,2.65,NA,NA,1.58,-2.54,NA,1.05,NA,NA,NA,NA,NA,1.74,2.92,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
"8","Inter Mountain Basins Mat Saltbush Shrubland","Northern Basin and Range",142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Mat Saltbush Shrubland","Northwestern Great Plains",357584,0,7.85,20.4,-3.95,NA,NA,10.24,57.1,NA,36.7,NA,NA,NA,35.5,NA,31.2,-11.54,37,16.8,-3.56,357584,0,2.88,3.29,2.67,NA,NA,7.56,-23.8,NA,14.1,NA,NA,NA,2.56,NA,2.97,4.87,-2.48,5.13,13.8,357584,0,2.81,2.93,2.47,NA,NA,3.83,-30,NA,8.65,NA,NA,NA,2.53,NA,2.57,4.15,-2.48,3.62,13.84,357584,0,2.94,3.44,2.93,NA,NA,13.96,-20.6,NA,40.5,NA,NA,NA,2.59,NA,3.1,5.23,-2.48,7.32,13.8,357584,0,3.09,2.66,1.75,NA,NA,2.73,-1.2,NA,1.31,NA,NA,NA,1.06,NA,1.76,1.98,-1,1.43,1.45,100,0,1.56,0,100,100,0.521,62.5,0.521,100,100,0,0,100,90.1,0,61.5,0,0
"10","Inter Mountain Basins Mat Saltbush Shrubland","Snake River Plain",53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
