"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Mountains",108826,0,10.43,20,1.19,NA,60.4,11.99,56.4,171.5,42.8,NA,NA,16.5,43.5,NA,29.7,-7.349,NA,19.3,13.63,108826,0,2.67,2.85,2.78,NA,-28.1,6.71,-27.8,-47.1,15.62,NA,NA,0.637,2.26,NA,2.73,2.89,NA,5.26,6.51,108826,0,2.62,2.54,2.61,NA,-42.7,3.01,-44.9,-56,10.08,NA,NA,0.604,1.98,NA,2.17,2.23,NA,2.88,3.55,108826,0,2.77,3.09,3.04,NA,-17.8,18.76,-19.6,-39.6,34.23,NA,NA,0.673,2.5,NA,3.29,4.18,NA,11.5,10.32,108826,0,2.96,2.77,2.37,NA,-1.19,2.13,-1.44,-1.07,1.2,NA,NA,1.01,1.1,NA,1.82,2.43,NA,1.68,1.34,100,1.684,4.5263,0,100,100,0,87.16,55.79,100,100,0,18,97.3,80.4,0.842,27.68,0,0
"2","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Plateau",150072,0,11.26,21.8,0.978,NA,40.6,9.51,46.3,94.2,38.4,NA,NA,17.8,42.4,NA,32,-7.548,41.3,21,13.74,150072,0,2.69,2.86,2.84,NA,-22.1,5.51,-34,-27.1,15.06,NA,NA,0.55,2.01,NA,2.87,3.18,-1.73,7.51,7.78,150072,0,2.61,2.58,2.57,NA,-45.1,1.12,-50.4,-37.6,6.29,NA,NA,0.481,1.69,NA,2.37,2.23,-1.83,-9.33,4.06,150072,0,2.77,3.05,3.08,NA,-13,16.16,-19.8,-19.8,30.49,NA,NA,0.672,2.5,NA,3.26,4.67,-1.65,14.39,11.78,150072,0,2.97,2.7,2.38,NA,-1.24,2.2,-1.92,-1.05,1.38,NA,NA,1.06,1.07,NA,1.97,2.52,-1.03,1.279,1.33,100,0.787,7.1518,0,100,100,0.215,84.66,34.95,100,100,0,42.52,95,97.7,0.715,37.31,0,0
"3","Inter Mountain Basins Mixed Salt Desert Scrub","Blue Mountains",70911,0,8.98,20.3,-2.12,NA,NA,14.24,48,NA,NA,NA,NA,NA,33.9,NA,31.5,-7.524,NA,NA,20.01,70911,0,2.83,2.89,3.09,NA,NA,8.98,-18.9,NA,NA,NA,NA,NA,2.45,NA,2.83,4.81,NA,NA,3.69,70911,0,2.81,2.82,3.02,NA,NA,8.38,-19.6,NA,NA,NA,NA,NA,2.37,NA,2.8,4.66,NA,NA,3.69,70911,0,2.84,2.94,3.21,NA,NA,9.49,-18.3,NA,NA,NA,NA,NA,2.58,NA,2.86,4.92,NA,NA,3.69,70911,0,3.96,2.45,2.9,NA,NA,1.44,-1.05,NA,NA,NA,NA,NA,1.15,NA,1.65,2.66,NA,NA,1.37,100,0,100,0,100,100,0,0,25,100,100,0,0,100,50,0,0,0,0
"4","Inter Mountain Basins Mixed Salt Desert Scrub","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Inter Mountain Basins Mixed Salt Desert Scrub","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Mixed Salt Desert Scrub","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,91.0448,0,100,100,0,0,94.03,100,100,0,50.75,94,100,0,0,0,0
"7","Inter Mountain Basins Mixed Salt Desert Scrub","Central Basin and Range",309946,0,10.51,21.6,0.203,NA,32.9,10.47,32,84.3,36.3,37.8,102.2,NA,40.1,NA,33.1,-7.35,40.4,12.6,14.86,309946,0,2.9,2.82,3.43,NA,-26,8.13,-50.3,-38.6,19.62,22.6,40.6,NA,2.38,NA,2.82,4.69,-2.36,7.23,10.69,309946,0,2.55,2.36,2.63,NA,-55,1.73,-72.9,-50.8,4.57,22.6,40.6,NA,1.74,NA,2.48,3.29,-2.97,-9.14,2.54,309946,0,3.41,3.29,4.12,NA,-11.7,18.82,-29,-30.4,42.54,22.6,40.6,NA,3.71,NA,3.3,6.19,-1.94,14.93,19.3,309946,0,3.77,2.28,2.56,NA,-1.2,4.77,-2.77,-1.06,1.83,1.11,1.01,NA,1.13,NA,1.69,2.75,-1.05,1.21,1.25,100,0,74.0579,0,100,100,11.476,10.44,37.99,100,100,0,65.36,100,100,1.747,87.4,0.00949,0.00949
"8","Inter Mountain Basins Mixed Salt Desert Scrub","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Mixed Salt Desert Scrub","Chihuahuan Desert",509458,0,14.87,24.6,5.262,NA,60.9,8.56,67.6,NA,30.9,NA,NA,17.7,NA,NA,33.7,-4.159,NA,23.4,16.61,509458,0,2.76,3.01,2.8,NA,-48.1,5.72,-35.2,NA,13.89,NA,NA,0.675,NA,NA,2.6,2.59,NA,4.24,5.88,509458,0,2.69,2.82,2.72,NA,-54.5,3.61,-45.6,NA,11.43,NA,NA,0.67,NA,NA,2.12,2.35,NA,3.01,4.84,509458,0,2.87,3.24,2.88,NA,-26.2,8.64,-25.8,NA,16.82,NA,NA,0.682,NA,NA,3.09,2.92,NA,5.52,7.13,509458,0,2.99,2.82,2.37,NA,-1.34,3.2,-1.5,NA,1.24,NA,NA,1.01,NA,NA,1.61,2.22,NA,1.414,1.39,100,8.889,0,0,100,100,0,88.89,11.11,100,100,0,33.33,100,93.3,0,57.78,0,0
"10","Inter Mountain Basins Mixed Salt Desert Scrub","Colorado Plateaus",134931,0,10.68,22.5,-1.042,NA,34.2,13.25,26.8,101.1,49,NA,NA,NA,37.1,NA,32.8,-8.797,41.1,19.5,4.92,134931,0,3.02,3.1,3.27,NA,-24.3,7.6,-41.4,-34.7,19.39,NA,NA,NA,2.03,NA,3,4.62,-2.04,7.31,14.91,134931,0,2.71,2.73,2.69,NA,-48.5,1.32,-51.7,-60,6.92,NA,NA,NA,1.59,NA,2.59,3.28,-2.61,-10.23,7.39,134931,0,3.41,3.37,3.73,NA,-11.7,19.38,-27,-19.8,42.07,NA,NA,NA,2.59,NA,3.26,5.67,-1.36,13.78,23.1,134931,0,3.47,2.59,3.09,NA,-1.23,2.78,-3,-1.07,1.83,NA,NA,NA,1.13,NA,1.94,3.28,-1.11,1.003,1.5,100,0,27.9465,0,100,100,35.811,20.65,39.37,100,100,0,58.45,92.2,100,9.497,88.12,0,0
