"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Montane Sagebrush Steppe","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Inter Mountain Basins Montane Sagebrush Steppe","Arizona/New Mexico Plateau",150072,0,6.1,16.3,-4.0985,NA,60.1,17.81,42.3,154,63.2,NA,NA,16.9,42.3,NA,26.1,-12.899,36.9,15.3983,NA,150072,0,2.68,3,2.79,NA,-25.4,11.88,-33,-34.7,23.24,NA,NA,0.534,2.23,NA,3.08,4.14,-1.64,5.27,NA,150072,0,2.65,2.88,2.73,NA,-31.9,3.659,-42.3,-43.5,14.98,NA,NA,0.47,2,NA,2.64,3.74,-1.69,4.24,NA,150072,0,2.75,3.04,2.97,NA,-20.2,23.23,-29.3,-28.2,46.87,NA,NA,0.621,2.44,NA,3.2,4.55,-1.56,7.41,NA,150072,0,3.05,2.93,2.46,NA,-1.25,2.56,-1.97,-1.07,1.43,NA,NA,1.12,1.11,NA,2.26,2.95,-1.08,1.166,NA,100,65.625,90.62,0,100,100,15.625,96.88,0,100,100,0,84.38,100,100,18.75,78.125,0,0
"3","Inter Mountain Basins Montane Sagebrush Steppe","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Montane Sagebrush Steppe","Blue Mountains",70911,0,7.9,17.9,-1.4365,NA,56.7,15.08,37.8,NA,64.5,NA,168,11.7,37.1,NA,28.9,-6.799,NA,12.6205,17.36,70911,0,2.61,2.76,2.89,NA,-23.6,8.62,-23.4,NA,18.12,NA,51.3,0.409,2.7,NA,2.8,4.54,NA,4.02,5.09,70911,0,2.27,2.42,2.4,NA,-40.1,3.384,-35.7,NA,17.7,NA,49.3,0.374,2.16,NA,2.54,4,NA,-6.89,3,70911,0,2.85,3,3.34,NA,-12.2,14.22,-13.9,NA,18.74,NA,52.8,0.49,3.29,NA,3.2,5.06,NA,5.29,10.59,70911,0,3.81,2.46,2.6,NA,-1.15,1.75,-1.5,NA,1.03,NA,1.01,1.04,1.14,NA,1.66,2.66,NA,1.008,1.25,100,22.466,91.72,0,100,100,0,1.77,80.74,100,100,0,31.25,78.8,79.6,0,0.253,0,0.253
"5","Inter Mountain Basins Montane Sagebrush Steppe","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,14.36,22.9,6.9343,NA,NA,2.86,88.9,NA,10.4,NA,NA,NA,43.4,NA,32.9,1.408,NA,7.8862,22.87,123988,0,2.37,2.5,2.36,NA,NA,2.62,-33,NA,4.25,NA,NA,NA,2.67,NA,2.38,3.68,NA,1.65,2.99,123988,0,2.23,2.22,2.24,NA,NA,0.282,-37,NA,4.25,NA,NA,NA,2.56,NA,1.98,2.82,NA,1.47,2.56,123988,0,2.46,2.59,2.63,NA,NA,5.42,-27.3,NA,4.25,NA,NA,NA,2.81,NA,2.58,4.14,NA,1.83,3.53,123988,0,3.89,2.5,2.41,NA,NA,2.52,-1.31,NA,1.07,NA,NA,NA,1.05,NA,1.7,2.98,NA,1.295,2.27,100,0,23.68,0,100,100,0,21.05,100,100,100,0,0,100,60.5,0,2.632,0,0
"6","Inter Mountain Basins Montane Sagebrush Steppe","Canadian Rockies",104960,0,3.65,13.6,-5.5619,NA,74.7,31.63,31.1,NA,103,NA,NA,NA,36.6,NA,23.2,-11.334,NA,NA,7.78,104960,0,2.77,3.09,2.69,NA,-34.6,14.81,-25.1,NA,33,NA,NA,NA,2.87,NA,2.94,5.33,NA,NA,8.78,104960,0,2.75,3.01,2.46,NA,-43.3,7.634,-30.3,NA,22.95,NA,NA,NA,2.73,NA,2.85,5.11,NA,NA,3.5,104960,0,2.8,3.23,2.81,NA,-26.7,18.03,-12.3,NA,39.75,NA,NA,NA,2.94,NA,3.04,5.78,NA,NA,14.66,104960,0,3.84,2.91,2.3,NA,-1.3,2.61,-1.72,NA,1.86,NA,NA,NA,1.01,NA,1.68,2.28,NA,NA,1.39,100,0,13.33,0,100,100,0,0,76.67,100,100,0,26.67,60,83.3,0,46.667,0,0
"7","Inter Mountain Basins Montane Sagebrush Steppe","Cascades",46434,0,6.36,14.7,-0.7221,NA,NA,9.06,NA,NA,NA,NA,NA,NA,43.2,NA,26,-6.047,NA,-0.0633,14.72,46434,0,2.48,2.86,2.54,NA,NA,4,NA,NA,NA,NA,NA,NA,2.93,NA,2.89,4.36,NA,2.31,3.22,46434,0,2.44,2.75,2.49,NA,NA,3.866,NA,NA,NA,NA,NA,NA,2.77,NA,2.73,4.27,NA,2.22,2.97,46434,0,2.51,2.97,2.58,NA,NA,4.13,NA,NA,NA,NA,NA,NA,3.22,NA,2.98,4.44,NA,2.39,3.48,46434,0,3.94,2.71,2.36,NA,NA,1.08,NA,NA,NA,NA,NA,NA,1.09,NA,1.67,3.46,NA,1.545,2.3,100,20.685,81.92,0,100,100,0,4.25,96.03,100,100,0,14.66,63.29,68.9,0,0,0,0
"8","Inter Mountain Basins Montane Sagebrush Steppe","Central Basin and Range",309946,0,8.36,18.7,-0.982,NA,50.7,14.39,38.5,127,50,37.8,185,NA,38.9,NA,29.1,-7.585,36.4,7.2616,15.71,309946,0,2.88,2.74,3.41,NA,-36.2,9.93,-44.1,-47.4,25.55,22.6,73.7,NA,2.83,NA,2.82,4.99,-2.46,5.23,7.54,309946,0,2.47,2.35,2.61,NA,-90.9,2.197,-63.4,-59.5,5.14,22.6,33.2,NA,1.89,NA,2.47,3.56,-3.21,-8.15,2.16,309946,0,3.42,3.3,4.05,NA,-12.4,29.35,-24.3,-39.6,58.6,22.6,102.4,NA,4.27,NA,3.33,6.1,-1.85,13.54,16.47,309946,0,3.73,2.25,2.54,NA,-1.24,3.78,-2.48,-1.06,1.65,1.11,1.01,NA,1.24,NA,1.71,2.91,-1.08,1.223,1.23,100,0,94.47,0,100,100,35.8249,7.94,47.3,100,100,0,61.76,99.98,100,0.793,73.649,0.018,0.144
"9","Inter Mountain Basins Montane Sagebrush Steppe","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Inter Mountain Basins Montane Sagebrush Steppe","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
