"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Beech Maple Forest ","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,100,0,88,0,100,100,0,100,100,100,0,100,0,0
"2","North Central Interior Beech Maple Forest ","Central Corn Belt Plains",76643,0,11.04,22.9,-1.474,NA,116.3,58.2,21.4,336,205,NA,NA,11.4,NA,NA,29.7,-7.24,NA,20.9,NA,76643,0,2.41,2.99,2.27,NA,-67,35.1,-33.1,-95.1,57.6,NA,NA,0.68,NA,NA,3.5,3.96,NA,9.31,NA,76643,0,2.36,2.75,2.12,NA,-81.6,30.8,-36.3,-97.9,47.9,NA,NA,0.516,NA,NA,3.09,3.84,NA,8.77,NA,76643,0,2.5,3.13,2.78,NA,-50.4,38.9,-29.1,-90.2,66.5,NA,NA,0.774,NA,NA,3.67,4.3,NA,9.8,NA,76643,0,2.55,2.24,1.23,NA,-1.25,2.78,-2.45,-1.02,1.28,NA,NA,1.22,NA,NA,1.91,1.73,NA,1.592,NA,100,88.2,0,0,100,100,0,39.22,0,100,100,0,98,100,100,11.76,100,0,0
"3","North Central Interior Beech Maple Forest ","Eastern Corn Belt Plains",83548,0,10.94,22.5,-1.536,NA,120.5,60.1,20.8,306,210,NA,NA,11.31,NA,NA,29.5,-6.94,NA,20.6,NA,83548,0,2.34,2.93,2.02,NA,-60.5,34.3,-30.5,-75.3,61,NA,NA,0.675,NA,NA,3.53,3.69,NA,8.17,NA,83548,0,2.21,2.68,1.87,NA,-82.1,26.1,-34.8,-96.7,40.2,NA,NA,0.45,NA,NA,3.23,3.36,NA,5.36,NA,83548,0,2.44,3.11,2.28,NA,-42.4,47.7,-26.2,-63.1,100.1,NA,NA,0.799,NA,NA,3.76,4.1,NA,11.44,NA,83548,0,2.51,2.44,1.06,NA,-1.2,2.34,-2.28,-1.09,1.25,NA,NA,1.19,NA,NA,2.22,1.6,NA,1.258,NA,100,85,0,0,100,100,0,85.3,0,100,64.1,0,85.3,100,100,6.71,92.6,0,0
"4","North Central Interior Beech Maple Forest ","Eastern Great Lakes and Hudson Lowlands",147292,0,10.22,21.5,-1.252,NA,110.9,58.5,18.4,302,202,NA,NA,9.68,NA,NA,27.7,-6.23,NA,19.4,NA,147292,0,2.27,2.66,2.15,NA,-47.1,28.5,-25.6,-74.1,44.6,NA,NA,0.527,NA,NA,3.09,3.33,NA,-2.6,NA,147292,0,2.23,2.6,2,NA,-60.7,21.1,-31.2,-81.4,36.3,NA,NA,0.317,NA,NA,2.87,3.04,NA,-8,NA,147292,0,2.32,2.78,2.26,NA,-29.9,36.1,-21.5,-64.1,57.7,NA,NA,0.685,NA,NA,3.39,3.67,NA,9.22,NA,147292,0,3.21,2.65,1.31,NA,-1.27,2.19,-2.34,-1.07,1.14,NA,NA,1.28,NA,NA,2.47,1.43,NA,-0.409,NA,100,46.3,0,0,100,100,0,30.85,0,100,100,0,99.5,100,100,33.33,71.1,0,0
"5","North Central Interior Beech Maple Forest ","Erie Drift Plain",31072,0,9.71,20.9,-1.848,NA,120,62.3,18.7,326,215,NA,NA,11.15,NA,NA,28.1,-7.38,NA,19.5,NA,31072,0,2.24,2.68,1.97,NA,-54.5,35.3,-28.1,-76.9,55.3,NA,NA,0.579,NA,NA,3.21,3.43,NA,4.53,NA,31072,0,2.19,2.6,1.85,NA,-65.4,23.6,-33.5,-90,37.3,NA,NA,0.315,NA,NA,2.92,3.11,NA,-8.79,NA,31072,0,2.32,2.85,2.24,NA,-31.6,48.1,-21.5,-63.9,84.7,NA,NA,0.759,NA,NA,3.52,3.63,NA,9.09,NA,31072,0,2.88,2.49,1.12,NA,-1.3,2.4,-2.49,-1.08,1.23,NA,NA,1.25,NA,NA,2.48,1.49,NA,0.831,NA,100,53.7,0,0,100,100,0,56.21,0,100,96.5,0,98.2,100,100,33.75,92.5,0,0
"6","North Central Interior Beech Maple Forest ","Huron/Erie Lake Plains",24838,0,9.86,21.7,-2.372,NA,99.2,49.5,22.4,276,162,NA,NA,10.95,NA,NA,29,-7.62,NA,20.6,NA,24838,0,2.37,2.91,2.26,NA,-58.6,27.2,-29.8,-67.8,41.8,NA,NA,0.68,NA,NA,3.45,3.89,NA,8.91,NA,24838,0,2.23,2.74,1.98,NA,-68,21,-32.7,-78.3,28.8,NA,NA,0.517,NA,NA,3.04,3.54,NA,6.59,NA,24838,0,2.57,3.08,2.77,NA,-44.2,33,-27.1,-53.6,53.3,NA,NA,0.785,NA,NA,3.58,4.28,NA,10.74,NA,24838,0,2.9,2.38,1.38,NA,-1.38,2.2,-2.42,-1.19,1.13,NA,NA,1.17,NA,NA,2.15,1.8,NA,1.436,NA,100,52,0,0,100,100,0,35.47,0,100,100,0,100,100,100,84.81,79.2,0,0
"7","North Central Interior Beech Maple Forest ","Interior Plateau",123523,0,11.69,23.1,-0.211,NA,134.3,70.8,18.2,NA,243,NA,NA,11.66,NA,NA,30.1,-6.35,NA,21.2,NA,123523,0,2.41,3.03,2,NA,-68,39.6,-33.1,NA,79.5,NA,NA,0.688,NA,NA,3.59,3.64,NA,8.8,NA,123523,0,2.39,2.96,1.97,NA,-81.2,32.8,-34.7,NA,58.9,NA,NA,0.606,NA,NA,3.45,3.35,NA,7.9,NA,123523,0,2.44,3.09,2.07,NA,-53.4,46.6,-31.2,NA,99.6,NA,NA,0.734,NA,NA,3.7,3.81,NA,9.55,NA,123523,0,2.54,2.62,1.01,NA,-1.27,2.44,-2.53,NA,1.47,NA,NA,1.23,NA,NA,2.25,1.58,NA,1.256,NA,100,50.5,0,0,100,100,0,52.53,0,100,31.3,0,100,100,100,0,100,0,0
"8","North Central Interior Beech Maple Forest ","Interior River Valleys and Hills",120396,0,12.36,24,-0.134,NA,128.6,66.9,18.3,352,236,NA,NA,11.71,NA,NA,31.1,-5.95,NA,21.6,NA,120396,0,2.44,3.13,2.1,NA,-77,36.9,-34.1,-96.1,67.3,NA,NA,0.757,NA,NA,3.72,3.82,NA,8.57,NA,120396,0,2.38,3.03,2.05,NA,-85.2,29.5,-36.3,-100.4,49.5,NA,NA,0.718,NA,NA,3.55,3.58,NA,8.28,NA,120396,0,2.49,3.2,2.16,NA,-65.4,42.7,-31.5,-89.1,86.7,NA,NA,0.817,NA,NA,3.86,3.9,NA,9.48,NA,120396,0,2.43,2.4,1.02,NA,-1.36,2.63,-2.45,-1.02,1.34,NA,NA,1.28,NA,NA,2.04,1.62,NA,1.253,NA,100,100,0,0,100,100,0,11.89,0,100,78.7,0,100,100,100,11.48,100,0,0
"9","North Central Interior Beech Maple Forest ","Lake Erie Lowland",25629,0,9.77,21.6,-2.181,NA,97.1,49,20.2,265,165,NA,NA,NA,NA,NA,28.2,-6.84,NA,20.8,NA,25629,0,2.42,2.9,2.37,NA,-56.6,25.5,-30.4,-71.4,41.4,NA,NA,NA,NA,NA,3.32,3.85,NA,7.58,NA,25629,0,2.38,2.86,2.29,NA,-62,23.8,-32,-77.7,37.8,NA,NA,NA,NA,NA,3.26,3.67,NA,7.18,NA,25629,0,2.47,2.93,2.45,NA,-49.7,27.7,-28.3,-64.4,44.5,NA,NA,NA,NA,NA,3.39,3.97,NA,8.01,NA,25629,0,3.1,2.36,1.46,NA,-1.48,2.19,-2.42,-1.3,1.12,NA,NA,NA,NA,NA,2.06,1.75,NA,1.361,NA,100,0,0,0,100,100,0,54.29,0,100,100,0,100,100,100,100,40,0,0
"10","North Central Interior Beech Maple Forest ","North Central Appalachians",29170,0,8.11,19.2,-3.365,NA,134.8,63.9,19.7,NA,224,NA,NA,NA,NA,NA,26.9,-9.02,NA,19.2,NA,29170,0,2.23,2.64,2.02,NA,-56.3,33.9,-26.2,NA,50,NA,NA,NA,NA,NA,3.05,3.41,NA,6.12,NA,29170,0,2.22,2.61,1.98,NA,-63.5,30.2,-28.4,NA,39,NA,NA,NA,NA,NA,2.99,3.32,NA,4.65,NA,29170,0,2.24,2.67,2.06,NA,-49.3,38.5,-24.5,NA,54.1,NA,NA,NA,NA,NA,3.14,3.53,NA,7.33,NA,29170,0,3.05,2.65,1.17,NA,-1.49,2.1,-2.48,NA,1.18,NA,NA,NA,NA,NA,2.63,1.4,NA,1.177,NA,100,0,0,0,100,100,0,88,0,100,100,0,100,100,100,0,100,0,0
