"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Dry Mesic Oak Forest and Woodland","Algonquin/Southern Laurentians",318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","North Central Interior Dry Mesic Oak Forest and Woodland","Aspen Parkland/Northern Glaciated Plains",327459,0,6.92,21.4,-8.575,NA,95.7,15.8,55.9,261,52.1,NA,NA,NA,NA,NA,29.1,-15.94,NA,21.3,NA,327459,0,2.98,3.7,2.96,NA,-47.3,11.6,-34.6,-67.3,27.5,NA,NA,NA,NA,NA,3.84,4.7,NA,4.19,NA,327459,0,2.91,3.53,2.77,NA,-56.5,8.4,-38.2,-76.5,21.2,NA,NA,NA,NA,NA,3.44,4.6,NA,3.06,NA,327459,0,3.05,3.94,3.05,NA,-32.3,13.6,-29.3,-46.5,33.5,NA,NA,NA,NA,NA,4.11,4.99,NA,5.75,NA,327459,0,2.97,2.62,1.53,NA,-1.32,2.97,-2.01,-1.2,1.49,NA,NA,NA,NA,NA,1.87,1.95,NA,1.171,NA,100,0,0,0,100,100,0,88.52,0,100,100,0,98.4,100,100,90.71,98.91,0,0
"3","North Central Interior Dry Mesic Oak Forest and Woodland","Blue Ridge",46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","North Central Interior Dry Mesic Oak Forest and Woodland","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,100,0,100,0,100,100,0,100,100,100,0,100,0,0
"5","North Central Interior Dry Mesic Oak Forest and Woodland","Central Corn Belt Plains",76643,0,10.75,23,-2.359,NA,117.3,44.6,28.5,323,160.3,NA,NA,11.48,NA,NA,30.1,-8.36,NA,20.8,NA,76643,0,2.45,3.1,2.39,NA,-58.3,28.8,-30.8,-77.3,49.2,NA,NA,0.661,NA,NA,3.53,4,NA,8.71,NA,76643,0,2.33,2.77,2.09,NA,-81.6,17.52,-37.3,-97.9,35.2,NA,NA,0.383,NA,NA,3.11,3.72,NA,6.22,NA,76643,0,2.68,3.33,2.86,NA,-41.1,40.4,-25.1,-60.9,66.5,NA,NA,0.79,NA,NA,3.78,4.56,NA,11.16,NA,76643,0,2.49,2.17,1.24,NA,-1.33,2.56,-2.41,-1.1,1.2,NA,NA,1.24,NA,NA,1.83,1.67,NA,1.595,NA,100,92.547,0,0,100,100,0,58.52,0,100,100,0,90.9,100,100,51.19,79.15,0,0
"6","North Central Interior Dry Mesic Oak Forest and Woodland","Central Great Plains",274963,0,12.42,25.2,-0.768,NA,123.1,21.4,52.4,343,NA,NA,NA,13.13,NA,NA,33.5,-8.31,NA,22.8,NA,274963,0,2.92,3.81,2.67,NA,-69.3,11.1,-29.9,-94.5,NA,NA,NA,0.59,NA,NA,3.83,4.31,NA,5.62,NA,274963,0,2.79,3.64,2.62,NA,-81.4,7.48,-33.8,-113.3,NA,NA,NA,0.549,NA,NA,3.46,4.25,NA,4.77,NA,274963,0,3,3.91,2.73,NA,-50.7,13.9,-25.2,-74.2,NA,NA,NA,0.64,NA,NA,3.96,4.58,NA,6.77,NA,274963,0,2.47,2.17,1.23,NA,-1.4,1.47,-2.13,-1.06,NA,NA,NA,1.08,NA,NA,1.69,1.68,NA,1.437,NA,100,89.011,0,0,100,100,0,100,0,100,100,0,97.8,100,100,71.98,0,0,0
"7","North Central Interior Dry Mesic Oak Forest and Woodland","Central Irregular Plains",114339,0,11.74,24.2,-1.43,NA,136.2,35.7,40.8,374,172.5,NA,NA,11.89,NA,NA,31.7,-8.14,NA,21.7,NA,114339,0,2.72,3.59,2.51,NA,-72.4,18.9,-30.6,-98.2,50.4,NA,NA,0.644,NA,NA,3.91,4.08,NA,5.05,NA,114339,0,2.61,3.36,2.16,NA,-96.2,10.49,-37.5,-136.5,42.8,NA,NA,0.549,NA,NA,3.77,3.78,NA,4.11,NA,114339,0,2.87,3.77,2.77,NA,-57.2,33.8,-25.4,-75.2,61.4,NA,NA,0.866,NA,NA,3.99,4.49,NA,6.77,NA,114339,0,2.43,2.13,1.17,NA,-1.86,2.13,-2.25,-1.22,1.06,NA,NA,1.2,NA,NA,1.64,1.56,NA,1.633,NA,100,82.003,0,0,100,100,0,56.57,0,100,100,0,100,100,100,96.8,4.18,0,0
"8","North Central Interior Dry Mesic Oak Forest and Woodland","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","North Central Interior Dry Mesic Oak Forest and Woodland","Driftless Area",47383,0,8.04,21.3,-6.334,NA,119.4,24.7,48.6,349,90.2,NA,NA,NA,NA,NA,28.8,-12.93,NA,20.8,NA,47383,0,2.9,3.52,3.14,NA,-70.7,14.8,-28.4,-96.4,27.1,NA,NA,NA,NA,NA,3.84,4.88,NA,5.22,NA,47383,0,2.65,3.3,2.82,NA,-89.7,10.63,-31.7,-123.4,20.5,NA,NA,NA,NA,NA,3.66,4.35,NA,3.35,NA,47383,0,2.99,3.65,3.24,NA,-48.9,24.2,-25,-72.3,44.7,NA,NA,NA,NA,NA,4.05,5.08,NA,7.74,NA,47383,0,3,2.49,1.66,NA,-1.82,2.02,-2.3,-1.2,1.05,NA,NA,NA,NA,NA,1.96,1.89,NA,1.599,NA,100,0,0,0,100,100,0,38.88,0,100,100,0,100,100,100,91.78,19.17,0,0
"10","North Central Interior Dry Mesic Oak Forest and Woodland","Eastern Corn Belt Plains",83548,0,11,22.6,-1.504,NA,121.4,60.7,20.6,306,212.3,NA,NA,11.31,NA,NA,29.5,-6.88,NA,20.7,NA,83548,0,2.34,2.93,2.02,NA,-61.1,34.7,-30.7,-75.4,62.8,NA,NA,0.676,NA,NA,3.54,3.68,NA,8.19,NA,83548,0,2.21,2.68,1.87,NA,-84,26.13,-36.3,-96.7,40.2,NA,NA,0.454,NA,NA,3.23,3.31,NA,5.36,NA,83548,0,2.49,3.16,2.28,NA,-43,48.6,-26.2,-63.1,111.6,NA,NA,0.799,NA,NA,3.83,4.1,NA,11.44,NA,83548,0,2.51,2.46,1.06,NA,-1.21,2.35,-2.3,-1.09,1.27,NA,NA,1.19,NA,NA,2.24,1.59,NA,1.259,NA,100,81.338,0,0,100,100,0,82.73,0,100,62.2,0,85.9,100,100,6.01,92.12,0,0
