"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Northwestern Great Plains Mixedgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,5.75,20.4,-9.82,NA,88.6,12.4,62,270,40.3,NA,39.5,NA,NA,NA,28.7,-17.4,NA,18.8,NA,327459,0,2.82,3.47,2.6,NA,-40.9,9.32,-32.1,-79.7,22.4,NA,17.1,NA,NA,NA,3.15,4.66,NA,3.82,NA,327459,0,2.7,3.16,2.32,NA,-68.6,4.61,-39.6,-98.2,12.53,NA,11.66,NA,NA,NA,2.49,4.28,NA,2.28,NA,327459,0,2.99,3.8,2.95,NA,-25,18.2,-26.9,-51.8,55.3,NA,24.9,NA,NA,NA,3.86,5.06,NA,6.83,NA,327459,0,3,2.6,1.32,NA,-1.23,2.61,-1.82,-1.05,1.8,NA,1.09,NA,NA,NA,1.57,1.8,NA,1.19,NA,100,0,0,0,100,100,0,60.4,0,100,100,0,55.68,100,100,0.963,89.1,0,11.8687
"2","Northwestern Great Plains Mixedgrass Prairie","Canadian Rockies",104960,0,5.13,14.8,-4.17,NA,NA,29.08,34.3,NA,95.7,NA,NA,NA,NA,NA,24.1,-10.9,NA,NA,-4.17,104960,0,2.78,3.24,2.56,NA,NA,12.89,-24.4,NA,28.1,NA,NA,NA,NA,NA,2.95,5.68,NA,NA,12.21,104960,0,2.78,3.24,2.56,NA,NA,12.86,-24.7,NA,27.4,NA,NA,NA,NA,NA,2.95,5.68,NA,NA,11.86,104960,0,2.78,3.24,2.56,NA,NA,12.9,-24.2,NA,28.9,NA,NA,NA,NA,NA,2.96,5.69,NA,NA,12.57,104960,0,3.65,2.99,1.81,NA,NA,2.13,-1.54,NA,1.45,NA,NA,NA,NA,NA,1.63,1.99,NA,NA,1.75,100,0,0,0,100,100,0,0,100,100,100,0,0,100,100,0,100,0,0
"3","Northwestern Great Plains Mixedgrass Prairie","Central Basin and Range",309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Northwestern Great Plains Mixedgrass Prairie","Central Great Plains",274963,0,10.61,23.5,-2.68,NA,NA,14.72,59,NA,NA,NA,NA,NA,NA,NA,31.8,-10.3,NA,21.4,NA,274963,0,2.75,3.57,2.6,NA,NA,9.67,-25.7,NA,NA,NA,NA,NA,NA,NA,3.34,4.49,NA,6.35,NA,274963,0,2.69,3.52,2.46,NA,NA,8.78,-30,NA,NA,NA,NA,NA,NA,NA,3.27,4.4,NA,5.97,NA,274963,0,2.78,3.61,2.66,NA,NA,11,-23.5,NA,NA,NA,NA,NA,NA,NA,3.41,4.58,NA,6.65,NA,274963,0,2.41,2.27,1.23,NA,NA,1.63,-1.42,NA,NA,NA,NA,NA,NA,NA,1.61,1.78,NA,1.49,NA,100,0,0,0,100,100,0,70,0,100,100,0,0,100,100,0,0,0,0
"5","Northwestern Great Plains Mixedgrass Prairie","High Plains",288315,0,8.71,20.9,-2.62,NA,NA,8.18,62.3,NA,31.6,NA,NA,NA,NA,NA,31.4,-10.6,NA,17,-1.86,288315,0,2.69,3.1,2.65,NA,NA,7.41,-27.9,NA,12.4,NA,NA,NA,NA,NA,2.76,4.29,NA,4.98,1.93,288315,0,2.57,2.97,2.37,NA,NA,4.48,-34.8,NA,8.43,NA,NA,NA,NA,NA,2.53,3.93,NA,3.9,1.8,288315,0,2.86,3.38,3.08,NA,NA,11.2,-21.8,NA,19.1,NA,NA,NA,NA,NA,3.19,4.76,NA,6.67,2.15,288315,0,2.42,2.44,1.5,NA,NA,2.72,-1.59,NA,1.16,NA,NA,NA,NA,NA,1.78,1.8,NA,1.21,1.07,100,0,0,0,100,100,0,90.69,1.774,100,100,0,0,100,100,0,63.3,0,0
"6","Northwestern Great Plains Mixedgrass Prairie","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Northwestern Great Plains Mixedgrass Prairie","Lake Manitoba and Lake Agassiz Plain",82915,0,5.18,20.1,-11.01,NA,87.4,14.43,58,NA,48.3,NA,51.9,NA,NA,NA,28.1,-18.5,NA,18.6,NA,82915,0,2.84,3.34,2.68,NA,-35.3,11.35,-31.6,NA,26.3,NA,23.2,NA,NA,NA,3.02,4.45,NA,4.06,NA,82915,0,2.76,3.15,2.56,NA,-39.3,8.48,-34.4,NA,22.89,NA,19.71,NA,NA,NA,2.56,4.22,NA,3.78,NA,82915,0,2.93,3.56,2.84,NA,-32,14.8,-29,NA,32.1,NA,25.6,NA,NA,NA,3.49,4.62,NA,4.31,NA,82915,0,3.06,2.47,1.42,NA,-1.13,2.73,-1.85,NA,1.64,NA,1.13,NA,NA,NA,1.49,1.83,NA,1.07,NA,100,0,0,0,100,100,0,26.32,0,100,100,0,57.89,100,100,0,100,0,42.1053
"8","Northwestern Great Plains Mixedgrass Prairie","Middle Rockies",164464,0,6.76,18.5,-3.93,NA,79.3,17.47,53.3,NA,62.4,NA,NA,NA,34.9,NA,28.2,-11.1,NA,15.4,-2.17,164464,0,2.82,3.36,2.53,NA,-35.8,10.75,-23.9,NA,22.6,NA,NA,NA,2.49,NA,3.02,4.92,NA,4.98,12.99,164464,0,2.71,2.92,2.38,NA,-39.3,3.83,-29.9,NA,6.37,NA,NA,NA,2.31,NA,2.59,4.24,NA,3.01,8.43,164464,0,2.94,3.56,2.88,NA,-32.4,24.5,-16.8,NA,68.8,NA,NA,NA,2.61,NA,3.33,6.27,NA,7.5,17.7,164464,0,3.16,2.71,1.71,NA,-1.06,2.54,-1.43,NA,1.35,NA,NA,NA,1.02,NA,1.71,2,NA,1.31,1.42,100,0,0.923,0,100,100,0,58.81,7.55,100,100,0,1.76,99.7,96.5,0,79.2,0,0
"9","Northwestern Great Plains Mixedgrass Prairie","Nebraska Sand Hills",59123,0,9.19,21.9,-2.93,NA,97.5,9.43,64.8,NA,31.4,NA,NA,NA,NA,NA,31.6,-11.1,NA,19,NA,59123,0,2.63,3.26,2.51,NA,-49.3,8.32,-27.7,NA,13.8,NA,NA,NA,NA,NA,3.05,4.32,NA,4.63,NA,59123,0,2.57,3.05,2.41,NA,-53.8,6.13,-30.4,NA,9.67,NA,NA,NA,NA,NA,2.75,3.95,NA,4,NA,59123,0,2.85,3.67,2.76,NA,-40.8,12,-24.4,NA,22.2,NA,NA,NA,NA,NA,3.59,5.01,NA,5.82,NA,59123,0,2.34,2.44,1.31,NA,-1.21,2.64,-1.71,NA,1.17,NA,NA,NA,NA,NA,1.78,1.74,NA,1.14,NA,100,0,0,0,100,100,0,84.56,0,100,100,0,20.81,100,100,0,46.6,0,0
"10","Northwestern Great Plains Mixedgrass Prairie","Northern Basin and Range",142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
