"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Ozark Ouachita Dry Oak Woodland","Arkansas Valley",28422,0,16.3,26.8,5.63,NA,135,72.1,18,370,256,NA,NA,NA,NA,NA,34.2,-1.685,NA,NA,21.7,28422,0,2.63,3.24,2.29,NA,-80,37.7,-32.1,-96.4,77.7,NA,NA,NA,NA,NA,3.54,3.7,NA,NA,12.21,28422,0,2.48,2.98,2.14,NA,-98.6,30.5,-37.6,-116,58.1,NA,NA,NA,NA,NA,3.32,3.29,NA,NA,-10.03,28422,0,2.85,3.61,2.41,NA,-54.5,45.6,-25.9,-71.1,118,NA,NA,NA,NA,NA,3.79,4.16,NA,NA,15.3,28422,0,2.3,2.29,1.06,NA,-1.44,2.58,-2.54,-1.09,1.25,NA,NA,NA,NA,NA,1.65,1.53,NA,NA,1.241,100,0,0,0,100,100,0,0,68.1,100,44.3,0,87.1,100,100,37.9,99.8,0,0
"2","Ozark Ouachita Dry Oak Woodland","Boston Mountains",14178,0,14.8,25.3,4.74,NA,140,78.6,17.6,381,255,NA,NA,12.3,NA,NA,32.3,-2.838,NA,NA,16.1,14178,0,2.62,3.27,2.29,NA,-71.5,36.2,-30.1,-88.3,76.6,NA,NA,0.472,NA,NA,3.76,3.87,NA,NA,13.27,14178,0,2.52,3.08,2.16,NA,-95.8,29.6,-34.6,-104,54.8,NA,NA,0.442,NA,NA,3.52,3.38,NA,NA,10.92,14178,0,2.84,3.67,2.36,NA,-43.8,42.6,-24.7,-70.3,101.8,NA,NA,0.501,NA,NA,3.98,4.11,NA,NA,15.8,14178,0,2.27,2.31,1.04,NA,-1.37,2.38,-2.72,-1.08,1.29,NA,NA,1.04,NA,NA,1.79,1.49,NA,NA,1.34,100,18.49,0,0,100,100,0,0,52,100,21.5,0,95.3,100,100,18,97.5,0,0
"3","Ozark Ouachita Dry Oak Woodland","Central Irregular Plains",114339,0,13.8,25.5,1.88,NA,142,52.2,31.6,386,183,NA,NA,12,NA,NA,33.1,-5.496,NA,NA,NA,114339,0,2.75,3.7,2.29,NA,-85.1,26.7,-33.6,-109.7,60.3,NA,NA,0.64,NA,NA,3.81,4.04,NA,NA,NA,114339,0,2.69,3.6,2.25,NA,-94.2,22,-36.2,-119,45.7,NA,NA,0.624,NA,NA,3.55,3.91,NA,NA,NA,114339,0,2.83,3.76,2.36,NA,-66.3,33.3,-27.7,-96.9,68.6,NA,NA,0.656,NA,NA,3.95,4.15,NA,NA,NA,114339,0,2.31,2.18,1.02,NA,-1.71,2.19,-2.5,-1.15,1.21,NA,NA,1.03,NA,NA,1.57,1.54,NA,NA,NA,100,5.08,0,0,100,100,0,0,0,100,81.4,0,94.4,100,100,57.1,19.2,0,0
"4","Ozark Ouachita Dry Oak Woodland","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ozark Ouachita Dry Oak Woodland","Flint Hills",27932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ozark Ouachita Dry Oak Woodland","Interior Plateau",123523,0,14.2,25,2.86,NA,135,80.6,14.1,NA,265,NA,NA,NA,NA,NA,31.9,-3.565,NA,NA,23.1,123523,0,2.6,3.37,2.13,NA,-74.2,42.1,-34,NA,101.6,NA,NA,NA,NA,NA,3.87,3.59,NA,NA,14.13,123523,0,2.53,3.27,2.13,NA,-76.9,38.9,-34.5,NA,93.5,NA,NA,NA,NA,NA,3.77,3.31,NA,NA,12.86,123523,0,2.68,3.51,2.13,NA,-70.3,45.3,-33.4,NA,110.1,NA,NA,NA,NA,NA,3.93,3.85,NA,NA,15.3,123523,0,2.59,2.83,1.01,NA,-1.26,2.54,-2.75,NA,1.95,NA,NA,NA,NA,NA,2.38,1.6,NA,NA,1.452,100,0,0,0,100,100,0,0,100,100,11.8,0,100,100,100,0,100,0,0
"7","Ozark Ouachita Dry Oak Woodland","Interior River Valleys and Hills",120396,0,13.8,25.3,1.72,NA,124,65.1,17.9,327,225,NA,NA,11.1,NA,NA,32.5,-4.6,NA,18.7,24.2,120396,0,2.65,3.45,2.19,NA,-74.6,33.3,-35.8,-89.5,78.2,NA,NA,0.647,NA,NA,3.88,3.95,NA,6.03,14.09,120396,0,2.51,3.27,2.12,NA,-86.6,24.2,-40.3,-106,54.4,NA,NA,0.598,NA,NA,3.74,3.43,NA,6.03,11.85,120396,0,2.72,3.69,2.27,NA,-66.2,42.7,-33,-78.8,107.8,NA,NA,0.7,NA,NA,3.98,4.22,NA,6.03,15.2,120396,0,2.51,2.57,1.04,NA,-1.42,2.42,-2.64,-1.11,1.54,NA,NA,1.04,NA,NA,2.12,1.69,NA,1.04,1.378,100,18.24,0,0,100,100,0,0.629,32.7,100,97.5,0,100,100,100,56,98.1,0,0
"8","Ozark Ouachita Dry Oak Woodland","Mississippi Alluvial Plain",116587,0,16,26.7,2.87,NA,128,69,18,380,247,NA,NA,NA,NA,NA,33.6,-1.615,NA,NA,26.3,116587,0,2.57,3.21,2.14,NA,-86.2,38,-34,-104.4,69.8,NA,NA,NA,NA,NA,3.51,3.41,NA,NA,11.22,116587,0,2.47,2.94,2.09,NA,-104.3,32.1,-36.5,-112,49.6,NA,NA,NA,NA,NA,3.3,3.24,NA,NA,8.93,116587,0,2.81,3.71,2.19,NA,-65,44.6,-32.1,-89.8,90.3,NA,NA,NA,NA,NA,3.92,3.91,NA,NA,15.7,116587,0,2.45,2.54,1.03,NA,-1.35,2.62,-2.44,-1.01,1.29,NA,NA,NA,NA,NA,1.88,1.43,NA,NA,1.175,100,0,0,0,100,100,0,0,94.3,100,24.5,0,100,100,100,6.6,95.3,0,0
"9","Ozark Ouachita Dry Oak Woodland","Mississippi Valley Loess Plains",51811,0,14.4,25.8,2.62,NA,124,76.3,13.7,NA,266,NA,NA,NA,NA,NA,33.1,-4.08,NA,NA,24.7,51811,0,2.8,3.68,2.15,NA,-74.9,39.3,-34.2,NA,75.9,NA,NA,NA,NA,NA,3.82,3.75,NA,NA,13.42,51811,0,2.79,3.66,2.15,NA,-76.2,38.4,-34.6,NA,75.2,NA,NA,NA,NA,NA,3.81,3.74,NA,NA,12.79,51811,0,2.81,3.7,2.15,NA,-73.7,40.3,-33.9,NA,76.5,NA,NA,NA,NA,NA,3.84,3.76,NA,NA,14,51811,0,2.77,3.04,1.05,NA,-1.25,2.6,-2.69,NA,1.49,NA,NA,NA,NA,NA,2.09,1.66,NA,NA,1.331,100,0,0,0,100,100,0,0,100,100,100,0,100,100,100,0,100,0,0
"10","Ozark Ouachita Dry Oak Woodland","Ouachita Mountains",26895,0,16.3,26.5,5.94,NA,156,73.2,19.8,414,283,NA,NA,NA,NA,NA,34.1,-1.22,NA,NA,24.7,26895,0,2.62,3.15,2.32,NA,-99.1,40.2,-33.5,-126.4,87.9,NA,NA,NA,NA,NA,3.38,3.76,NA,NA,8.68,26895,0,2.44,2.8,2.19,NA,-132.1,29.9,-39.9,-148,61,NA,NA,NA,NA,NA,3.11,3.25,NA,NA,-11.07,26895,0,2.84,3.53,2.39,NA,-55.1,55.6,-26,-96.7,120.7,NA,NA,NA,NA,NA,3.56,4.19,NA,NA,13.1,26895,0,2.2,2.21,1.06,NA,-1.48,2.55,-2.47,-1.05,1.22,NA,NA,NA,NA,NA,1.53,1.52,NA,NA,0.929,100,0,0,0,100,100,0,0,73.8,100,38.2,0,74.3,100,100,28.2,99.8,0,0
