"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Mountains",108826,0,9.78,19.2,0.8688,NA,77.7,15.35,49.1,202,79.4,NA,NA,15.6,43.2,NA,28.8,-7.14,NA,17.83,12.57,108826,0,2.66,2.76,2.75,NA,-41.4,8.63,-30.9,-60.6,30.8,NA,NA,0.623,2.37,NA,2.63,3.06,NA,7.17,5.33,108826,0,2.58,2.53,2.55,NA,-88,3.36,-48.1,-81.4,13.8,NA,NA,0.583,1.98,NA,2.2,2.22,NA,-8.6,3.28,108826,0,2.8,3.09,3.04,NA,-22.1,23.69,-20.8,-38.6,57.6,NA,NA,0.696,3.18,NA,3.33,4.12,NA,13.21,9.75,108826,0,3.05,2.73,2.39,NA,-1.26,2.03,-1.75,-1.19,1.49,NA,NA,1.03,1.11,NA,1.77,2.53,NA,1.361,1.23,100,11.39,6.05,0,100,100,0,73.56,37.8,100,100,0,33.2,90.4,96.8,9.7,18.1,0,0
"2","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Plateau",150072,0,9.75,19.9,0.18,NA,56.5,15.43,41.1,163,67.7,NA,NA,16.6,42.1,NA,29.4,-7.18,37.4,18.55,13.77,150072,0,2.69,2.79,2.79,NA,-35.1,8.59,-35.2,-38.9,22.6,NA,NA,0.532,2.26,NA,2.68,3.53,-1.65,7.99,5.95,150072,0,2.62,2.61,2.65,NA,-58.8,3.37,-46.7,-50.8,11.4,NA,NA,0.47,1.98,NA,2.43,2.23,-1.73,3.16,4.4,150072,0,2.75,3.05,2.98,NA,-21.5,23.23,-21.4,-29.2,46.9,NA,NA,0.62,2.78,NA,3.2,4.56,-1.56,12.96,9.15,150072,0,3.19,2.65,2.52,NA,-1.2,2.16,-2.11,-1.11,1.32,NA,NA,1.12,1.13,NA,1.88,2.86,-1.08,1.278,1.11,100,10.43,20.38,0,100,100,3.79,69.67,18,100,100,0,46,99.1,92.4,3.79,25.1,0,0
"3","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Central Basin and Range",309946,0,9.82,21.1,-0.8039,NA,56.1,20.33,27.5,108,77.9,NA,NA,NA,36.2,NA,31.2,-7.22,38.5,10.63,18.96,309946,0,3.08,3.01,3.71,NA,-38.4,12.25,-38.8,-48.6,27,NA,NA,NA,2.43,NA,2.95,5.23,-2.4,5.91,9.27,309946,0,2.77,2.63,2.95,NA,-65.7,3.32,-62.7,-59.5,15.4,NA,NA,NA,1.89,NA,2.65,3.82,-2.84,-8.06,4.34,309946,0,3.42,3.31,4.01,NA,-21.4,25.39,-26,-43.1,41.4,NA,NA,NA,3.31,NA,3.32,6.11,-1.85,12.16,15.42,309946,0,3.67,2.31,2.89,NA,-1.36,2.51,-2.68,-1.07,1.69,NA,NA,NA,1.17,NA,1.77,2.92,-1.1,1.097,1.18,100,0,94.33,0,100,100,69.23,8.7,49.6,100,100,0,90.4,100,100,4.67,22.6,0,0
"4","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Colorado Plateaus",134931,0,8.19,19.2,-2.3027,NA,49.6,21.32,24.6,135,81.2,NA,NA,NA,37.8,NA,29,-9.5,38.4,17.7,9.04,134931,0,2.99,3.06,3.15,NA,-34.3,10.16,-39.3,-44.9,27.4,NA,NA,NA,2.09,NA,3.01,4.73,-1.88,6.54,13.14,134931,0,2.72,2.71,2.69,NA,-60.1,2.63,-50.4,-75.9,10.4,NA,NA,NA,1.56,NA,2.59,3.4,-2.88,-9.86,6.18,134931,0,3.37,3.34,3.76,NA,-15.4,21.4,-23.3,-24.6,56.7,NA,NA,NA,2.97,NA,3.26,5.94,-1.39,13.11,21.65,134931,0,3.55,2.62,3.28,NA,-1.3,2.05,-2.97,-1.11,1.6,NA,NA,NA,1.16,NA,1.98,3.64,-1.15,0.934,1.45,100,0,62.72,0,100,100,69.62,24.08,48.8,100,100,0,73.7,92.9,100,17.98,66.6,0,0
"6","Rocky Mountain Gambel Oak Mixed Montane Shrubland","High Plains",288315,0,11.53,22.5,1.042,NA,71.2,12.53,54.8,192,NA,NA,NA,16.8,NA,NA,31.8,-7.63,NA,20.43,NA,288315,0,2.81,3.32,2.83,NA,-45.5,6.77,-30.8,-67.4,NA,NA,NA,0.624,NA,NA,3.24,4.01,NA,2.96,NA,288315,0,2.66,3.11,2.76,NA,-56.9,3.77,-42.9,-72.7,NA,NA,NA,0.586,NA,NA,2.95,3.02,NA,-4.94,NA,288315,0,3.01,3.67,2.89,NA,-31.7,12.03,-24.7,-58.5,NA,NA,NA,0.65,NA,NA,3.63,4.59,NA,5.36,NA,288315,0,2.6,2.64,1.75,NA,-1.37,1.92,-1.7,-1.15,NA,NA,NA,1.05,NA,NA,2.22,2.15,NA,0.769,NA,100,8.45,0,0,100,100,0,22.54,0,100,100,0,53.5,100,100,11.27,0,0,0
"7","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Madrean Archipelago",74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Mojave Basin and Range",129599,0,10.65,20.4,2.0451,NA,54,8.11,41.7,NA,52.1,NA,NA,NA,NA,NA,29.4,-4.54,NA,20.77,NA,129599,0,2.66,2.72,2.63,NA,-48.5,4.92,-47.8,NA,15.9,NA,NA,NA,NA,NA,2.58,3.48,NA,9.41,NA,129599,0,2.64,2.63,2.53,NA,-85.5,1.67,-60.1,NA,10.8,NA,NA,NA,NA,NA,2.46,3.21,NA,8.79,NA,129599,0,2.78,2.79,2.97,NA,-33.1,8.12,-22.9,NA,19.5,NA,NA,NA,NA,NA,2.68,3.93,NA,10.6,NA,129599,0,3.57,2.58,2.51,NA,-1.13,2.33,-2.2,NA,1.35,NA,NA,NA,NA,NA,1.82,2.96,NA,1.172,NA,100,0,0,0,100,100,0,7.32,0,100,100,0,54.9,98.8,97.6,0,30.5,0,0
"10","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Nebraska Sand Hills",59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
