"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southeastern Great Plains Tallgrass Prairie","Arkansas Valley",28422,0,16.8,27.4,5.897,NA,140,65,25.1,NA,206,NA,NA,NA,NA,NA,34.8,-1.412,NA,NA,NA,28422,0,2.79,3.44,2.38,NA,-73.3,32.9,-27.6,NA,61.8,NA,NA,NA,NA,NA,3.41,3.82,NA,NA,NA,28422,0,2.75,3.31,2.34,NA,-75,26.03,-30,NA,50.5,NA,NA,NA,NA,NA,3.31,3.59,NA,NA,NA,28422,0,2.84,3.6,2.4,NA,-71.3,38.9,-26,NA,71.8,NA,NA,NA,NA,NA,3.55,4.05,NA,NA,NA,28422,0,2.12,1.99,1.09,NA,-1.04,2.59,-2.08,NA,1.13,NA,NA,NA,NA,NA,1.31,1.59,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,2.68,100,100,0,94.64,0,0
"2","Southeastern Great Plains Tallgrass Prairie","Boston Mountains",14178,0,16.3,27.1,5.076,NA,NA,63.5,26,NA,199,NA,NA,NA,NA,NA,34.5,-2.112,NA,NA,NA,14178,0,2.83,3.61,2.35,NA,NA,32.1,-28.3,NA,65.4,NA,NA,NA,NA,NA,3.55,3.94,NA,NA,NA,14178,0,2.82,3.59,2.34,NA,NA,31.21,-29.3,NA,64.1,NA,NA,NA,NA,NA,3.52,3.9,NA,NA,NA,14178,0,2.83,3.62,2.36,NA,NA,32.4,-27.5,NA,67.1,NA,NA,NA,NA,NA,3.59,3.97,NA,NA,NA,14178,0,2.3,2.15,1.08,NA,NA,2.36,-2.33,NA,1.21,NA,NA,NA,NA,NA,1.39,1.68,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
"3","Southeastern Great Plains Tallgrass Prairie","Central Great Plains",274963,0,15.3,27.1,3.319,NA,124,31.9,41,345,134,NA,NA,13.2,NA,NA,35.1,-4.355,NA,23.6,NA,274963,0,2.94,3.66,2.6,NA,-70,15.3,-31.7,-103,40.3,NA,NA,0.582,NA,NA,3.51,3.9,NA,6.35,NA,274963,0,2.47,2.59,2.36,NA,-87.9,8.27,-39.2,-122,29.4,NA,NA,0.548,NA,NA,2.64,2.9,NA,4.94,NA,274963,0,3.11,3.95,2.81,NA,-50,26.2,-25.9,-81.7,50.3,NA,NA,0.627,NA,NA,3.97,4.47,NA,7.34,NA,274963,0,2.27,2.06,1.22,NA,-1.24,2.05,-1.86,-1.05,1.02,NA,NA,1.07,NA,NA,1.47,1.64,NA,1.55,NA,100,6.319,0,0,100,100,0,20.8,0,100,100,0,57.34,100,100,9.37,1.76,0,0
"4","Southeastern Great Plains Tallgrass Prairie","Central Irregular Plains",114339,0,14.1,25.8,1.865,NA,146,46,35.9,390,168,NA,NA,12.2,NA,NA,33.3,-5.352,NA,23.1,NA,114339,0,2.75,3.65,2.36,NA,-83.8,23.4,-33,-121,54.4,NA,NA,0.748,NA,NA,3.71,3.95,NA,6.32,NA,114339,0,2.66,3.54,2.25,NA,-100.5,12.41,-37.2,-138,41.9,NA,NA,0.616,NA,NA,3.42,3.78,NA,5.37,NA,114339,0,2.87,3.76,2.62,NA,-53.2,35,-27.4,-96.9,71.1,NA,NA,0.866,NA,NA,3.95,4.24,NA,7.05,NA,114339,0,2.29,2.09,1.06,NA,-1.58,2.1,-2.4,-1.24,1.15,NA,NA,1.29,NA,NA,1.5,1.53,NA,1.58,NA,100,43.98,0,0,100,100,0,9.08,0,100,98.3,0,86.35,100,100,51.75,28.65,0,0
"5","Southeastern Great Plains Tallgrass Prairie","Cross Timbers",88188,0,17.2,27.7,6.488,NA,126,48.2,31.1,281,172,NA,NA,12.6,NA,NA,35.3,-1.155,NA,24.8,13.2,88188,0,2.68,3.14,2.37,NA,-64.3,24.5,-32.4,-111,55,NA,NA,0.686,NA,NA,3.14,3.43,NA,5.97,10.92,88188,0,2.37,2.32,2.23,NA,-89.5,12.96,-45.7,-125,37.5,NA,NA,0.667,NA,NA,2.23,2.87,NA,4.49,8.69,88188,0,2.91,3.64,2.61,NA,-48.8,36.3,-25.3,-97.3,72.5,NA,NA,0.703,NA,NA,3.64,4.01,NA,6.99,14.2,88188,0,2.03,1.94,1.1,NA,-1.12,2.55,-2.21,-1.05,1.07,NA,NA,1.06,NA,NA,1.35,1.43,NA,1.12,1.188,100,0.263,0,0,100,100,0,11.38,11.6,100,100,0,14.7,100,100,4.32,43.93,0,0
"6","Southeastern Great Plains Tallgrass Prairie","East Central Texas Plains",55753,0,17.5,27.8,6.893,NA,143,61.9,24.1,352,250,NA,NA,NA,NA,NA,35.2,-0.306,NA,NA,27.5,55753,0,2.72,3.19,2.32,NA,-78.6,34.4,-35.1,-125,82.7,NA,NA,NA,NA,NA,3.23,3.63,NA,NA,11.36,55753,0,2.7,3.14,2.28,NA,-95,30.25,-41.1,-133,63.9,NA,NA,NA,NA,NA,3.16,3.52,NA,NA,10.65,55753,0,2.74,3.23,2.34,NA,-69.9,43.3,-33.1,-119.4,87.2,NA,NA,NA,NA,NA,3.3,3.8,NA,NA,12.2,55753,0,1.98,1.9,1.08,NA,-1.17,2.91,-2.26,-1.03,1.16,NA,NA,NA,NA,NA,1.32,1.55,NA,NA,1.181,100,0,0,0,100,100,0,0,15.7,100,100,0,24.29,100,100,4.29,17.14,0,0
"7","Southeastern Great Plains Tallgrass Prairie","Edwards Plateau",74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Southeastern Great Plains Tallgrass Prairie","Flint Hills",27932,0,13.5,25.7,0.849,NA,139,29.1,46.3,365,134,NA,NA,12.8,NA,NA,33.6,-6.698,NA,22.9,NA,27932,0,2.91,3.75,2.58,NA,-78.4,13.2,-32.4,-111,39.3,NA,NA,0.626,NA,NA,3.68,4.16,NA,5.84,NA,27932,0,2.79,3.62,2.44,NA,-92.9,8.04,-36.1,-126,36.6,NA,NA,0.537,NA,NA,3.35,3.79,NA,4.99,NA,27932,0,3.01,3.88,2.7,NA,-59.4,18.7,-28.7,-87.8,43.1,NA,NA,0.729,NA,NA,3.93,4.37,NA,6.94,NA,27932,0,2.38,2.06,1.19,NA,-1.27,1.52,-2.19,-1.06,1.02,NA,NA,1.15,NA,NA,1.51,1.61,NA,1.53,NA,100,63.151,0,0,100,100,0,54.53,0,100,100,0,98.84,100,100,44.24,1.35,0,0
"9","Southeastern Great Plains Tallgrass Prairie","Interior River Valleys and Hills",120396,0,13,24.9,0.433,NA,134,47.5,31.7,366,172,NA,NA,NA,NA,NA,32.3,-6.361,NA,NA,NA,120396,0,2.71,3.68,2.25,NA,-79.9,25.2,-34.8,-100,52.5,NA,NA,NA,NA,NA,3.93,4,NA,NA,NA,120396,0,2.7,3.67,2.2,NA,-88.2,23.46,-36.2,-106,51.7,NA,NA,NA,NA,NA,3.89,3.89,NA,NA,NA,120396,0,2.72,3.7,2.28,NA,-72.1,27.5,-33.8,-93.9,53.1,NA,NA,NA,NA,NA,3.97,4.12,NA,NA,NA,120396,0,2.4,2.3,1.02,NA,-1.86,2.06,-2.45,-1.08,1.08,NA,NA,NA,NA,NA,1.69,1.58,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,100,100,100,81.25,9.38,0,0
"10","Southeastern Great Plains Tallgrass Prairie","Ouachita Mountains",26895,0,16.9,27.5,6.063,NA,NA,67.4,23,NA,224,NA,NA,NA,NA,NA,35,-1.244,NA,NA,NA,26895,0,2.78,3.36,2.35,NA,NA,36.3,-29,NA,67.3,NA,NA,NA,NA,NA,3.41,3.83,NA,NA,NA,26895,0,2.76,3.32,2.34,NA,NA,34.91,-31,NA,61.9,NA,NA,NA,NA,NA,3.38,3.74,NA,NA,NA,26895,0,2.8,3.45,2.37,NA,NA,41.3,-26.9,NA,80.2,NA,NA,NA,NA,NA,3.44,4.01,NA,NA,NA,26895,0,2.09,2,1.09,NA,NA,2.75,-2.24,NA,1.1,NA,NA,NA,NA,NA,1.34,1.59,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
