"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,9.26,18.1,0.843,NA,96.6,18.67,56.2,212,79.1,NA,NA,15.1,45,NA,26.8,-6.79,NA,17.2,11.64,108826,0,2.68,2.85,2.76,NA,-45.1,10.36,-30.5,-62.7,30.1,NA,NA,0.61,2.36,NA,2.56,2.96,NA,5.29,6.05,108826,0,2.57,2.53,2.55,NA,-88,4.22,-48.1,-97.3,13.33,NA,NA,0.573,2,NA,2.06,2.27,NA,-8.6,3.23,108826,0,2.81,3.13,3.04,NA,-20.6,24.2,-19.3,-40.1,57.6,NA,NA,0.696,3.24,NA,3.33,4.15,NA,13.21,9.18,108826,0,3.02,2.85,2.44,NA,-1.2,2.08,-1.6,-1.18,1.28,NA,NA,1.02,1.07,NA,1.7,2.46,NA,1.407,1.42,100,9.15,20.7,0,100,100,0,83.39,48.64,100,100,0,41.5,94.6,94.6,3.9,17.46,0,0
"2","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,7.47,17.7,-2.543,NA,55.9,16.88,42.6,153,61.5,NA,NA,16.8,42.1,NA,27.5,-10.79,38.1,16.6,12.59,150072,0,2.69,2.91,2.82,NA,-28.6,9.84,-35.3,-37.3,21.8,NA,NA,0.549,2.19,NA,2.91,3.94,-1.67,5.86,6.84,150072,0,2.65,2.67,2.71,NA,-60.6,3.13,-44.8,-50.8,11.38,NA,NA,0.47,1.88,NA,2.5,3.09,-1.76,3.5,5.15,150072,0,2.74,3.05,2.99,NA,-13.6,23.2,-25.3,-28.5,46.9,NA,NA,0.642,2.78,NA,3.25,4.67,-1.56,11.74,8.51,150072,0,3.06,2.79,2.45,NA,-1.26,2.41,-2.11,-1.12,1.37,NA,NA,1.13,1.1,NA,2.09,2.92,-1.09,1.204,1.17,100,32.56,61.2,0,100,100,6.98,82.17,4.65,100,100,0,71.3,100,100,10.08,51.94,0,0
"3","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,8.21,19,-1.518,NA,70.9,24.94,28.2,146,98.9,NA,NA,NA,35.1,NA,28,-7.34,35.3,7.9,18.64,309946,0,3.04,2.97,3.69,NA,-44.9,14.97,-35.3,-59.5,27.9,NA,NA,NA,2.55,NA,2.89,5.18,-2.36,4.93,7.18,309946,0,2.82,2.79,3.14,NA,-77,5.35,-44.5,-59.5,26.44,NA,NA,NA,2.03,NA,2.65,4.16,-2.69,4.91,4.34,309946,0,3.37,3.21,3.87,NA,-26.7,29.4,-26.3,-59.5,29.3,NA,NA,NA,3.26,NA,3.22,5.81,-1.85,4.94,10.51,309946,0,3.63,2.27,2.96,NA,-1.28,2.19,-2.61,-1.01,1.31,NA,NA,NA,1.21,NA,1.79,2.99,-1.14,1.123,1.13,100,0,98.4,0,100,100,86.89,3.28,70.49,100,100,0,100,100,100,1.64,6.56,0,0
"4","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,14.37,23.2,5.502,NA,NA,13.04,70.7,NA,43.8,NA,NA,NA,41,NA,30.7,-1.06,NA,22.3,14.47,509458,0,2.71,2.84,2.81,NA,NA,9.56,-30.1,NA,19.2,NA,NA,NA,2.34,NA,2.32,2.63,NA,3.72,4.38,509458,0,2.69,2.79,2.75,NA,NA,5.77,-35.7,NA,16.77,NA,NA,NA,2.3,NA,2.15,2.54,NA,3.35,4.14,509458,0,2.72,2.99,2.85,NA,NA,12,-27.2,NA,21.7,NA,NA,NA,2.41,NA,2.92,2.79,NA,4.21,4.77,509458,0,3.1,2.95,2.52,NA,NA,3.07,-1.19,NA,1.3,NA,NA,NA,1.02,NA,1.45,2.2,NA,1.311,1.11,100,0,50,0,100,100,0,100,50,100,100,0,0,100,66.7,0,33.33,0,0
"5","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,7.57,18.7,-3.089,NA,50.3,22.72,22.7,132,82.7,NA,NA,NA,36.2,NA,28.2,-10.02,38.2,17.5,9,134931,0,3.09,3.13,3.24,NA,-34.9,11.4,-39.2,-47,28.5,NA,NA,NA,2.18,NA,3.06,5.01,-1.99,6.6,13.36,134931,0,2.75,2.72,2.69,NA,-60.1,3.22,-51.4,-75.9,12.66,NA,NA,NA,1.56,NA,2.63,3.64,-3,-10.23,6.18,134931,0,3.38,3.34,3.75,NA,-16,21.4,-24.6,-27.9,55.2,NA,NA,NA,2.99,NA,3.26,6.05,-1.39,13.11,21.65,134931,0,3.68,2.61,3.5,NA,-1.27,2.31,-2.99,-1.09,1.71,NA,NA,NA,1.18,NA,1.97,3.86,-1.17,0.962,1.47,100,0,68.1,0,100,100,91.24,18.89,66.49,100,100,0,71.9,97.9,100,16.46,75.84,0,0
"6","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","High Plains",288315,0,9.57,21.6,-1.687,NA,NA,9.96,59.3,NA,33.6,NA,NA,NA,NA,NA,31.9,-10.07,NA,18.8,NA,288315,0,2.62,3.01,2.69,NA,NA,7.67,-28.4,NA,14,NA,NA,NA,NA,NA,2.72,4.07,NA,4.87,NA,288315,0,2.6,2.98,2.63,NA,NA,5.93,-30.8,NA,10.27,NA,NA,NA,NA,NA,2.62,4,NA,3.97,NA,288315,0,2.66,3.11,2.82,NA,NA,10.2,-25.1,NA,18.7,NA,NA,NA,NA,NA,3.04,4.59,NA,5.44,NA,288315,0,2.27,2.33,1.49,NA,NA,2.18,-1.78,NA,1.19,NA,NA,NA,NA,NA,1.87,1.78,NA,1.179,NA,100,0,0,0,100,100,0,90.91,0,100,100,0,0,100,100,0,50,0,0
"7","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",74690,0,10.89,19.1,3.051,NA,NA,14.02,61,NA,NA,NA,NA,NA,43.6,NA,26.4,-3.37,NA,19.4,13.16,74690,0,2.62,2.63,2.72,NA,NA,6.97,-25.5,NA,NA,NA,NA,NA,2.65,NA,2.08,2.88,NA,7.21,4.71,74690,0,2.52,2.46,2.66,NA,NA,4.62,-29.7,NA,NA,NA,NA,NA,2.26,NA,2.01,2.72,NA,2.7,2.97,74690,0,2.69,2.7,2.81,NA,NA,14,-22.6,NA,NA,NA,NA,NA,3.2,NA,2.3,3.11,NA,9.49,6.92,74690,0,3.23,3.16,2.62,NA,NA,1.51,-1.43,NA,NA,NA,NA,NA,1.12,NA,1.55,2.78,NA,1.368,1.31,100,0,65.2,0,100,100,0,56.52,39.13,100,100,0,0,100,100,0,0,0,0
"9","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Middle Rockies",164464,0,4.42,15,-4.997,NA,NA,19.8,49,NA,75,NA,NA,NA,NA,NA,24.4,-11.75,NA,7.9,NA,164464,0,2.81,3.17,2.66,NA,NA,9.98,-20.3,NA,20,NA,NA,NA,NA,NA,2.79,5,NA,3.97,NA,164464,0,2.79,3.17,2.64,NA,NA,8.66,-20.6,NA,19.97,NA,NA,NA,NA,NA,2.79,4.98,NA,3.97,NA,164464,0,2.82,3.17,2.69,NA,NA,11.3,-20,NA,20,NA,NA,NA,NA,NA,2.79,5.01,NA,3.97,NA,164464,0,3.39,2.71,1.96,NA,NA,2.27,-1.08,NA,1.1,NA,NA,NA,NA,NA,1.66,2.24,NA,1.235,NA,100,0,0,0,100,100,0,50,0,100,100,0,0,100,100,0,50,0,0
"10","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Mojave Basin and Range",129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
