"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,8.55,17.5,0.0528,NA,97.7,20.2,49.9,212,84,NA,NA,14.8,44.6,NA,26.3,-7.42,NA,16.64,11.25,108826,0,2.67,2.84,2.77,NA,-47.1,10.56,-31.5,-62.5,30.7,NA,NA,0.616,2.38,NA,2.61,3.13,NA,6.23,6.03,108826,0,2.57,2.53,2.59,NA,-82.8,3.91,-48.1,-97.3,14.6,NA,NA,0.583,2.07,NA,2.16,2.44,NA,-8.6,3.25,108826,0,2.81,3.13,3.04,NA,-25.4,23.69,-19.3,-38.9,57.6,NA,NA,0.696,3.31,NA,3.33,4.25,NA,13.21,8.7,108826,0,2.99,2.81,2.41,NA,-1.23,1.88,-1.79,-1.17,1.35,NA,NA,1.03,1.08,NA,1.75,2.52,NA,1.302,1.4,100,8.77,31.8,0,100,100,0,73.259,51.95,100,100,0,51.9,92.5,95,7.799,13.51,0,0
"2","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,7.17,17.1,-2.2748,NA,60.7,19.93,39.1,158,69.9,NA,NA,16.3,40.9,NA,26.4,-9.72,37.4,15.91,12.94,150072,0,2.69,2.88,2.85,NA,-31.2,10.45,-37.1,-36.9,24.9,NA,NA,0.523,2.31,NA,2.87,3.93,-1.68,6.35,6.19,150072,0,2.65,2.68,2.72,NA,-60.6,4.92,-43.5,-50.8,15,NA,NA,0.493,2.04,NA,2.48,3.25,-1.72,4.24,5.15,150072,0,2.74,3.05,2.98,NA,-22.1,20.36,-28.5,-28.9,38.4,NA,NA,0.553,2.78,NA,3.2,4.67,-1.63,10.73,7.02,150072,0,3.09,2.75,2.49,NA,-1.23,2.15,-2.27,-1.08,1.41,NA,NA,1.12,1.14,NA,2.06,2.95,-1.11,1.179,1.05,100,39.02,65.9,0,100,100,12.2,80.488,7.32,100,100,0,68.3,97.6,100,21.951,43.9,0,0
"3","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,6.94,17.4,-2.355,NA,63.3,23.39,29.2,162,85.4,NA,NA,NA,37.2,NA,26.9,-8.54,35.4,11.71,13.39,309946,0,3.05,2.87,3.75,NA,-44.2,14.35,-41.5,-55.5,32.2,NA,NA,NA,3.08,NA,2.88,5.43,-2.57,2.68,8.8,309946,0,2.82,2.57,3.14,NA,-77,4.32,-58,-57.6,18.5,NA,NA,NA,2.19,NA,2.6,4.3,-3.27,-8.12,2.86,309946,0,3.42,3.25,4.01,NA,-26.7,29.35,-26,-53.4,57.8,NA,NA,NA,4.32,NA,3.32,5.97,-1.85,10.83,16.55,309946,0,3.64,2.27,2.76,NA,-1.29,2.94,-2.77,-1.03,1.44,NA,NA,NA,1.29,NA,1.79,2.94,-1.15,0.599,1.29,100,0,97.1,0,100,100,94.1,1.431,77.1,100,100,0,89.2,100,100,0.409,57.46,0,0
"6","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,6.79,17.7,-3.4821,NA,55.5,24.36,22.5,143,90.5,NA,NA,NA,36.4,NA,27,-10.09,37.1,17.37,10.22,134931,0,3.11,3.11,3.4,NA,-39.6,11.71,-39.5,-54.7,29.3,NA,NA,NA,2.36,NA,3.02,5.13,-2.19,5.57,12.75,134931,0,2.76,2.71,2.74,NA,-60.1,3.22,-49.1,-69.7,16.4,NA,NA,NA,1.62,NA,2.55,3.94,-3,-8.37,6.18,134931,0,3.37,3.34,3.75,NA,-17.6,21.38,-24.6,-27.9,43.8,NA,NA,NA,2.99,NA,3.26,6.05,-1.4,12.32,20.63,134931,0,3.68,2.52,3.4,NA,-1.18,2.28,-2.89,-1.09,1.62,NA,NA,NA,1.21,NA,1.92,3.73,-1.23,0.824,1.47,100,0,86.3,0,100,100,87.2,12.559,70.14,100,100,0,71.6,96.2,100,9.005,60.19,0,0
"8","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","High Plains",288315,0,10.42,20.8,0.7922,NA,NA,21.37,40.9,NA,NA,NA,NA,NA,NA,NA,29.9,-6.82,NA,NA,NA,288315,0,2.66,3.11,2.81,NA,NA,9.85,-25.7,NA,NA,NA,NA,NA,NA,NA,3.04,4.57,NA,NA,NA,288315,0,2.66,3.11,2.81,NA,NA,9.66,-26.2,NA,NA,NA,NA,NA,NA,NA,3.03,4.56,NA,NA,NA,288315,0,2.66,3.11,2.82,NA,NA,10.03,-25.1,NA,NA,NA,NA,NA,NA,NA,3.04,4.59,NA,NA,NA,288315,0,2.72,2.79,2,NA,NA,1.44,-1.67,NA,NA,NA,NA,NA,NA,NA,2.1,2.54,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"9","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",74690,0,11.17,19.5,3.2627,NA,NA,13.69,59.3,NA,NA,NA,NA,NA,43.6,NA,26.5,-2.75,NA,20.58,15.63,74690,0,2.61,2.63,2.71,NA,NA,6.23,-25.5,NA,NA,NA,NA,NA,2.65,NA,2.03,2.89,NA,8.26,5.53,74690,0,2.57,2.56,2.66,NA,NA,4.62,-29.7,NA,NA,NA,NA,NA,2.26,NA,2.01,2.72,NA,5.67,4.04,74690,0,2.63,2.66,2.76,NA,NA,8.1,-22.6,NA,NA,NA,NA,NA,3.2,NA,2.07,3.11,NA,9.49,6.77,74690,0,3.23,3.17,2.63,NA,NA,1.37,-1.44,NA,NA,NA,NA,NA,1.12,NA,1.55,2.82,NA,1.158,1.44,100,0,88.2,0,100,100,0,47.059,29.41,100,100,0,0,100,100,0,0,0,0
