"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Mountains",108826,0,8.77,17.5,0.429,NA,99,17.64,56,325,86.9,NA,NA,13.4,44.8,NA,26.8,-7.79,NA,16.45,10.59,108826,0,2.68,2.8,2.75,NA,-48.4,9.42,-29,-75.7,29.7,NA,NA,0.567,2.38,NA,2.53,2.96,NA,5.94,6.02,108826,0,2.61,2.55,2.67,NA,-88,3.82,-46.2,-75.7,16.1,NA,NA,0.509,2.11,NA,2.2,2.22,NA,2.95,3.28,108826,0,2.83,3.12,2.97,NA,-28.6,21.79,-19.3,-75.7,37,NA,NA,0.608,3.24,NA,2.76,3.79,NA,12.58,8.68,108826,0,3.04,2.78,2.43,NA,-1.15,1.9,-1.58,-1.01,1.12,NA,NA,1.03,1.07,NA,1.71,2.45,NA,1.42,1.43,100,8.03,13.3,0,100,100,0,84.59,48.03,100,100,0,35.9,91.5,96.7,0.164,4.92,0,0
"2","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Plateau",150072,0,6.86,16.9,-2.922,NA,59.6,17.41,44.2,176,67.1,NA,NA,16.6,41.9,NA,26.7,-11.08,39.2,15.59,11.3,150072,0,2.7,2.87,2.81,NA,-32.1,10.03,-33.8,-45.7,22.9,NA,NA,0.514,2.24,NA,2.79,4,-1.71,5.54,5.56,150072,0,2.65,2.68,2.7,NA,-58.8,4.16,-45.9,-50.8,11.4,NA,NA,0.47,2,NA,2.47,2.23,-1.83,3.39,4.42,150072,0,2.74,3.05,2.96,NA,-15.8,19.67,-23.4,-38.1,37.9,NA,NA,0.544,2.78,NA,3.2,4.63,-1.63,11.15,6.45,150072,0,3.14,2.77,2.53,NA,-1.2,2.31,-2.02,-1.16,1.34,NA,NA,1.1,1.15,NA,1.99,3.06,-1.07,1.25,1.05,100,14.63,65.9,0,100,100,26.8,82.93,7.32,100,100,0,61,100,100,7.317,46.34,0,0
"3","Southern Rocky Mountain Montane Subalpine Grassland","Central Basin and Range",309946,0,8.25,19.8,-3.023,NA,66.9,21.04,27.4,193,NA,NA,NA,NA,34.7,NA,30.3,-8.91,39.2,NA,NA,309946,0,3.36,3.24,3.89,NA,-49.1,16.51,-37,-53.4,NA,NA,NA,NA,2.22,NA,3.23,5.88,-2.65,NA,NA,309946,0,3.33,3.23,3.83,NA,-50.1,15.57,-38.5,-53.4,NA,NA,NA,NA,2.22,NA,3.2,5.81,-2.69,NA,NA,309946,0,3.42,3.25,3.93,NA,-47.1,18.35,-35.9,-53.4,NA,NA,NA,NA,2.22,NA,3.28,5.93,-2.61,NA,NA,309946,0,4.19,2.25,3.33,NA,-1.78,2.85,-2.46,-1.02,NA,NA,NA,NA,1.02,NA,1.65,3.2,-1.02,NA,NA,100,0,33.3,0,100,100,100,0,0,100,100,0,100,100,100,33.333,0,0,0
"4","Southern Rocky Mountain Montane Subalpine Grassland","Chihuahuan Desert",509458,0,13.68,22.9,4.797,NA,NA,7.99,69.5,NA,NA,NA,NA,NA,NA,NA,31.8,-3.6,NA,22.32,13.23,509458,0,2.73,2.86,2.8,NA,NA,4.26,-26.3,NA,NA,NA,NA,NA,NA,NA,2.22,2.56,NA,3.57,4.12,509458,0,2.73,2.84,2.79,NA,NA,3.91,-27.6,NA,NA,NA,NA,NA,NA,NA,2.21,2.54,NA,3.57,4.12,509458,0,2.74,2.88,2.81,NA,NA,4.74,-24.8,NA,NA,NA,NA,NA,NA,NA,2.23,2.57,NA,3.57,4.12,509458,0,3.12,2.79,2.63,NA,NA,1.26,-1.13,NA,NA,NA,NA,NA,NA,NA,1.32,2.42,NA,1.15,1.01,100,0,0,0,100,100,0,33.33,33.33,100,100,0,0,100,100,0,0,0,0
"5","Southern Rocky Mountain Montane Subalpine Grassland","Colorado Plateaus",134931,0,7.24,18.4,-3.381,NA,52.6,25.06,21.2,165,90.3,NA,NA,NA,38,NA,27.9,-10.62,38.4,17.43,16.99,134931,0,3.14,3.13,3.09,NA,-33.6,12.63,-36.3,-55.3,23.1,NA,NA,NA,2.54,NA,3.07,4.93,-1.87,7.52,13.25,134931,0,2.77,2.9,3,NA,-48.7,6.53,-43.7,-56.6,20.5,NA,NA,NA,2.39,NA,2.93,4.52,-2.51,7.5,6.39,134931,0,3.23,3.18,3.71,NA,-28.8,15.45,-25.3,-53.9,29.2,NA,NA,NA,2.81,NA,3.09,5.44,-1.43,7.53,15.9,134931,0,3.79,2.56,3.41,NA,-1.45,2.15,-3.18,-1.14,1.11,NA,NA,NA,1.26,NA,1.92,3.7,-1.07,1.05,1.36,100,0,17.6,0,100,100,94.1,11.76,88.24,100,100,0,94.1,100,100,11.765,58.82,0,0
"6","Southern Rocky Mountain Montane Subalpine Grassland","High Plains",288315,0,9.25,20.1,-1.033,NA,NA,10.76,56.2,NA,NA,NA,NA,NA,NA,NA,29.9,-9.72,NA,17.56,NA,288315,0,2.73,3.08,2.91,NA,NA,7.61,-24.4,NA,NA,NA,NA,NA,NA,NA,2.96,4.48,NA,5.45,NA,288315,0,2.71,3.07,2.86,NA,NA,7.21,-25.6,NA,NA,NA,NA,NA,NA,NA,2.94,4.42,NA,5.14,NA,288315,0,2.74,3.09,2.95,NA,NA,8.11,-23.3,NA,NA,NA,NA,NA,NA,NA,3.01,4.56,NA,5.76,NA,288315,0,2.64,2.64,2.02,NA,NA,1.91,-1.6,NA,NA,NA,NA,NA,NA,NA,2.03,2.46,NA,1.21,NA,100,0,0,0,100,100,0,66.67,0,100,100,0,0,100,100,0,0,0,0
"7","Southern Rocky Mountain Montane Subalpine Grassland","Madrean Archipelago",74690,0,12.14,20.3,4.263,NA,NA,14.1,64.9,NA,NA,NA,NA,NA,44.9,NA,29.1,-3.87,NA,19.69,6.66,74690,0,2.68,2.71,2.8,NA,NA,7.48,-27,NA,NA,NA,NA,NA,3.2,NA,2.25,2.71,NA,4.89,3.79,74690,0,2.62,2.64,2.76,NA,NA,4.01,-31.2,NA,NA,NA,NA,NA,3.2,NA,2.01,2.6,NA,2.75,3.79,74690,0,2.71,2.74,2.83,NA,NA,14.04,-21.9,NA,NA,NA,NA,NA,3.2,NA,2.3,3.11,NA,6.28,3.79,74690,0,3.21,3.04,2.56,NA,NA,1.66,-1.35,NA,NA,NA,NA,NA,1.24,NA,1.46,2.5,NA,1.33,1.19,100,0,12.5,0,100,100,0,62.5,12.5,100,100,0,0,100,100,0,0,0,0
"8","Southern Rocky Mountain Montane Subalpine Grassland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Southern Rocky Mountain Montane Subalpine Grassland","Mojave Basin and Range",129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Southern Rocky Mountain Montane Subalpine Grassland","Northern Basin and Range",142200,0,7.64,19.1,-3.485,NA,70.7,28.18,24,170,106.1,NA,NA,NA,NA,NA,29.6,-9.48,39.3,NA,18.5,142200,0,3.41,3.27,3.75,NA,-41.1,17.5,-41,-52.6,26.8,NA,NA,NA,NA,NA,3.28,5.92,-2.66,NA,11.51,142200,0,3.4,3.25,3.69,NA,-43.9,15.66,-42.5,-59.4,25.1,NA,NA,NA,NA,NA,3.26,5.75,-2.78,NA,10.86,142200,0,3.42,3.3,3.81,NA,-36.3,19.51,-39.8,-48.2,28.5,NA,NA,NA,NA,NA,3.31,6.1,-2.57,NA,12.13,142200,0,4.36,2.26,3.55,NA,-1.64,3.34,-2.88,-1.08,1.04,NA,NA,NA,NA,NA,1.6,3.51,-1.03,NA,1.16,100,0,0,0,100,100,83.3,0,83.33,100,100,0,100,100,100,100,33.33,0,0
