"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Mountains",108826,0,11.13,20.7,1.83,NA,76.8,19.28,53.2,189,78.4,NA,NA,15.6,41,NA,29.5,-5.93,NA,19.8,12.76,108826,0,2.73,3.03,2.83,NA,-42,13.21,-39.3,-54.6,31.2,NA,NA,0.61,2.4,NA,3.01,2.95,NA,4.99,8.33,108826,0,2.68,2.85,2.77,NA,-69.5,6.37,-48.1,-65.7,17.62,NA,NA,0.509,2.14,NA,2.43,2.7,NA,3.31,7.45,108826,0,2.83,3.14,2.97,NA,-27.3,22.91,-30.5,-40.1,48.3,NA,NA,0.641,2.62,NA,3.33,3.36,NA,7.68,9.09,108826,0,2.95,2.85,2.34,NA,-1.32,3.58,-1.99,-1.13,1.6,NA,NA,1.03,1.05,NA,1.99,2.24,NA,1.21,1.48,100,78.67,12.667,0,100,100,0,99.33,4.667,100,100,0,88,100,100,38.67,58,0,0
"2","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Plateau",150072,0,12.47,23,2.13,NA,50.6,13.1,46.3,126,48.2,NA,NA,17,NA,NA,32.7,-6.26,NA,22.1,16.83,150072,0,2.69,3.01,2.85,NA,-28.9,10.03,-41.6,-37,20.1,NA,NA,0.624,NA,NA,3.22,3.1,NA,5.78,9.14,150072,0,2.66,2.98,2.8,NA,-37.6,6.08,-45.2,-47.1,12.55,NA,NA,0.611,NA,NA,3.12,2.87,NA,4.54,8.76,150072,0,2.71,3.03,2.89,NA,-25.1,13.14,-37.2,-32.9,30.9,NA,NA,0.641,NA,NA,3.26,3.42,NA,7.21,9.53,150072,0,2.89,2.79,2.29,NA,-1.5,3.37,-2.3,-1.09,1.56,NA,NA,1.06,NA,NA,2.1,2.38,NA,1.13,1.53,100,73.91,0,0,100,100,0,85.51,2.899,100,100,0,100,100,100,28.99,86.957,0,0
"3","Western Great Plains Shortgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Western Great Plains Shortgrass Prairie","Central Great Plains",274963,0,13.08,25.2,1.09,NA,90.3,17.29,52.9,238,35,NA,NA,NA,NA,NA,34.4,-7.49,NA,21.6,NA,274963,0,2.89,3.65,2.61,NA,-53,9.67,-27.6,-95.6,14.6,NA,NA,NA,NA,NA,3.46,3.91,NA,4.93,NA,274963,0,2.62,2.9,2.42,NA,-69.4,5.58,-39.6,-108.2,13.43,NA,NA,NA,NA,NA,2.83,2.99,NA,3.69,NA,274963,0,3.11,3.92,2.89,NA,-31.2,16.13,-20.6,-88.1,15.7,NA,NA,NA,NA,NA,3.82,4.46,NA,6.7,NA,274963,0,2.35,2.33,1.31,NA,-1.14,1.95,-1.41,-1.04,1.03,NA,NA,NA,NA,NA,1.86,1.74,NA,1.27,NA,100,0,0,0,100,100,0,61.22,0,100,100,0,12.372,100,99.9,2.44,0.513,0,0
"5","Western Great Plains Shortgrass Prairie","Chihuahuan Desert",509458,0,16.28,26.3,6.1,NA,62.1,10.06,59.3,NA,45.3,NA,NA,17.8,43.4,NA,34.8,-3.7,NA,24.8,NA,509458,0,2.81,3.13,2.85,NA,-47.6,5.78,-42.7,NA,15.4,NA,NA,0.645,2.28,NA,2.88,2.8,NA,5.06,NA,509458,0,2.59,2.57,2.75,NA,-54.5,4.07,-49.6,NA,11.11,NA,NA,0.49,2.28,NA,2.32,2.66,NA,3.62,NA,509458,0,2.87,3.24,2.94,NA,-32.9,10.26,-31,NA,17,NA,NA,0.675,2.28,NA,3.11,2.99,NA,5.63,NA,509458,0,2.75,2.73,1.89,NA,-1.26,3.28,-2.18,NA,1.09,NA,NA,1.03,1.01,NA,1.89,1.91,NA,1.3,NA,100,25,0.61,0,100,100,0,80.49,0,100,100,0,92.683,100,100,0,21.951,0,0
"6","Western Great Plains Shortgrass Prairie","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Western Great Plains Shortgrass Prairie","Edwards Plateau",74964,0,17.76,27.2,7.78,NA,65.3,19.52,40.9,NA,62.8,NA,NA,NA,NA,NA,34.6,-1.14,NA,25.4,NA,74964,0,2.6,2.79,2.62,NA,-57.4,10.83,-44.6,NA,20.6,NA,NA,NA,NA,NA,2.6,2.96,NA,6.37,NA,74964,0,2.4,2.49,2.4,NA,-75.4,7.8,-55.5,NA,15.55,NA,NA,NA,NA,NA,2.2,2.8,NA,5.14,NA,74964,0,2.69,2.97,2.74,NA,-49.3,14.63,-36.1,NA,25.2,NA,NA,NA,NA,NA,2.85,3.05,NA,6.84,NA,74964,0,2.33,2.38,1.55,NA,-1.1,2.84,-3.12,NA,1.07,NA,NA,NA,NA,NA,1.7,1.69,NA,1.29,NA,100,0,0,0,100,100,0,1.05,0,100,100,0,43.706,100,100,0,30.245,0,0
"8","Western Great Plains Shortgrass Prairie","High Plains",288315,0,12.42,23.7,1.42,NA,73.1,11.5,58.2,210,35.7,NA,NA,17,NA,NA,33,-7.38,37.3,22.1,-2.1,288315,0,2.82,3.32,2.77,NA,-49.6,6.71,-31.9,-78,13.2,NA,NA,0.647,NA,NA,3.15,3.71,-1.98,4.67,2.03,288315,0,2.57,2.85,2.37,NA,-67.6,3.22,-52.6,-102.6,8.43,NA,NA,0.583,NA,NA,2.52,2.73,-2.01,-5.11,1.8,288315,0,3.1,3.86,3.08,NA,-30.4,12.85,-21.7,-55.5,20.7,NA,NA,0.739,NA,NA,3.72,4.76,-1.94,7.27,2.22,288315,0,2.45,2.52,1.54,NA,-1.26,2.2,-1.78,-1.07,1.12,NA,NA,1.08,NA,NA,2.04,1.84,-1,1.22,1.13,100,6.59,0,0,100,100,0.0281,68.59,0.344,100,100,0,52.826,100,100,12.73,6.489,0,0
"9","Western Great Plains Shortgrass Prairie","Middle Rockies",164464,0,8.6,21.4,-3.46,NA,NA,9.93,59.4,NA,34.7,NA,NA,NA,NA,NA,31.8,-11.36,NA,18.5,NA,164464,0,2.8,3.37,2.49,NA,NA,7.98,-25.4,NA,13.2,NA,NA,NA,NA,NA,2.99,4.65,NA,5.62,NA,164464,0,2.74,3.31,2.41,NA,NA,6.23,-28.3,NA,11.47,NA,NA,NA,NA,NA,2.91,4.24,NA,4.33,NA,164464,0,2.86,3.42,2.55,NA,NA,9.71,-23.8,NA,15.3,NA,NA,NA,NA,NA,3.07,5.09,NA,6.72,NA,164464,0,2.89,2.66,1.54,NA,NA,2.79,-1.42,NA,1.3,NA,NA,NA,NA,NA,1.66,1.87,NA,1.36,NA,100,0,0,0,100,100,0,100,0,100,100,0,0,100,100,0,68.75,0,0
"10","Western Great Plains Shortgrass Prairie","Nebraska Sand Hills",59123,0,9.48,22,-2.45,NA,NA,9.48,65.2,NA,30.3,NA,NA,NA,NA,NA,31.9,-10.76,NA,19.3,NA,59123,0,2.63,3.28,2.49,NA,NA,7.69,-27.9,NA,12.8,NA,NA,NA,NA,NA,3.02,4.04,NA,4.47,NA,59123,0,2.57,3.05,2.41,NA,NA,6.5,-29.8,NA,10.27,NA,NA,NA,NA,NA,2.75,3.91,NA,3.9,NA,59123,0,2.71,3.53,2.61,NA,NA,9.49,-25.9,NA,15.7,NA,NA,NA,NA,NA,3.27,4.68,NA,4.86,NA,59123,0,2.29,2.39,1.31,NA,NA,2.32,-1.6,NA,1.12,NA,NA,NA,NA,NA,1.81,1.74,NA,1.15,NA,100,0,0,0,100,100,0,96.27,0,100,100,0,0,100,100,0,32.836,0,0
