"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Columbia Plateau Western Juniper Woodland and Savanna","Blue Mountains",70911,0,8.19,NA,NA,NA,NA,NA,NA,188,NA,NA,179,NA,38.1,NA,NA,-5.98,NA,9.91,16.5,70911,0,1.102,NA,NA,NA,NA,NA,NA,128,NA,NA,132,NA,2.4,NA,NA,2.67,NA,1.77,2.25,70911,0,0.961,NA,NA,NA,NA,NA,NA,73,NA,NA,81.2,NA,2.16,NA,NA,2.26,NA,-4.94,1.61,70911,0,1.198,NA,NA,NA,NA,NA,NA,240,NA,NA,240,NA,2.64,NA,NA,3.12,NA,6.38,2.8,70911,0,1.64,NA,NA,NA,NA,NA,NA,1.11,NA,NA,1.1,NA,1.03,NA,NA,1.57,NA,0.422,1.1,100,0,2.53,0,0,100,0,5.97,9.07,0,0,0,0,0,0,17.5,0,0,13.8
"2","Columbia Plateau Western Juniper Woodland and Savanna","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Columbia Plateau Western Juniper Woodland and Savanna","Cascades",46434,0,9.12,NA,NA,NA,NA,NA,NA,362,NA,NA,348,NA,38.3,NA,NA,-3.18,NA,NA,17.7,46434,0,1.204,NA,NA,NA,NA,NA,NA,303,NA,NA,303,NA,2.65,NA,NA,2.39,NA,NA,2.01,46434,0,1.176,NA,NA,NA,NA,NA,NA,143.1,NA,NA,143.1,NA,2.54,NA,NA,2.21,NA,NA,1.48,46434,0,1.234,NA,NA,NA,NA,NA,NA,838,NA,NA,838,NA,2.79,NA,NA,2.66,NA,NA,2.6,46434,0,2,NA,NA,NA,NA,NA,NA,1.37,NA,NA,1.37,NA,1.03,NA,NA,1.84,NA,NA,1.28,100,0,2.38,0,0,100,0,0,58.06,0,0,0,0,0,0,69,0,0,67.5
"4","Columbia Plateau Western Juniper Woodland and Savanna","Central Basin and Range",309946,0,4.98,NA,NA,NA,NA,NA,NA,330,NA,NA,321,NA,41.6,NA,NA,-8.24,NA,NA,NA,309946,0,1.298,NA,NA,NA,NA,NA,NA,247,NA,NA,247,NA,3.42,NA,NA,3,NA,NA,NA,309946,0,1.298,NA,NA,NA,NA,NA,NA,246.6,NA,NA,246.6,NA,3.42,NA,NA,3,NA,NA,NA,309946,0,1.298,NA,NA,NA,NA,NA,NA,247,NA,NA,247,NA,3.42,NA,NA,3,NA,NA,NA,309946,0,1.85,NA,NA,NA,NA,NA,NA,1.23,NA,NA,1.23,NA,1.27,NA,NA,1.77,NA,NA,NA,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100
"5","Columbia Plateau Western Juniper Woodland and Savanna","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Columbia Plateau Western Juniper Woodland and Savanna","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Columbia Plateau Western Juniper Woodland and Savanna","Columbia Plateau",83923,0,9.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95,NA,NA,NA,83923,0,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,83923,0,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA,83923,0,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,NA,NA,NA,83923,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Columbia Plateau Western Juniper Woodland and Savanna","Eastern Cascades Slopes and Foothills",56174,0,8.37,NA,NA,NA,NA,NA,NA,213,NA,NA,190,NA,40.8,NA,NA,-5.75,NA,NA,17.5,56174,0,1.267,NA,NA,NA,NA,NA,NA,150,NA,NA,150,NA,2.43,NA,NA,2.47,NA,NA,2.01,56174,0,0.972,NA,NA,NA,NA,NA,NA,73.4,NA,NA,76.3,NA,2.32,NA,NA,1.69,NA,NA,1.51,56174,0,1.33,NA,NA,NA,NA,NA,NA,734,NA,NA,734,NA,2.55,NA,NA,2.86,NA,NA,4.06,56174,0,2.04,NA,NA,NA,NA,NA,NA,1.13,NA,NA,1.13,NA,1.05,NA,NA,1.82,NA,NA,1.2,100,0,2.14,0,0,100,0,0,57.2,0,0,0,0,0,0,68.4,0,0,66.8
"9","Columbia Plateau Western Juniper Woodland and Savanna","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Columbia Plateau Western Juniper Woodland and Savanna","Klamath Mountains",48539,0,10.54,NA,NA,NA,NA,NA,NA,418,NA,NA,393,NA,37.3,NA,NA,-2.26,NA,NA,19.4,48539,0,1.146,NA,NA,NA,NA,NA,NA,342,NA,NA,342,NA,2.67,NA,NA,2.32,NA,NA,2.07,48539,0,1.119,NA,NA,NA,NA,NA,NA,129.5,NA,NA,122.2,NA,2.45,NA,NA,2.12,NA,NA,1.49,48539,0,1.199,NA,NA,NA,NA,NA,NA,832,NA,NA,832,NA,2.93,NA,NA,2.56,NA,NA,3.05,48539,0,1.91,NA,NA,NA,NA,NA,NA,1.42,NA,NA,1.42,NA,1.08,NA,NA,1.87,NA,NA,1.29,100,0,37.5,0,0,100,0,0,92.19,0,0,0,0,0,0,100,0,0,100
