"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Xeric Mixed Sagebrush Shrubland","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Great Basin Xeric Mixed Sagebrush Shrubland","Arizona/New Mexico Plateau",150072,0,15.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.708,NA,23.76,NA,150072,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21,NA,9.32,NA,150072,0,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07,NA,9.32,NA,150072,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,9.32,NA,150072,0,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1.2159,NA,100,0,0,0,0,100,0,7.14,0,0,0,0,0,0,0,0,0,0,0
"3","Great Basin Xeric Mixed Sagebrush Shrubland","Blue Mountains",70911,0,8.84,NA,NA,NA,NA,NA,NA,221,NA,NA,212,NA,NA,NA,27.2,-5.912,NA,11.28,12.9,70911,0,1.11,NA,NA,NA,NA,NA,NA,150.1,NA,NA,157,NA,NA,NA,1.67,2.87,NA,5.79,5.63,70911,0,1.04,NA,NA,NA,NA,NA,NA,93.2,NA,NA,93.2,NA,NA,NA,1.67,2.64,NA,5.34,2.25,70911,0,1.19,NA,NA,NA,NA,NA,NA,292,NA,NA,292,NA,NA,NA,1.67,3.09,NA,6.46,9.13,70911,0,1.6,NA,NA,NA,NA,NA,NA,1.07,NA,NA,1.08,NA,NA,NA,1.01,1.66,NA,1.0505,1.03,100,0,0,0,0.5988,100,0,1.8,5.988,0,0,0,0,0,0,19.16,0,0,15.57
"4","Great Basin Xeric Mixed Sagebrush Shrubland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Great Basin Xeric Mixed Sagebrush Shrubland","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Great Basin Xeric Mixed Sagebrush Shrubland","Cascades",46434,0,9.14,NA,NA,NA,NA,NA,NA,214,NA,NA,189,NA,37.8,NA,NA,-2.307,NA,NA,18,46434,0,1.2,NA,NA,NA,NA,NA,NA,144.7,NA,NA,145,NA,2.63,NA,NA,2.66,NA,NA,2.58,46434,0,1.2,NA,NA,NA,NA,NA,NA,144.7,NA,NA,144.7,NA,2.63,NA,NA,2.66,NA,NA,2.58,46434,0,1.2,NA,NA,NA,NA,NA,NA,145,NA,NA,145,NA,2.63,NA,NA,2.66,NA,NA,2.58,46434,0,1.95,NA,NA,NA,NA,NA,NA,1.08,NA,NA,1.08,NA,1.04,NA,NA,2.08,NA,NA,1.21,100,0,1.19,0,0,100,0,0,44.048,0,0,0,0,0,0,50,0,0,44.05
"7","Great Basin Xeric Mixed Sagebrush Shrubland","Central Basin and Range",309946,0,9.42,NA,NA,NA,NA,NA,72.8,171,NA,NA,165,NA,40.8,NA,25.8,-7.564,37.2,10.59,12.6,309946,0,1.4,NA,NA,NA,NA,NA,40.6,122.7,NA,NA,122,NA,2.44,NA,1.44,2.73,-2.03,1.31,10.05,309946,0,1.26,NA,NA,NA,NA,NA,40.6,54,NA,NA,54,NA,1.75,NA,1.38,1.96,-2.03,-10.6,-8.73,309946,0,1.52,NA,NA,NA,NA,NA,40.6,282,NA,NA,282,NA,3.52,NA,1.48,3.46,-2.03,13.78,17.29,309946,0,1.78,NA,NA,NA,NA,NA,1.11,1.17,NA,NA,1.18,NA,1.11,NA,1.02,1.59,-1.01,0.2752,1.22,100,0,34.41,0,0.0492,99.9,0.0082,7.62,20.564,0,0,0,0,0,0.0082,7.07,0,0,6.67
"8","Great Basin Xeric Mixed Sagebrush Shrubland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Great Basin Xeric Mixed Sagebrush Shrubland","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Great Basin Xeric Mixed Sagebrush Shrubland","Colorado Plateaus",134931,0,14.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.078,NA,NA,NA,134931,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA,134931,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA,134931,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA,134931,0,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Great Basin Xeric Mixed Sagebrush Shrubland","Columbia Mountains/Northern Rockies",179304,0,10.05,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,-4.27,NA,NA,NA,179304,0,1.09,NA,NA,NA,NA,NA,NA,139.8,NA,NA,NA,NA,NA,NA,NA,2.84,NA,NA,NA,179304,0,1.03,NA,NA,NA,NA,NA,NA,139.8,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,179304,0,1.11,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,2.91,NA,NA,NA,179304,0,1.58,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,1.58,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,16.67,0,0,0
"12","Great Basin Xeric Mixed Sagebrush Shrubland","Columbia Plateau",83923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83923,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Great Basin Xeric Mixed Sagebrush Shrubland","Eastern Cascades Slopes and Foothills",56174,0,7.38,NA,NA,NA,NA,NA,NA,189,NA,NA,174,NA,NA,NA,NA,-6.809,NA,NA,16.4,56174,0,1.28,NA,NA,NA,NA,NA,NA,132,NA,NA,137,NA,NA,NA,NA,2.51,NA,NA,2.13,56174,0,1.22,NA,NA,NA,NA,NA,NA,82.1,NA,NA,92,NA,NA,NA,NA,2.1,NA,NA,1.76,56174,0,1.33,NA,NA,NA,NA,NA,NA,225,NA,NA,225,NA,NA,NA,NA,2.88,NA,NA,2.52,56174,0,2.06,NA,NA,NA,NA,NA,NA,1.1,NA,NA,1.11,NA,NA,NA,NA,1.76,NA,NA,1.21,100,0,0,0,0,100,0,0,43.373,0,0,0,0,0,0,49.4,0,0,43.37
"14","Great Basin Xeric Mixed Sagebrush Shrubland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Great Basin Xeric Mixed Sagebrush Shrubland","Klamath Mountains",48539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Great Basin Xeric Mixed Sagebrush Shrubland","Middle Rockies",164464,0,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.79,NA,10.63,NA,164464,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,2.5,NA,164464,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,NA,-8.71,NA,164464,0,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,10.94,NA,164464,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,0.449,NA,100,0,0,0,0,100,0,19.4,0,0,0,0,0,0,0,0,0,0,0
"17","Great Basin Xeric Mixed Sagebrush Shrubland","Mojave Basin and Range",129599,0,14.27,NA,NA,NA,NA,NA,NA,131,NA,NA,121,NA,38.1,NA,NA,-0.884,32.9,9.35,20.3,129599,0,1.33,NA,NA,NA,NA,NA,NA,85.4,NA,NA,85,NA,2.18,NA,NA,2.25,-1.62,10.02,5.38,129599,0,1.07,NA,NA,NA,NA,NA,NA,51.9,NA,NA,51.9,NA,1.78,NA,NA,1.68,-1.71,-8.84,3.15,129599,0,1.42,NA,NA,NA,NA,NA,NA,201,NA,NA,201,NA,2.9,NA,NA,2.79,-1.56,13.31,6.97,129599,0,1.8,NA,NA,NA,NA,NA,NA,1.17,NA,NA,1.16,NA,1.05,NA,NA,1.98,-1.05,1.2289,1.06,100,0,14.51,0,0,100,1.0204,3.4,1.587,0,0,0,0,0,0,13.95,0,0,13.95
"18","Great Basin Xeric Mixed Sagebrush Shrubland","North Cascades",36809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Great Basin Xeric Mixed Sagebrush Shrubland","Northern Basin and Range",142200,0,7.81,NA,NA,NA,NA,NA,NA,165,NA,NA,148,NA,38.2,NA,NA,-7.757,NA,8.92,15.9,142200,0,1.33,NA,NA,NA,NA,NA,NA,116.4,NA,NA,116,NA,2.35,NA,NA,2.86,NA,-3.22,3.2,142200,0,1.16,NA,NA,NA,NA,NA,NA,56.6,NA,NA,55.6,NA,1.93,NA,NA,2.09,NA,-9.26,1.85,142200,0,1.43,NA,NA,NA,NA,NA,NA,294,NA,NA,279,NA,2.6,NA,NA,3.39,NA,11.59,10.93,142200,0,1.88,NA,NA,NA,NA,NA,NA,1.11,NA,NA,1.12,NA,1.03,NA,NA,1.73,NA,-0.5363,1.12,100,0,8.02,0,0,100,0,3.67,5.689,0,0,0,0,0,0,21.95,0,0,18.25
"20","Great Basin Xeric Mixed Sagebrush Shrubland","Northwestern Glaciated Plains",405775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405775,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Great Basin Xeric Mixed Sagebrush Shrubland","Northwestern Great Plains",357584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Great Basin Xeric Mixed Sagebrush Shrubland","Sierra Nevada",52737,0,8.73,NA,NA,NA,NA,NA,NA,231,NA,NA,229,NA,42.5,NA,NA,-5.678,NA,NA,15.9,52737,0,1.28,NA,NA,NA,NA,NA,NA,178.1,NA,NA,178,NA,2.85,NA,NA,2.57,NA,NA,3.1,52737,0,1.24,NA,NA,NA,NA,NA,NA,98.6,NA,NA,98.6,NA,2.44,NA,NA,2.1,NA,NA,1.86,52737,0,1.36,NA,NA,NA,NA,NA,NA,370,NA,NA,370,NA,3.44,NA,NA,3.13,NA,NA,4.29,52737,0,1.92,NA,NA,NA,NA,NA,NA,1.34,NA,NA,1.34,NA,1.13,NA,NA,1.68,NA,NA,1.41,100,0,63.04,0,0,100,0,0,32.609,0,0,0,0,0,0,100,0,0,100
"23","Great Basin Xeric Mixed Sagebrush Shrubland","Snake River Plain",53626,0,8.8,NA,NA,NA,NA,NA,NA,170,NA,NA,163,NA,NA,NA,NA,-8.308,NA,10.54,21.5,53626,0,1.39,NA,NA,NA,NA,NA,NA,114.2,NA,NA,120,NA,NA,NA,NA,2.82,NA,1.02,1.81,53626,0,1.22,NA,NA,NA,NA,NA,NA,72.9,NA,NA,83.3,NA,NA,NA,NA,1.99,NA,-5.73,1.81,53626,0,1.47,NA,NA,NA,NA,NA,NA,169,NA,NA,169,NA,NA,NA,NA,3.19,NA,9.1,1.81,53626,0,1.68,NA,NA,NA,NA,NA,NA,1.09,NA,NA,1.08,NA,NA,NA,NA,1.49,NA,0.0899,1.03,100,0,0,0,0,100,0,6.25,0.521,0,0,0,0,0,0,13.54,0,0,11.46
"24","Great Basin Xeric Mixed Sagebrush Shrubland","Sonoran Desert",223640,0,16.06,NA,NA,NA,NA,NA,NA,170,NA,NA,165,NA,45.7,NA,NA,2.419,32.1,NA,NA,223640,0,1.1,NA,NA,NA,NA,NA,NA,118.3,NA,NA,118,NA,2.92,NA,NA,2.21,-1.77,NA,NA,223640,0,1.07,NA,NA,NA,NA,NA,NA,101.6,NA,NA,101.6,NA,2.83,NA,NA,2.15,-1.88,NA,NA,223640,0,1.15,NA,NA,NA,NA,NA,NA,142,NA,NA,142,NA,3.03,NA,NA,2.26,-1.67,NA,NA,223640,0,1.59,NA,NA,NA,NA,NA,NA,1.22,NA,NA,1.22,NA,1.06,NA,NA,2.07,-1.19,NA,NA,100,0,100,0,0,100,100,0,0,0,0,0,0,0,0,100,0,0,100
"25","Great Basin Xeric Mixed Sagebrush Shrubland","Southern and Baja California Pine-Oak Mountains",19911,0,14.71,NA,NA,NA,NA,NA,NA,220,NA,NA,208,NA,45.9,NA,NA,1.418,31.3,NA,NA,19911,0,1.09,NA,NA,NA,NA,NA,NA,159.4,NA,NA,158,NA,3.02,NA,NA,2.15,-1.78,NA,NA,19911,0,1.04,NA,NA,NA,NA,NA,NA,81.7,NA,NA,81.7,NA,2.87,NA,NA,1.96,-1.97,NA,NA,19911,0,1.15,NA,NA,NA,NA,NA,NA,242,NA,NA,242,NA,3.13,NA,NA,2.25,-1.68,NA,NA,19911,0,1.51,NA,NA,NA,NA,NA,NA,1.34,NA,NA,1.33,NA,1.08,NA,NA,1.98,-1.18,NA,NA,100,0,53.85,0,0,100,61.5385,0,0,0,0,0,0,0,0,100,0,0,100
"26","Great Basin Xeric Mixed Sagebrush Shrubland","Strait of Georgia/Puget Lowland",36084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Great Basin Xeric Mixed Sagebrush Shrubland","Wasatch and Uinta Mountains",45693,0,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,-6.943,37.6,NA,17,45693,0,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,NA,NA,2.71,-1.99,NA,5.15,45693,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,2.1,-2.02,NA,2.76,45693,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,NA,NA,3.23,-1.93,NA,7.55,45693,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,1.75,-1.02,NA,1.04,100,0,71.43,0,0,100,21.4286,0,14.286,0,0,0,0,0,0,0,0,0,0
"28","Great Basin Xeric Mixed Sagebrush Shrubland","Willamette Valley",14885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
