"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Montane Sagebrush Steppe","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Inter Mountain Basins Montane Sagebrush Steppe","Arizona/New Mexico Plateau",150072,0,6.1,NA,NA,NA,NA,NA,NA,152,NA,141,NA,NA,NA,NA,26,-12.899,NA,21.95,NA,150072,0,1.28,NA,NA,NA,NA,NA,NA,105,NA,95.7,NA,NA,NA,NA,1.49,1.78,NA,-9.69,NA,150072,0,1.231,NA,NA,NA,NA,NA,NA,67.3,NA,62.2,NA,NA,NA,NA,1.35,1.6,NA,-9.69,NA,150072,0,1.36,NA,NA,NA,NA,NA,NA,137,NA,115,NA,NA,NA,NA,1.6,2.08,NA,-9.69,NA,150072,0,1.45,NA,NA,NA,NA,NA,NA,1.16,NA,1.11,NA,NA,NA,NA,1.09,1.27,NA,-1.014,NA,100,0,0,0,96.875,100,0,3.125,0,0,0,0,0,0,0,93.75,0,53.125,0
"3","Inter Mountain Basins Montane Sagebrush Steppe","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Montane Sagebrush Steppe","Blue Mountains",70911,0,7.9,NA,NA,NA,NA,NA,NA,245,NA,NA,240,NA,38.9,NA,26.4,-6.799,NA,10.43,15.57,70911,0,1.13,NA,NA,NA,NA,NA,NA,172,NA,NA,182,NA,2.42,NA,1.68,2.82,NA,1.92,2.59,70911,0,1.004,NA,NA,NA,NA,NA,NA,86.1,NA,NA,86.1,NA,2.16,NA,1.64,2.38,NA,-4.93,1.58,70911,0,1.22,NA,NA,NA,NA,NA,NA,578,NA,NA,578,NA,2.71,NA,1.71,3.24,NA,5.7,9.21,70911,0,1.66,NA,NA,NA,NA,NA,NA,1.1,NA,NA,1.11,NA,1.04,NA,1.01,1.65,NA,0.443,1.149,100,0,2.2804,0,0.676,100,0,1.436,12.584,0,0,0,0,0,0,33.78,0,0,27.2
"5","Inter Mountain Basins Montane Sagebrush Steppe","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,14.36,NA,NA,NA,NA,NA,NA,467,NA,NA,448,NA,43.5,NA,NA,1.408,NA,NA,22.87,123988,0,1.24,NA,NA,NA,NA,NA,NA,373,NA,NA,373,NA,2.57,NA,NA,2.26,NA,NA,1.82,123988,0,1.104,NA,NA,NA,NA,NA,NA,152.5,NA,NA,152.5,NA,2.54,NA,NA,1.46,NA,NA,1.46,123988,0,1.3,NA,NA,NA,NA,NA,NA,607,NA,NA,607,NA,2.65,NA,NA,2.53,NA,NA,2.38,123988,0,2.05,NA,NA,NA,NA,NA,NA,1.41,NA,NA,1.41,NA,1.02,NA,NA,1.82,NA,NA,1.346,100,0,10.5263,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,100
"6","Inter Mountain Basins Montane Sagebrush Steppe","Canadian Rockies",104960,0,3.65,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,NA,NA,NA,-11.334,NA,NA,12.28,104960,0,1.18,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,3.39,NA,NA,6.4,104960,0,1.161,NA,NA,NA,NA,NA,NA,123.9,NA,NA,NA,NA,NA,NA,NA,3.19,NA,NA,1.94,104960,0,1.2,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,10.45,104960,0,1.63,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,1.45,NA,NA,1.225,100,0,0,0,0,100,0,0,16.667,0,0,0,0,0,0,26.67,0,0,0
"7","Inter Mountain Basins Montane Sagebrush Steppe","Cascades",46434,0,6.36,NA,NA,NA,NA,NA,NA,560,NA,NA,488,NA,44.1,NA,NA,-6.047,NA,NA,14.72,46434,0,1.16,NA,NA,NA,NA,NA,NA,405,NA,NA,390,NA,2.86,NA,NA,2.55,NA,NA,1.77,46434,0,1.141,NA,NA,NA,NA,NA,NA,338.5,NA,NA,332,NA,2.7,NA,NA,2.49,NA,NA,1.54,46434,0,1.17,NA,NA,NA,NA,NA,NA,485,NA,NA,473,NA,3.1,NA,NA,2.69,NA,NA,2.01,46434,0,1.85,NA,NA,NA,NA,NA,NA,1.36,NA,NA,1.31,NA,1.05,NA,NA,2.03,NA,NA,1.252,100,0,2.7397,0,0,100,0,0.137,51.37,0,0,0,0,0,0,72.47,0,0,67.53
"8","Inter Mountain Basins Montane Sagebrush Steppe","Central Basin and Range",309946,0,8.36,NA,NA,NA,NA,NA,NA,191,NA,NA,185,NA,40.2,NA,24.5,-7.584,35.8,6.19,14.42,309946,0,1.38,NA,NA,NA,NA,NA,NA,139,NA,NA,138,NA,2.57,NA,1.42,2.81,-1.96,1.37,7.62,309946,0,1.255,NA,NA,NA,NA,NA,NA,59.3,NA,NA,59.3,NA,1.75,NA,1.33,1.97,-2.03,-10.26,-2.65,309946,0,1.52,NA,NA,NA,NA,NA,NA,371,NA,NA,371,NA,3.52,NA,1.53,3.37,-1.85,13.78,14.98,309946,0,1.79,NA,NA,NA,NA,NA,NA,1.2,NA,NA,1.21,NA,1.13,NA,1.03,1.65,-1.02,0.562,1.209,100,0,48.2709,0,0.306,100,0.1441,5.674,20.893,0,0,0,0,0,0,15.69,0,0,14.72
"9","Inter Mountain Basins Montane Sagebrush Steppe","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Inter Mountain Basins Montane Sagebrush Steppe","Coast Range",54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
