"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Dry Mesic Oak Forest and Woodland","Algonquin/Southern Laurentians",318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","North Central Interior Dry Mesic Oak Forest and Woodland","Aspen Parkland/Northern Glaciated Plains",327459,0,6.92,NA,NA,NA,NA,NA,NA,259,NA,259,NA,NA,NA,NA,NA,-15.94,NA,21.2,NA,327459,0,1.31,NA,NA,NA,NA,NA,NA,169,NA,169,NA,NA,NA,NA,NA,3.16,NA,4.42,NA,327459,0,1.3,NA,NA,NA,NA,NA,NA,140,NA,138,NA,NA,NA,NA,NA,2.94,NA,3.08,NA,327459,0,1.34,NA,NA,NA,NA,NA,NA,193,NA,193,NA,NA,NA,NA,NA,3.38,NA,6,NA,327459,0,1.31,NA,NA,NA,NA,NA,NA,1.13,NA,1.13,NA,NA,NA,NA,NA,1.31,NA,1.22,NA,100,0,0,0,0,100,0,93.443,0,0,0,0,0,0,0,98.91,0,98.907,0
"3","North Central Interior Dry Mesic Oak Forest and Woodland","Blue Ridge",46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","North Central Interior Dry Mesic Oak Forest and Woodland","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","North Central Interior Dry Mesic Oak Forest and Woodland","Central Corn Belt Plains",76643,0,10.75,NA,NA,NA,NA,NA,NA,335,NA,336,NA,NA,NA,NA,29.2,-7.38,NA,21,NA,76643,0,1.18,NA,NA,NA,NA,NA,NA,224,NA,222,NA,NA,NA,NA,1.85,2.4,NA,6.36,NA,76643,0,1.08,NA,NA,NA,NA,NA,NA,213,NA,219,NA,NA,NA,NA,1.78,2.2,NA,3.1,NA,76643,0,1.31,NA,NA,NA,NA,NA,NA,232,NA,224,NA,NA,NA,NA,1.94,2.49,NA,9.05,NA,76643,0,1.19,NA,NA,NA,NA,NA,NA,1.02,NA,1.01,NA,NA,NA,NA,1.03,1.02,NA,1.2,NA,100,0,0,0,5.696,12.1455,0,54.931,0,0,0,0,0,0,0,2.26,0,0.201,0
"6","North Central Interior Dry Mesic Oak Forest and Woodland","Central Great Plains",274963,0,12.42,NA,NA,NA,NA,NA,NA,342,NA,322,NA,NA,NA,NA,NA,-8.38,NA,22.9,NA,274963,0,1.39,NA,NA,NA,NA,NA,NA,221,NA,206,NA,NA,NA,NA,NA,2.75,NA,4.2,NA,274963,0,1.3,NA,NA,NA,NA,NA,NA,200,NA,191,NA,NA,NA,NA,NA,2.61,NA,3.69,NA,274963,0,1.42,NA,NA,NA,NA,NA,NA,237,NA,219,NA,NA,NA,NA,NA,3.09,NA,4.9,NA,274963,0,1.18,NA,NA,NA,NA,NA,NA,1.1,NA,1.03,NA,NA,NA,NA,NA,1.08,NA,1.06,NA,100,0,0,0,0,93.4066,0,47.802,0,0,0,0,0,0,0,100,0,51.099,0
"7","North Central Interior Dry Mesic Oak Forest and Woodland","Central Irregular Plains",114339,0,11.74,NA,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,NA,NA,-5.88,NA,21.9,NA,114339,0,1.29,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,2.41,NA,3.97,NA,114339,0,1.19,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,2.41,NA,2.75,NA,114339,0,1.39,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,2.41,NA,7.49,NA,114339,0,1.15,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,1,NA,1.2,NA,100,0,0,0,0,0.0286,0,89.7,0,0,0,0,0,0,0,3.52,0,0,0
"8","North Central Interior Dry Mesic Oak Forest and Woodland","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","North Central Interior Dry Mesic Oak Forest and Woodland","Driftless Area",47383,0,8.04,NA,NA,NA,NA,NA,NA,348,NA,347,NA,NA,NA,NA,NA,-13.7,NA,20.9,NA,47383,0,1.23,NA,NA,NA,NA,NA,NA,231,NA,231,NA,NA,NA,NA,NA,2.67,NA,4.36,NA,47383,0,1.09,NA,NA,NA,NA,NA,NA,210,NA,207,NA,NA,NA,NA,NA,2.42,NA,2.77,NA,47383,0,1.3,NA,NA,NA,NA,NA,NA,249,NA,249,NA,NA,NA,NA,NA,2.83,NA,5.3,NA,47383,0,1.27,NA,NA,NA,NA,NA,NA,1.07,NA,1.07,NA,NA,NA,NA,NA,1.02,NA,1.39,NA,100,0,0,0,0,30.2902,0,97.944,0,0,0,0,0,0,0,96.55,0,94.438,0
"10","North Central Interior Dry Mesic Oak Forest and Woodland","Eastern Corn Belt Plains",83548,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,-6.9,NA,20.6,1.932,83548,0,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,2.53,NA,7.47,8.29,83548,0,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,2.12,NA,5.34,7.46,83548,0,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,2.77,NA,9.87,12.68,83548,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,1.1,NA,1.17,1.1,100,0,0,0,58.723,91.674,0,28.754,1.55,0,0,0,0,0,0,0,0,0,0
