"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Northwestern Great Plains Mixedgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,5.75,NA,NA,NA,NA,NA,NA,227,NA,220,NA,NA,NA,NA,NA,-17.4,NA,18.8,NA,327459,0,1.26,NA,NA,NA,NA,NA,NA,143,NA,139,NA,NA,NA,NA,NA,3.55,NA,4.15,NA,327459,0,1.17,NA,NA,NA,NA,NA,NA,101.2,NA,100.9,NA,NA,NA,NA,NA,3.01,NA,2.52,NA,327459,0,1.35,NA,NA,NA,NA,NA,NA,180,NA,176,NA,NA,NA,NA,NA,4.14,NA,5.88,NA,327459,0,1.34,NA,NA,NA,NA,NA,NA,1.13,NA,1.12,NA,NA,NA,NA,NA,1.37,NA,1.28,NA,100,0,0,0,0,100,0,67.629,0,0,0,0,0,0,0,96.9,0,86.74,0
"2","Northwestern Great Plains Mixedgrass Prairie","Canadian Rockies",104960,0,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.9,NA,NA,NA,104960,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,NA,NA,NA,104960,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53,NA,NA,NA,104960,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,104960,0,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Northwestern Great Plains Mixedgrass Prairie","Central Basin and Range",309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Northwestern Great Plains Mixedgrass Prairie","Central Great Plains",274963,0,10.61,NA,NA,NA,NA,NA,NA,299,NA,248,NA,NA,NA,NA,NA,-10.3,NA,21.4,NA,274963,0,1.28,NA,NA,NA,NA,NA,NA,207,NA,166,NA,NA,NA,NA,NA,3.11,NA,4.79,NA,274963,0,1.19,NA,NA,NA,NA,NA,NA,200.5,NA,162.2,NA,NA,NA,NA,NA,3.06,NA,4.48,NA,274963,0,1.3,NA,NA,NA,NA,NA,NA,213,NA,170,NA,NA,NA,NA,NA,3.19,NA,5.08,NA,274963,0,1.12,NA,NA,NA,NA,NA,NA,1.21,NA,1.03,NA,NA,NA,NA,NA,1.23,NA,1.13,NA,100,0,0,0,0,100,0,80,0,0,0,0,0,0,0,100,0,10,0
"5","Northwestern Great Plains Mixedgrass Prairie","High Plains",288315,0,8.68,NA,NA,NA,NA,NA,NA,190,NA,189,NA,NA,NA,NA,NA,-10.6,42.1,14.7,NA,288315,0,1.15,NA,NA,NA,NA,NA,NA,135,NA,122,NA,NA,NA,NA,NA,3.34,-2.3,4.42,NA,288315,0,1.13,NA,NA,NA,NA,NA,NA,105.5,NA,101.1,NA,NA,NA,NA,NA,3.13,-2.61,3.67,NA,288315,0,1.24,NA,NA,NA,NA,NA,NA,177,NA,137,NA,NA,NA,NA,NA,3.62,-2.07,5.25,NA,288315,0,1.04,NA,NA,NA,NA,NA,NA,1.29,NA,1.05,NA,NA,NA,NA,NA,1.4,-1.04,1.06,NA,84.7,0,0,0,0,100,81.6,12.565,0,0,0,0,0,0,0,100,0,14.49,0
"6","Northwestern Great Plains Mixedgrass Prairie","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Northwestern Great Plains Mixedgrass Prairie","Lake Manitoba and Lake Agassiz Plain",82915,0,5.18,NA,NA,NA,NA,NA,NA,231,NA,228,NA,NA,NA,NA,NA,-18.5,NA,18.2,NA,82915,0,1.32,NA,NA,NA,NA,NA,NA,149,NA,148,NA,NA,NA,NA,NA,3.44,NA,4.23,NA,82915,0,1.31,NA,NA,NA,NA,NA,NA,141.4,NA,140.7,NA,NA,NA,NA,NA,3.3,NA,3.67,NA,82915,0,1.33,NA,NA,NA,NA,NA,NA,164,NA,164,NA,NA,NA,NA,NA,3.61,NA,5.04,NA,82915,0,1.42,NA,NA,NA,NA,NA,NA,1.13,NA,1.13,NA,NA,NA,NA,NA,1.42,NA,1.12,NA,100,0,0,0,0,100,0,78.947,0,0,0,0,0,0,0,100,0,100,0
"8","Northwestern Great Plains Mixedgrass Prairie","Middle Rockies",164464,0,6.76,NA,NA,NA,NA,NA,NA,225,NA,205,NA,NA,36,NA,NA,-11.1,38.6,12.3,-1.55,164464,0,1.15,NA,NA,NA,NA,NA,NA,158,NA,126,NA,NA,2.52,NA,NA,3.55,-2.68,3.81,-2.31,164464,0,1.11,NA,NA,NA,NA,NA,NA,83.4,NA,109.7,NA,NA,2.4,NA,NA,2.86,-3.14,2.55,-11.41,164464,0,1.25,NA,NA,NA,NA,NA,NA,281,NA,195,NA,NA,2.61,NA,NA,4.15,-2.34,5.21,11.2,164464,0,1.3,NA,NA,NA,NA,NA,NA,1.23,NA,1.02,NA,NA,1.02,NA,NA,1.44,-1.04,1.17,-0.2414,100,0,0.8389,0,0,100,9.14,10.738,1.091,0,0,0,0,0,0,99.3,0,1.17,0
"9","Northwestern Great Plains Mixedgrass Prairie","Nebraska Sand Hills",59123,0,9.2,NA,NA,NA,NA,NA,NA,225,NA,192,NA,NA,NA,NA,NA,-11.1,42.6,20.5,NA,59123,0,1.16,NA,NA,NA,NA,NA,NA,163,NA,128,NA,NA,NA,NA,NA,3.33,-2.3,4.55,NA,59123,0,1.14,NA,NA,NA,NA,NA,NA,137.2,NA,108.1,NA,NA,NA,NA,NA,3.2,-2.53,4.55,NA,59123,0,1.28,NA,NA,NA,NA,NA,NA,196,NA,160,NA,NA,NA,NA,NA,3.51,-2.17,4.55,NA,59123,0,1.03,NA,NA,NA,NA,NA,NA,1.33,NA,1.08,NA,NA,NA,NA,NA,1.34,-1.05,1.01,NA,81.9,0,0,0,0,100,68.12,0.336,0,0,0,0,0,0,0,100,0,63.76,0
"10","Northwestern Great Plains Mixedgrass Prairie","Northern Basin and Range",142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
