"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southeastern Great Plains Tallgrass Prairie","Arkansas Valley",28422,0,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28422,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28422,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28422,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28422,0,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Southeastern Great Plains Tallgrass Prairie","Boston Mountains",14178,0,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14178,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14178,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14178,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14178,0,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Southeastern Great Plains Tallgrass Prairie","Central Great Plains",274963,0,14.7,NA,NA,NA,NA,NA,NA,339,NA,324,NA,NA,NA,NA,NA,-6.64,NA,24.1,NA,274963,0,1.4,NA,NA,NA,NA,NA,NA,229,NA,207,NA,NA,NA,NA,NA,2.5,NA,4.88,NA,274963,0,1.23,NA,NA,NA,NA,NA,NA,173,NA,197,NA,NA,NA,NA,NA,2.17,NA,3.69,NA,274963,0,1.47,NA,NA,NA,NA,NA,NA,276,NA,219,NA,NA,NA,NA,NA,2.86,NA,6.56,NA,274963,0,1.11,NA,NA,NA,NA,NA,NA,1.08,NA,1.03,NA,NA,NA,NA,NA,1.03,NA,1.16,NA,66.21,0,0,0,0,16.9,0,36.59,0,0,0,0,0,0,0,44.3,0,2.06,0
"4","Southeastern Great Plains Tallgrass Prairie","Central Irregular Plains",114339,0,13.9,NA,NA,NA,NA,NA,NA,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,NA,114339,0,1.26,NA,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,NA,114339,0,1.2,NA,NA,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,NA,114339,0,1.37,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01,NA,114339,0,1.05,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,92.81,0,0,0,0,0,0,47.97,0,0,0,0,0,0,0,29.6,0,0,0
"5","Southeastern Great Plains Tallgrass Prairie","Cross Timbers",88188,0,15.5,NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,16.2,88188,0,1.27,NA,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.35,-7.8,88188,0,1.22,NA,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,-10.9,88188,0,1.31,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05,10.93,88188,0,1.04,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,-0.882,10.39,0,0,0,0,0,0,5.16,4.49,0,0,0,0,0,0,10.6,0,0,0
"6","Southeastern Great Plains Tallgrass Prairie","East Central Texas Plains",55753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,55753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.55,55753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.8,55753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.26,55753,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.093,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0
"7","Southeastern Great Plains Tallgrass Prairie","Edwards Plateau",74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Southeastern Great Plains Tallgrass Prairie","Flint Hills",27932,0,13.5,NA,NA,NA,NA,NA,NA,371,NA,345,NA,NA,NA,NA,NA,-8.21,NA,23.1,NA,27932,0,1.35,NA,NA,NA,NA,NA,NA,247,NA,217,NA,NA,NA,NA,NA,2.67,NA,4.43,NA,27932,0,1.26,NA,NA,NA,NA,NA,NA,217,NA,202,NA,NA,NA,NA,NA,2.56,NA,3.47,NA,27932,0,1.41,NA,NA,NA,NA,NA,NA,286,NA,228,NA,NA,NA,NA,NA,2.72,NA,5.86,NA,27932,0,1.11,NA,NA,NA,NA,NA,NA,1.07,NA,1.01,NA,NA,NA,NA,NA,1.02,NA,1.14,NA,100,0,0,0,0,8.68,0,67.97,0,0,0,0,0,0,0,98.5,0,3.22,0
"9","Southeastern Great Plains Tallgrass Prairie","Interior River Valleys and Hills",120396,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,120396,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,NA,120396,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,NA,120396,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,NA,120396,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,100,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0
"10","Southeastern Great Plains Tallgrass Prairie","Ouachita Mountains",26895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
