"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,9.26,NA,NA,NA,NA,NA,NA,267,NA,251,294,NA,47.5,NA,27,-6.79,32.7,17.32,11.93,108826,0,1.23,NA,NA,NA,NA,NA,NA,180,NA,171.3,212,NA,2.38,NA,1.54,1.91,-1.46,3.51,5.32,108826,0,1.15,NA,NA,NA,NA,NA,NA,73.8,NA,82.7,156,NA,2.01,NA,1.46,1.51,-1.64,-9.25,-5.95,108826,0,1.36,NA,NA,NA,NA,NA,NA,336,NA,324,293,NA,3.44,NA,1.62,2.65,-1.21,11.73,7.55,108826,0,1.39,NA,NA,NA,NA,NA,NA,1.26,NA,1.2,1.06,NA,1.09,NA,1.1,1.59,-1.07,1.066,1.236,100,0,58.7288,0,4.75,100,2.5424,18.22,25.085,0,0,0,0,0,0,74.32,0,43.9,2.2881
"2","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,7.47,NA,NA,NA,NA,NA,NA,146,NA,131,235,NA,43.4,NA,26.6,-10.21,NA,19.7,11.28,150072,0,1.3,NA,NA,NA,NA,NA,NA,99.1,NA,87.4,170,NA,2.28,NA,1.5,2.01,NA,4.76,5.96,150072,0,1.21,NA,NA,NA,NA,NA,NA,49.3,NA,48.8,153,NA,2.28,NA,1.36,1.52,NA,-9.79,5.96,150072,0,1.35,NA,NA,NA,NA,NA,NA,187,NA,115,187,NA,2.28,NA,1.61,2.56,NA,10.38,5.96,150072,0,1.47,NA,NA,NA,NA,NA,NA,1.17,NA,1.08,1.04,NA,1.01,NA,1.11,1.52,NA,0.794,1.06,100,0,0.7752,0,73.64,89.9,0,8.53,0.775,0,0,0,0,0,0,72.87,0,38,2.3256
"3","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,8.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA,-7.34,34.9,7.7,19.07,309946,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,NA,NA,2.77,-1.91,4.12,7.31,309946,0,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,NA,NA,2.11,-2,4.07,2.8,309946,0,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,NA,NA,3.24,-1.85,4.16,9.07,309946,0,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA,1.61,-1.03,1.03,1.049,100,0,19.6721,0,0,100,9.8361,3.28,11.475,0,0,0,0,0,0,0,0,0,0
"4","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,14.37,NA,NA,NA,NA,NA,NA,233,NA,212,NA,NA,NA,NA,NA,-1.06,NA,NA,NA,509458,0,1.28,NA,NA,NA,NA,NA,NA,153.5,NA,140.6,NA,NA,NA,NA,NA,1.57,NA,NA,NA,509458,0,1.22,NA,NA,NA,NA,NA,NA,119.7,NA,106.9,NA,NA,NA,NA,NA,1.55,NA,NA,NA,509458,0,1.3,NA,NA,NA,NA,NA,NA,205,NA,184,NA,NA,NA,NA,NA,1.6,NA,NA,NA,509458,0,1.46,NA,NA,NA,NA,NA,NA,1.28,NA,1.17,NA,NA,NA,NA,NA,1.31,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0
"5","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,7.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,NA,28.8,-9.98,34.8,14.78,10.66,134931,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,NA,1.59,1.74,-1.84,1.54,11.79,134931,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,1.33,1.06,-1.88,-13.02,4.64,134931,0,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,1.7,3.17,-1.8,11.61,19.12,134931,0,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,1.08,1.29,-1.01,0.24,1.289,100,0,4.0816,0,36.54,83.2,0.4608,26.86,49.111,0,0,0,0,0,0,0,0,0,0
"6","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","High Plains",288315,0,10.42,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,-10.07,42.5,14.16,NA,288315,0,1.22,NA,NA,NA,NA,NA,NA,129.1,NA,NA,NA,NA,NA,NA,NA,3.19,-2.21,4.03,NA,288315,0,1.22,NA,NA,NA,NA,NA,NA,116.2,NA,NA,NA,NA,NA,NA,NA,2.72,-2.28,4.03,NA,288315,0,1.23,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,3.27,-2.1,4.03,NA,288315,0,1.25,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,1.38,-1.05,1.043,NA,9.09,0,0,0,0,100,90.9091,4.55,0,0,0,0,0,0,0,95.45,0,0,0
"7","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",74690,0,10.89,NA,NA,NA,NA,NA,NA,313,NA,293,NA,NA,44.2,NA,NA,-3.37,NA,17.7,15.26,74690,0,1.18,NA,NA,NA,NA,NA,NA,230.9,NA,214.5,NA,NA,2.55,NA,NA,1.71,NA,4.89,4.58,74690,0,1.1,NA,NA,NA,NA,NA,NA,124.5,NA,113.4,NA,NA,2.26,NA,NA,1.55,NA,1.97,3.96,74690,0,1.24,NA,NA,NA,NA,NA,NA,377,NA,330,NA,NA,2.87,NA,NA,1.97,NA,7.99,5.37,74690,0,1.46,NA,NA,NA,NA,NA,NA,1.29,NA,1.19,NA,NA,1.05,NA,NA,1.65,NA,1.466,1.136,100,0,26.087,0,0,100,0,17.39,26.087,0,0,0,0,0,0,95.65,0,78.3,0
"9","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Middle Rockies",164464,0,4.42,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,-11.75,NA,NA,NA,164464,0,1.15,NA,NA,NA,NA,NA,NA,163.6,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,NA,164464,0,1.15,NA,NA,NA,NA,NA,NA,141.3,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,NA,164464,0,1.15,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,NA,164464,0,1.39,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0
"10","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland","Mojave Basin and Range",129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
