"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Mountains",108826,0,9.68,NA,NA,NA,NA,NA,NA,238,NA,221,283,NA,47.8,NA,27.5,-6.94,33.8,17.7,12.21,108826,0,1.24,NA,NA,NA,NA,NA,NA,160.7,NA,148.8,203.5,NA,2.34,NA,1.53,1.98,-1.46,4.98,5.56,108826,0,1.15,NA,NA,NA,NA,NA,NA,59.2,NA,74,155.7,NA,1.92,NA,1.45,1.49,-1.66,-10.36,-5.98,108826,0,1.37,NA,NA,NA,NA,NA,NA,323.4,NA,313.3,288.2,NA,3.3,NA,1.62,2.67,-1.21,11.75,8.38,108826,0,1.41,NA,NA,NA,NA,NA,NA,1.26,NA,1.18,1.05,NA,1.08,NA,1.09,1.65,-1.07,1.061,1.257,100,0,48.4085,0,5.7,100,3.614,23.84,17.838,0,0,0,0,0,0,62.732,0,36.31,1.525
"2","Southern Rocky Mountain Ponderosa Pine Woodland","Arizona/New Mexico Plateau",150072,0,9.73,NA,NA,NA,NA,NA,NA,157,NA,139,242.5,NA,43.4,NA,27.6,-7.71,32.4,18,12.6,150072,0,1.29,NA,NA,NA,NA,NA,NA,106.3,NA,93.5,175.6,NA,2.21,NA,1.49,2.05,-1.4,4.53,6.8,150072,0,1.2,NA,NA,NA,NA,NA,NA,62.7,NA,61,152.9,NA,1.98,NA,1.36,1.44,-1.46,-11.57,5.48,150072,0,1.36,NA,NA,NA,NA,NA,NA,197.4,NA,171.7,197.4,NA,2.49,NA,1.61,2.56,-1.33,11.51,8.03,150072,0,1.47,NA,NA,NA,NA,NA,NA,1.21,NA,1.11,1.04,NA,1.02,NA,1.06,1.61,-1.03,0.687,1.271,100,0,6.2378,0,27.68,100,3.509,21.83,8.577,0,0,0,0,0,0,54.971,0,36.84,0.585
"3","Southern Rocky Mountain Ponderosa Pine Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Southern Rocky Mountain Ponderosa Pine Woodland","Central Basin and Range",309946,0,10.35,NA,NA,NA,NA,NA,NA,193,NA,NA,164.8,NA,37.5,NA,NA,-5.38,35.5,NA,16.14,309946,0,1.41,NA,NA,NA,NA,NA,NA,120,NA,NA,120,NA,2.39,NA,NA,2.87,-1.95,NA,7.69,309946,0,1.38,NA,NA,NA,NA,NA,NA,108.2,NA,NA,108.2,NA,2,NA,NA,2.54,-2.05,NA,6.82,309946,0,1.46,NA,NA,NA,NA,NA,NA,135.9,NA,NA,135.9,NA,2.83,NA,NA,3.29,-1.85,NA,8.83,309946,0,1.72,NA,NA,NA,NA,NA,NA,1.02,NA,NA,1.02,NA,1.19,NA,NA,1.97,-1.03,NA,1.127,100,0,100,0,0,100,15,0,10,0,0,0,0,0,0,13.333,0,0,13.333
"5","Southern Rocky Mountain Ponderosa Pine Woodland","Central Great Plains",274963,0,9.59,NA,NA,NA,NA,NA,NA,273,NA,237,NA,NA,NA,NA,NA,-11.31,NA,NA,NA,274963,0,1.21,NA,NA,NA,NA,NA,NA,195,NA,157.8,NA,NA,NA,NA,NA,3.19,NA,NA,NA,274963,0,1.19,NA,NA,NA,NA,NA,NA,194.2,NA,157,NA,NA,NA,NA,NA,3.16,NA,NA,NA,274963,0,1.22,NA,NA,NA,NA,NA,NA,196.5,NA,158.7,NA,NA,NA,NA,NA,3.21,NA,NA,NA,274963,0,1.07,NA,NA,NA,NA,NA,NA,1.26,NA,1.03,NA,NA,NA,NA,NA,1.3,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,75,0
"6","Southern Rocky Mountain Ponderosa Pine Woodland","Chihuahuan Desert",509458,0,13.67,NA,NA,NA,NA,NA,NA,198,NA,177,NA,NA,NA,NA,NA,-3.42,NA,22.6,17.99,509458,0,1.27,NA,NA,NA,NA,NA,NA,129.9,NA,115.6,NA,NA,NA,NA,NA,1.61,NA,1.42,5.2,509458,0,1.22,NA,NA,NA,NA,NA,NA,105.2,NA,87.3,NA,NA,NA,NA,NA,1.45,NA,1.4,4.9,509458,0,1.3,NA,NA,NA,NA,NA,NA,205.2,NA,184.3,NA,NA,NA,NA,NA,1.73,NA,1.44,5.33,509458,0,1.45,NA,NA,NA,NA,NA,NA,1.3,NA,1.15,NA,NA,NA,NA,NA,1.52,NA,1.03,1.161,100,0,0,0,0,100,0,6.82,13.636,0,0,0,0,0,0,100,0,100,0
"7","Southern Rocky Mountain Ponderosa Pine Woodland","Colorado Plateaus",134931,0,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,28.6,-9.69,34.9,15.7,9.04,134931,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,1.59,1.96,-1.84,1.79,11.69,134931,0,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,NA,1.27,1.06,-1.88,-12.73,5.48,134931,0,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,1.69,3.17,-1.8,11.61,17.08,134931,0,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,1.1,1.42,-1.01,0.266,1.317,100,0,14.227,0,41.2,91.9,0.905,44.65,25.329,0,0,0,0,0,0,0,0,0,0
"8","Southern Rocky Mountain Ponderosa Pine Woodland","Edwards Plateau",74964,0,17.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,74964,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21,NA,74964,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA,74964,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86,NA,74964,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.064,NA,100,0,0,0,0,0,0,64.29,0,0,0,0,0,0,0,0,0,0,0
"9","Southern Rocky Mountain Ponderosa Pine Woodland","High Plains",288315,0,9.36,NA,NA,NA,NA,NA,NA,185,NA,183,NA,NA,NA,NA,30.2,-9.35,40.9,16.2,NA,288315,0,1.22,NA,NA,NA,NA,NA,NA,128.5,NA,119.6,NA,NA,NA,NA,1.44,3.16,-2.28,4.8,NA,288315,0,1.16,NA,NA,NA,NA,NA,NA,105.9,NA,108.8,NA,NA,NA,NA,1.43,2.65,-2.37,3.65,NA,288315,0,1.27,NA,NA,NA,NA,NA,NA,154.1,NA,138.2,NA,NA,NA,NA,1.46,3.42,-2.11,5.83,NA,288315,0,1.15,NA,NA,NA,NA,NA,NA,1.21,NA,1.12,NA,NA,NA,NA,1.03,1.45,-1.09,1.134,NA,51.4,0,0,0,4.52,100,71.751,13.56,0,0,0,0,0,0,0,93.22,0,7.34,0
"10","Southern Rocky Mountain Ponderosa Pine Woodland","Madrean Archipelago",74690,0,12.66,NA,NA,NA,NA,NA,NA,274,NA,258,NA,NA,44.2,NA,NA,-2.66,NA,19.7,15.7,74690,0,1.19,NA,NA,NA,NA,NA,NA,196.8,NA,184.2,NA,NA,2.55,NA,NA,1.7,NA,5.87,4.32,74690,0,1.09,NA,NA,NA,NA,NA,NA,113.9,NA,96.7,NA,NA,2.26,NA,NA,1.56,NA,1.18,3.45,74690,0,1.27,NA,NA,NA,NA,NA,NA,377.2,NA,318.4,NA,NA,2.87,NA,NA,1.97,NA,9.27,5.37,74690,0,1.46,NA,NA,NA,NA,NA,NA,1.27,NA,1.19,NA,NA,1.05,NA,NA,1.58,NA,1.256,1.136,100,0,7.3171,0,0,100,0,13.41,14.634,0,0,0,0,0,0,97.561,0,75.61,0
