"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Mountains",108826,0,11.13,NA,NA,NA,NA,NA,NA,203,NA,197,NA,NA,48.7,NA,NA,-5.93,NA,NA,8.38,108826,0,1.23,NA,NA,NA,NA,NA,NA,139.9,NA,135.6,NA,NA,2.38,NA,NA,1.82,NA,NA,-0.821,108826,0,1.2,NA,NA,NA,NA,NA,NA,96.7,NA,93.4,NA,NA,2.27,NA,NA,1.6,NA,NA,-5.98,108826,0,1.37,NA,NA,NA,NA,NA,NA,209,NA,197.6,NA,NA,2.49,NA,NA,2.01,NA,NA,7.55,108826,0,1.33,NA,NA,NA,NA,NA,NA,1.23,NA,1.18,NA,NA,1.04,NA,NA,1.38,NA,NA,-0.171,100,0,10.667,0,0,100,0,0,8.667,0,0,0,0,0,0,100,0,76,0
"2","Western Great Plains Shortgrass Prairie","Arizona/New Mexico Plateau",150072,0,12.47,NA,NA,NA,NA,NA,NA,131,NA,125,NA,NA,NA,NA,NA,-6.26,NA,23.3,7.6,150072,0,1.22,NA,NA,NA,NA,NA,NA,85.6,NA,82.1,NA,NA,NA,NA,NA,1.8,NA,6.45,-1.405,150072,0,1.21,NA,NA,NA,NA,NA,NA,68.4,NA,67.2,NA,NA,NA,NA,NA,1.64,NA,6.45,-6.38,150072,0,1.23,NA,NA,NA,NA,NA,NA,113,NA,97.7,NA,NA,NA,NA,NA,1.88,NA,6.45,8.14,150072,0,1.31,NA,NA,NA,NA,NA,NA,1.14,NA,1.08,NA,NA,NA,NA,NA,1.39,NA,1,-0.274,100,0,0,0,0,100,0,1.45,8.696,0,0,0,0,0,0,100,0,60.87,0
"3","Western Great Plains Shortgrass Prairie","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Western Great Plains Shortgrass Prairie","Central Great Plains",274963,0,12.92,NA,NA,NA,NA,NA,NA,245,NA,227,NA,NA,NA,NA,NA,-8.66,43,23.6,NA,274963,0,1.35,NA,NA,NA,NA,NA,NA,179.8,NA,151.9,NA,NA,NA,NA,NA,2.7,-2,4.57,NA,274963,0,1.19,NA,NA,NA,NA,NA,NA,156.1,NA,126.6,NA,NA,NA,NA,NA,2.21,-2.13,3.63,NA,274963,0,1.5,NA,NA,NA,NA,NA,NA,214,NA,175.7,NA,NA,NA,NA,NA,3.09,-1.93,5.74,NA,274963,0,1.1,NA,NA,NA,NA,NA,NA,1.29,NA,1.1,NA,NA,NA,NA,NA,1.19,-1.01,1.12,NA,96.7,0,0,0,0,76.7,2.82,7.76,0,0,0,0,0,0,0,62.5,0,55.577,0
"5","Western Great Plains Shortgrass Prairie","Chihuahuan Desert",509458,0,16.28,NA,NA,NA,NA,NA,NA,174,NA,169,NA,NA,45.6,NA,NA,-4.74,NA,25.8,NA,509458,0,1.26,NA,NA,NA,NA,NA,NA,108.2,NA,103.6,NA,NA,2.39,NA,NA,1.93,NA,3.89,NA,509458,0,1.23,NA,NA,NA,NA,NA,NA,94.9,NA,91.7,NA,NA,2.39,NA,NA,1.62,NA,2.99,NA,509458,0,1.34,NA,NA,NA,NA,NA,NA,158,NA,139.1,NA,NA,2.39,NA,NA,1.98,NA,4.25,NA,509458,0,1.23,NA,NA,NA,NA,NA,NA,1.09,NA,1.04,NA,NA,1.01,NA,NA,1.33,NA,1.13,NA,100,0,0.61,0,0,78.7,0,7.93,0,0,0,0,0,0,0,78.7,0,60.976,0
"6","Western Great Plains Shortgrass Prairie","Cross Timbers",88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Western Great Plains Shortgrass Prairie","Edwards Plateau",74964,0,17.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9,NA,74964,0,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,NA,74964,0,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,74964,0,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,NA,74964,0,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,95.5,0,0,0,0,0,0,26.57,0,0,0,0,0,0,0,0,0,0,0
"8","Western Great Plains Shortgrass Prairie","High Plains",288315,0,12.8,NA,NA,NA,NA,NA,NA,200,NA,198,NA,NA,45.7,NA,30.4,-7.6,42.1,23.6,NA,288315,0,1.29,NA,NA,NA,NA,NA,NA,139.4,NA,130,NA,NA,2.52,NA,1.45,2.56,-2.14,4.47,NA,288315,0,1.13,NA,NA,NA,NA,NA,NA,86.7,NA,92.8,NA,NA,2.39,NA,1.43,1.49,-2.5,1.96,NA,288315,0,1.5,NA,NA,NA,NA,NA,NA,204,NA,175.4,NA,NA,2.61,NA,1.46,3.51,-1.79,7.16,NA,288315,0,1.13,NA,NA,NA,NA,NA,NA,1.23,NA,1.13,NA,NA,1.02,NA,1.03,1.25,-1.06,1.15,NA,88.3,0,0.253,0,0.0984,96.4,28.3,26.17,0,0,0,0,0,0,0,80.6,0,64.553,0
"9","Western Great Plains Shortgrass Prairie","Middle Rockies",164464,0,8.6,NA,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,-11.36,43.4,NA,NA,164464,0,1.16,NA,NA,NA,NA,NA,NA,127.9,NA,NA,NA,NA,NA,NA,NA,3.67,-2.34,NA,NA,164464,0,1.13,NA,NA,NA,NA,NA,NA,114.4,NA,NA,NA,NA,NA,NA,NA,3.4,-2.34,NA,NA,164464,0,1.2,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,4.01,-2.34,NA,NA,164464,0,1.2,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,NA,NA,1.47,-1,NA,NA,100,0,0,0,0,100,6.25,0,0,0,0,0,0,0,0,100,0,0,0
"10","Western Great Plains Shortgrass Prairie","Nebraska Sand Hills",59123,0,9.63,NA,NA,NA,NA,NA,NA,223,NA,203,NA,NA,NA,NA,NA,-10.76,42.4,NA,NA,59123,0,1.18,NA,NA,NA,NA,NA,NA,163.1,NA,137.2,NA,NA,NA,NA,NA,3.15,-2.24,NA,NA,59123,0,1.14,NA,NA,NA,NA,NA,NA,137.2,NA,108.1,NA,NA,NA,NA,NA,2.93,-2.35,NA,NA,59123,0,1.23,NA,NA,NA,NA,NA,NA,184,NA,155.2,NA,NA,NA,NA,NA,3.38,-2.17,NA,NA,59123,0,1.03,NA,NA,NA,NA,NA,NA,1.34,NA,1.08,NA,NA,NA,NA,NA,1.35,-1.05,NA,NA,77.6,0,0,0,0,100,49.25,0,0,0,0,0,0,0,0,100,0,75.373,0
