"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Mountains",108826,0,13.66,23.2,4.86,NA,NA,8.07,50.7,NA,NA,NA,NA,NA,NA,NA,32.4,-2.24,NA,22.568,NA,108826,0,1.63,1.59,1.76,NA,NA,6.06,-31.1,NA,NA,NA,NA,NA,NA,NA,1.43,2.3,NA,8.475,NA,108826,0,1.62,1.566,1.75,NA,NA,4.416,-33.3,NA,NA,NA,NA,NA,NA,NA,1.42,2.14,NA,7.69,NA,108826,0,1.64,1.61,1.77,NA,NA,8.42,-27,NA,NA,NA,NA,NA,NA,NA,1.45,2.4,NA,9.99,NA,108826,0,2.07,1.74,1.61,NA,NA,1.62,-1.67,NA,NA,NA,NA,NA,NA,NA,1.12,2.25,NA,1.069,NA,100,0,0,0,100,100,0,47.059,0,100,100,0,0,100,100,0,0,0,0
"2","Great Basin Pinyon Juniper Woodland","Arizona/New Mexico Plateau",150072,0,13.73,23.9,4.287,NA,47.8,9.54,42.1,NA,46.3,NA,NA,NA,NA,NA,32.9,-2.349,NA,21.555,NA,150072,0,1.68,1.69,1.83,NA,-36.7,7.47,-42.9,NA,18.46,NA,NA,NA,NA,NA,1.54,2.4,NA,9.461,NA,150072,0,1.61,1.53,1.71,NA,-44.4,3.58,-59.8,NA,11.19,NA,NA,NA,NA,NA,1.35,2.09,NA,-8.97,NA,150072,0,1.73,1.79,1.99,NA,-27.6,12.26,-22.7,NA,31.75,NA,NA,NA,NA,NA,1.7,2.76,NA,11.66,NA,150072,0,2.13,1.66,1.75,NA,-1.05,2.85,-2.4,NA,1.31,NA,NA,NA,NA,NA,1.13,2.16,NA,1.174,NA,100,0,0,0,100,100,0,44.656,0,100,100,0,16,98.5,99.6,0,49.62,0,0
"3","Great Basin Pinyon Juniper Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Great Basin Pinyon Juniper Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,14.51,23.2,6.797,NA,198.5,2.8,84,NA,NA,NA,NA,NA,41.9,NA,30.7,1.153,33.4,NA,21.9,123988,0,1.54,1.31,1.75,NA,-135.2,1.4,-32.6,NA,NA,NA,NA,NA,2.75,NA,1.24,2.68,-1.67,NA,2.4,123988,0,1.41,1.008,1.72,NA,-146.6,1.361,-37,NA,NA,NA,NA,NA,2.65,NA,1.24,2.09,-1.96,NA,2.26,123988,0,1.62,1.53,1.8,NA,-124.5,1.43,-24.6,NA,NA,NA,NA,NA,2.94,NA,1.24,2.98,-1.38,NA,2.53,123988,0,2.18,1.39,1.62,NA,-1.01,1.92,-1.26,NA,NA,NA,NA,NA,1.04,NA,1,2.21,-1.14,NA,1.39,100,0,60,0,20,100,40,0,60,100,100,0,60,40,100,0,0,0,0
"5","Great Basin Pinyon Juniper Woodland","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,8.06,0,0,100,0,0,40.3,100,100,0,30.6,96.8,100,0,0,0,0
"6","Great Basin Pinyon Juniper Woodland","Central Basin and Range",309946,0,8.85,19.4,-0.651,NA,46.1,14.79,35.2,132,55.2,NA,NA,NA,39,NA,29.7,-7.336,37.3,7.71,12.6,309946,0,1.87,1.85,2.4,NA,-37.1,10.08,-46.5,-49.2,22.45,NA,NA,NA,2.49,NA,1.89,3.77,-2.35,1.587,8.05,309946,0,1.6,1.446,1.77,NA,-90.7,1.127,-74.2,-99.2,6.14,NA,NA,NA,1.75,NA,1.6,2.45,-3,-9.2,1.7,309946,0,2.11,2.09,2.88,NA,-14.7,24.97,-27.8,-29.7,49.86,NA,NA,NA,3.87,NA,2.16,4.8,-1.92,10.09,15.52,309946,0,2.39,1.52,1.8,NA,-1.31,3.89,-2.68,-1.08,1.5,NA,NA,NA,1.11,NA,1.17,2.22,-1.07,0.547,1.19,100,0,68.62,0,94,100,16.9,4.437,44.7,100,100,0,74.3,99.8,99.8,6.74,61.99,0,0
"7","Great Basin Pinyon Juniper Woodland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Great Basin Pinyon Juniper Woodland","Colorado Plateaus",134931,0,12.17,22.6,2.519,NA,56.9,13.11,37.7,NA,66.6,NA,NA,NA,40.3,NA,33.1,-4.895,NA,NA,14.6,134931,0,1.78,1.76,2.22,NA,-37.3,10.31,-42.3,NA,19.4,NA,NA,NA,2,NA,1.77,2.95,NA,NA,5.66,134931,0,1.75,1.721,2.16,NA,-44.7,7.818,-49.8,NA,15.22,NA,NA,NA,1.99,NA,1.7,2.74,NA,NA,4.84,134931,0,1.83,1.81,2.33,NA,-31,14.54,-37.3,NA,25.76,NA,NA,NA,2.02,NA,1.8,3.37,NA,NA,6.35,134931,0,2.22,1.58,1.95,NA,-1.1,2.83,-2.81,NA,1.23,NA,NA,NA,1.03,NA,1.17,2.3,NA,NA,1.09,100,0,4.76,0,100,100,0,0,16.7,100,100,0,64.3,100,100,0,100,0,0
"9","Great Basin Pinyon Juniper Woodland","Eastern Cascades Slopes and Foothills",56174,0,6.98,16.1,-0.964,NA,49.6,9.4,47.4,NA,NA,NA,NA,NA,40.9,NA,NA,-7.023,NA,NA,15.9,56174,0,1.75,1.75,1.99,NA,-26.7,6.73,-32,NA,NA,NA,NA,NA,2.64,NA,NA,3.33,NA,NA,2.15,56174,0,1.68,1.669,1.83,NA,-31.9,3.434,-36.8,NA,NA,NA,NA,NA,2.5,NA,NA,2.93,NA,NA,1.71,56174,0,1.79,1.83,2.07,NA,-21.8,9.12,-25.4,NA,NA,NA,NA,NA,2.75,NA,NA,3.65,NA,NA,2.51,56174,0,2.82,1.55,1.74,NA,-1.15,2.38,-1.62,NA,NA,NA,NA,NA,1.03,NA,NA,2.32,NA,NA,1.25,100,0,8.06,0,0,100,0,0,40.3,100,100,0,30.6,96.8,100,0,0,0,0
"10","Great Basin Pinyon Juniper Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
