"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Big Sagebrush Steppe","Arizona/New Mexico Mountains",108826,0,9.17,19.3,-0.468,NA,47.1,10.74,40.7,NA,NA,NA,NA,NA,NA,NA,28.6,-8.45,NA,18.46,12.856,108826,0,1.71,1.89,2.05,NA,-27.2,7.14,-35.4,NA,NA,NA,NA,NA,NA,NA,2.01,2.66,NA,8.093,5.7981,108826,0,1.69,1.85,2.03,NA,-31.9,4.57,-39.3,NA,NA,NA,NA,NA,NA,NA,1.96,2.42,NA,7.36,5.8,108826,0,1.72,1.91,2.08,NA,-22.1,9.44,-31.1,NA,NA,NA,NA,NA,NA,NA,2.04,2.96,NA,8.98,5.8,108826,0,1.82,1.79,1.54,NA,-1.09,1.87,-2,NA,NA,NA,NA,NA,NA,NA,1.44,1.84,NA,1.0479,1.03,100,0,0,0,100,100,0,63.043,2.174,100,100,0,56.52,100,100,0,0,0,0
"2","Inter Mountain Basins Big Sagebrush Steppe","Arizona/New Mexico Plateau",150072,0,9.8,20.1,-0.138,NA,44,9.78,39.5,NA,57.6,NA,NA,NA,NA,NA,29.6,-7.77,NA,19.37,NA,150072,0,1.7,1.83,2.01,NA,-27.3,7.72,-38.8,NA,19.9,NA,NA,NA,NA,NA,1.94,2.59,NA,8.519,NA,150072,0,1.69,1.71,1.96,NA,-36.8,4.68,-47.5,NA,19.94,NA,NA,NA,NA,NA,1.77,2.41,NA,7.84,NA,150072,0,1.71,1.88,2.06,NA,-20.8,12.18,-31.2,NA,19.9,NA,NA,NA,NA,NA,2.01,2.78,NA,9.84,NA,150072,0,1.86,1.73,1.62,NA,-1.09,2.45,-2.28,NA,1.17,NA,NA,NA,NA,NA,1.36,1.91,NA,1.0929,NA,100,0,0,0,100,100,0,56.25,0,100,100,0,56.25,100,100,0,6.25,0,0
"3","Inter Mountain Basins Big Sagebrush Steppe","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Big Sagebrush Steppe","Blue Mountains",70911,0,8.43,18.2,-0.624,NA,49.2,13.36,39,181,62.2,NA,NA,NA,39.2,NA,28.4,-6.17,NA,11.15,16.302,70911,0,1.54,1.64,2,NA,-23.4,8.83,-28.6,-44.3,23.8,NA,NA,NA,2.72,NA,1.7,3.31,NA,2.741,2.2446,70911,0,1.26,1.26,1.55,NA,-48.7,2.93,-41.5,-49,13,NA,NA,NA,1.88,NA,1.62,2.7,NA,-6.69,-11.14,70911,0,1.75,1.85,2.43,NA,-14.5,20.73,-15.9,-39.6,33.9,NA,NA,NA,3.59,NA,1.76,3.76,NA,6.1,9.21,70911,0,2.26,1.49,1.76,NA,-1.22,1.92,-1.71,-1.03,1.24,NA,NA,NA,1.1,NA,1.02,1.92,NA,0.6795,1.0377,100,0,77.97,0,1.85,100,0,1.595,11.94,100,100,0,53.22,99.2,98.7,0.1029,6.33,0,0
"5","Inter Mountain Basins Big Sagebrush Steppe","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Big Sagebrush Steppe","Canadian Rockies",104960,0,5.3,15.4,-4.305,NA,58.4,28.95,32.9,153,95.4,NA,NA,NA,NA,NA,28.6,-10.6,NA,8.51,8.548,104960,0,1.59,1.95,1.8,NA,-29.2,18.59,-30.7,-46.1,31.1,NA,NA,NA,NA,NA,1.79,3.95,NA,3.646,8.5546,104960,0,1.51,1.82,1.5,NA,-39.8,8.17,-34.4,-64.6,21.34,NA,NA,NA,NA,NA,1.77,3.75,NA,-8.27,8.24,104960,0,1.64,2.04,1.95,NA,-18.3,28.46,-27.5,-30.7,48.6,NA,NA,NA,NA,NA,1.8,4.27,NA,6.84,8.87,104960,0,2.17,1.84,1.43,NA,-1.23,3.44,-1.92,-1.1,1.76,NA,NA,NA,NA,NA,1.06,1.58,NA,0.9338,1.0758,100,0,0,0,18.18,100,0,33.333,6.061,100,100,0,18.18,100,100,12.1212,96.97,0,0
"7","Inter Mountain Basins Big Sagebrush Steppe","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.71,52.03,0,20.99,100,0,0.101,33.976,100,100,0,14.3,77.6,78.1,0,0,0,0
"8","Inter Mountain Basins Big Sagebrush Steppe","Central Basin and Range",309946,0,7.88,19.1,-2.77,NA,52.3,13.86,35.2,148,72.8,NA,NA,NA,39.1,NA,30.6,-9.44,41.5,8.4,20.265,309946,0,1.95,1.95,2.53,NA,-34.4,11.67,-41.2,-56.3,26.7,NA,NA,NA,2.54,NA,1.97,4.25,-2.69,-4.273,10.8201,309946,0,1.73,1.79,2.12,NA,-57.3,4.11,-54.2,-71.2,13.06,NA,NA,NA,2.09,NA,1.78,3.11,-2.88,-7.81,8.93,309946,0,2.11,2.09,2.88,NA,-15.1,23.57,-26.5,-38.1,40,NA,NA,NA,3.09,NA,2.16,4.75,-2.6,7.76,12.31,309946,0,2.46,1.42,1.9,NA,-1.46,3.19,-2.63,-1.19,1.25,NA,NA,NA,1.06,NA,1.04,2.27,-1.02,-0.7352,1.0658,100,0,22.66,0,74.33,100,1.426,14.897,12.361,100,100,0,93.66,100,100,40.0951,21.236,0,0
"9","Inter Mountain Basins Big Sagebrush Steppe","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Inter Mountain Basins Big Sagebrush Steppe","Central Great Plains",274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
