"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Mat Saltbush Shrubland","Arizona/New Mexico Mountains",108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Inter Mountain Basins Mat Saltbush Shrubland","Arizona/New Mexico Plateau",150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Inter Mountain Basins Mat Saltbush Shrubland","Central Basin and Range",309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309946,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Mat Saltbush Shrubland","Colorado Plateaus",134931,0,10.92,23.1,-1.44,NA,28.9,11.82,25.9,86.4,44.1,NA,NA,NA,34.9,NA,33.8,-9.62,42.3,16.8,4.48,134931,0,1.92,2.04,2.23,NA,-20.8,9.93,-45.3,-33.1,19.7,NA,NA,NA,1.9,NA,2.1,3.68,-2.02,6.81,13.636,134931,0,1.71,1.74,1.81,NA,-36.9,4.09,-53.8,-47.9,8.84,NA,NA,NA,1.65,NA,1.73,2.46,-2.34,-10.81,7.82,134931,0,2.12,2.19,2.58,NA,-12.8,16.24,-35.1,-24.2,36.9,NA,NA,NA,2.2,NA,2.33,4.49,-1.44,9.93,21.4,134931,0,2.2,1.67,2.1,NA,-1.22,4.2,-3.34,-1.05,2.07,NA,NA,NA,1.1,NA,1.33,2.49,-1.06,0.991,1.307,100,0,2.87,0,100,100,10.7,16.5,31.501,100,100,0,75.9,100,100,10.829,99.8,0,0
"5","Inter Mountain Basins Mat Saltbush Shrubland","High Plains",288315,0,8.4,19.5,-1.68,NA,NA,12.59,53.4,NA,NA,NA,NA,NA,NA,NA,30.1,-8.77,38.8,16.8,NA,288315,0,1.6,1.63,2.2,NA,NA,5.74,-34.7,NA,NA,NA,NA,NA,NA,NA,1.61,3.77,-2.16,5.34,NA,288315,0,1.6,1.63,2.2,NA,NA,5.74,-34.7,NA,NA,NA,NA,NA,NA,NA,1.61,3.77,-2.16,5.34,NA,288315,0,1.6,1.63,2.2,NA,NA,5.74,-34.7,NA,NA,NA,NA,NA,NA,NA,1.61,3.77,-2.16,5.34,NA,288315,0,1.42,1.29,1.3,NA,NA,1.74,-2.13,NA,NA,NA,NA,NA,NA,NA,1.12,1.64,-1.02,1.194,NA,100,0,0,0,100,100,100,100,0,100,100,0,0,100,100,0,0,0,0
"6","Inter Mountain Basins Mat Saltbush Shrubland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Inter Mountain Basins Mat Saltbush Shrubland","Mojave Basin and Range",129599,0,16.18,27.1,5.9,NA,NA,8.92,36.7,NA,44.9,NA,NA,NA,NA,NA,36.9,-1.11,NA,NA,NA,129599,0,1.73,1.79,2.01,NA,NA,8.14,-45.4,NA,15.1,NA,NA,NA,NA,NA,1.77,2.59,NA,NA,NA,129599,0,1.73,1.79,2.01,NA,NA,8.14,-45.4,NA,15.14,NA,NA,NA,NA,NA,1.77,2.59,NA,NA,NA,129599,0,1.73,1.79,2.01,NA,NA,8.14,-45.4,NA,15.1,NA,NA,NA,NA,NA,1.77,2.59,NA,NA,NA,129599,0,2.19,1.63,1.84,NA,NA,2.95,-2.66,NA,1.38,NA,NA,NA,NA,NA,1.15,2.18,NA,NA,NA,100,0,0,0,100,100,0,0,0,100,100,0,0,100,100,0,100,0,0
"8","Inter Mountain Basins Mat Saltbush Shrubland","Northern Basin and Range",142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Mat Saltbush Shrubland","Northwestern Great Plains",357584,0,7.85,20.4,-3.95,NA,NA,10.24,57.7,NA,54.6,NA,NA,NA,35.3,NA,31.4,-11.54,43.2,16.7,NA,357584,0,1.63,1.89,1.86,NA,NA,6.11,-27.7,NA,18.3,NA,NA,NA,2.75,NA,1.82,4.23,-2.99,4.09,NA,357584,0,1.6,1.66,1.72,NA,NA,2.85,-34.2,NA,11.46,NA,NA,NA,2.67,NA,1.73,3.59,-3.17,3.05,NA,357584,0,1.71,2.02,2.04,NA,NA,17.34,-22.2,NA,36.7,NA,NA,NA,2.83,NA,1.89,4.68,-2.27,6.06,NA,357584,0,1.75,1.52,1.22,NA,NA,2.19,-1.38,NA,1.37,NA,NA,NA,1.08,NA,1.2,1.71,-1.04,1.138,NA,100,0,3.65,0,42.7,100,47.4,43.8,0,100,100,0,0,100,99.5,0,9.9,0,0
"10","Inter Mountain Basins Mat Saltbush Shrubland","Snake River Plain",53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
