"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Mountains",108826,0,10.43,20,1.19,NA,53.7,11.95,52.7,NA,43.3,NA,NA,NA,37.3,NA,29.8,-7.349,NA,19,13.75,108826,0,1.66,1.75,1.94,NA,-28.8,7.368,-29.4,NA,16.6,NA,NA,NA,2.1,NA,1.77,2.05,NA,3.83,6.63,108826,0,1.59,1.53,1.76,NA,-46.7,3.677,-45.1,NA,9.47,NA,NA,NA,2.1,NA,1.39,1.36,NA,1.78,3.78,108826,0,1.78,1.94,2.16,NA,-19.4,19.684,-20,NA,37.8,NA,NA,NA,2.1,NA,2.25,3.29,NA,10.95,9.36,108826,0,1.84,1.7,1.65,NA,-1.16,2.34,-1.56,NA,1.26,NA,NA,NA,1.02,NA,1.21,1.72,NA,1.551,1.349,100,0,0.105,0,78.11,100,0,43.05,28.842,100,100,0,6.53,100,67.2,0,39.053,0,0
"2","Inter Mountain Basins Mixed Salt Desert Scrub","Arizona/New Mexico Plateau",150072,0,11.26,21.8,0.978,NA,36.6,9.33,45.9,87.7,38.7,NA,NA,NA,42.3,NA,32,-7.548,42.9,21.9,12.93,150072,0,1.68,1.79,1.97,NA,-21,6.613,-34.8,-27.4,15,NA,NA,NA,1.88,NA,1.89,2.3,-1.81,7.03,7.5,150072,0,1.61,1.55,1.73,NA,-46.7,1.69,-52,-31.1,6.28,NA,NA,NA,1.78,NA,1.41,1.33,-1.91,-10.69,4.29,150072,0,1.77,1.99,2.15,NA,-11.9,19.684,-19.9,-24.4,30.3,NA,NA,NA,2.1,NA,2.21,3.78,-1.61,12.25,10.83,150072,0,1.86,1.69,1.65,NA,-1.17,2.73,-1.97,-1.05,1.35,NA,NA,NA,1.03,NA,1.3,1.83,-1.04,1.15,1.294,100,0,0.822,0,99.07,100,0.948,35.42,20.043,100,100,0,22.96,99.9,96.7,0.3218,44.734,0,0
"3","Inter Mountain Basins Mixed Salt Desert Scrub","Blue Mountains",70911,0,8.98,20.3,-2.12,NA,NA,14.24,50.2,NA,NA,NA,NA,NA,34.9,NA,NA,-7.524,NA,NA,NA,70911,0,1.69,1.79,2.12,NA,NA,8.911,-23,NA,NA,NA,NA,NA,2.36,NA,NA,3.58,NA,NA,NA,70911,0,1.68,1.75,2.08,NA,NA,6.928,-24.3,NA,NA,NA,NA,NA,2.3,NA,NA,3.41,NA,NA,NA,70911,0,1.71,1.83,2.21,NA,NA,10.465,-21.3,NA,NA,NA,NA,NA,2.43,NA,NA,3.69,NA,NA,NA,70911,0,2.37,1.51,1.99,NA,NA,1.43,-1.27,NA,NA,NA,NA,NA,1.1,NA,NA,1.98,NA,NA,NA,100,0,75,0,0,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"4","Inter Mountain Basins Mixed Salt Desert Scrub","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Inter Mountain Basins Mixed Salt Desert Scrub","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Mixed Salt Desert Scrub","Cascades",46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,23.881,0,0,100,0,0,35.821,100,100,0,73.13,100,100,0,0,0,0
"7","Inter Mountain Basins Mixed Salt Desert Scrub","Central Basin and Range",309946,0,10.51,21.6,0.203,NA,32.2,10.47,32,95.7,38.7,NA,NA,NA,40,NA,33.1,-7.35,39,10.8,11.98,309946,0,1.87,1.9,2.39,NA,-27,7.686,-51,-40.6,17.1,NA,NA,NA,2.25,NA,1.91,3.51,-2.3,2.63,9.9,309946,0,1.65,1.56,1.78,NA,-64.1,0.915,-73.8,-76.6,3.36,NA,NA,NA,1.75,NA,1.66,2.28,-2.88,-9.58,2.89,309946,0,2.1,2.13,2.89,NA,-10.5,20.106,-30.6,-22.8,37.6,NA,NA,NA,3.31,NA,2.14,4.95,-1.98,10.32,17.57,309946,0,2.43,1.54,1.78,NA,-1.25,4.39,-2.81,-1.08,1.62,NA,NA,NA,1.05,NA,1.16,2.05,-1.05,0.533,1.197,100,0,27.176,0,85.19,100,3.854,6.27,38.757,100,100,0,78.1,100,100,7.4608,69.71,0,0
"8","Inter Mountain Basins Mixed Salt Desert Scrub","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Mixed Salt Desert Scrub","Chihuahuan Desert",509458,0,14.87,24.6,5.262,NA,61,8.56,65.8,NA,31.1,NA,NA,NA,NA,NA,34.3,-4.159,NA,23.3,18.79,509458,0,1.72,1.82,2.01,NA,-52,7.067,-37.9,NA,15.5,NA,NA,NA,NA,NA,1.76,1.71,NA,3.36,5.68,509458,0,1.68,1.69,1.93,NA,-60.9,4.352,-49.5,NA,11.57,NA,NA,NA,NA,NA,1.69,1.52,NA,1.92,4.42,509458,0,1.79,1.95,2.1,NA,-47.7,9.628,-26.3,NA,21,NA,NA,NA,NA,NA,1.87,2.02,NA,5.36,6.03,509458,0,1.87,1.71,1.7,NA,-1.42,3.97,-1.64,NA,1.36,NA,NA,NA,NA,NA,1.13,1.47,NA,1.216,1.347,100,0,0,0,44.44,100,0,33.33,11.111,100,100,0,31.11,100,82.2,0,82.222,0,0
"10","Inter Mountain Basins Mixed Salt Desert Scrub","Colorado Plateaus",134931,0,10.68,22.5,-1.042,NA,33,12.86,26.8,100.2,49.5,NA,NA,NA,36.7,NA,32.8,-8.797,40.8,18.4,7.15,134931,0,1.88,1.99,2.21,NA,-24.1,10.47,-45,-36.6,20.6,NA,NA,NA,1.94,NA,2.05,3.53,-1.99,5.56,12.98,134931,0,1.69,1.7,1.81,NA,-55,3.062,-55.7,-66.7,7.96,NA,NA,NA,1.58,NA,1.7,2.45,-2.51,-10.81,7.82,134931,0,2.13,2.19,2.58,NA,-11.4,22.938,-30.3,-20.3,49.9,NA,NA,NA,2.36,NA,2.33,4.6,-1.33,13.11,21.44,134931,0,2.16,1.66,2.09,NA,-1.24,3.8,-3.27,-1.07,1.89,NA,NA,NA,1.1,NA,1.33,2.5,-1.09,0.78,1.307,100,0,9.61,0,100,100,18.223,18.04,20.966,100,100,0,75.05,100,100,13.0326,96.985,0,0
