"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","North Central Interior Beech Maple Forest ","Central Appalachians",62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,100,0,16,0,100,0,0,100,100,100,0,100,0,0
"2","North Central Interior Beech Maple Forest ","Central Corn Belt Plains",76643,0,11.04,22.9,-3.1,NA,115.6,58.2,21.4,NA,205,NA,NA,NA,NA,NA,29.7,-7.24,NA,21.1,NA,76643,0,1.48,1.81,1.94,NA,-63.1,40.2,-32.8,NA,64.4,NA,NA,NA,NA,NA,2.16,3.36,NA,7.033,NA,76643,0,1.43,1.69,1.93,NA,-76.1,31.4,-38.6,NA,46.8,NA,NA,NA,NA,NA,1.93,3.23,NA,5.76,NA,76643,0,1.55,1.87,1.95,NA,-49.3,49.2,-26.9,NA,83.9,NA,NA,NA,NA,NA,2.26,3.62,NA,8.71,NA,76643,0,1.57,1.36,1.3,NA,-1.2,3.14,-2.43,NA,1.43,NA,NA,NA,NA,NA,1.18,1.46,NA,1.209,NA,100,0,0,0,100,100,0,29.41,0,100,11.76,0,82.4,100,100,0,100,0,0
"3","North Central Interior Beech Maple Forest ","Eastern Corn Belt Plains",83548,0,10.94,22.5,NA,NA,120.1,60.1,20.8,279,208,NA,NA,NA,NA,NA,29.5,-6.94,NA,20.6,NA,83548,0,1.46,1.86,NA,NA,-53.1,40.7,-29.7,-60.8,65.9,NA,NA,NA,NA,NA,2.3,3.18,NA,6.988,NA,83548,0,1.37,1.75,NA,NA,-67.5,29.7,-35.5,-60.8,41.1,NA,NA,NA,NA,NA,2.06,2.83,NA,5.15,NA,83548,0,1.56,2.09,NA,NA,-42.9,50.1,-25,-60.8,91.7,NA,NA,NA,NA,NA,2.46,3.37,NA,9.34,NA,83548,0,1.57,1.55,NA,NA,-1.07,2.77,-2.22,-1.02,1.36,NA,NA,NA,NA,NA,1.45,1.37,NA,1.062,NA,100,0,0,0,100,100,0,18.43,0,100,0,0,32,100,100,0.0225,100,0,0
"4","North Central Interior Beech Maple Forest ","Eastern Great Lakes and Hudson Lowlands",147292,0,10.22,21.5,NA,NA,108.5,58.5,18.4,NA,199,NA,NA,NA,NA,NA,27.7,-5.91,NA,21.4,NA,147292,0,1.4,1.75,NA,NA,-40.3,33,-25.6,NA,49,NA,NA,NA,NA,NA,2.05,2.72,NA,7.779,NA,147292,0,1.36,1.66,NA,NA,-51.9,23.7,-30.3,NA,37.5,NA,NA,NA,NA,NA,1.8,2.37,NA,6.73,NA,147292,0,1.45,1.87,NA,NA,-27.8,43.1,-22.1,NA,63.1,NA,NA,NA,NA,NA,2.33,3.01,NA,8.56,NA,147292,0,1.98,1.74,NA,NA,-1.11,2.53,-2.35,NA,1.25,NA,NA,NA,NA,NA,1.64,1.21,NA,1.209,NA,100,0,0,0,100,46.3,0,15.92,0,100,0,0,65.2,100,100,0,97,0,0
"5","North Central Interior Beech Maple Forest ","Erie Drift Plain",31072,0,9.71,20.9,NA,NA,120.8,62.3,18.7,346,214,NA,NA,NA,NA,NA,28.1,-7.32,NA,19.6,NA,31072,0,1.38,1.73,NA,NA,-46.4,38.6,-26.5,-77.5,59.8,NA,NA,NA,NA,NA,2.16,2.79,NA,6.493,NA,31072,0,1.34,1.65,NA,NA,-56.3,24.9,-31.7,-77.5,39,NA,NA,NA,NA,NA,1.88,2.41,NA,4.12,NA,31072,0,1.47,1.84,NA,NA,-30.7,47.3,-22,-77.5,82.1,NA,NA,NA,NA,NA,2.4,3.07,NA,8.54,NA,31072,0,1.77,1.61,NA,NA,-1.14,2.62,-2.35,-1.01,1.34,NA,NA,NA,NA,NA,1.67,1.22,NA,1.159,NA,100,0,0,0,100,90.5,0,30.14,0,100,0,0,74.4,100,100,0.0564,99.8,0,0
"6","North Central Interior Beech Maple Forest ","Huron/Erie Lake Plains",24838,0,9.86,21.7,-3.25,NA,97.8,49.5,22.4,260,164,NA,NA,NA,NA,NA,29,-7.62,NA,21.1,NA,24838,0,1.49,1.93,1.74,NA,-52.7,31.5,-28.6,-55.5,46.4,NA,NA,NA,NA,NA,2.28,3.15,NA,6.994,NA,24838,0,1.41,1.82,1.62,NA,-64,25.6,-32.7,-65.8,31.8,NA,NA,NA,NA,NA,1.86,2.74,NA,5.58,NA,24838,0,1.64,2.1,1.84,NA,-38.8,37.8,-24.9,-48,59.7,NA,NA,NA,NA,NA,2.45,3.46,NA,8.43,NA,24838,0,1.82,1.58,1.16,NA,-1.28,2.54,-2.32,-1.12,1.22,NA,NA,NA,NA,NA,1.42,1.46,NA,1.152,NA,100,0,0,0,100,100,0,7.2,0,100,30.62,0,87.7,100,100,25.2153,99.7,0,0
"7","North Central Interior Beech Maple Forest ","Interior Plateau",123523,0,11.69,23.1,NA,NA,134.3,70.8,18.2,NA,243,NA,NA,NA,NA,NA,30.1,-6.35,NA,21.3,NA,123523,0,1.48,1.84,NA,NA,-56.4,47,-33,NA,83.9,NA,NA,NA,NA,NA,2.26,3.16,NA,8.261,NA,123523,0,1.46,1.79,NA,NA,-66.5,42.9,-35.3,NA,76.1,NA,NA,NA,NA,NA,2.15,2.8,NA,8.25,NA,123523,0,1.51,1.87,NA,NA,-42,51.1,-30.9,NA,92,NA,NA,NA,NA,NA,2.34,3.35,NA,8.27,NA,123523,0,1.56,1.59,NA,NA,-1.04,2.9,-2.52,NA,1.56,NA,NA,NA,NA,NA,1.42,1.37,NA,1.118,NA,100,0,0,0,100,100,0,2.02,0,100,0,0,70.7,100,100,0,100,0,0
"8","North Central Interior Beech Maple Forest ","Interior River Valleys and Hills",120396,0,12.36,24,NA,NA,128.2,66.9,18.3,NA,236,NA,NA,NA,NA,NA,31.1,-5.95,NA,NA,1.21,120396,0,1.49,1.81,NA,NA,-64.7,47.5,-35.8,NA,85.1,NA,NA,NA,NA,NA,2.24,3.35,NA,NA,13,120396,0,1.46,1.77,NA,NA,-75.9,35.8,-38.9,NA,56.5,NA,NA,NA,NA,NA,2.08,3.07,NA,NA,12.1,120396,0,1.54,1.83,NA,NA,-52.2,54.4,-30.5,NA,100.4,NA,NA,NA,NA,NA,2.39,3.44,NA,NA,14.3,120396,0,1.48,1.39,NA,NA,-1.14,3.38,-2.57,NA,1.69,NA,NA,NA,NA,NA,1.23,1.42,NA,NA,1.23,100,0,0,0,100,100,0,0,2.46,100,0,0,96.3,100,100,0,100,0,0
"9","North Central Interior Beech Maple Forest ","Lake Erie Lowland",25629,0,9.77,21.6,-2.55,NA,97.1,49,20.2,265,160,NA,NA,NA,NA,NA,28.2,-6.84,NA,21,NA,25629,0,1.5,1.92,1.6,NA,-48.7,30.6,-29.9,-59.3,40.1,NA,NA,NA,NA,NA,2.14,2.96,NA,6.604,NA,25629,0,1.48,1.86,1.6,NA,-55.4,29.2,-31.4,-63.3,33.2,NA,NA,NA,NA,NA,2.04,2.77,NA,6.12,NA,25629,0,1.54,1.96,1.6,NA,-39.6,32.6,-27.2,-53.6,47.2,NA,NA,NA,NA,NA,2.23,3.07,NA,7.28,NA,25629,0,1.93,1.56,1,NA,-1.27,2.63,-2.37,-1.08,1.11,NA,NA,NA,NA,NA,1.33,1.35,NA,1.184,NA,100,0,0,0,100,100,0,65.71,0,100,2.86,0,100,100,100,97.1429,77.1,0,0
"10","North Central Interior Beech Maple Forest ","North Central Appalachians",29170,0,8.11,19.2,NA,NA,134.8,63.9,19.7,NA,224,NA,NA,NA,NA,NA,26.9,-9.02,NA,18.6,NA,29170,0,1.35,1.69,NA,NA,-47.9,35.9,-23.9,NA,53.3,NA,NA,NA,NA,NA,2.02,2.62,NA,5.548,NA,29170,0,1.35,1.67,NA,NA,-54.4,32.3,-25.5,NA,42.2,NA,NA,NA,NA,NA,1.98,2.5,NA,3.99,NA,29170,0,1.37,1.73,NA,NA,-41.7,40.4,-22.5,NA,59.3,NA,NA,NA,NA,NA,2.06,2.75,NA,6.15,NA,29170,0,1.85,1.7,NA,NA,-1.26,2.23,-2.27,NA,1.25,NA,NA,NA,NA,NA,1.74,1.08,NA,1.027,NA,100,0,0,0,100,100,0,16,0,100,0,0,100,100,100,0,100,0,0
