"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Mountains",108826,0,9.78,19.2,0.8688,NA,77.9,14.97,47.7,203,74.1,NA,NA,NA,44.5,NA,29,-7.14,29.3,18.52,12.11,108826,0,1.65,1.68,1.9,NA,-38.8,10.37,-32.1,-55.6,30.7,NA,NA,NA,2.52,NA,1.7,2.25,-1.41,2.5651,6.43,108826,0,1.56,1.47,1.74,NA,-61.8,3.98,-50.7,-70.5,12.5,NA,NA,NA,2.28,NA,1.33,1.39,-1.41,-9.65,3.66,108826,0,1.78,1.94,2.16,NA,-22.3,25.62,-22.1,-42.7,66.4,NA,NA,NA,3.08,NA,2.29,3.12,-1.41,10.95,8.78,108826,0,1.88,1.66,1.65,NA,-1.24,2.41,-1.84,-1.14,1.51,NA,NA,NA,1.08,NA,1.16,1.86,-1.05,0.7929,1.37,100,0,1.55,0,77.9,100,0.141,29.96,13.924,100,100,0,15.9,100,92,3.235,24.47,0,0
"2","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Arizona/New Mexico Plateau",150072,0,9.75,19.9,0.18,NA,53.4,15.37,41.5,169,62,NA,NA,NA,41.8,NA,29.4,-7.18,37.5,20.2,13.25,150072,0,1.68,1.75,1.94,NA,-38.6,9.58,-38.3,-39.3,22.7,NA,NA,NA,2.05,NA,1.75,2.71,-1.67,7.2329,6.25,150072,0,1.62,1.58,1.8,NA,-60.9,4.24,-58.1,-40.1,12.8,NA,NA,NA,1.9,NA,1.48,1.4,-1.76,-9.09,5.08,150072,0,1.76,1.97,2.13,NA,-19.8,18.83,-20.9,-38.5,44.9,NA,NA,NA,2.31,NA,2.16,3.61,-1.6,11.78,8.12,150072,0,2,1.66,1.75,NA,-1.14,2.45,-2.25,-1.08,1.33,NA,NA,NA,1.03,NA,1.23,2.19,-1.08,1.0696,1.18,100,0,4.74,0,99.1,100,4.739,29.38,3.318,100,100,0,26.5,100,96.7,0.948,47.87,0,0
"3","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Central Basin and Range",309946,0,9.82,21.1,-0.8039,NA,56,20.33,27.5,162,76.3,NA,NA,NA,36.6,NA,31.2,-7.22,37.7,9.13,14.34,309946,0,1.94,1.92,2.61,NA,-42,14.22,-42.5,-59.3,26.6,NA,NA,NA,2.29,NA,1.94,4.11,-2.28,0.0274,9.2,309946,0,1.77,1.71,2.09,NA,-81.1,6.35,-60,-93,12.2,NA,NA,NA,1.89,NA,1.72,2.88,-2.63,-7.94,3.47,309946,0,2.12,2.09,2.81,NA,-22.2,23.44,-31.1,-43.6,40.4,NA,NA,NA,2.98,NA,2.16,4.74,-1.92,8.93,14.24,309946,0,2.31,1.47,2.03,NA,-1.49,3,-2.94,-1.13,1.56,NA,NA,NA,1.1,NA,1.16,2.29,-1.07,0.1115,1.15,100,0,63.3,0,100,100,47.289,7.31,33.039,100,100,0,90.3,100,100,28.247,33.42,0,0
"4","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Colorado Plateaus",134931,0,8.19,19.2,-2.3027,NA,49.8,20.83,24.6,134,80.5,NA,NA,NA,38,NA,29,-9.5,38.4,16.83,12.75,134931,0,1.86,1.95,2.17,NA,-35.6,14.75,-42.6,-48.2,29,NA,NA,NA,2.04,NA,2.05,3.67,-1.83,5.1552,11.47,134931,0,1.69,1.71,1.82,NA,-58.1,5.53,-54.9,-82.2,11.6,NA,NA,NA,1.57,NA,1.7,2.59,-2.49,-10.35,4.84,134931,0,2.11,2.15,2.6,NA,-18.6,30.47,-28.3,-25.8,56.9,NA,NA,NA,2.65,NA,2.3,4.62,-1.31,12.64,17.42,134931,0,2.21,1.67,2.25,NA,-1.32,2.99,-3.22,-1.08,1.63,NA,NA,NA,1.1,NA,1.34,2.82,-1.11,0.7359,1.26,100,0,27.41,0,100,100,53.804,28.11,28.816,100,100,0,79.3,100,100,29.521,89.32,0,0
"6","Rocky Mountain Gambel Oak Mixed Montane Shrubland","High Plains",288315,0,11.53,22.5,1.042,NA,70.3,12.53,54,NA,37.8,NA,NA,NA,NA,NA,31.8,-7.63,NA,22.43,NA,288315,0,1.78,1.96,2.18,NA,-39.4,6.02,-29,NA,15.5,NA,NA,NA,NA,NA,2.07,3.23,NA,5.0969,NA,288315,0,1.67,1.78,2.1,NA,-55,3.86,-46.1,NA,14.5,NA,NA,NA,NA,NA,1.7,2.25,NA,3.63,NA,288315,0,1.95,2.2,2.33,NA,-31.6,9.48,-22.4,NA,16.4,NA,NA,NA,NA,NA,2.37,3.75,NA,6.75,NA,288315,0,1.65,1.56,1.35,NA,-1.2,1.83,-1.62,NA,1.23,NA,NA,NA,NA,NA,1.42,1.73,NA,1.2277,NA,100,0,0,0,100,100,0,70.42,0,100,100,0,71.8,100,93,0,7.04,0,0
"7","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Madrean Archipelago",74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74690,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Mojave Basin and Range",129599,0,10.65,20.4,2.0451,NA,53.2,8.07,42,NA,51.5,NA,NA,NA,NA,NA,29.4,-4.54,NA,20.98,12.43,129599,0,1.72,1.77,1.89,NA,-46.5,7.83,-47.7,NA,17.3,NA,NA,NA,NA,NA,1.64,2.64,NA,8.5871,4.49,129599,0,1.65,1.62,1.79,NA,-80.7,3.01,-59.2,NA,12.3,NA,NA,NA,NA,NA,1.52,2.39,NA,8.02,3.61,129599,0,1.79,1.83,2.1,NA,-33.5,13.3,-30.1,NA,23.3,NA,NA,NA,NA,NA,1.74,3,NA,9.46,6.04,129599,0,2.31,1.68,1.81,NA,-1.11,3.69,-2.2,NA,1.31,NA,NA,NA,NA,NA,1.16,2.25,NA,1.0551,1.1,100,0,0,0,100,100,0,4.88,30.488,100,100,0,40.2,100,100,0,74.39,0,0
"10","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Nebraska Sand Hills",59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Rocky Mountain Gambel Oak Mixed Montane Shrubland","Northern Basin and Range",142200,0,7.63,19.1,-3.6202,NA,68.7,26.96,24.6,164,98.8,NA,NA,NA,NA,NA,30.3,-9.81,40.9,8.67,18.26,142200,0,2.1,2.03,2.54,NA,-45,20.43,-47.4,-61.3,34,NA,NA,NA,NA,NA,2.1,4.6,-2.64,6.1908,10.77,142200,0,2.07,2,2.47,NA,-50.4,16.91,-48.9,-67.2,28.7,NA,NA,NA,NA,NA,2.06,4.41,-2.66,5.81,10.31,142200,0,2.12,2.06,2.59,NA,-36,23.02,-44.5,-52.3,41.1,NA,NA,NA,NA,NA,2.13,4.75,-2.63,6.53,12.13,142200,0,2.68,1.41,2.39,NA,-1.87,4.02,-3.34,-1.31,1.33,NA,NA,NA,NA,NA,1.02,2.73,-1.01,1.1653,1.08,100,0,0,0,53.8,100,15.385,38.46,46.154,100,100,0,100,100,100,100,92.31,0,0
