"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Mountains",108826,0,8.77,17.5,0.429,NA,100,17.2,55.2,NA,67.1,NA,NA,NA,43.2,NA,26.7,-7.79,29.3,16.89,10.64,108826,0,1.65,1.69,1.92,NA,-45.7,11.38,-29.3,NA,28.5,NA,NA,NA,2.42,NA,1.59,2.17,-1.41,2.508,5.64,108826,0,1.57,1.49,1.79,NA,-70.2,4.26,-51.1,NA,14.6,NA,NA,NA,2.09,NA,1.41,1.39,-1.41,-9.65,3.48,108826,0,1.78,1.91,2.2,NA,-26.9,23.42,-19.2,NA,52.5,NA,NA,NA,3.15,NA,1.74,3,-1.41,9.53,7.63,108826,0,1.87,1.67,1.7,NA,-1.08,2.3,-1.62,NA,1.27,NA,NA,NA,1.07,NA,1.11,1.79,-1.05,0.98,1.37,100,0,7.05,0,54.9,100,0.164,31.97,32.6,100,100,0,6.89,99.8,92,0,26.2,0,0
"2","Southern Rocky Mountain Montane Subalpine Grassland","Arizona/New Mexico Plateau",150072,0,6.86,16.9,-2.922,NA,53.9,17.41,43.6,165,71.2,NA,NA,NA,41.6,NA,26.6,-11.08,39.6,17.31,NA,150072,0,1.69,1.8,1.96,NA,-38.3,11.22,-33.1,-40.1,26,NA,NA,NA,2.02,NA,1.84,3.13,-1.76,2.219,NA,150072,0,1.63,1.64,1.86,NA,-60,4.03,-50.9,-40.1,13.8,NA,NA,NA,1.87,NA,1.57,1.4,-1.9,-9.57,NA,150072,0,1.74,1.97,2.05,NA,-13.2,19.45,-20.8,-40.1,41.8,NA,NA,NA,2.31,NA,2.15,3.69,-1.66,10.01,NA,150072,0,1.96,1.73,1.76,NA,-1.11,2.53,-1.98,-1.06,1.39,NA,NA,NA,1.04,NA,1.31,2.39,-1.08,0.619,NA,100,0,19.51,0,97.6,100,31.707,19.51,0,100,100,0,24.39,100,97.6,2.44,56.1,0,0
"3","Southern Rocky Mountain Montane Subalpine Grassland","Central Basin and Range",309946,0,8.25,19.8,-3.023,NA,66.9,21.04,27.4,183,NA,NA,NA,NA,NA,NA,30.3,-8.91,NA,8.01,NA,309946,0,2.08,2.04,2.6,NA,-51.4,19.25,-43.4,-65.9,NA,NA,NA,NA,NA,NA,2.07,4.52,NA,-6.006,NA,309946,0,2.05,2.01,2.57,NA,-52,16.85,-44.5,-68.8,NA,NA,NA,NA,NA,NA,2.05,4.44,NA,-6.01,NA,309946,0,2.12,2.07,2.62,NA,-50.9,23.44,-42.7,-64,NA,NA,NA,NA,NA,NA,2.09,4.62,NA,-6.01,NA,309946,0,2.59,1.42,2.23,NA,-1.86,3.3,-2.88,-1.2,NA,NA,NA,NA,NA,NA,1.06,2.46,NA,-1.149,NA,100,0,0,0,100,100,0,33.33,0,100,100,0,100,100,100,100,0,0,0
"4","Southern Rocky Mountain Montane Subalpine Grassland","Chihuahuan Desert",509458,0,13.68,22.9,4.797,NA,NA,7.99,69.5,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,NA,NA,NA,509458,0,1.68,1.7,1.97,NA,NA,6.03,-26.8,NA,NA,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,509458,0,1.68,1.69,1.97,NA,NA,5.59,-29.4,NA,NA,NA,NA,NA,NA,NA,NA,1.72,NA,NA,NA,509458,0,1.69,1.72,1.98,NA,NA,6.51,-24,NA,NA,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,509458,0,1.92,1.66,1.85,NA,NA,1.76,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,100,0,0,100,100,0,0,0,0
"5","Southern Rocky Mountain Montane Subalpine Grassland","Colorado Plateaus",134931,0,7.24,18.4,-3.381,NA,54.2,25.06,21.2,151,91.6,NA,NA,NA,38,NA,27.9,-10.62,38.5,NA,16.99,134931,0,1.91,1.95,2.08,NA,-36.3,19.12,-40.4,-52.7,33.9,NA,NA,NA,2.16,NA,2.08,3.91,-1.87,NA,12.05,134931,0,1.72,1.82,2.01,NA,-47.3,14.03,-45.5,-57.7,29.5,NA,NA,NA,2.01,NA,2.02,3.48,-2.21,NA,5.27,134931,0,1.96,2.02,2.56,NA,-31.2,20.93,-29.9,-48.5,38,NA,NA,NA,2.4,NA,2.1,4.23,-1.48,NA,14.68,134931,0,2.3,1.59,2.29,NA,-1.52,3.25,-3.54,-1.1,1.61,NA,NA,NA,1.07,NA,1.3,2.94,-1.07,NA,1.24,100,0,17.65,0,100,100,82.353,0,88.2,100,100,0,100,100,100,23.53,94.1,0,0
"6","Southern Rocky Mountain Montane Subalpine Grassland","High Plains",288315,0,9.25,20.1,-1.033,NA,NA,10.76,56.2,NA,NA,NA,NA,NA,NA,NA,29.9,-9.72,NA,13.57,NA,288315,0,1.7,1.82,2.21,NA,NA,5.22,-23.1,NA,NA,NA,NA,NA,NA,NA,1.97,3.62,NA,5.71,NA,288315,0,1.69,1.8,2.17,NA,NA,4.93,-25.3,NA,NA,NA,NA,NA,NA,NA,1.95,3.57,NA,5.71,NA,288315,0,1.71,1.86,2.23,NA,NA,5.37,-20.9,NA,NA,NA,NA,NA,NA,NA,2,3.69,NA,5.71,NA,288315,0,1.65,1.57,1.53,NA,NA,1.3,-1.51,NA,NA,NA,NA,NA,NA,NA,1.35,1.98,NA,1.25,NA,100,0,0,0,100,100,0,33.33,0,100,100,0,0,100,100,0,0,0,0
"7","Southern Rocky Mountain Montane Subalpine Grassland","Madrean Archipelago",74690,0,12.14,20.3,4.263,NA,NA,14.1,64.9,NA,43.7,NA,NA,NA,44.9,NA,NA,-3.87,NA,14.38,NA,74690,0,1.64,1.62,1.91,NA,NA,9.94,-27.1,NA,17.9,NA,NA,NA,3.15,NA,NA,1.87,NA,1.706,NA,74690,0,1.6,1.58,1.87,NA,NA,5.75,-29.3,NA,17.7,NA,NA,NA,3.15,NA,NA,1.76,NA,1.71,NA,74690,0,1.67,1.65,1.95,NA,NA,20.5,-25,NA,18.2,NA,NA,NA,3.15,NA,NA,2.31,NA,1.71,NA,74690,0,1.96,1.82,1.75,NA,NA,2.21,-1.36,NA,1.28,NA,NA,NA,1.22,NA,NA,1.73,NA,1.631,NA,100,0,12.5,0,0,100,0,12.5,0,100,100,0,0,100,100,0,25,0,0
"8","Southern Rocky Mountain Montane Subalpine Grassland","Middle Rockies",164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Southern Rocky Mountain Montane Subalpine Grassland","Mojave Basin and Range",129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Southern Rocky Mountain Montane Subalpine Grassland","Northern Basin and Range",142200,0,7.64,19.1,-3.485,NA,70.7,28.18,24,170,102.6,NA,NA,NA,NA,NA,30.1,-9.48,40.4,9.07,18.2,142200,0,2.1,2.03,2.55,NA,-47,21.6,-47.8,-63.8,35.3,NA,NA,NA,NA,NA,2.1,4.59,-2.63,6.107,10.56,142200,0,2.09,2,2.51,NA,-50.4,19.98,-48.5,-67.2,28.7,NA,NA,NA,NA,NA,2.08,4.41,-2.63,5.81,10.38,142200,0,2.12,2.06,2.59,NA,-42.5,23.02,-46.4,-60.1,41.1,NA,NA,NA,NA,NA,2.12,4.75,-2.63,6.51,10.81,142200,0,2.68,1.41,2.41,NA,-1.87,4.13,-3.36,-1.31,1.32,NA,NA,NA,NA,NA,1.03,2.72,-1,1.146,1.08,100,0,0,0,50,100,16.667,66.67,50,100,100,0,100,100,100,100,100,0,0
