"","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3"
"1","Arizona/New Mexico Mountains",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",1149.0174,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.1278,"13.1.1"
"2","Arizona/New Mexico Mountains",7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2503.1997,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1616,"13.1.1"
"3","Arizona/New Mexico Mountains",7149,"Western_Great_Plains_Shortgrass_Prairie",450.4491,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0017,"13.1.1"
"4","Arizona/New Mexico Mountains",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",19014.4341,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.4888,"13.1.1"
"5","Arizona/New Mexico Mountains",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",104.5062,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,6e-04,"13.1.1"
"6","Arizona/New Mexico Mountains",7019,"Great_Basin_Pinyon_Juniper_Woodland",38.0295,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0017,"13.1.1"
"7","Arizona/New Mexico Mountains",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",1718.8848,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.0177,"13.1.1"
"8","Arizona/New Mexico Mountains",7147,"Western_Great_Plains_Foothill_and_Piedmont_Grassland",105.7941,"Western Great Plains Foothill and Piedmont Grassland",722856,"CES303.817",7120,12692.0763,0.0083,"13.1.1"
"9","Arizona/New Mexico Mountains",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",524.1672,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.0263,"13.1.1"
"10","Arizona/New Mexico Mountains",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1912.3533,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0068,"13.1.1"
"11","Arizona/New Mexico Mountains",7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",852.93,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.2763,"13.1.1"
"12","Arizona/New Mexico Mountains",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",938.0367,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.0335,"13.1.1"
"13","Arizona/New Mexico Plateau",7066,"Inter_Mountain_Basins_Mat_Saltbush_Shrubland",1.1907,"Inter Mountain Basins Mat Saltbush Shrubland",722889,"CES304.783",5203,10939.5846,1e-04,"10.1.7"
"14","Arizona/New Mexico Plateau",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",264.7971,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.0133,"10.1.7"
"15","Arizona/New Mexico Plateau",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",25.1667,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,3e-04,"10.1.7"
"16","Arizona/New Mexico Plateau",7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",19.7316,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0022,"10.1.7"
"17","Arizona/New Mexico Plateau",7019,"Great_Basin_Pinyon_Juniper_Woodland",587.1042,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0258,"10.1.7"
"18","Arizona/New Mexico Plateau",7149,"Western_Great_Plains_Shortgrass_Prairie",260.8524,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.001,"10.1.7"
"19","Arizona/New Mexico Plateau",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",22212.9945,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0786,"10.1.7"
"20","Arizona/New Mexico Plateau",7147,"Western_Great_Plains_Foothill_and_Piedmont_Grassland",0.1377,"Western Great Plains Foothill and Piedmont Grassland",722856,"CES303.817",7120,12692.0763,0,"10.1.7"
"21","Arizona/New Mexico Plateau",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",1403.0739,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.0361,"10.1.7"
"22","Arizona/New Mexico Plateau",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",23.6358,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,1e-04,"10.1.7"
"23","Arizona/New Mexico Plateau",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",40.1274,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.0014,"10.1.7"
"24","Arizona/New Mexico Plateau",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",21799.2708,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.225,"10.1.7"
