CEC_OID,Level1,Level2,Level3,Ecoreg_Name,Ecoreg_Short_Name
0,1,1.1,1.1.1,Ellesmere and Devon Islands Ice Caps,Ellesmere & Devon Islands Ice Caps
1,1,1.1,1.1.2,Baffin and Torngat Mountains,
2,2,2.1,2.1.1,Sverdrup Islands Lowland,
3,2,2.1,2.1.2,Ellesmere Mountains and Eureka Hills,
4,2,2.1,2.1.3,Parry Islands Plateau,
5,2,2.1,2.1.4,Lancaster and Borden Peninsula Plateaus,
6,2,2.1,2.1.5,Foxe Uplands,
7,2,2.1,2.1.6,Baffin Uplands,
8,2,2.1,2.1.7,Gulf of Boothia and Foxe Basin Plains,
9,2,2.1,2.1.8,Victoria Island Lowlands,
10,2,2.1,2.1.9,Banks Island and Amundsen Gulf Lowlands,
11,2,2.2,2.2.1,Arctic Coastal Plain,
12,2,2.2,2.2.2,Arctic Foothills,
13,2,2.2,2.2.3,Subarctic Coastal Plains,
14,2,2.2,2.2.4,Seward Peninsula,
15,2,2.2,2.2.5,Bristol Bay-Nushagak Lowlands,
16,2,2.2,2.2.6,Aleutian Islands,
17,2,2.3,2.3.1,Brooks Range/Richardson Mountains,
18,2,2.4,2.4.1,Amundsen Plains,
19,2,2.4,2.4.2,Aberdeen Plains,
20,2,2.4,2.4.3,Central Ungava Peninsula and Ottawa and Belcher Islands,
21,2,2.4,2.4.4,Queen Maud Gulf and Chantrey Inlet Lowlands,
22,3,3.1,3.1.1,Interior Forested Lowlands and Uplands,
23,3,3.1,3.1.2,Interior Bottomlands,
24,3,3.1,3.1.3,Yukon Flats,
25,3,3.2,3.2.1,Ogilvie Mountains,
26,3,3.2,3.2.2,Mackenzie and Selwyn Mountains,
27,3,3.2,3.2.3,Peel River and Nahanni Plateaus,
29,3,3.3,3.3.1,Great Bear Plains,
30,3,3.3,3.3.2,Hay and Slave River Lowlands,
31,3,3.4,3.4.1,Kazan River and Selwyn Lake Uplands,
32,3,3.4,3.4.2,La Grande Hills and New Quebec Central Plateau,
33,3,3.4,3.4.3,Smallwood Uplands,
34,3,3.4,3.4.4,Ungava Bay Basin and George Plateau,
35,3,3.4,3.4.5,Coppermine River and Tazin Lake Uplands,
36,4,4.1,4.1.1,Coastal Hudson Bay Lowland,
37,4,4.1,4.1.2,Hudson Bay and James Bay Lowlands,
38,5,5.1,5.1.1,Athabasca Plain and Churchill River Upland,
39,5,5.1,5.1.2,Lake Nipigon and Lac Seul Upland,
40,5,5.1,5.1.3,Central Laurentians and Mecatina Plateau,
41,5,5.1,5.1.4,Newfoundland Island,
42,5,5.1,5.1.5,Hayes River Upland and Big Trout Lake,
43,5,5.1,5.1.6,Abitibi Plains and Riviere Rupert Plateau,
44,5,5.2,5.2.1,Northern Lakes and Forests,
45,5,5.2,5.2.2,Northern Minnesota Wetlands,
46,5,5.2,5.2.3,Algonquin/Southern Laurentians,
47,5,5.3,5.3.1,Northern Appalachian and Atlantic Maritime Highlands,
48,5,5.3,5.3.3,North Central Appalachians,
49,5,5.4,5.4.1,Mid-Boreal Uplands and Peace-Wabaska Lowlands,Mid-Boreal Uplands & Peace-Wabaska Lowlands
50,5,5.4,5.4.2,Clear Hills and Western Alberta Upland,Clear Hills & Western Alberta Upland
51,5,5.4,5.4.3,Mid-Boreal Lowland and Interlake Plain,Mid-Boreal Lowland & Interlake Plain
52,6,6.1,6.1.1,Interior Highlands and Klondike Plateau,Interior Highlands & Klondike Plateau
53,6,6.1,6.1.2,Alaska Range,Alaska Range
