ELEMENT_GLOBAL_ID,ELCODE,ESLF_CD,INACTIVE_IND,STATUS,GLOBAL_NAME,OTHER_NAME,CLASSIF_RESP,STAKEHOLDERS,WEST_LEGEND_IND,EAST_LEGEND_IND,ESLF_CD,BPS_CD,EVT_CD,LAND_COVER,CULTIVATED,SPARSE_VEGETATION,UPLAND,WETLAND,SPATIAL_PATTERN,ESLF_Pixel_Ct_30m,ESLF_SqKm_Calc_30m
723027,CES201.578,9278,N,1,Acadian Coastal Salt Marsh,,East,"Canada, East",N,N,9278,,,Herbaceous Wetland,N,N,N,Y,Small patch,445080,400.57
723026,CES201.579,9292,N,1,Acadian Estuary Marsh,,East,"Canada, East",N,N,9292,,,Herbaceous Wetland,N,N,N,Y,Small patch,120669,108.6
723039,CES201.565,4316,N,1,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,,East,"Canada, East, Midwest",N,Y,4316,1373,2373,Forest and Woodland,N,N,Y,N,"Matrix, Large patch",79610833,71649.74
723025,CES201.580,9301,N,1,Acadian Maritime Bog,,East,"Canada, East",N,N,9301,,,Woody Wetland,N,N,N,Y,Large patch,480397,432.35
785009,CES201.639,9210,N,2,Acadian Salt Marsh and Estuary Systems,,East,"Canada, East",N,Y,9210,1491,2491,Herbaceous Wetland,N,N,N,Y,Small patch,,
723043,CES201.561,9133,N,1,Acadian Sub-boreal Spruce Barrens,,East,"Canada, East, Midwest",N,Y,9133,1464,2464,Mixed Upland and Wetland,N,N,Y,Y,Large patch,,
723042,CES201.562,9134,N,1,Acadian Sub-boreal Spruce Flat,,East,"Canada, East",N,Y,9134,1465,2465,Mixed Upland and Wetland,N,N,Y,Y,Large patch,13853768,12468.39
722036,CES201.567,5210,N,1,Acadian-Appalachian Alpine Tundra,,East,"Canada, East",N,Y,5210,1386,2386,Shrubland,N,N,Y,N,Large patch,259433,233.48
723029,CES201.576,9344,N,1,Acadian-Appalachian Conifer Seepage Forest,,East,"Canada, East",N,N,9344,,,Woody Wetland,N,N,N,Y,Large patch,,
723038,CES201.566,4317,N,1,Acadian-Appalachian Montane Spruce-Fir Forest,,East,East,N,Y,4317,1374,2374,Forest and Woodland,N,N,Y,N,Large patch,12492390,11243.15
723037,CES201.568,5320,N,1,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,,East,"Canada, East",N,Y,5320,1389,2389,Shrubland,N,N,Y,Y,Large patch,31879,28.69
723032,CES201.573,3189,N,1,Acadian-North Atlantic Rocky Coast,,East,"Canada, East",N,N,3189,,,Barren,N,N,Y,N,Linear,346728,312.05
723167,CES202.338,5424,N,1,Alabama Ketona Glade and Woodland,,Southeast,Southeast,N,Y,5424,1408,2408,Steppe/Savanna,N,N,Y,N,Large patch,,
818185,CES104.173,5101,N,1,Alaska Arctic Acidic Dryas Dwarf-Shrubland,,West,"Canada, West",Y,N,5101,1688,2688,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818197,CES104.177,5102,N,1,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,,West,"Canada, West",Y,N,5102,1691,2691,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818179,CES104.171,5103,N,1,Alaska Arctic Acidic Sparse Tundra,,West,"Canada, West",Y,N,5103,1685,2685,Shrubland,N,N,Y,N,"Matrix, Large patch",,
818283,CES102.212,3195,N,1,Alaska Arctic Active Inland Dune,,West,West,Y,N,3195,1713,2713,Barren,N,N,Y,Y,Small patch,,
818292,CES102.228,3196,N,1,Alaska Arctic Bedrock and Talus,,West,"Canada, West",Y,N,3196,1717,2717,Barren,N,N,Y,N,Large patch,,
818277,CES102.210,9414,N,1,Alaska Arctic Coastal Brackish Meadow,,West,West,Y,N,9414,1712,2712,Herbaceous Wetland,N,N,N,Y,Large patch,,
818280,CES102.211,9357,N,1,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,,West,West,Y,N,9357,1701,2701,Woody Wetland,N,N,N,Y,Large patch,,
818191,CES104.175,5104,N,1,Alaska Arctic Dwarf-Shrubland,,West,"Canada, West",Y,N,5104,1690,2690,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818252,CES102.201,9358,N,1,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland,,West,"Canada, West",Y,N,9358,1703,2703,Woody Wetland,N,N,N,Y,"Large patch, Small patch",,
818289,CES102.227,9359,N,1,Alaska Arctic Floodplain,,West,"Canada, West",Y,N,9359,1715,2715,Woody Wetland,N,N,N,Y,Linear,,
818215,CES102.182,9415,N,1,Alaska Arctic Freshwater Aquatic Bed,,West,West,Y,N,9415,1696,2696,Herbaceous Wetland,N,N,N,Y,Small patch,,
818286,CES102.213,9360,N,1,Alaska Arctic Large River Floodplain,,West,"Canada, West",Y,N,9360,1714,2714,Woody Wetland,N,N,N,Y,"Matrix, Linear",,
818202,CES104.178,7166,N,1,Alaska Arctic Lichen Tundra,,West,"Canada, West",Y,N,7166,1687,2687,Herbaceous,N,N,Y,N,"Large patch, Small patch",,
818268,CES102.207,7167,N,1,Alaska Arctic Marine Beach and Beach Meadow,,West,West,Y,N,7167,1709,2709,Herbaceous,N,N,Y,N,"Small patch, Linear",,
818170,CES104.168,5328,N,1,Alaska Arctic Mesic Alder Shrubland,,West,"Canada, West",Y,N,5328,1638,2638,Shrubland,N,N,Y,N,Small patch,,
818240,CES102.186,7168,N,1,Alaska Arctic Mesic Herbaceous Meadow,,West,West,Y,N,7168,1699,2699,Herbaceous,N,N,Y,N,Small patch,,
818246,CES102.199,5466,N,1,Alaska Arctic Mesic Sedge-Dryas Tundra,,West,"Canada, West",Y,N,5466,1684,2684,Steppe/Savanna,N,N,Y,N,"Matrix, Large patch",,
818243,CES102.187,5467,N,1,Alaska Arctic Mesic Sedge-Willow Tundra,,West,"Canada, West",Y,N,5467,1683,2683,Steppe/Savanna,N,N,Y,N,"Large patch, Small patch",,
818173,CES104.169,5276,N,1,Alaska Arctic Mesic-Wet Willow Shrubland,,West,"Canada, West",Y,N,5276,1639,2639,Shrubland,N,N,Y,Y,"Large patch, Linear",,
818188,CES104.174,5105,N,1,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,,West,"Canada, West",Y,N,5105,1689,2689,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818194,CES104.176,5106,N,1,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,,West,"Canada, West",Y,N,5106,1692,2692,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818182,CES104.172,5107,N,1,Alaska Arctic Non-Acidic Sparse Tundra,,West,"Canada, West",Y,N,5107,1686,2686,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818219,CES102.183,9416,N,1,Alaska Arctic Pendantgrass Freshwater Marsh,,West,"Canada, West",Y,N,9416,1697,2697,Herbaceous Wetland,N,N,N,Y,Small patch,,
818253,CES102.202,9361,N,1,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,,West,"Canada, West",Y,N,9361,1704,2704,Woody Wetland,N,N,N,Y,"Large patch, Small patch",,
818265,CES102.206,9362,N,1,Alaska Arctic Polygonal Ground Mesic Shrub Tundra,,West,"Canada, West",Y,N,9362,1700,2700,Woody Wetland,N,N,N,Y,Small patch,,
818262,CES102.205,9363,N,1,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra,,West,"Canada, West",Y,N,9363,1708,2708,Woody Wetland,N,N,N,Y,"Large patch, Small patch",,
818259,CES102.204,9417,N,1,Alaska Arctic Polygonal Ground Tussock Tundra,,West,"Canada, West",Y,N,9417,1707,2707,Herbaceous Wetland,N,N,N,Y,"Large patch, Small patch",,
818256,CES102.203,9418,N,1,Alaska Arctic Polygonal Ground Wet Sedge Tundra,,West,"Canada, West",Y,N,9418,1706,2706,Herbaceous Wetland,N,N,N,Y,Large patch,,
818176,CES104.170,5277,N,1,Alaska Arctic Scrub Birch-Ericaceous Shrubland,,West,"Canada, West",Y,N,5277,1682,2682,Shrubland,N,N,Y,N,"Large patch, Matrix",,
818234,CES102.184,9419,N,1,Alaska Arctic Sedge Freshwater Marsh,,West,"Canada, West",Y,N,9419,1705,2705,Herbaceous Wetland,N,N,N,Y,Small patch,,
818208,CES102.180,9364,N,1,Alaska Arctic Shrub-Tussock Tundra,,West,"Canada, West",Y,N,9364,1693,2693,Woody Wetland,N,N,N,Y,"Matrix, Large patch",,
818271,CES102.208,3197,N,1,Alaska Arctic Tidal Flat,,West,West,Y,N,3197,1710,2710,Barren,N,Y,N,Y,"Small patch, Linear",,
818274,CES102.209,9420,N,1,Alaska Arctic Tidal Marsh,,West,West,Y,N,9420,1711,2711,Herbaceous Wetland,N,N,N,Y,Small patch,,
818205,CES102.179,9421,N,1,Alaska Arctic Tussock Tundra,,West,"Canada, West",Y,N,9421,1694,2694,Herbaceous Wetland,N,N,N,Y,"Large patch, Small patch",,
818212,CES102.181,9422,N,1,Alaska Arctic Tussock-Lichen Tundra,,West,"Canada, West",Y,N,9422,1695,2695,Herbaceous Wetland,N,N,N,Y,"Large patch, Small patch",,
818237,CES102.185,9423,N,1,Alaska Arctic Wet Sedge Meadow,,West,"Canada, West",Y,N,9423,1698,2698,Herbaceous Wetland,N,N,N,Y,"Small patch, Linear",,
818249,CES102.200,9424,N,1,Alaska Arctic Wet Sedge-Sphagnum Peatland,,West,"Canada, West",Y,N,9424,1702,2702,Herbaceous Wetland,N,N,N,Y,"Large patch, Small patch",,
817500,CES204.145,7169,N,1,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,,West,West,Y,N,7169,1645,2645,Herbaceous,N,N,Y,N,"Large patch, Small patch",,
817390,CES105.111,5329,N,1,Alaska Sub-boreal Avalanche Slope Shrubland,,West,West,Y,N,5329,1608,2608,Shrubland,N,N,Y,N,"Large patch, Small patch",,
817393,CES105.112,5330,N,1,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,,West,West,Y,N,5330,1609,2609,Shrubland,N,N,Y,N,Large patch,,
817363,CES105.103,4282,N,1,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,,West,West,Y,N,4282,1678,2678,Forest and Woodland,N,N,Y,N,Matrix,,
817469,CES105.136,4334,N,1,Alaska Sub-boreal White Spruce-Hardwood Forest,,West,West,Y,N,4334,1679,2679,Forest and Woodland,N,N,Y,N,Matrix,,
817360,CES105.102,4273,N,1,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,,West,West,Y,N,4273,1677,2677,Forest and Woodland,N,N,Y,N,Matrix,,
818671,CES204.310,5468,N,1,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,,West,West,Y,N,5468,1643,2643,Steppe/Savanna,N,N,Y,N,Large patch,,
817725,CES204.161,3198,N,1,Alaskan Pacific Maritime Alpine Floodplain,,West,West,Y,N,3198,1676,2676,Barren,N,N,N,Y,Linear,,
820182,CES204.318,5109,N,1,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-Field,,West,West,Y,N,5109,1674,2674,Shrubland,N,N,Y,N,Small patch,,
817722,CES204.160,9425,N,1,Alaskan Pacific Maritime Alpine Wet Meadow,,West,West,Y,N,9425,1673,2673,Herbaceous Wetland,N,N,N,Y,Small patch,,
817784,CES204.162,5331,N,1,Alaskan Pacific Maritime Avalanche Slope Shrubland,,West,"Canada, West",Y,N,5331,1680,2680,Shrubland,N,N,N,Y,Large patch,,
817796,CES204.166,7170,N,1,"Alaskan Pacific Maritime Coastal Dune, Beach and Beach Meadow",,West,West,Y,N,7170,1666,2666,Herbaceous,N,N,Y,N,"Linear, Small patch",,
817719,CES204.159,9426,N,1,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee,,West,West,Y,N,9426,1665,2665,Herbaceous Wetland,N,N,N,Y,Small patch,,
817793,CES204.165,9365,N,1,Alaskan Pacific Maritime Dwarf-Shrub-Sphagnum Peatland,,West,West,Y,N,9365,1658,2658,Woody Wetland,N,N,N,Y,Small patch,,
