"BioClimVar","Sys ID","CEC ID","Time_Frame_ID","Statistic.x","Value","SourceData","ScoreDate","X","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Statistic.y","Percent_ecoregion_affected","Bioclim.Variable","Units"
"bio1",722663,"5.2.1",1,"mean delta",1.66,"MACA_45_CEMML","3/28/2021",241,"Northern Lakes and Forests",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1608.2631,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0114,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"5.2.1",1,"mean",5.37,"MACA_45_CEMML","3/28/2021",241,"Northern Lakes and Forests",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1608.2631,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0114,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"5.2.1",1,"min delta",1.43,"MACA_45_CEMML","3/28/2021",241,"Northern Lakes and Forests",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1608.2631,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0114,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"5.2.1",1,"max delta",1.87,"MACA_45_CEMML","3/28/2021",241,"Northern Lakes and Forests",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1608.2631,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0114,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"5.2.1",1,"mean zscore",1.94,"MACA_45_CEMML","3/28/2021",241,"Northern Lakes and Forests",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1608.2631,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0114,"percent area",100,"Annual Mean Temperature","C"
"bio1",722663,"8.2.2",1,"mean delta",1.45,"MACA_45_CEMML","3/28/2021",153,"Huron/Erie Lake Plains",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",1623.3615,"North Central Interior Dry Mesic Oak Forest and Woodland","CES202.046",4116,141605.9334,0.0115,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"6.2.14",1,"mean zscore",2.04,"MACA_45_CEMML","3/28/2021",304,"Southern Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",6170.2398,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0722,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"6.2.14",1,"min delta",1.59,"MACA_45_CEMML","3/28/2021",304,"Southern Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",6170.2398,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0722,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"6.2.14",1,"mean",4.47,"MACA_45_CEMML","3/28/2021",304,"Southern Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",6170.2398,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0722,"percent area",100,"Annual Mean Temperature","C"
"bio1",722887,"6.2.14",1,"mean delta",1.73,"MACA_45_CEMML","3/28/2021",304,"Southern Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",6170.2398,"Inter Mountain Basins Montane Sagebrush Steppe","CES304.785",5455,85442.3397,0.0722,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"12.1.1",1,"mean delta",1.6,"MACA_45_CEMML","3/28/2021",181,"Madrean Archipelago",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",110.1033,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.0028,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"12.1.1",1,"min delta",1.51,"MACA_45_CEMML","3/28/2021",181,"Madrean Archipelago",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",110.1033,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.0028,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"12.1.1",1,"max delta",1.68,"MACA_45_CEMML","3/28/2021",181,"Madrean Archipelago",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",110.1033,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.0028,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"12.1.1",1,"mean zscore",1.95,"MACA_45_CEMML","3/28/2021",181,"Madrean Archipelago",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",110.1033,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.0028,"percent area",100,"Annual Mean Temperature","C"
"bio1",797980,"12.1.1",1,"mean",12.66,"MACA_45_CEMML","3/28/2021",181,"Madrean Archipelago",7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",110.1033,"Southern Rocky Mountain Ponderosa Pine Woodland","CES306.648",4241,38899.4481,0.0028,"percent area",100,"Annual Mean Temperature","C"
"bio1",722976,"8.2.4",1,"max delta",1.55,"MACA_45_CEMML","3/28/2021",126,"Eastern Corn Belt Plains",7421,"Central_Tallgrass_Prairie",1681.5033,"Central Tallgrass Prairie","CES205.683",7134,241651.1556,0.007,"percent area",100,"Annual Mean Temperature","C"
"bio1",722976,"8.2.4",1,"mean",11.04,"MACA_45_CEMML","3/28/2021",126,"Eastern Corn Belt Plains",7421,"Central_Tallgrass_Prairie",1681.5033,"Central Tallgrass Prairie","CES205.683",7134,241651.1556,0.007,"percent area",100,"Annual Mean Temperature","C"
"bio1",722896,"6.2.10",1,"mean zscore",1.98,"MACA_45_CEMML","3/28/2021",198,"Middle Rockies",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",297.2619,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","CES304.776",4302,27965.5092,0.0106,"percent area",100,"Annual Mean Temperature","C"
"bio1",722855,"6.2.14",1,"mean",5.84,"MACA_45_CEMML","3/28/2021",308,"Southern Rockies",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",6254.6499,"Rocky Mountain Gambel Oak Mixed Montane Shrubland","CES306.818",5313,19905.7419,0.3142,"percent area",100,"Annual Mean Temperature","C"
"bio1",722855,"6.2.14",1,"mean zscore",2.06,"MACA_45_CEMML","3/28/2021",308,"Southern Rockies",7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",6254.6499,"Rocky Mountain Gambel Oak Mixed Montane Shrubland","CES306.818",5313,19905.7419,0.3142,"percent area",100,"Annual Mean Temperature","C"
"bio1",722966,"8.2.2",1,"mean delta",1.49,"MACA_45_CEMML","3/28/2021",152,"Huron/Erie Lake Plains",7313,"North_Central_Interior_Beech_Maple_Forest_",9778.0851,"North Central Interior Beech Maple Forest ","CES202.693",4119,83328.2964,0.1173,"percent area",100,"Annual Mean Temperature","C"
