"Time_Frame_ID","Scenario","system","CEC.ecoregion","Bioclim.Variable","Units","mean zscore","mean(baseline)","mean delta","min delta","max delta","Percent_ecoregion_affected","SqKM_Ecoreg_system","SqKm_ecoregion_affected","Percent_of_Total_Distribution","Percent_system_affected","Total_SqKM_system_BPS","Sys.ID","cec_ID","ScoreDate"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Annual Mean Temperature","C",1.2,10.78,1.18,1.08,1.31,100,54324.4887,5432448.87,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Max Temperature of Warmest Month","C",1.03,29.2,1.85,1.78,1.94,4.92,54324.4887,267113.5109379,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Mean Temperature of Wettest Quarter","C",1.2,21,6.42,3.1,10.01,57.81,54324.4887,3140607.3407244,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Min Temperature of Coldest Month","C",1.02,-7.36,2.4,2.2,2.49,12.6,54324.4887,684542.8821087,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Precipitation of Warmest Quarter","mm",1.01,335,221,219,224,0.21,54324.4887,11571.1160931,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Corn Belt Plains","Precipitation of Wettest Quarter","mm",1.02,336,224,213,232,1.98,54324.4887,107562.487626,22.48,0.22480541657298,241651.1556,722976,"8.2.3","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Great Plains","Annual Mean Temperature","C",1.15,11.42,1.34,1.18,1.44,100,15499.3986,1549939.86,6.41,0.0641395591985326,241651.1556,722976,"9.4.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Great Plains","Mean Temperature of Wettest Quarter","C",1.1,21.7,4.49,3.42,5.41,58.3,15499.3986,903661.4365758,6.41,0.0641395591985326,241651.1556,722976,"9.4.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Great Plains","Min Temperature of Coldest Month","C",1.17,-9.35,2.92,2.52,3.3,99.72,15499.3986,1545538.0307976,6.41,0.0641395591985326,241651.1556,722976,"9.4.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Great Plains","Precipitation of Warmest Quarter","mm",1.05,290,191,142,219,46.57,15499.3986,721791.4934034,6.41,0.0641395591985326,241651.1556,722976,"9.4.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Great Plains","Precipitation of Wettest Quarter","mm",1.17,315,212,175,241,100,15499.3986,1549939.86,6.41,0.0641395591985326,241651.1556,722976,"9.4.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Irregular Plains","Annual Mean Temperature","C",1.15,11.79,1.29,1.19,1.4,100,33288.2055,3328820.55,13.78,0.137753140130235,241651.1556,722976,"9.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Irregular Plains","Mean Temperature of Wettest Quarter","C",1.2,21.9,4,2.75,7.49,90.47,33288.2055,3011517.375174,13.78,0.137753140130235,241651.1556,722976,"9.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Irregular Plains","Min Temperature of Coldest Month","C",1,-5.88,2.41,2.41,2.41,0.03,33288.2055,865.493343,13.78,0.137753140130235,241651.1556,722976,"9.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Central Irregular Plains","Precipitation of Wettest Quarter","mm",1.01,383,241,226,273,6,33288.2055,199729.233,13.78,0.137753140130235,241651.1556,722976,"9.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Driftless Area","Annual Mean Temperature","C",1.26,8.09,1.21,1.09,1.3,100,7499.2716,749927.16,3.1,0.0310334605327251,241651.1556,722976,"8.1.5","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Driftless Area","Mean Temperature of Wettest Quarter","C",1.39,20.8,4.34,2.62,5.42,94.18,7499.2716,706311.3963744,3.1,0.0310334605327251,241651.1556,722976,"8.1.5","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Driftless Area","Min Temperature of Coldest Month","C",1.02,-13.99,2.69,2.43,2.8,22.95,7499.2716,172138.2803064,3.1,0.0310334605327251,241651.1556,722976,"8.1.5","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Driftless Area","Precipitation of Warmest Quarter","mm",1.07,345,230,209,248,89.35,7499.2716,670029.9203736,3.1,0.0310334605327251,241651.1556,722976,"8.1.5","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Driftless Area","Precipitation of Wettest Quarter","mm",1.07,347,230,209,248,92.64,7499.2716,694732.521024,3.1,0.0310334605327251,241651.1556,722976,"8.1.5","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Eastern Corn Belt Plains","Annual Mean Temperature","C",1.34,11.04,1.28,1.2,1.33,100,1681.5033,168150.33,0.7,0.00695839130512315,241651.1556,722976,"8.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Eastern Corn Belt Plains","Max Temperature of Warmest Month","C",1.22,29.5,1.75,1.58,1.88,55.74,1681.5033,93728.6754453,0.7,0.00695839130512315,241651.1556,722976,"8.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Eastern Corn Belt Plains","Mean Temperature of Driest Quarter","C",1.1,0.884,8.04,7.46,8.32,1.34,1681.5033,2253.214422,0.7,0.00695839130512315,241651.1556,722976,"8.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Eastern Corn Belt Plains","Mean Temperature of Wettest Quarter","C",1.15,21,7.29,5.72,9.87,11.04,1681.5033,18558.7519221,0.7,0.00695839130512315,241651.1556,722976,"8.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Eastern Corn Belt Plains","Min Temperature of Coldest Month","C",1.1,-6.86,2.57,2.38,2.77,91.08,1681.5033,153153.0020673,0.7,0.00695839130512315,241651.1556,722976,"8.2.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Flint Hills","Annual Mean Temperature","C",1.15,12.65,1.38,1.34,1.41,100,2032.0713,203207.13,0.84,0.0084091106245883,241651.1556,722976,"9.4.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Flint Hills","Mean Temperature of Wettest Quarter","C",1.09,22.7,3.98,3.47,5.06,33.99,2032.0713,69078.2317722,0.84,0.0084091106245883,241651.1556,722976,"9.4.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Flint Hills","Min Temperature of Coldest Month","C",1.02,-8.39,2.67,2.56,2.72,20.4,2032.0713,41448.1583061,0.84,0.0084091106245883,241651.1556,722976,"9.4.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Flint Hills","Precipitation of Warmest Quarter","mm",1.02,349,219,210,228,11.05,2032.0713,22450.3237224,0.84,0.0084091106245883,241651.1556,722976,"9.4.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Flint Hills","Precipitation of Wettest Quarter","mm",1.07,371,240,217,256,98.02,2032.0713,199183.628826,0.84,0.0084091106245883,241651.1556,722976,"9.4.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Interior River Valleys and Hills","Annual Mean Temperature","C",1.18,12.53,1.22,1.1,1.32,100,35528.8518,3552885.18,14.7,0.147025375118877,241651.1556,722976,"8.3.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Interior River Valleys and Hills","Max Temperature of Warmest Month","C",1.01,32.2,1.57,1.54,1.6,0.24,35528.8518,8633.5109874,14.7,0.147025375118877,241651.1556,722976,"8.3.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Interior River Valleys and Hills","Mean Temperature of Driest Quarter","C",1.21,14.925,12.1,-11.45,15.43,14.75,35528.8518,524050.56405,14.7,0.147025375118877,241651.1556,722976,"8.3.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Interior River Valleys and Hills","Mean Temperature of Wettest Quarter","C",1.24,21,5.14,3.69,8.38,29.83,35528.8518,1059825.649194,14.7,0.147025375118877,241651.1556,722976,"8.3.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Interior River Valleys and Hills","Min Temperature of Coldest Month","C",1.02,-5.7,2.35,2.18,2.51,9.64,35528.8518,342498.131352,14.7,0.147025375118877,241651.1556,722976,"8.3.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Mississippi Alluvial Plain","Annual Mean Temperature","C",1.26,14.62,1.29,1.28,1.29,100,74.3175,7431.75,0.03,0.000307540428745212,241651.1556,722976,"8.5.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Mississippi Alluvial Plain","Mean Temperature of Driest Quarter","C",1.14,24.603,11.52,10.4,13.28,78.26,74.3175,5816.08755,0.03,0.000307540428745212,241651.1556,722976,"8.5.2","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Nebraska Sand Hills","Annual Mean Temperature","C",1.05,9.3,1.17,1.13,1.28,98,4529.7549,443915.9802,1.87,0.0187450165042786,241651.1556,722976,"9.3.4","3/28/2021"
1,"rmp_45","Central_Tallgrass_Prairie","Nebraska Sand Hills","Mean Temperature of Wettest Quarter","C",1.03,19.8,4.16,3.86,4.68,3.04,4529.7549,13770.454896,1.87,0.0187450165042786,241651.1556,722976,"9.3.4","3/28/2021"
